Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Chris Driedger (26348016),Chris Driedger,26348016,G,6500,SEA@BUF 01/10/2023 07:00PM ET,SEA,0
G,Joey Daccord (26348017),Joey Daccord,26348017,G,6500,SEA@BUF 01/10/2023 07:00PM ET,SEA,20.2
G,Ben Bishop (26348021),Ben Bishop,26348021,G,6500,SEA@BUF 01/10/2023 07:00PM ET,BUF,0
D,Victor Hedman (26347614),Victor Hedman,26347614,D/UTIL,6500,CLS@TB 01/10/2023 07:00PM ET,TB,10.18
G,Daniil Tarasov (26348008),Daniil Tarasov,26348008,G,6500,CLS@TB 01/10/2023 07:00PM ET,CLS,11.54
G,Jet Greaves (26348009),Jet Greaves,26348009,G,6500,CLS@TB 01/10/2023 07:00PM ET,CLS,0
G,Zane McIntyre (26348024),Zane McIntyre,26348024,G,6500,MIN@NYR 01/10/2023 07:00PM ET,MIN,0
G,Thatcher Demko (26348010),Thatcher Demko,26348010,G,6500,VAN@PIT 01/10/2023 07:00PM ET,VAN,8.54
G,Dustin Tokarski (26348019),Dustin Tokarski,26348019,G,6500,VAN@PIT 01/10/2023 07:00PM ET,PIT,0
LW,Max Pacioretty (26347160),Max Pacioretty,26347160,W/UTIL,6500,NJ@CAR 01/10/2023 07:00PM ET,CAR,16.65
G,Jonathan Bernier (26348011),Jonathan Bernier,26348011,G,6500,NJ@CAR 01/10/2023 07:00PM ET,NJ,0
G,Akira Schmid (26348012),Akira Schmid,26348012,G,6500,NJ@CAR 01/10/2023 07:00PM ET,NJ,11.66
G,Nico Daws (26348013),Nico Daws,26348013,G,6500,NJ@CAR 01/10/2023 07:00PM ET,NJ,0
G,Frederik Andersen (26348014),Frederik Andersen,26348014,G,6500,NJ@CAR 01/10/2023 07:00PM ET,CAR,9.79
C,Mark Scheifele (26346922),Mark Scheifele,26346922,C/UTIL,6500,WPG@DET 01/10/2023 07:00PM ET,WPG,11.76
G,Alex Nedeljkovic (26348020),Alex Nedeljkovic,26348020,G,6500,WPG@DET 01/10/2023 07:00PM ET,DET,9.49
G,Cory Schneider (26348015),Cory Schneider,26348015,G,6500,DAL@NYI 01/10/2023 07:30PM ET,NYI,0
D,Brandon Montour (26347616),Brandon Montour,26347616,D/UTIL,6500,FLA@COL 01/10/2023 09:30PM ET,FLA,11.62
G,Pavel Francouz (26348007),Pavel Francouz,26348007,G,6500,FLA@COL 01/10/2023 09:30PM ET,COL,14.8
G,Alex Lyon (26348018),Alex Lyon,26348018,G,6500,FLA@COL 01/10/2023 09:30PM ET,FLA,0
G,Aaron Dell (26348022),Aaron Dell,26348022,G,6500,SJ@ARI 01/10/2023 09:00PM ET,SJ,9.1
G,Eetu Makiniemi (26348023),Eetu Makiniemi,26348023,G,6500,SJ@ARI 01/10/2023 09:00PM ET,SJ,8.9
