RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master.1,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
mcdavid10700cc,97.22,Connor McDavid,10700,C,0,EDM,ARI-KVejmelka,27.56,34.4,20.7,6.98,2.6,1,1,23,1,0.0,81,1,2,4.7,2.6,-330,7.0,90,-300,26.1,5.9,83,50,13,105,26.3,83,16,83,12,0.76,1.14,1.9,22.55,5.06,4.24,5.44,0.78,0.18,0.43,4.67,18.62,15.48,14.13,0.24,0.5,3.77,1.12,1.47,0.76,0.03,0.04,0.49,0.61,0.44,0.05,3.76,0.92,1.08,2.0,22.72,5.28,3.69,4.92,0.75,0.25,0.46,4.15,16.25,15.0,0.31,0.38,3.76,1.17,16.5,4.33,3.83,0.5,5.0,2.5,23.31,4.07,0.5,0.17,47.26,47.38,48.67,44.43,39.12,3.21,0.32,3.7,0.24,44.09,50.07,41.09,39.21,3.08,0.32,3.86,0.22,38.25,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,mcdavid,c,mcdavid10700cc,88469-64102,C,c,Connor McDavid,mcdavid,26.8753428,73.0,10700,EDM@ARI,EDM,ARI,,,,,,C/UTIL,mcdavid10700cc,10000
mackinnon10300cn,93.33,Nathan MacKinnon,10300,C,0,COL,ANA-JGibson,26.34,32.9,19.8,6.58,2.6,1,1,26,1,-0.7,85,2,1,4.2,2.5,-275,6.5,87,-275,22.6,2.8,66,38,20,99,23.8,78,21,57,14,0.56,0.84,1.41,21.92,3.86,5.11,6.52,0.78,0.11,0.52,5.64,20.43,15.63,14.72,0.17,0.27,3.83,1.53,1.99,0.77,0.0,0.0,0.4,0.57,0.53,0.03,4.06,0.67,0.87,1.53,21.29,4.31,4.73,6.14,0.77,0.14,0.53,5.27,19.57,14.29,0.27,0.33,3.54,1.29,19.38,4.88,4.25,0.63,6.0,1.38,22.03,3.78,0.25,0.63,51.49,50.08,54.11,44.67,40.77,3.16,0.27,3.18,0.27,49.62,51.91,40.15,39.27,2.86,0.38,2.67,0.31,38.43,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,mackinnon,n,mackinnon10300cn,88469-41391,C,n,Nathan MacKinnon,mackinnon,23.57704838,61.0,10300,COL@ANH,COL,ANH,,,,,,C/UTIL,mackinnon10300cn,9700
barkov7900ca,88.75,Aleksander Barkov,7900,C,0,FLA,OTT-MSogaard,18.77,23.5,14.1,3.94,2.4,1,1,18,1,-0.5,93,0,2,3.9,3.2,-153,7.0,70,-135,17.3,1.3,62,31,22,100,22.3,83,0,58,12,0.39,0.75,1.14,21.13,3.24,3.27,4.26,0.77,0.12,0.65,3.92,15.31,11.15,11.4,0.12,0.29,4.09,0.85,1.15,0.73,0.0,0.02,0.27,0.44,0.21,0.01,3.64,0.4,1.2,1.6,21.15,4.54,4.1,5.0,0.82,0.1,0.7,4.8,15.9,9.8,0.0,0.4,4.17,1.2,15.33,4.83,4.17,0.67,5.33,1.83,20.96,3.98,0.0,0.17,50.71,51.01,44.46,41.86,45.45,3.31,0.22,3.53,0.19,55.58,44.93,39.42,45.79,3.08,0.27,3.6,0.19,46.0,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,barkov,a,barkov7900ca,88469-41393,C,a,Aleksander Barkov,barkov,16.71525444,59.0,7900,FLA@OTT,FLA,OTT,,,,,,C/UTIL,barkov7900ca,7400
draisaitl10100cl,88.46,Leon Draisaitl,10100,C,0,EDM,ARI-KVejmelka,21.28,26.6,16.0,1.93,2.1,2,1,19,1,-1.0,8,1,2,4.7,2.6,-330,7.0,90,-300,20.8,1.6,74,33,20,105,25.1,91,8,58,12,0.59,0.99,1.58,21.62,4.38,3.2,4.44,0.72,0.19,0.43,3.62,15.94,15.52,12.09,0.35,0.34,3.87,1.31,1.78,0.74,0.01,0.01,0.24,0.64,0.28,0.0,3.31,0.69,1.15,1.85,21.87,5.08,3.31,5.17,0.64,0.21,0.38,3.69,17.83,12.42,0.38,0.46,3.83,1.33,18.0,4.17,4.0,0.17,6.0,2.5,22.24,4.23,0.17,0.67,47.26,47.38,48.67,44.43,39.12,3.21,0.32,3.7,0.24,44.09,50.07,41.09,39.21,3.08,0.32,3.86,0.22,38.25,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,draisaitl,l,draisaitl10100cl,88469-58331,C,l,Leon Draisaitl,draisaitl,21.38450773,71.0,10100,EDM@ARI,EDM,ARI,,,,,,C/UTIL,draisaitl10100cl,8200
hughes10000cj,86.87,Jack Hughes,10000,C,0,NJD,NYI-ISorokin,18.35,23.0,13.7,-0.79,1.8,1,1,17,1,-2.0,14,0,2,3.2,2.9,-130,6.0,54,-120,20.1,2.3,62,31,18,90,17.7,53,46,26,15,0.6,0.63,1.23,19.97,3.7,4.38,5.43,0.81,0.14,0.34,4.73,16.86,12.83,12.3,0.12,0.25,3.15,0.97,1.2,0.81,0.0,0.0,0.48,0.38,0.05,0.03,3.33,0.29,0.57,0.86,19.94,2.59,4.29,5.62,0.76,0.07,0.71,5.0,16.83,15.17,0.14,0.14,2.91,0.69,15.88,5.5,4.88,0.63,6.0,1.0,19.84,3.07,0.25,0.13,51.05,50.53,48.68,44.76,44.97,2.76,0.19,2.94,0.17,56.23,46.45,46.38,49.64,2.23,0.28,2.45,0.22,50.83,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYI,hughes,j,hughes10000cj,88469-111493,C,j,Jack Hughes,hughes,20.22318876,69.0,10000,NJ@NYI,NJ,NYI,,,,,,C/UTIL,hughes10000cj,8300
cozens6300cd,83.25,Dylan Cozens,6300,C,0,BUF,MTL-JAllen,13.77,17.3,10.2,2.22,2.2,2,1,5,0,-0.9,85,0,2,4.1,3.1,-182,7.0,82,-225,12.5,1.7,64,36,34,88,11.8,50,50,35,14,0.33,0.44,0.77,16.24,2.84,2.6,3.46,0.75,0.13,0.36,2.97,11.19,10.96,8.74,0.05,0.18,2.69,0.47,0.67,0.7,0.02,0.01,0.26,0.25,0.53,0.02,2.72,0.36,0.29,0.64,15.94,2.41,2.71,3.57,0.76,0.13,0.5,3.21,11.46,11.85,0.0,0.07,2.55,0.5,10.0,3.14,2.71,0.43,3.43,0.57,15.48,2.71,0.0,0.14,48.88,45.79,48.74,42.51,41.32,3.21,0.26,3.28,0.26,47.07,54.0,44.57,39.93,3.07,0.21,2.86,0.3,40.0,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,cozens,d,cozens6300cd,88469-113279,C,d,Dylan Cozens,cozens,13.47042288,71.0,6300,MON@BUF,BUF,MON,,,,,,C/UTIL,cozens6300cd,5700
stutzle8300ct,83.12,Tim Stutzle,8300,C,0,OTT,FLA-SBobrovsky,17.79,22.3,13.3,2.14,2.1,1,1,8,0,-1.8,62,0,2,3.2,3.9,130,7.0,30,115,17.3,3.8,66,44,26,89,20.5,78,14,50,14,0.51,0.68,1.19,20.76,3.44,2.85,3.93,0.72,0.18,0.7,3.55,16.3,13.99,12.16,0.13,0.27,3.86,0.72,1.06,0.67,0.05,0.0,0.33,0.4,0.6,0.07,2.81,0.6,0.87,1.47,21.94,4.02,3.2,4.33,0.74,0.19,0.6,3.8,16.6,13.8,0.0,0.2,4.17,0.73,15.75,3.5,2.63,0.88,3.63,1.0,22.8,4.32,0.0,0.25,43.93,45.45,41.86,44.46,51.01,3.59,0.24,3.47,0.26,45.79,39.42,44.93,55.58,3.73,0.2,3.08,0.22,51.33,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FLA,stutzle,t,stutzle8300ct,88469-142017,C,t,Tim Stuetzle,stutzle,17.36956522,69.0,8300,FLA@OTT,OTT,FLA,,,,,,C/UTIL,stutzle8300ct,7300
hischier7200cn,81.79,Nico Hischier,7200,C,0,NJD,NYI-ISorokin,14.26,17.9,10.6,0.86,2.0,2,1,13,1,-2.4,93,0,2,3.2,2.9,-130,6.0,54,-120,15.5,1.4,76,31,16,89,17.3,85,14,50,14,0.38,0.58,0.97,19.57,2.97,3.07,4.05,0.76,0.12,0.74,3.81,14.3,12.24,10.93,0.07,0.12,3.02,0.67,0.94,0.72,0.03,0.02,0.28,0.44,0.09,0.03,2.87,0.36,0.71,1.07,19.73,3.25,3.29,4.54,0.72,0.11,1.14,4.43,16.15,12.31,0.0,0.07,2.79,0.46,14.88,4.13,3.13,1.0,4.25,0.75,19.78,3.03,0.0,0.13,51.05,50.53,48.68,44.76,44.97,2.76,0.19,2.94,0.17,56.23,46.45,46.38,49.64,2.23,0.28,2.45,0.22,50.83,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYI,hischier,n,hischier7200cn,88469-80991,C,n,Nico Hischier,hischier,16.11111111,72.0,7200,NJ@NYI,NJ,NYI,,,,,,C/UTIL,hischier7200cn,6700
ek6700cj,80.72,Joel Eriksson Ek,6700,C,0,MIN,SEA-PGrubauer,14.74,18.5,11.0,2.37,2.2,2,1,5,1,-3.5,93,0,2,3.2,3.0,-120,6.0,69,-145,13.9,2.0,71,33,28,96,12.2,53,46,30,13,0.34,0.44,0.78,19.04,2.46,3.11,4.2,0.74,0.11,0.66,3.78,11.71,11.46,8.89,0.14,0.15,3.54,0.82,1.14,0.72,0.02,0.01,0.17,0.28,0.49,0.02,2.64,0.15,0.54,0.69,18.84,2.2,3.31,4.23,0.78,0.05,0.46,3.77,12.0,11.08,0.08,0.0,3.28,0.54,11.29,3.29,3.14,0.14,4.0,0.71,18.91,3.24,0.14,0.0,42.95,44.38,42.91,44.26,46.56,3.25,0.22,2.92,0.24,44.23,39.46,48.62,48.31,3.0,0.13,3.0,0.15,50.0,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,ek,j,ek6700cj,88469-73949,C,j,Joel Eriksson Ek,ek,13.83972586,73.0,6700,SEA@MIN,MIN,SEA,,,,,,C/UTIL,ek6700cj,6200
hartman5600cr,78.66,Ryan Hartman,5600,C,0,MIN,SEA-PGrubauer,11.67,14.7,8.6,1.56,2.1,1,2,4,0,-0.9,96,0,2,3.2,3.0,-120,6.0,69,-145,11.8,1.6,51,23,26,96,12.9,69,30,30,13,0.28,0.43,0.71,16.69,2.55,2.43,3.71,0.66,0.11,0.72,3.16,14.73,12.6,11.0,0.01,0.09,1.76,0.53,0.71,0.75,0.01,0.01,0.25,0.33,1.5,0.03,2.39,0.31,0.46,0.77,18.82,2.46,2.54,4.08,0.62,0.12,0.77,3.31,14.38,15.69,0.08,0.15,2.18,0.31,13.71,3.0,2.43,0.57,4.29,0.71,19.19,2.85,0.14,0.14,42.95,44.38,42.91,44.26,46.56,3.25,0.22,2.92,0.24,44.23,39.46,48.62,48.31,3.0,0.13,3.0,0.15,50.0,3/27/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,hartman,r,hartman5600cr,88469-43176,C,r,Ryan Hartman,hartman,11.14615338,52.0,5600,SEA@MIN,MIN,SEA,,,,,,C/UTIL,hartman5600cr,5300
