RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
crosby8400cs,93.68,Sidney Crosby,8400,C,0,PIT,SJ-A.Dell,17.52,21.9,13.1,1.66,2.1,1,1,16,0,6.0,71,0,3,3.7,2.9,-165,6.5,65,0,17.4,0.6,72,34,27,92,18.4,90,30,10,10,0.49,0.76,1.24,20.17,3.69,2.97,4.0,0.74,0.16,0.59,3.56,17.57,14.57,13.05,0.11,0.24,3.74,0.78,0.93,0.84,0.0,0.0,0.38,0.51,0.69,0.03,3.24,0.27,1.0,1.27,19.85,3.84,3.18,4.27,0.74,0.09,0.55,3.73,19.45,16.36,0.18,0.45,3.48,0.91,28.0,3.67,3.33,0.33,4.33,0.67,18.95,3.06,0.0,0.0,55.0,49.4,48.18,46.29,43.28,3.32,0.21,2.97,0.16,57.73,51.11,47.36,46.22,3.55,0.26,2.78,0.24,48.67,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,crosby,s,crosby8400cs,87013-8594,C,s,Sidney Crosby,crosby,16.90192355,52.0,8400,PIT@SJ,PIT,SJ,,,,,,C/UTIL,crosby8400cs
barkov8000ca,93.02,Aleksander Barkov,8000,C,0,FLA,STL-J.Binnington,16.83,21.1,12.6,1.79,2.1,1,1,9,0,4.2,22,2,1,3.5,3.1,-136,6.5,79,-126,17.2,0.9,60,28,26,101,18.1,83,41,8,12,0.4,0.77,1.17,21.11,3.33,3.09,4.07,0.76,0.13,0.67,3.76,15.44,11.02,11.54,0.15,0.28,4.04,0.82,1.11,0.73,0.0,0.02,0.25,0.47,0.2,0.02,3.06,0.42,0.83,1.25,21.21,3.54,2.92,3.83,0.76,0.14,0.83,3.75,13.42,11.75,0.17,0.25,4.37,0.83,12.0,3.67,2.67,1.0,3.0,1.0,20.86,5.03,0.0,0.0,48.7,50.56,47.61,41.03,40.77,3.42,0.23,2.49,0.23,51.54,40.67,46.38,42.11,3.38,0.25,2.78,0.16,39.5,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STL,barkov,a,barkov8000ca,87013-41393,C,a,Aleksander Barkov,barkov,16.04666612,45.0,8000,FLA@STL,FLA,STL,,,,,,C/UTIL,barkov8000ca
malkin7400ce,92.97,Evgeni Malkin,7400,C,0,PIT,SJ-A.Dell,15.48,19.4,11.6,1.67,2.1,2,1,13,0,2.0,50,0,3,3.7,2.9,-165,6.5,65,0,15.2,1.1,66,33,27,92,19.1,60,60,40,10,0.43,0.6,1.02,18.69,3.28,3.11,4.0,0.78,0.14,0.34,3.46,14.82,12.55,11.36,0.16,0.28,3.95,0.96,1.32,0.73,0.0,0.0,0.26,0.32,0.69,0.0,2.94,0.45,0.91,1.36,19.51,4.18,3.18,4.09,0.78,0.14,0.18,3.36,16.91,13.36,0.27,0.27,4.06,1.27,18.0,3.0,2.67,0.33,3.67,1.0,19.43,4.45,0.0,0.0,55.0,49.4,48.18,46.29,43.28,3.32,0.21,2.97,0.16,57.73,51.11,47.36,46.22,3.55,0.26,2.78,0.24,48.67,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,malkin,e,malkin7400ce,87013-8595,C,e,Evgeni Malkin,malkin,15.20000047,52.0,7400,PIT@SJ,PIT,SJ,,,,,,C/UTIL,malkin7400ce
nelson7200cb,90.08,Brock Nelson,7200,C,0,NYI,OTT-K.Mandolese,18.07,22.6,13.5,4.67,2.5,2,1,9,0,0.4,43,0,3,3.6,2.6,-202,6.0,89,-170,14.4,1.4,73,39,25,97,15.8,83,41,16,12,0.45,0.46,0.91,18.46,2.96,2.79,3.57,0.78,0.16,0.57,3.36,13.35,14.49,9.6,0.11,0.09,2.84,0.8,1.03,0.77,0.0,0.0,0.33,0.36,0.31,0.06,3.15,0.46,0.46,0.92,18.44,2.99,3.15,4.15,0.76,0.15,0.54,3.69,16.69,15.85,0.0,0.08,2.56,0.46,12.5,3.75,3.25,0.5,4.75,1.25,18.88,2.74,0.0,0.25,47.16,44.03,44.21,48.9,45.84,2.65,0.21,3.33,0.21,50.62,45.64,50.46,44.91,2.38,0.1,3.82,0.26,39.33,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,nelson,b,nelson7200cb,87013-21897,C,b,Brock Nelson,nelson,14.49285671,56.0,7200,OTT@NYI,NYI,OTT,,,,,,C/UTIL,nelson7200cb
hischier7500cn,89.38,Nico Hischier,7500,C,0,NJD,CLB-E.Merzlikins,16.68,20.9,12.5,2.67,2.2,1,1,12,0,-0.1,50,0,3,3.9,2.7,-210,6.5,86,-210,14.8,1.1,71,29,18,85,13.4,77,11,11,9,0.37,0.62,0.99,19.66,3.02,2.81,3.8,0.74,0.13,0.67,3.47,13.87,12.61,10.47,0.09,0.15,3.23,0.67,1.03,0.65,0.01,0.03,0.27,0.44,0.08,0.01,2.68,0.2,0.5,0.7,18.67,2.25,3.0,4.1,0.73,0.07,1.0,4.0,15.4,14.8,0.0,0.2,2.19,0.6,13.33,3.67,2.0,1.67,3.33,1.0,20.2,3.32,0.0,0.0,48.28,48.7,50.32,44.94,43.13,2.99,0.19,3.01,0.24,46.2,50.25,55.0,44.08,2.3,0.26,2.42,0.21,54.0,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLB,hischier,n,hischier7500cn,87013-80991,C,n,Nico Hischier,hischier,15.32156911,51.0,7500,NJ@CBJ,NJ,CBJ,,,,,,C/UTIL,hischier7500cn
horvat8600cb,87.18,Bo Horvat,8600,C,0,NYI,OTT-K.Mandolese,16.66,20.9,12.5,0.39,1.9,1,1,6,0,-1.8,66,0,3,3.6,2.6,-202,6.0,89,-170,17.3,2.3,63,33,27,84,16.1,70,30,30,10,0.65,0.42,1.08,19.95,3.25,2.86,3.77,0.76,0.23,0.63,3.49,12.97,13.12,9.63,0.24,0.13,3.56,1.0,1.35,0.74,0.05,0.01,0.36,0.28,0.36,0.08,3.21,0.45,0.64,1.09,20.69,3.16,2.82,3.6,0.78,0.16,0.64,3.45,14.1,13.8,0.18,0.27,3.75,0.7,15.0,4.0,3.67,0.33,4.67,1.0,19.73,2.75,0.33,0.33,47.16,44.03,44.21,48.9,45.84,2.65,0.21,3.33,0.21,50.62,45.64,50.46,44.91,2.38,0.1,3.82,0.26,39.33,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,horvat,b,horvat8600cb,87013-42478,C,b,Bo Horvat,horvat,17.42641463,53.0,8600,OTT@NYI,NYI,OTT,,,,,,C/UTIL,horvat8600cb
suzuki6000cn,84.62,Nick Suzuki,6000,C,0,MTL,CHI-J.Stauber,15.35,19.2,11.5,4.42,2.6,1,1,13,0,0.4,93,0,2,3.3,2.9,-140,6.0,79,-144,12.9,0.3,67,27,32,86,10.6,70,30,30,10,0.33,0.53,0.86,21.31,2.42,2.09,2.88,0.73,0.16,0.7,2.79,13.29,14.68,9.99,0.1,0.15,3.54,0.58,0.88,0.66,0.01,0.01,0.22,0.37,0.32,0.0,2.74,0.18,0.45,0.64,22.71,1.69,2.45,3.55,0.69,0.07,1.0,3.45,12.82,18.82,0.0,0.18,4.05,0.45,14.33,4.67,3.67,1.0,4.67,1.33,22.19,4.2,0.0,0.67,44.2,41.25,49.92,46.98,39.42,3.12,0.16,2.77,0.24,39.45,51.0,53.0,42.0,3.09,0.18,2.55,0.14,50.33,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,suzuki,n,suzuki6000cn,87013-82006,C,n,Nick Suzuki,suzuki,11.97924574,53.0,6000,CHI@MON,MON,CHI,,,,,,C/UTIL,suzuki6000cn
stamkos8700cs,83.7,Steven Stamkos,8700,C,0,TB,COL-A.Georgiev,16.44,20.6,12.3,-0.03,1.9,2,1,17,0,-2.3,58,1,3,3.2,2.9,-125,6.0,44,0,18.2,1.5,70,32,24,101,15.1,63,9,27,11,0.5,0.67,1.17,18.94,3.7,3.26,4.3,0.76,0.15,0.67,3.93,13.27,13.13,9.98,0.17,0.28,4.0,1.33,1.76,0.76,0.0,0.0,0.34,0.39,0.69,0.03,3.27,0.5,0.33,0.83,20.35,2.45,3.58,4.45,0.8,0.14,0.42,4.0,17.18,17.0,0.0,0.08,3.85,1.0,18.25,3.5,3.0,0.5,4.25,1.0,21.1,3.5,0.0,0.0,50.23,44.56,44.63,43.92,50.72,3.38,0.27,2.89,0.22,47.73,50.0,47.18,50.5,3.09,0.18,2.5,0.16,52.0,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COL,stamkos,s,stamkos8700cs,87013-8655,C,s,Steven Stamkos,stamkos,17.41153893,52.0,8700,TB@COL,TB,COL,,,,,,C/UTIL,stamkos8700cs
barzal6600cm,82.41,Mathew Barzal,6600,C,0,NYI,OTT-K.Mandolese,15.03,18.8,11.2,2.87,2.3,1,1,9,0,-1.8,66,0,3,3.6,2.6,-202,6.0,89,-170,12.0,0.2,61,25,30,97,10.5,50,16,50,12,0.2,0.66,0.86,18.22,2.83,2.17,2.87,0.75,0.09,0.47,2.63,14.81,13.64,10.85,0.03,0.28,3.11,0.52,0.66,0.79,0.0,0.0,0.17,0.38,0.29,0.0,2.7,0.23,0.31,0.54,18.96,1.71,2.38,3.08,0.77,0.1,0.69,3.08,17.77,13.62,0.0,0.08,2.8,0.38,17.25,2.0,1.75,0.25,2.5,0.0,19.92,2.9,0.0,0.25,47.16,44.03,44.21,48.9,45.84,2.65,0.21,3.33,0.21,50.62,45.64,50.46,44.91,2.38,0.1,3.82,0.26,39.33,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OTT,barzal,m,barzal6600cm,87013-66685,C,m,Mathew Barzal,barzal,12.90545432,55.0,6600,OTT@NYI,NYI,OTT,,,,,,C/UTIL,barzal6600cm
scheifele7400cm,82.05,Mark Scheifele,7400,C,0,WPG,SEA-P.Grubauer,14.65,18.4,10.9,0.84,2.0,2,1,12,0,-3.2,35,0,3,3.3,2.9,-135,6.0,80,0,15.3,1.9,61,31,30,86,13.3,77,22,22,9,0.59,0.43,1.02,20.53,2.98,2.51,3.55,0.71,0.24,0.52,3.02,15.3,15.43,11.47,0.15,0.12,3.38,0.7,1.04,0.67,0.0,0.0,0.44,0.31,0.62,0.02,2.59,0.6,0.4,1.0,20.22,2.97,2.6,3.78,0.69,0.23,0.3,2.9,14.3,13.5,0.0,0.2,4.37,0.6,13.5,5.0,4.0,1.0,5.0,1.5,21.09,4.86,0.0,0.0,44.84,44.35,42.99,46.14,46.08,3.06,0.23,3.04,0.28,48.0,42.67,42.6,51.58,3.9,0.18,2.42,0.24,54.5,2/14/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,scheifele,m,scheifele7400cm,87013-15321,C,m,Mark Scheifele,scheifele,14.78301887,53.0,7400,SEA@WPG,WPG,SEA,,,,,,C/UTIL,scheifele7400cm
