RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
draisaitl9900cl,96.15,Leon Draisaitl,9900,C,0,EDM,DET-VHusso,22.81,28.5,17.1,3.87,2.3,2,1,10,0,3.4,35,0,3,4.1,2.6,-247,6.5,84,-245,20.4,1.2,72,32,22,105,15.5,66,22,33,9,0.58,0.95,1.53,21.83,4.2,3.14,4.32,0.73,0.18,0.5,3.64,15.1,16.03,11.55,0.3,0.3,4.05,1.25,1.74,0.72,0.01,0.01,0.26,0.64,0.43,0.0,2.75,0.44,0.78,1.22,21.35,3.43,2.11,2.78,0.76,0.21,0.22,2.33,16.33,15.33,0.33,0.11,3.52,1.0,15.0,3.0,3.0,0.0,4.0,2.0,21.75,4.75,0.25,0.25,45.78,46.85,47.16,44.63,40.06,3.28,0.3,2.86,0.25,47.44,46.45,42.22,40.09,3.0,0.3,2.55,0.14,30.5,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,draisaitl,l,draisaitl9900cl,87046-58331,C,l,Leon Draisaitl,draisaitl,20.71153846153846,52.0,9900,DET@EDM,EDM,DET,,,,,,C/UTIL,draisaitl9900cl
matthews9900ca,95.63,Auston Matthews,9900,C,0,TOR,CHI-PMrazek,24.02,30.0,18.0,5.08,2.4,1,1,23,0,0.0,43,0,4,4.8,2.0,-605,6.5,71,-375,22.0,2.8,67,35,20,98,24.1,40,30,10,10,0.68,0.64,1.32,20.51,3.86,4.54,6.46,0.7,0.15,1.17,5.7,17.75,13.68,13.4,0.18,0.14,3.76,1.2,1.73,0.69,0.0,0.0,0.5,0.5,0.29,0.04,3.69,0.8,0.2,1.0,20.17,2.97,4.8,6.8,0.71,0.17,3.2,8.0,17.2,18.8,0.2,0.0,3.71,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.71,47.19,49.87,42.79,39.37,3.1,0.24,2.8,0.25,49.6,51.45,45.4,41.91,2.7,0.3,2.64,0.17,47.25,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,matthews,a,matthews9900ca,87046-70899,C,a,Auston Matthews,matthews,20.293616761552528,47.0,9900,CHI@TOR,TOR,CHI,,,,,,C/UTIL,matthews9900ca
zibanejad8400cm,93.56,Mika Zibanejad,8400,C,0,NYR,VAN-CDelia,16.81,21.0,12.6,0.95,2.0,1,1,15,0,3.7,35,0,4,3.9,2.8,-202,6.5,91,0,16.6,0.7,71,26,24,103,18.5,66,22,33,9,0.45,0.59,1.04,20.26,3.08,3.12,4.55,0.69,0.14,0.51,3.64,13.28,13.18,10.13,0.25,0.15,3.28,1.08,1.58,0.68,0.02,0.02,0.18,0.42,0.15,0.0,3.02,0.8,0.2,1.0,19.69,3.05,3.1,4.8,0.65,0.26,0.7,3.8,10.8,12.0,0.4,0.0,2.9,1.0,10.0,4.75,3.25,1.5,5.75,2.5,18.44,2.34,0.75,0.0,42.58,45.1,45.9,45.5,43.43,2.79,0.25,2.93,0.3,45.6,40.09,45.6,43.91,2.5,0.24,3.09,0.35,47.0,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,zibanejad,m,zibanejad8400cm,87046-14565,C,m,Mika Zibanejad,zibanejad,17.0339620338296,53.0,8400,NYR@VAN,NYR,VAN,,,,,,C/UTIL,zibanejad8400cm
mcdavid10500cc,93.31,Connor McDavid,10500,C,0,EDM,DET-VHusso,26.58,33.2,19.9,6.41,2.5,1,1,21,0,-2.0,93,0,3,4.1,2.6,-247,6.5,84,-245,24.7,4.8,81,44,15,105,24.5,88,44,11,9,0.69,1.11,1.8,22.37,4.83,4.1,5.22,0.79,0.17,0.45,4.55,18.69,15.37,14.26,0.21,0.5,3.9,1.07,1.39,0.77,0.01,0.04,0.47,0.58,0.46,0.05,3.82,0.56,1.0,1.56,23.16,4.04,5.0,5.56,0.9,0.11,0.78,5.78,18.89,15.33,0.0,0.78,3.4,1.0,16.25,5.5,4.75,0.75,4.75,1.5,23.32,4.72,0.0,0.5,45.78,46.85,47.16,44.63,40.06,3.28,0.3,2.86,0.25,47.44,46.45,42.22,40.09,3.0,0.3,2.55,0.14,30.5,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,mcdavid,c,mcdavid10500cc,87046-64102,C,c,Connor McDavid,mcdavid,25.71111156322338,54.0,10500,DET@EDM,EDM,DET,,,,,,C/UTIL,mcdavid10500cc
thompson9800ct,91.4,Tage Thompson,9800,C,0,BUF,ANA-JGibson,20.85,26.1,15.6,2.12,2.1,1,1,13,0,-0.1,58,0,2,4.0,2.7,-217,6.5,90,0,18.9,2.8,75,39,24,86,14.8,63,18,36,11,0.67,0.53,1.2,18.55,3.88,3.71,5.01,0.74,0.18,0.34,4.06,14.27,12.4,10.84,0.23,0.13,3.18,1.0,1.33,0.75,0.03,0.0,0.4,0.4,0.55,0.02,3.16,0.36,0.64,1.0,17.75,3.38,2.45,3.82,0.64,0.15,0.82,3.27,15.27,12.91,0.09,0.09,2.9,0.45,10.33,2.67,1.33,1.33,3.33,1.33,16.78,3.45,0.33,0.0,51.27,44.51,51.39,42.14,42.23,3.16,0.25,3.2,0.26,48.18,57.18,44.64,43.45,2.73,0.13,3.18,0.14,37.0,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,thompson,t,thompson9800ct,87046-70924,C,t,Tage Thompson,thompson,20.45769324669471,52.0,9800,BUF@ANH,BUF,ANH,,,,,,C/UTIL,thompson9800ct
stamkos8600cs,90.14,Steven Stamkos,8600,C,0,TB,ARI-CIngram,18.95,23.7,14.2,2.68,2.2,2,1,10,0,-1.1,50,2,1,4.1,2.6,-250,6.5,75,-245,18.1,1.5,70,32,24,101,14.9,66,8,25,12,0.5,0.67,1.17,18.99,3.7,3.25,4.3,0.76,0.15,0.66,3.92,13.27,13.21,9.99,0.16,0.28,4.01,1.33,1.75,0.76,0.0,0.0,0.34,0.39,0.68,0.03,2.86,0.5,0.33,0.83,20.81,2.39,3.5,4.18,0.84,0.14,0.42,3.92,15.64,18.0,0.0,0.0,4.16,1.09,17.2,3.4,3.0,0.4,4.2,1.0,21.62,3.97,0.0,0.0,49.58,44.71,50.01,43.96,38.5,3.39,0.27,3.41,0.24,47.91,49.92,48.27,42.42,3.27,0.14,3.58,0.16,41.75,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,stamkos,s,stamkos8600cs,87046-8655,C,s,Steven Stamkos,stamkos,17.324528532208138,53.0,8600,TB@ARI,TB,ARI,,,,,,C/UTIL,stamkos8600cs
trocheck6500cv,88.64,Vincent Trocheck,6500,C,0,NYR,VAN-CDelia,10.82,13.6,8.0,-1.14,1.7,2,2,9,0,2.2,50,0,4,3.9,2.8,-202,6.5,91,0,11.4,0.6,59,27,40,101,12.5,55,33,44,9,0.28,0.38,0.67,18.95,2.12,2.64,3.94,0.67,0.11,0.52,3.16,13.85,11.78,10.32,0.1,0.11,3.3,0.85,1.19,0.71,0.01,0.0,0.18,0.27,0.68,0.02,2.29,0.2,0.6,0.8,18.34,2.62,2.0,3.4,0.59,0.1,0.6,2.6,16.7,12.6,0.0,0.1,2.53,0.6,12.75,2.75,2.0,0.75,3.5,1.5,17.29,1.58,0.0,0.25,42.58,45.1,45.9,45.5,43.43,2.79,0.25,2.93,0.3,45.6,40.09,45.6,43.91,2.5,0.24,3.09,0.35,47.0,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,trocheck,v,trocheck6500cv,87046-15283,C,v,Vincent Trocheck,trocheck,12.58490566037736,53.0,6500,NYR@VAN,NYR,VAN,,,,,,C/UTIL,trocheck6500cv
cozens6700cd,86.64,Dylan Cozens,6700,C,0,BUF,ANA-JGibson,13.13,16.5,9.8,0.76,2.0,2,1,6,0,1.7,28,0,2,4.0,2.7,-217,6.5,90,0,11.0,1.1,62,32,36,86,9.4,45,9,45,11,0.23,0.49,0.72,16.32,2.65,2.38,3.14,0.76,0.1,0.29,2.67,11.19,10.51,8.37,0.05,0.19,2.56,0.42,0.6,0.7,0.02,0.02,0.16,0.28,0.72,0.02,2.41,0.4,0.1,0.5,15.17,1.98,1.9,3.2,0.59,0.21,0.3,2.2,10.0,11.6,0.0,0.1,2.75,0.2,10.33,2.33,2.0,0.33,3.33,0.67,15.93,3.95,0.0,0.33,51.27,44.51,51.39,42.14,42.23,3.16,0.25,3.2,0.26,48.18,57.18,44.64,43.45,2.73,0.13,3.18,0.14,37.0,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,cozens,d,cozens6700cd,87046-113279,C,d,Dylan Cozens,cozens,13.378431133195466,51.0,6700,BUF@ANH,BUF,ANH,,,,,,C/UTIL,cozens6700cd
tavares8000cj,86.29,John Tavares,8000,C,0,TOR,CHI-PMrazek,18.18,22.7,13.6,3.14,2.3,2,1,10,0,-2.9,77,0,4,4.8,2.0,-605,6.5,71,-375,15.1,0.3,70,29,27,99,16.1,60,40,40,10,0.38,0.57,0.95,17.76,3.21,3.08,4.45,0.69,0.12,0.54,3.62,13.11,12.08,9.83,0.16,0.25,3.52,1.04,1.45,0.72,0.0,0.0,0.22,0.32,0.44,0.01,2.68,0.3,0.6,0.9,18.16,2.97,3.9,5.1,0.76,0.08,0.8,4.7,14.9,14.3,0.2,0.2,3.13,1.2,16.0,2.0,2.0,0.0,3.0,0.33,19.89,2.7,0.33,0.0,49.71,47.19,49.87,42.79,39.37,3.1,0.24,2.8,0.25,49.6,51.45,45.4,41.91,2.7,0.3,2.64,0.17,47.25,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,tavares,j,tavares8000cj,87046-8494,C,j,John Tavares,tavares,16.18703658492477,54.0,8000,CHI@TOR,TOR,CHI,,,,,,C/UTIL,tavares8000cj
point8500cb,86.18,Brayden Point,8500,C,0,TB,ARI-CIngram,16.44,20.6,12.3,0.38,1.9,1,1,10,0,-2.1,22,2,1,4.1,2.6,-250,6.5,75,-245,15.0,0.3,62,29,28,101,18.1,75,50,25,12,0.47,0.49,0.96,19.41,2.97,2.72,3.67,0.74,0.17,0.47,3.19,14.09,13.55,10.55,0.2,0.18,3.81,0.86,1.09,0.79,0.0,0.0,0.27,0.31,0.26,0.0,3.13,0.58,0.67,1.25,19.29,3.89,2.92,4.18,0.7,0.2,0.58,3.5,14.09,16.82,0.17,0.08,3.73,0.82,16.6,4.0,3.2,0.8,4.8,1.2,19.46,3.62,0.4,0.0,49.58,44.71,50.01,43.96,38.5,3.39,0.27,3.41,0.24,47.91,49.92,48.27,42.42,3.27,0.14,3.58,0.16,41.75,2/15/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,point,b,point8500cb,87046-58926,C,b,Brayden Point,point,17.175471467791862,53.0,8500,TB@ARI,TB,ARI,,,,,,C/UTIL,point8500cb
