RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
thompson10400ct,91.55,Tage Thompson,10400,C,0,BUF,PHI-SErsson,21.58,27.0,16.2,1.62,2.1,1,1,12,0,-1.8,52,1,2,4.0,2.7,-232,6.5,90,0,19.2,4.5,76,44,21,85,23.0,70,40,30,10,0.7,0.54,1.25,18.6,4.03,3.83,5.11,0.75,0.18,0.3,4.12,13.87,12.35,10.65,0.27,0.15,3.16,1.09,1.46,0.75,0.04,0.0,0.4,0.4,0.52,0.02,3.39,0.91,0.55,1.45,20.73,4.2,3.73,4.9,0.76,0.24,0.27,4.0,15.5,13.9,0.45,0.27,3.62,1.0,16.0,3.2,3.2,0.0,4.2,0.8,21.1,3.35,0.4,0.0,45.6,42.82,48.86,42.71,42.23,3.22,0.26,2.81,0.27,44.1,47.46,44.5,45.85,3.4,0.29,2.58,0.26,45.8,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,thompson,t,thompson10400ct,85767-70924,C,t,Tage Thompson,thompson,23.27567600559544,37.0,10400,PHI@BUF,BUF,PHI,,,,,,C/UTIL,thompson10400ct
cozens7100cd,88.88,Dylan Cozens,7100,C,0,BUF,PHI-SErsson,13.78,17.3,10.3,0.59,1.9,2,1,4,0,2.6,52,1,2,4.0,2.7,-232,6.5,90,0,10.9,2.0,65,34,34,85,13.3,70,30,30,10,0.21,0.49,0.71,16.4,2.6,2.35,3.02,0.78,0.09,0.31,2.66,11.35,10.95,8.43,0.05,0.18,2.45,0.39,0.54,0.73,0.01,0.02,0.15,0.29,0.75,0.01,2.31,0.27,0.64,0.91,16.84,3.24,2.18,2.73,0.8,0.12,0.18,2.36,9.1,11.2,0.09,0.36,3.46,0.64,11.0,2.4,2.2,0.2,2.8,0.2,16.19,2.89,0.2,0.4,45.6,42.82,48.86,42.71,42.23,3.22,0.26,2.81,0.27,44.1,47.46,44.5,45.85,3.4,0.29,2.58,0.26,45.8,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,cozens,d,cozens7100cd,85767-113279,C,d,Dylan Cozens,cozens,14.359459129539696,37.0,7100,PHI@BUF,BUF,PHI,,,,,,C/UTIL,cozens7100cd
stutzle8000ct,87.96,Tim Stutzle,8000,C,0,OTT,NAS-JSaros,14.87,18.6,11.1,-0.17,1.9,1,1,17,0,0.4,25,0,2,3.2,3.0,-120,6.0,47,106,14.3,3.5,66,42,26,90,21.0,58,41,16,12,0.41,0.55,0.96,19.53,2.95,2.41,3.41,0.71,0.17,0.66,3.07,14.95,13.45,10.94,0.13,0.31,3.45,0.67,0.96,0.7,0.01,0.0,0.27,0.25,0.58,0.06,3.31,0.89,0.44,1.33,20.33,3.92,3.11,4.75,0.65,0.29,1.0,4.11,15.0,14.5,0.22,0.22,3.66,0.63,16.8,4.67,3.67,1.0,5.2,1.2,22.01,3.22,0.33,0.17,49.61,46.22,47.03,44.97,44.08,3.16,0.24,3.46,0.25,45.09,52.09,43.09,47.27,3.82,0.33,3.1,0.23,47.25,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,stutzle,t,stutzle8000ct,85767-142017,C,t,Tim Stuetzle,stutzle,16.608571079799106,35.0,8000,NSH@OTT,OTT,NSH,,,,,,C/UTIL,stutzle8000ct
mcdavid10600cc,87.27,Connor McDavid,10600,C,0,EDM,LA-PCopley,22.23,27.8,16.7,1.86,2.1,1,1,23,0,-3.9,60,0,2,3.3,3.3,-110,6.5,73,-110,23.5,3.7,79,40,18,105,24.0,92,23,7,13,0.65,1.07,1.72,22.38,4.61,3.91,5.06,0.77,0.17,0.41,4.33,18.85,15.52,14.27,0.2,0.46,3.94,1.01,1.31,0.77,0.01,0.03,0.44,0.58,0.44,0.05,3.33,0.64,1.07,1.71,23.09,4.44,3.71,5.18,0.72,0.17,1.07,4.79,17.55,13.91,0.36,0.64,4.3,1.33,17.5,4.67,3.5,1.17,4.5,1.25,22.2,3.98,0.17,0.67,43.84,47.56,42.76,44.77,48.62,3.23,0.29,3.01,0.27,46.08,41.62,42.75,45.85,3.64,0.48,3.58,0.33,45.0,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,mcdavid,c,mcdavid10600cc,85767-64102,C,c,Connor McDavid,mcdavid,25.72438905297256,41.0,10600,EDM@LA,EDM,LA,,,,,,C/UTIL,mcdavid10600cc
draisaitl10200cl,86.83,Leon Draisaitl,10200,C,0,EDM,LA-PCopley,20.18,25.2,15.1,0.63,2.0,2,1,16,0,-2.5,5,0,2,3.3,3.3,-110,6.5,73,-110,20.3,1.2,71,31,23,105,20.0,61,15,23,13,0.57,0.92,1.5,22.02,4.09,3.34,4.6,0.73,0.17,0.5,3.84,15.4,15.87,11.63,0.28,0.32,4.09,1.24,1.77,0.7,0.01,0.01,0.29,0.59,0.46,0.01,2.85,0.33,1.17,1.5,22.68,3.97,3.42,5.0,0.68,0.1,0.75,4.17,15.5,14.5,0.25,0.67,4.7,1.36,14.33,4.75,3.5,1.25,5.0,2.33,23.04,5.22,0.25,1.0,43.84,47.56,42.76,44.77,48.62,3.23,0.29,3.01,0.27,46.08,41.62,42.75,45.85,3.64,0.48,3.58,0.33,45.0,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LA,draisaitl,l,draisaitl10200cl,85767-58331,C,l,Leon Draisaitl,draisaitl,21.78205128205128,39.0,10200,EDM@LA,EDM,LA,,,,,,C/UTIL,draisaitl10200cl
beniers6500cm,86.39,Matty Beniers,6500,C,0,SEA,MTL-JAllen,12.53,15.8,9.3,0.57,1.9,1,2,4,0,2.8,20,1,2,3.9,2.8,-195,6.5,85,-166,12.2,1.6,63,28,36,46,11.4,50,25,50,12,0.35,0.47,0.82,17.06,2.88,1.86,2.58,0.72,0.19,0.65,2.51,11.86,11.95,9.0,0.12,0.08,2.61,0.57,0.68,0.83,0.0,0.0,0.22,0.39,0.04,0.0,2.27,0.31,0.38,0.69,16.86,2.46,1.69,2.69,0.63,0.18,0.77,2.46,13.54,12.69,0.08,0.0,2.03,0.31,13.67,2.33,1.5,0.83,2.17,0.17,16.5,1.87,0.17,0.0,46.62,44.94,46.08,42.36,40.92,2.9,0.16,3.52,0.24,46.69,46.15,44.77,37.54,2.46,0.13,3.67,0.43,36.83,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,beniers,m,beniers6500cm,85767-169115,C,m,Matty Beniers,beniers,12.078947368421051,38.0,6500,SEA@MON,SEA,MON,,,,,,C/UTIL,beniers6500cm
kopitar6600ca,86.25,Anze Kopitar,6600,C,0,LA,EDM-SSkinner,13.11,16.5,9.8,0.95,2.0,1,1,5,0,1.4,72,0,2,3.3,3.3,-110,6.5,27,-110,12.7,0.9,61,33,37,96,11.0,50,21,50,14,0.23,0.54,0.77,20.46,2.26,2.4,3.18,0.75,0.1,1.03,3.43,14.82,13.05,10.96,0.04,0.17,3.18,0.54,0.7,0.77,0.0,0.01,0.19,0.36,0.13,0.01,2.7,0.29,0.29,0.57,21.11,1.62,2.14,3.38,0.63,0.13,1.07,3.21,14.31,13.31,0.0,0.07,3.43,0.54,14.8,2.5,1.67,0.83,2.8,0.0,20.46,2.36,0.0,0.0,45.67,48.62,44.77,42.76,47.56,3.18,0.19,3.4,0.23,45.85,42.75,41.62,46.08,3.42,0.2,3.45,0.21,44.25,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,kopitar,a,kopitar6600ca,85767-8394,C,a,Anze Kopitar,kopitar,12.165115711300873,43.0,6600,EDM@LA,LA,EDM,,,,,,C/UTIL,kopitar6600ca
danault6300cp,85.05,Phillip Danault,6300,C,0,LA,EDM-SSkinner,11.52,14.5,8.5,-0.03,1.8,2,2,5,0,0.5,16,0,2,3.3,3.3,-110,6.5,27,-110,12.2,2.7,71,41,28,96,14.3,78,42,21,14,0.39,0.33,0.72,18.42,2.34,2.15,3.0,0.72,0.18,0.85,3.0,14.34,12.31,11.0,0.07,0.08,2.39,0.32,0.44,0.73,0.0,0.04,0.31,0.21,0.45,0.01,2.21,0.43,0.43,0.86,18.29,2.82,2.29,3.0,0.76,0.19,1.21,3.5,12.92,10.77,0.14,0.07,2.2,0.23,12.4,2.17,1.5,0.67,2.0,0.2,18.75,1.96,0.17,0.0,45.67,48.62,44.77,42.76,47.56,3.18,0.19,3.4,0.23,45.85,42.75,41.62,46.08,3.42,0.2,3.45,0.21,44.25,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,danault,p,danault6300cp,85767-15277,C,p,Phillip Danault,danault,11.82790711868641,43.0,6300,EDM@LA,LA,EDM,,,,,,C/UTIL,danault6300cp
mittelstadt4800cc,83.68,Casey Mittelstadt,4800,C,0,BUF,PHI-SErsson,8.2,10.4,6.0,-0.27,1.7,3,2,3,0,0.0,7,1,2,4.0,2.7,-232,6.5,90,0,7.8,0.7,54,24,37,85,9.3,50,30,50,10,0.16,0.4,0.56,15.81,2.12,1.73,2.23,0.78,0.1,0.19,1.92,10.04,10.45,7.76,0.07,0.18,2.47,0.39,0.54,0.74,0.01,0.0,0.08,0.22,0.16,0.0,1.71,0.18,0.73,0.91,15.34,3.56,1.45,1.9,0.77,0.12,0.27,1.73,12.2,9.6,0.09,0.09,2.45,0.18,10.8,1.6,1.4,0.2,1.4,0.2,14.38,1.78,0.2,0.0,45.6,42.82,48.86,42.71,42.23,3.22,0.26,2.81,0.27,44.1,47.46,44.5,45.85,3.4,0.29,2.58,0.26,45.8,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,mittelstadt,c,mittelstadt4800cc,85767-82850,C,c,Casey Mittelstadt,mittelstadt,8.483783618823901,37.0,4800,PHI@BUF,BUF,PHI,,,,,,C/UTIL,mittelstadt4800cc
gourde4900cy,81.78,Yanni Gourde,4900,C,0,SEA,MTL-JAllen,9.78,12.4,7.2,1.1,2.0,3,0,1,0,0.0,32,1,2,3.9,2.8,-195,6.5,85,-166,9.3,0.5,60,23,38,86,10.7,66,16,33,12,0.21,0.4,0.6,17.61,2.04,1.67,2.43,0.69,0.12,0.51,2.19,13.33,11.96,9.89,0.02,0.02,1.24,0.13,0.25,0.52,0.02,0.02,0.16,0.35,0.86,0.02,1.66,0.15,0.54,0.69,16.34,2.53,1.62,2.23,0.72,0.1,0.77,2.38,13.77,13.54,0.0,0.0,0.14,0.0,14.17,2.83,1.83,1.0,2.17,0.0,16.71,0.19,0.0,0.0,46.62,44.94,46.08,42.36,40.92,2.9,0.16,3.52,0.24,46.69,46.15,44.77,37.54,2.46,0.13,3.67,0.43,36.83,1/9/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MTL,gourde,y,gourde4900cy,85767-53606,C,y,Yanni Gourde,gourde,9.37297264305321,37.0,4900,SEA@MON,SEA,MON,,,,,,C/UTIL,gourde4900cy
