RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master.1,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
miller7200cj,90.46,J.T. Miller,7200,C,0,VAN,ANA-JGibson,17.18,21.5,12.9,3.78,2.4,2,1,11,0,0.9,69,2,1,3.8,3.4,-130,7.0,59,-125,16.0,1.9,75,36,19,87,18.4,75,16,41,12,0.38,0.67,1.05,20.88,3.02,2.75,3.94,0.7,0.14,0.66,3.4,13.63,12.81,10.07,0.13,0.26,3.76,0.93,1.36,0.68,0.05,0.03,0.21,0.37,0.72,0.02,2.89,0.55,0.64,1.18,21.62,3.27,3.09,4.55,0.68,0.18,0.55,3.64,12.18,13.0,0.0,0.09,4.41,1.18,12.29,3.71,3.0,0.71,4.71,1.43,21.17,4.09,0.0,0.14,48.07,41.94,53.72,45.77,41.35,3.23,0.26,3.17,0.28,39.36,57.45,46.91,37.64,3.17,0.18,2.58,0.32,40.0,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,miller,j,miller7200cj,88189-15360,C,j,J.T. Miller,miller,14.99850782707556,67.0,7200,VAN@ANH,VAN,ANH,,,,,,C/UTIL,miller7200cj,6300
pettersson9800ce,90.11,Elias Pettersson,9800,C,0,VAN,ANA-JGibson,20.64,25.8,15.5,1.91,2.1,1,1,15,1,-0.4,11,2,1,3.8,3.4,-130,7.0,59,-125,19.8,3.5,70,38,26,86,19.4,75,25,33,12,0.55,0.76,1.3,20.31,3.84,3.29,4.76,0.69,0.17,0.99,4.28,12.57,12.78,9.56,0.08,0.26,3.62,0.8,1.38,0.58,0.05,0.05,0.42,0.45,0.16,0.05,3.34,0.42,0.83,1.25,22.34,3.36,3.25,5.0,0.65,0.13,1.08,4.33,13.42,12.92,0.08,0.08,4.24,0.67,12.71,3.29,2.71,0.57,4.43,1.14,21.8,4.03,0.14,0.14,48.07,41.94,53.72,45.77,41.35,3.23,0.26,3.17,0.28,39.36,57.45,46.91,37.64,3.17,0.18,2.58,0.32,40.0,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANA,pettersson,e,pettersson9800ce,88189-84409,C,e,Elias Pettersson,pettersson,19.85303104285038,66.0,9800,VAN@ANH,VAN,ANH,,,,,,C/UTIL,pettersson9800ce,8000
hughes9900cj,89.29,Jack Hughes,9900,C,0,NJD,TB-AVasilevskiy,18.13,22.7,13.6,-0.81,1.8,1,1,15,1,-1.0,24,2,1,3.3,3.4,-100,6.5,47,120,20.0,2.4,62,31,17,89,15.4,53,46,15,13,0.6,0.63,1.23,20.08,3.67,4.27,5.33,0.8,0.14,0.33,4.6,16.62,12.72,12.1,0.11,0.25,3.21,0.97,1.2,0.81,0.0,0.0,0.49,0.38,0.05,0.03,3.39,0.14,0.71,0.86,19.95,2.59,3.93,5.15,0.76,0.04,0.64,4.57,16.25,14.58,0.0,0.21,3.13,0.85,15.71,4.63,3.75,0.88,5.0,0.88,20.31,3.02,0.0,0.13,47.71,50.0,43.84,44.78,45.7,2.79,0.19,3.2,0.21,55.38,42.53,44.46,47.6,2.31,0.23,3.07,0.26,49.0,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,hughes,j,hughes9900cj,88189-111493,C,j,Jack Hughes,hughes,20.03692345252404,65.0,9900,NJ@TB,NJ,TB,,,,,,C/UTIL,hughes9900cj,8400
hischier7500cn,88.81,Nico Hischier,7500,C,0,NJD,TB-AVasilevskiy,14.16,17.8,10.6,0.15,1.9,2,1,13,1,0.0,69,2,1,3.3,3.4,-100,6.5,47,120,15.4,1.3,75,31,17,89,17.1,76,23,53,13,0.4,0.58,0.98,19.64,2.99,3.03,4.01,0.76,0.13,0.76,3.79,14.29,12.46,10.88,0.07,0.13,3.08,0.66,0.94,0.71,0.03,0.02,0.29,0.43,0.07,0.03,3.03,0.43,0.5,0.93,19.5,2.86,3.57,4.62,0.77,0.12,1.14,4.71,14.69,12.08,0.0,0.0,2.84,0.62,14.13,4.63,3.38,1.25,4.5,0.88,19.54,2.85,0.0,0.0,47.71,50.0,43.84,44.78,45.7,2.79,0.19,3.2,0.21,55.38,42.53,44.46,47.6,2.31,0.23,3.07,0.26,49.0,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,hischier,n,hischier7500cn,88189-80991,C,n,Nico Hischier,hischier,15.980881634880514,68.0,7500,NJ@TB,NJ,TB,,,,,,C/UTIL,hischier7500cn,6600
scheifele6900cm,86.81,Mark Scheifele,6900,C,0,WPG,STL-JHofer,13.36,16.8,9.9,0.58,1.9,1,1,8,0,2.5,63,2,1,3.6,3.1,-140,6.5,83,-125,14.6,1.3,60,29,31,87,12.9,57,42,28,14,0.54,0.42,0.96,20.49,2.81,2.54,3.7,0.69,0.21,0.47,3.01,15.52,14.89,11.53,0.14,0.14,3.5,0.73,1.1,0.67,0.0,0.0,0.41,0.28,0.48,0.02,2.78,0.4,0.47,0.87,20.98,2.49,2.47,3.36,0.73,0.16,0.53,3.0,15.8,14.07,0.13,0.13,3.94,0.8,15.5,3.0,2.25,0.75,3.0,1.0,20.65,4.12,0.13,0.25,46.77,44.92,48.01,44.8,40.69,3.12,0.22,2.44,0.22,44.73,48.46,43.33,40.08,3.27,0.16,2.69,0.2,42.86,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STL,scheifele,m,scheifele6900cm,88189-15321,C,m,Mark Scheifele,scheifele,14.23857160295759,70.0,6900,WPG@STL,WPG,STL,,,,,,C/UTIL,scheifele6900cm,5900
stamkos7800cs,86.22,Steven Stamkos,7800,C,0,TB,NJD-VVanecek,15.64,19.6,11.7,1.01,2.0,2,1,9,1,-0.3,75,2,1,3.4,3.3,-120,6.5,53,-140,17.6,1.0,68,32,26,106,11.9,53,40,26,15,0.49,0.64,1.13,18.85,3.6,3.13,4.22,0.74,0.16,0.65,3.78,13.43,13.17,10.03,0.18,0.26,3.98,1.29,1.75,0.74,0.0,0.0,0.32,0.38,0.68,0.02,2.2,0.36,0.43,0.79,17.39,2.72,2.0,3.57,0.56,0.18,0.5,2.5,12.14,12.36,0.21,0.21,3.64,1.0,12.88,2.25,1.75,0.5,2.75,1.38,16.77,3.19,0.25,0.13,46.7,45.7,44.78,43.84,50.0,3.43,0.27,2.9,0.19,47.6,44.46,42.53,55.38,3.47,0.27,2.08,0.11,52.5,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,stamkos,s,stamkos7800cs,88189-8655,C,s,Steven Stamkos,stamkos,16.047826794610508,69.0,7800,NJ@TB,TB,NJ,,,,,,C/UTIL,stamkos7800cs,7000
zegras6800ct,85.25,Trevor Zegras,6800,C,0,ANA,VAN-CDelia,13.85,17.4,10.3,1.28,2.0,1,1,5,0,1.7,46,0,2,3.4,3.8,110,7.0,41,105,12.8,1.4,67,32,32,87,11.8,69,30,23,13,0.33,0.53,0.86,19.12,2.7,2.4,3.26,0.74,0.14,0.4,2.8,13.86,15.43,10.48,0.08,0.13,2.8,0.42,0.56,0.75,0.0,0.0,0.25,0.4,0.85,0.0,2.61,0.23,0.62,0.85,17.52,2.91,2.31,3.08,0.75,0.1,0.23,2.54,11.55,15.64,0.0,0.08,2.46,0.17,12.2,3.17,2.83,0.33,3.83,0.33,17.26,1.76,0.0,0.0,44.35,41.35,45.77,53.72,41.94,2.71,0.16,2.99,0.29,37.64,46.91,57.45,39.36,2.5,0.17,3.17,0.18,38.71,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VAN,zegras,t,zegras6800ct,88189-128506,C,t,Trevor Zegras,zegras,12.49130470165308,69.0,6800,VAN@ANH,ANH,VAN,,,,,,C/UTIL,zegras6800ct,5600
zibanejad8300cm,84.18,Mika Zibanejad,8300,C,0,NYR,NAS-KLankinen,15.7,19.7,11.7,0.05,1.9,1,2,7,1,-1.7,46,2,1,3.8,2.4,-250,6.0,88,-190,16.8,0.6,69,27,26,105,16.1,76,23,38,13,0.47,0.62,1.09,20.23,3.23,3.03,4.45,0.68,0.15,0.52,3.55,13.05,13.46,9.9,0.26,0.17,3.36,1.11,1.64,0.68,0.01,0.03,0.2,0.43,0.2,0.01,2.82,0.46,0.69,1.15,18.97,3.64,2.23,3.42,0.65,0.21,0.69,2.92,11.25,13.5,0.15,0.15,3.07,0.83,12.14,2.14,1.71,0.43,2.29,0.57,18.48,2.03,0.0,0.14,46.71,45.08,48.25,46.02,44.95,2.93,0.24,3.33,0.22,43.83,50.5,46.67,41.64,3.25,0.23,3.14,0.09,41.63,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,zibanejad,m,zibanejad8300cm,88189-14565,C,m,Mika Zibanejad,zibanejad,17.11014457370924,69.0,8300,NSH@NYR,NYR,NSH,,,,,,C/UTIL,zibanejad8300cm,7100
dubois7000cp,82.94,Pierre-Luc Dubois,7000,C,0,WPG,STL-JHofer,13.07,16.4,9.7,0.09,1.9,2,1,5,0,0.0,93,2,1,3.6,3.1,-140,6.5,83,-125,13.5,0.1,60,25,27,87,6.9,14,28,7,14,0.34,0.49,0.83,18.49,2.69,2.7,4.15,0.65,0.13,0.61,3.3,13.26,13.41,10.35,0.15,0.16,3.4,0.97,1.22,0.8,0.0,0.0,0.2,0.33,1.11,0.0,2.31,0.14,0.14,0.29,17.15,1.01,1.71,3.17,0.54,0.08,0.29,2.0,10.86,11.29,0.14,0.0,4.15,0.71,10.0,1.0,1.0,0.0,1.5,0.5,19.32,6.11,0.0,0.0,46.77,44.92,48.01,44.8,40.69,3.12,0.22,2.44,0.22,44.73,48.46,43.33,40.08,3.27,0.16,2.69,0.2,42.86,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STL,dubois,p,dubois7000cp,88189-70901,C,p,Pierre-Luc Dubois,dubois,14.277419551726313,62.0,7000,WPG@STL,WPG,STL,,,,,,C/UTIL,dubois7000cp,6500
trocheck6300cv,82.13,Vincent Trocheck,6300,C,0,NYR,NAS-KLankinen,12.21,15.4,9.1,0.66,1.9,2,1,6,0,-1.7,69,2,1,3.8,2.4,-250,6.0,88,-190,11.9,0.9,60,30,39,102,14.7,76,23,30,13,0.28,0.43,0.71,19.21,2.22,2.71,4.03,0.67,0.1,0.57,3.28,14.56,12.31,10.89,0.1,0.11,3.22,0.84,1.16,0.72,0.01,0.0,0.17,0.32,0.65,0.02,2.55,0.31,0.69,1.0,19.07,3.14,2.54,3.67,0.69,0.12,0.85,3.38,15.0,13.92,0.0,0.08,2.21,0.42,13.0,2.86,1.71,1.14,2.57,0.57,18.96,2.33,0.0,0.14,46.71,45.08,48.25,46.02,44.95,2.93,0.24,3.33,0.22,43.83,50.5,46.67,41.64,3.25,0.23,3.14,0.09,41.63,3/19/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,trocheck,v,trocheck6300cv,88189-15283,C,v,Vincent Trocheck,trocheck,13.066666312839674,69.0,6300,NSH@NYR,NYR,NSH,,,,,,C/UTIL,trocheck6300cv,5400
