,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
acciari4200cn,57.01,Noel Acciari,4200,C,0,STL,NJD-MBlackwood,7.36,9.4,5.4,0.12,1.8,3,0,1,0,0.0,46,0,2,2.9,3.8,145,6.5,61,122,7.0,0.4,42,19,27,96,8.4,58,41,25,12,0.18,0.16,0.34,12.72,1.6,1.28,1.83,0.7,0.14,0.93,2.21,9.11,10.28,7.02,0.0,0.0,0.14,0.02,0.02,1.0,0.0,0.03,0.18,0.13,0.28,0.04,1.43,0.21,0.14,0.36,13.76,1.57,1.07,1.46,0.73,0.2,1.29,2.36,8.17,12.17,0.0,0.0,0.08,0.08,10.5,2.6,1.4,1.2,2.0,0.25,15.35,0.16,0.0,0.0,43.38,40.36,43.76,47.58,48.64,2.94,0.27,2.85,0.22,47.69,38.56,43.85,45.22,2.85,0.11,2.89,0.31,43.5,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,acciari,n,acciari4200cn,85626-62861,C,n,Noel Acciari,acciari,8.12631546823602,38.0,4200,STL@NJ,STL,NJ,,,,,,C/UTIL,acciari4200cn
aho4000ds,46.95,Sebastian Aho,4000,D,0,NYI,EDM-S.Skinner,17.11,21.6,12.7,9.53,4.3,2,0,0,0,-1.4,8,1,2,2.7,3.4,135,6.0,63,118,4.5,-1.0,37,17,40,94,6.5,84,15,23,13,0.08,0.22,0.3,15.97,1.13,1.0,0.0,0.0,0.08,0.98,1.98,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.27,0.0,0.96,0.08,0.15,0.23,19.53,0.71,1.23,0.0,0.0,0.06,1.46,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.5,0.0,0.0,19.03,0.0,0.0,0.0,43.66,42.78,44.9,48.09,47.66,2.67,0.23,3.39,0.24,43.67,42.33,47.75,47.0,2.64,0.14,3.27,0.25,49.25,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,aho,s,aho4000ds,85626-82154,D,s,Sebastian Aho,aho,5.462857055664062,35.0,4000,NYI@EDM,NYI,EDM,,,,,,D/UTIL,aho4000ds
aho8100cs,87.72,Sebastian Aho,8100,C,0,CAR,NAS-JSaros,17.11,21.4,12.8,1.87,2.1,1,1,15,0,2.4,52,0,2,3.7,2.5,-230,6.0,87,-220,14.0,-1.5,64,21,28,101,13.8,23,23,15,13,0.4,0.52,0.92,19.08,2.89,2.68,3.94,0.68,0.15,0.31,2.99,13.5,11.09,10.37,0.1,0.19,3.18,0.61,1.04,0.58,0.02,0.02,0.27,0.31,0.6,0.05,3.62,0.33,0.33,0.67,18.38,2.19,3.67,4.8,0.76,0.09,0.5,4.17,14.2,9.0,0.0,0.33,3.82,0.8,12.25,3.4,3.2,0.2,4.5,1.25,17.96,4.16,0.0,0.4,50.59,51.04,46.49,38.59,43.84,3.09,0.2,3.49,0.24,40.69,46.38,45.54,38.08,3.08,0.3,3.83,0.39,36.67,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,aho,s,aho8100cs,85626-73946,C,s,Sebastian Aho,aho,14.761290519468243,31.0,8100,NSH@CAR,CAR,NSH,,,,,,C/UTIL,aho8100cs
alexandrov3000cn,43.61,Nikita Alexandrov,3000,C,0,STL,NJD-MBlackwood,4.45,5.7,3.2,-0.33,1.5,4,0,2,0,0.0,92,0,2,2.9,3.8,145,6.5,61,122,3.0,-0.3,7,1,5,67,1.6,0,100,0,1,0.0,0.11,0.11,8.98,0.74,0.89,1.0,0.89,0.0,0.44,1.33,6.22,8.44,4.67,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,1.07,0.0,0.0,0.0,6.62,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,6.62,0.0,0.0,0.0,43.38,40.36,43.76,47.58,48.64,2.94,0.27,2.85,0.19,40.77,43.36,44.62,50.43,3.0,0.28,3.62,0.15,47.67,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NJD,alexandrov,n,alexandrov3000cn,85626-113932,C,n,Nikita Alexandrov,alexandrov,3.2,10.0,3000,STL@NJ,STL,NJ,,,,,,C/UTIL,alexandrov3000cn
allen7000gj,39.45,Jake Allen,7000,G,0,MTL,NYR-I.Shesterkin,13.0,16.4,9.6,-2.46,1.9,1,0,0,0,-8.8,50,0,0,2.6,3.6,170,6.0,19,160,14.5,-0.5,32,17,11,86,13.0,53,15,23,13,3.39,0.0,0.0,0.0,0.0,33.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.14,43.94,0.0,0.0,0.0,0.0,0.0,0.0,46.38,40.69,0.0,0.0,0.0,0.0,41.5,1/5/23,0,29.8,0.34,0.55,56.18,0.0,30.7,3.56,0.22,0.0,45.78,3.15,31.07,3.53,0.24,2.83,0.26,3.64,30.71,3.83,0.39,3.08,0.3,34.2,NYR,allen,j,allen7000gj,85626-9112,G,j,Jake Allen,allen,13.446154080904448,26.0,7000,NYR@MON,MON,NYR,,,,,,G,allen7000gj
allison4000ww,53.82,Wade Allison,4000,W,0,PHI,ARI-KVejmelka,5.32,6.8,3.8,-1.75,1.3,3,0,1,0,0.0,43,0,3,3.4,2.8,-152,6.0,43,-160,4.2,-0.2,15,3,19,86,3.2,8,41,0,12,0.14,0.05,0.19,11.91,0.96,1.38,2.1,0.66,0.1,1.1,2.48,9.81,11.67,7.86,0.0,0.0,0.73,0.1,0.1,1.0,0.0,0.0,0.14,0.05,0.29,0.0,1.08,0.0,0.0,0.0,11.02,0.0,0.5,1.67,0.3,0.0,1.5,2.0,8.67,9.83,0.0,0.0,0.14,0.0,8.8,2.0,0.4,1.6,1.6,0.0,11.09,0.17,0.0,0.0,43.66,41.93,49.46,49.08,37.45,2.95,0.12,3.36,0.26,43.0,46.0,48.67,37.33,2.55,0.18,3.29,0.39,38.8,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,allison,w,allison4000ww,85626-128513,W,w,Wade Allison,allison,6.2,20.0,4000,ARI@PHI,PHI,ARI,,,,,,W/UTIL,allison4000ww
amadio5500wm,58.28,Michael Amadio,5500,W,0,VGK,PIT-CDesmith,10.42,13.1,7.7,0.42,1.9,1,1,9,0,-2.7,34,0,3,3.2,3.0,-120,6.0,28,-126,5.7,0.1,34,19,44,86,12.3,69,15,38,13,0.24,0.15,0.39,12.36,1.89,1.27,1.58,0.81,0.19,0.31,1.58,12.78,10.42,9.16,0.02,0.0,0.24,0.04,0.04,1.0,0.0,0.0,0.22,0.15,0.36,0.0,2.91,0.42,0.33,0.75,13.44,3.35,2.25,2.73,0.83,0.19,0.0,2.25,14.3,9.6,0.08,0.0,0.9,0.09,19.2,3.17,3.17,0.0,3.8,0.2,16.3,1.65,0.17,0.0,48.95,49.98,45.97,47.07,48.13,2.69,0.23,2.82,0.19,48.85,48.33,43.92,41.78,2.75,0.33,3.56,0.09,41.0,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,amadio,m,amadio5500wm,85626-59142,W,m,Michael Amadio,amadio,7.403846153846154,26.0,5500,PIT@VGK,VGK,PIT,,,,,,W/UTIL,amadio5500wm
anderson3700dm,49.8,Mikey Anderson,3700,D,0,LA,BOS-L.Ullmark,5.36,6.8,3.9,-1.58,1.4,1,0,0,0,-3.3,79,0,2,2.7,3.4,135,6.0,17,120,6.1,-0.8,57,13,17,96,7.4,85,14,28,14,0.05,0.18,0.23,21.02,0.66,1.12,1.67,0.67,0.05,1.48,2.6,17.31,15.41,13.0,0.0,0.0,0.11,0.01,0.01,1.0,0.0,0.0,0.05,0.18,0.33,0.0,1.07,0.07,0.21,0.29,22.1,0.79,1.21,1.62,0.75,0.06,1.79,3.0,16.69,14.15,0.0,0.0,0.2,0.0,15.8,2.5,0.67,1.83,1.2,0.0,22.44,0.13,0.0,0.0,45.76,48.84,40.0,42.69,46.16,3.24,0.19,3.57,0.17,46.67,43.69,42.5,46.92,3.82,0.24,3.5,0.14,45.0,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOS,anderson,m,anderson3700dm,85626-103753,D,m,Mikey Anderson,anderson,6.439024390243903,41.0,3700,BOS@LA,LA,BOS,,,,,,D/UTIL,anderson3700dm
anderson4800wj,57.92,Josh Anderson,4800,W,0,MTL,NYR-IShesterkin,8.19,10.4,6.0,-0.44,1.7,2,2,2,0,0.0,16,0,2,2.6,3.6,170,6.0,19,160,8.2,0.1,52,24,40,85,8.8,69,30,38,13,0.28,0.13,0.4,16.63,1.44,2.08,2.96,0.7,0.13,0.53,2.6,12.09,13.47,9.01,0.05,0.0,1.95,0.28,0.43,0.65,0.0,0.0,0.23,0.13,1.03,0.0,2.51,0.36,0.07,0.43,17.16,1.5,2.43,3.21,0.76,0.15,0.43,2.86,9.23,11.15,0.07,0.0,2.07,0.29,8.17,3.0,2.33,0.67,3.0,0.5,17.01,2.4,0.17,0.0,42.01,41.01,45.96,46.14,43.94,3.13,0.16,2.77,0.2,38.08,45.54,46.38,40.69,3.33,0.13,2.85,0.19,41.5,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYR,anderson,j,anderson4800wj,85626-42772,W,j,Josh Anderson,anderson,8.25,36.0,4800,NYR@MON,MON,NYR,,,,,,W/UTIL,anderson4800wj
andersondolan3800cj,29.52,J. Anderson-Dolan,3800,C,0,LA,BOS-LUllmark,3.9,5.0,2.8,-2.52,1.0,4,0,0,0,-4.7,46,0,2,2.7,3.4,135,6.0,17,120,4.3,-0.2,16,3,15,96,4.3,57,42,14,14,0.1,0.1,0.19,10.62,1.07,1.06,1.66,0.64,0.09,0.61,1.68,9.0,8.79,6.83,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.19,0.0,0.85,0.14,0.07,0.21,9.52,1.32,0.86,1.15,0.74,0.17,0.43,1.29,7.62,7.15,0.0,0.0,0.11,0.0,7.6,1.17,0.5,0.67,0.6,0.0,9.23,0.08,0.0,0.0,45.76,48.84,40.0,42.69,46.16,3.24,0.19,3.57,0.17,46.67,43.69,42.5,46.92,3.82,0.24,3.5,0.14,45.0,1/5/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOS,andersondolan,j,andersondolan3800cj,85626-82026,C,j,Jaret Anderson-Dolan,andersondolan,4.551724137931035,29.0,3800,BOS@LA,LA,BOS,,,,,,C/UTIL,andersondolan3800cj
