RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master.1,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
draisaitl10000cl,94.16,Leon Draisaitl,10000,C,0,EDM,BUF-CAnderson,20.28,25.4,15.2,1.14,2.0,2,1,16,0,4.4,5,0,2,4.3,3.4,-160,7.5,54,-149,20.8,1.6,73,32,21,106,20.5,78,21,35,14,0.64,0.92,1.56,21.72,4.31,3.19,4.4,0.72,0.2,0.47,3.66,15.74,15.79,11.95,0.35,0.31,3.93,1.29,1.79,0.72,0.01,0.01,0.27,0.6,0.31,0.0,2.9,0.86,0.57,1.43,22.26,3.85,2.93,4.31,0.68,0.29,0.29,3.21,17.77,13.31,0.64,0.29,4.02,1.23,20.57,3.25,2.75,0.5,4.29,1.86,22.22,3.57,0.75,0.38,47.56,47.79,42.36,44.67,44.92,3.28,0.32,2.78,0.26,48.25,46.36,38.5,46.82,3.62,0.34,2.55,0.32,47.71,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,draisaitl,l,draisaitl10000cl,87654-58331,C,l,Leon Draisaitl,draisaitl,21.21451691658266,62.0,10000,EDM@BUF,EDM,BUF,,,,,,C/UTIL,draisaitl10000cl,7900
thompson10200ct,92.8,Tage Thompson,10200,C,0,BUF,EDM-SSkinner,19.21,24.0,14.4,-0.34,1.9,1,1,9,0,0.0,12,1,2,3.4,4.3,135,7.5,46,127,19.3,2.4,76,34,23,86,19.4,81,18,18,11,0.66,0.59,1.24,18.52,4.02,3.63,4.95,0.73,0.18,0.33,3.97,14.58,12.65,10.99,0.25,0.14,3.23,0.98,1.27,0.77,0.02,0.0,0.38,0.45,0.51,0.02,3.35,0.73,0.55,1.27,18.11,4.21,3.36,5.0,0.67,0.22,0.45,3.82,14.64,13.82,0.36,0.09,3.23,1.0,13.86,3.86,3.57,0.29,4.57,1.14,18.06,2.83,0.29,0.14,44.06,44.92,44.67,42.36,47.79,3.19,0.25,3.46,0.22,46.82,38.5,46.36,48.25,3.0,0.24,3.62,0.26,51.33,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,thompson,t,thompson10200ct,87654-70924,C,t,Tage Thompson,thompson,20.527868051997952,61.0,10200,EDM@BUF,BUF,EDM,,,,,,C/UTIL,thompson10200ct,8400
mcdavid10800cc,92.72,Connor McDavid,10800,C,0,EDM,BUF-CAnderson,26.68,33.3,20.0,5.9,2.5,1,1,25,0,-1.2,64,0,2,4.3,3.4,-160,7.5,54,-149,25.9,5.8,84,48,12,106,30.5,92,7,64,14,0.73,1.16,1.9,22.44,5.08,4.24,5.47,0.77,0.17,0.42,4.66,18.95,15.28,14.36,0.22,0.53,3.83,1.11,1.44,0.77,0.03,0.04,0.49,0.59,0.44,0.05,4.19,0.79,1.36,2.14,23.3,5.51,5.43,6.85,0.79,0.14,0.43,5.86,19.62,13.0,0.14,0.71,4.0,1.38,22.0,6.0,5.63,0.38,7.86,1.57,22.89,3.55,0.25,0.75,47.56,47.79,42.36,44.67,44.92,3.28,0.32,2.78,0.26,48.25,46.36,38.5,46.82,3.62,0.34,2.55,0.32,47.71,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,mcdavid,c,mcdavid10800cc,87654-64102,C,c,Connor McDavid,mcdavid,27.084375381469727,64.0,10800,EDM@BUF,EDM,BUF,,,,,,C/UTIL,mcdavid10800cc,9800
scheifele7000cm,88.46,Mark Scheifele,7000,C,0,WPG,SJ-JReimer,15.81,19.8,11.8,2.83,2.3,1,1,12,0,5.5,82,0,2,3.9,2.8,-202,6.5,59,-225,15.2,1.8,61,32,30,86,14.4,63,36,45,11,0.56,0.46,1.01,20.59,2.94,2.59,3.73,0.7,0.21,0.47,3.06,15.61,15.13,11.62,0.12,0.12,3.44,0.73,1.08,0.68,0.0,0.0,0.43,0.33,0.48,0.02,2.99,0.45,0.45,0.91,20.98,2.6,3.0,4.2,0.71,0.15,0.27,3.27,16.0,15.82,0.09,0.09,3.93,0.82,16.63,3.0,2.75,0.25,3.71,1.0,21.2,3.76,0.13,0.13,45.73,44.98,47.44,45.2,44.96,3.09,0.22,2.99,0.18,45.36,47.25,41.36,50.58,3.45,0.18,3.25,0.15,52.17,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,scheifele,m,scheifele7000cm,87654-15321,C,m,Mark Scheifele,scheifele,14.636507548983134,63.0,7000,SJ@WPG,WPG,SJ,,,,,,C/UTIL,scheifele7000cm,6300
stutzle8400ct,87.78,Tim Stutzle,8400,C,0,OTT,CHI-AStalock,17.66,22.1,13.2,1.8,2.1,1,1,14,0,-0.1,26,0,2,4.1,2.5,-267,6.5,66,-257,16.6,3.9,65,43,28,87,21.2,66,33,50,12,0.49,0.64,1.13,20.24,3.35,2.76,3.8,0.73,0.18,0.69,3.45,16.01,13.64,12.0,0.14,0.31,3.67,0.68,0.99,0.69,0.02,0.0,0.32,0.33,0.6,0.07,3.2,0.75,0.67,1.42,21.05,4.05,3.67,4.5,0.81,0.2,0.42,4.08,17.0,12.42,0.0,0.25,4.03,0.75,15.88,3.88,3.63,0.25,4.5,1.0,20.38,4.09,0.0,0.25,47.75,46.19,50.54,44.09,39.15,3.43,0.26,2.76,0.25,42.09,49.69,44.27,43.15,3.67,0.16,2.5,0.23,41.43,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,stutzle,t,stutzle8400ct,87654-142017,C,t,Tim Stuetzle,stutzle,17.184482969086744,58.0,8400,OTT@CHI,OTT,CHI,,,,,,C/UTIL,stutzle8400ct,6900
pettersson9800ce,86.73,Elias Pettersson,9800,C,0,VAN,NAS-JSaros,19.69,24.6,14.8,0.96,2.0,1,1,20,0,-0.9,2,0,2,3.1,3.1,-110,6.0,58,-110,19.8,3.8,69,38,25,86,24.6,75,25,41,12,0.54,0.75,1.29,20.22,3.83,3.37,4.81,0.7,0.16,1.02,4.4,12.74,12.69,9.67,0.08,0.25,3.61,0.81,1.37,0.59,0.05,0.04,0.41,0.46,0.17,0.05,3.41,0.62,0.92,1.54,21.85,4.23,3.46,4.92,0.7,0.18,1.62,5.08,14.31,12.23,0.08,0.15,3.69,0.69,13.67,6.0,3.83,2.17,5.5,1.17,22.74,4.43,0.0,0.0,45.92,42.73,47.9,45.33,44.98,3.21,0.26,3.35,0.22,43.08,47.25,41.67,43.25,2.85,0.24,2.75,0.15,40.14,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,pettersson,e,pettersson9800ce,87654-84409,C,e,Elias Pettersson,pettersson,20.09499918619792,60.0,9800,NSH@VAN,VAN,NSH,,,,,,C/UTIL,pettersson9800ce,7500
dubois7200cp,85.77,Pierre-Luc Dubois,7200,C,0,WPG,SJ-JReimer,14.94,18.7,11.1,1.54,2.1,2,1,7,0,0.0,82,0,2,3.9,2.8,-202,6.5,59,-225,13.6,0.2,63,27,30,86,8.9,36,36,9,11,0.34,0.47,0.82,18.52,2.66,2.79,4.26,0.66,0.12,0.6,3.39,13.43,13.54,10.48,0.15,0.15,3.32,0.95,1.22,0.78,0.0,0.0,0.2,0.32,1.21,0.0,2.27,0.25,0.13,0.38,17.72,1.29,2.63,4.57,0.57,0.1,0.38,3.0,12.75,10.0,0.13,0.13,3.76,0.88,11.2,2.4,2.0,0.4,4.0,1.0,16.29,3.36,0.2,0.0,45.73,44.98,47.44,45.2,44.96,3.09,0.22,2.99,0.18,45.36,47.25,41.36,50.58,3.45,0.18,3.25,0.15,52.17,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SJ,dubois,p,dubois7200cp,87654-70901,C,p,Pierre-Luc Dubois,dubois,14.566666666666666,60.0,7200,SJ@WPG,WPG,SJ,DTD,Lower body,,,,C/UTIL,dubois7200cp,6500
hintz7900cr,85.67,Roope Hintz,7900,C,0,DAL,CGY-JMarkstrom,14.69,18.4,11.0,-0.14,1.9,1,1,14,0,2.1,70,0,2,3.3,2.9,-136,6.0,79,-132,15.3,1.3,58,35,30,97,16.6,63,36,54,11,0.51,0.49,1.0,17.82,3.37,2.57,3.55,0.72,0.2,0.72,3.29,14.18,12.42,10.42,0.13,0.18,2.79,0.49,0.71,0.7,0.03,0.0,0.34,0.31,0.4,0.03,2.88,0.75,0.25,1.0,19.11,3.14,3.17,4.5,0.7,0.24,0.33,3.5,15.55,12.55,0.25,0.0,3.48,0.73,15.2,4.17,4.0,0.17,6.5,1.8,19.38,3.39,0.5,0.0,45.29,46.53,39.49,47.78,52.76,2.91,0.23,3.34,0.2,53.4,36.54,49.3,57.62,3.36,0.14,2.92,0.26,57.43,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CGY,hintz,r,hintz7900cr,87654-80286,C,r,Roope Hintz,hintz,16.027272727272727,55.0,7900,CGY@DAL,DAL,CGY,,,,,,C/UTIL,hintz7900cr,7000
miller7100cj,80.54,J.T. Miller,7100,C,0,VAN,NAS-JSaros,16.8,21.0,12.6,3.61,2.4,2,1,9,0,-2.7,32,0,2,3.1,3.1,-110,6.0,58,-110,16.1,1.9,73,36,20,87,16.8,66,25,33,12,0.36,0.72,1.08,20.88,3.1,2.83,3.95,0.72,0.13,0.66,3.49,13.75,12.75,10.14,0.13,0.29,3.73,0.93,1.32,0.7,0.02,0.05,0.21,0.38,0.63,0.02,3.01,0.25,0.75,1.0,20.67,2.9,3.08,4.0,0.77,0.08,0.92,4.0,12.83,11.58,0.08,0.08,3.82,1.17,11.6,4.0,3.6,0.4,4.6,2.0,22.04,4.77,0.0,0.0,45.92,42.73,47.9,45.33,44.98,3.21,0.26,3.35,0.22,43.08,47.25,41.67,43.25,2.85,0.24,2.75,0.15,40.14,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NAS,miller,j,miller7100cj,87654-15360,C,j,J.T. Miller,miller,14.56393482646004,61.0,7100,NSH@VAN,VAN,NSH,,,,,,C/UTIL,miller7100cj,5700
cozens6600cd,79.2,Dylan Cozens,6600,C,0,BUF,EDM-SSkinner,12.02,15.1,8.9,-0.14,1.8,2,1,4,0,-0.8,48,1,2,3.4,4.3,135,7.5,46,127,11.5,1.2,62,31,36,86,14.2,63,36,18,11,0.28,0.44,0.72,16.2,2.67,2.4,3.22,0.74,0.12,0.31,2.71,10.99,10.71,8.42,0.05,0.17,2.65,0.45,0.65,0.69,0.02,0.01,0.21,0.26,0.6,0.02,2.67,0.55,0.36,0.91,15.46,3.53,2.64,3.73,0.71,0.21,0.27,2.91,11.27,12.45,0.0,0.09,2.8,0.45,12.57,3.43,3.14,0.29,4.57,0.86,15.3,2.27,0.0,0.0,44.06,44.92,44.67,42.36,47.79,3.19,0.25,3.46,0.22,46.82,38.5,46.36,48.25,3.0,0.24,3.62,0.26,51.33,3/6/23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EDM,cozens,d,cozens6600cd,87654-113279,C,d,Dylan Cozens,cozens,13.491666666666667,60.0,6600,EDM@BUF,BUF,EDM,,,,,,C/UTIL,cozens6600cd,5400
