,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
appleton3900wm,57.44,Mason Appleton,3900,W,0,WPG,COL-A.Georgiev,6.46,8.3,4.7,-0.42,1.7,1,0,1,0,-1.7,72,0,2,3.1,3,-115,6,53,116,5.6,-0.2,30,10,25,83,4.5,25,50,12,8,0.08,0.24,0.33,16.06,1.23,1.47,2.02,0.73,0.06,0.27,1.73,12.11,13.23,9.3,0,0,0.15,0,0.02,0,0,0,0.08,0.24,0.45,0.02,1.74,0,0.33,0.33,16.49,1.2,0.83,1.4,0.6,0,0.33,1.17,10.83,11,0,0,0.03,0,10.83,1.17,0.83,0.33,1.4,0,16.49,0.03,0,0,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,appleton,m,appleton3900wm,87268-82155,W,m,Mason Appleton,appleton,6.040000153,20,3900,COL@WPG,WPG,COL,,,,,,W/UTIL,appleton3900wm,3000
arvidsson6300wv,70.95,Viktor Arvidsson,6300,W,0,LA,NYI-I.Sorokin,12.03,15.1,8.9,0.47,1.9,2,2,13,0,-3.3,57,2,1,2.9,3.3,114,6,45,112,11.7,0.8,48,20,32,96,15.1,55,44,44,9,0.29,0.42,0.71,16.73,2.55,2.62,3.68,0.71,0.11,0.57,3.18,14.31,12.97,11.03,0.08,0.13,2.02,0.49,0.62,0.78,0.01,0,0.2,0.29,0.18,0.03,2.87,0.5,0.2,0.7,17.85,2.35,3,4.2,0.71,0.17,0.8,3.8,16.6,14.8,0.2,0.1,1.68,0.6,16.67,4.5,3.17,1.33,4.33,0.67,17.46,1.41,0.33,0.17,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,arvidsson,v,arvidsson6300wv,87268-59207,W,v,Viktor Arvidsson,arvidsson,12.42777733,54,6300,LA@NYI,LA,NYI,,,,,,W/UTIL,arvidsson6300wv,5200
astonreese3500wz,55.54,Z. Aston-Reese,3500,W,0,TOR,MIN-F.Gustavsson,3.94,5.1,2.8,-2.16,1.1,4,0,1,0,-3.3,66,0,3,3.6,2.5,-210,6,85,-152,4.4,-1.7,45,14,47,85,3.8,50,40,10,10,0.11,0.04,0.15,11.63,0.77,1.13,1.68,0.67,0.1,0.56,1.69,8.21,9.3,6.36,0,0,0.04,0,0,0,0,0,0.11,0.04,0.36,0.03,1.09,0.11,0,0.11,10.27,0.64,1.33,1.67,0.8,0.08,0.22,1.56,8,7.44,0,0,0.03,0,8.83,1.5,1.5,0,1.83,0,10.65,0.03,0,0,48.24,47.06,42.56,42.88,44.51,3.12,0.25,3.22,0.23,50.6,47.92,44.4,49.23,2.5,0.32,2.69,0.06,48.63,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,astonreese,z,astonreese3500wz,87268-79820,W,z,Zach Aston-Reese,astonreese,3.859649123,57,3500,MIN@TOR,TOR,MIN,,,,,,W/UTIL,astonreese3500wz,2500
barron3600dj,46.55,Justin Barron,3600,D,0,MTL,PHI-C.Hart,6.15,7.8,4.5,-0.57,1.7,1,2,3,0,-4.1,90,1,3,2.7,3.4,140,6,54,125,7.3,0.2,30,15,13,53,7.4,66,33,33,9,0.17,0.21,0.38,16.57,1.38,1.33,1.58,0.84,0.12,0.83,2.17,12.58,14.71,9.21,0.04,0,0.92,0.08,0.08,1,0,0,0.13,0.21,0.33,0,1.29,0.3,0.1,0.4,15.89,1.51,1.2,1.5,0.8,0.25,1.2,2.4,13.4,14.1,0.1,0,0.85,0.2,13,2.17,1.33,0.83,1.83,0.17,15.58,1.09,0.17,0,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,barron,j,barron3600dj,87268-149590,D,j,Justin Barron,barron,6.304999924,20,3600,MON@PHI,MON,PHI,,,,,,D/UTIL,barron3600dj,3300
barron4100cm,53.28,Morgan Barron,4100,C,0,WPG,COL-AGeorgiev,5.77,7.4,4.1,-1.26,1.4,3,0,1,0,-2.3,27,0,2,3.1,3,-115,6,53,116,5.3,-0.9,37,12,37,83,4,37,62,12,8,0.11,0.15,0.26,12.84,1.21,1.6,2.09,0.77,0.07,0.6,2.2,9.98,10.38,7.65,0,0.02,0.07,0,0,0,0.02,0,0.09,0.14,0.43,0.02,1.58,0,0.2,0.2,13.67,0.88,1.4,2,0.7,0,0.5,1.9,12.2,10.8,0,0,0.05,0,10.33,1.83,1.33,0.5,2,0,12.48,0.04,0,0,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,barron,m,barron4100cm,87268-137278,C,m,Morgan Barron,barron,6.506521474,46,4100,COL@WPG,WPG,COL,,,,,,C/UTIL,barron4100cm,2600
batherson7000wd,62.46,Drake Batherson,7000,W,0,OTT,CAR-F.Andersen,11.44,14.4,8.5,-1.48,1.6,2,1,6,0,-2.3,6,1,4,2.6,4.1,200,6.5,23,215,12.8,-0.1,56,22,24,86,11.7,70,30,20,10,0.3,0.51,0.8,18.58,2.58,2.79,4.13,0.68,0.11,0.39,3.18,14.12,12.88,10.61,0.17,0.18,3.76,0.66,0.99,0.67,0,0,0.13,0.32,0.51,0,2.35,0.3,0.4,0.7,17.55,2.39,2.4,3.3,0.73,0.13,0.6,3,12.4,13.5,0,0.1,3.67,0.4,10.83,3.5,2.67,0.83,3.33,0.83,18.29,3.69,0,0,40.67,45.61,36.77,44.29,52.18,3.39,0.26,3.3,0.19,43.5,37.2,47.4,53.4,3.5,0.23,2.8,0.11,59,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,batherson,d,batherson7000wd,87268-82190,W,d,Drake Batherson,batherson,13.46785736,56,7000,OTT@CAR,OTT,CAR,,,,,,W/UTIL,batherson7000wd,5000
belzile3500wa,38.64,Alex Belzile,3500,W,0,MTL,PHI-C.Hart,5.92,7.6,4.3,-0.18,1.7,4,0,1,0,-3.4,95,1,3,2.7,3.4,140,6,54,125,7.9,0.7,15,10,10,39,7.4,55,44,33,9,0.09,0.45,0.55,11.94,2.76,1.27,1.91,0.67,0.07,0.82,2.09,9.45,11.27,7,0,0,0.05,0,0,0,0,0,0.09,0.45,0,0,1.16,0.1,0.4,0.5,12.08,2.48,1.4,2,0.7,0.07,0.8,2.2,9.3,11.2,0,0,0.05,0,8.83,2.5,1.5,1,1.83,0,12.49,0.02,0,0,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,belzile,a,belzile3500wa,87268-82183,W,a,Alex Belzile,belzile,8.07272755,11,3500,MON@PHI,MON,PHI,,,,,,W/UTIL,belzile3500wa,3200
bobrovsky7200gs,60.55,Sergei Bobrovsky,7200,G,0,FLA,BUF-U.Luukkonen,18.28,23,13.6,2.46,2.5,1,0,6,0,-1.5,96,0,0,4.2,3,-202,7,60,-205,15.8,-0.9,47,29,20,100,21.9,60,10,60,10,2.81,0,0,0,0,29.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.46,44.81,0,0,0,0,0,0,48.18,44.7,0,0,0,0,46.17,2/24/2023,0,26.3,0.53,0.36,56.06,0.05,28.9,2.43,0.71,0.67,45.46,3.52,31.72,3.51,0.25,3.17,0.25,3.5,31,3.27,0.28,2.6,0.19,30.33,BUF,bobrovsky,s,bobrovsky7200gs,87268-12163,G,s,Sergei Bobrovsky,bobrovsky,14.33999939,40,7200,BUF@FLA,FLA,BUF,,,,,,G,bobrovsky7200gs,8300
boldy6200wm,58.6,Matt Boldy,6200,W,0,MIN,TOR-I.Samsonov,12.52,15.7,9.3,1.16,2,2,1,14,0,-2.3,82,2,1,2.5,3.6,171,6,15,126,11.2,-0.3,51,19,41,96,11.4,66,33,8,12,0.26,0.41,0.67,16.71,2.41,2.78,3.96,0.7,0.09,0.35,3.13,11.91,10.9,9.11,0.07,0.19,3.28,0.73,1.07,0.69,0,0,0.18,0.22,0.5,0.01,2.77,0.15,0.38,0.54,19.49,1.66,3.69,5,0.74,0.04,0.46,4.15,14.77,12.69,0.08,0.31,3.84,1.08,14.33,3.67,3.11,0.56,4.44,1,19.68,3.61,0,0.33,46.62,44.51,42.88,42.56,47.06,3.22,0.23,3.12,0.21,49.23,44.4,47.92,50.6,3.15,0.22,2.7,0.07,50.5,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,boldy,m,boldy6200wm,87268-148097,W,m,Matt Boldy,boldy,12.18103448,58,6200,MIN@TOR,MIN,TOR,,,,,,W/UTIL,boldy6200wm,5500
brannstrom4000de,45.25,Erik Brannstrom,4000,D,0,OTT,CAR-F.Andersen,4.33,5.6,3.1,-3.25,1.1,3,0,1,0,-4.7,63,1,4,2.6,4.1,200,6.5,23,215,6.1,-1,65,17,27,86,8.9,70,30,50,10,0.01,0.19,0.2,17.35,0.69,1.33,1.85,0.71,0.01,1.39,2.71,14.3,11.9,10.32,0,0.05,1.37,0.04,0.09,0.43,0,0,0.01,0.14,0.43,0,1.01,0.1,0.4,0.5,16.71,1.8,1.4,2,0.7,0.07,1.4,2.8,11.2,11.4,0,0,0.79,0,11,3.67,1.67,2,2,0,20.11,1.31,0,0,40.67,45.61,36.77,44.29,52.18,3.39,0.26,3.3,0.19,43.5,37.2,47.4,53.4,3.5,0.23,2.8,0.11,59,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,brannstrom,e,brannstrom4000de,87268-84116,D,e,Erik Brannstrom,brannstrom,5.474510043,51,4000,OTT@CAR,OTT,CAR,,,,,,D/UTIL,brannstrom4000de,3000
brassard3700cd,46.1,Derick Brassard,3700,C,0,OTT,CAR-FAndersen,5.46,7,3.9,-0.75,1.5,3,2,5,0,0.3,49,1,4,2.6,4.1,200,6.5,23,215,6.3,0,35,20,31,101,8.3,60,20,40,10,0.17,0.15,0.32,12.58,1.53,1.54,1.97,0.78,0.11,0.18,1.72,10.1,9.96,7.24,0.04,0.06,1.65,0.4,0.43,0.93,0,0,0.13,0.1,0.48,0,1.82,0.25,0.25,0.5,11.47,2.62,1.75,2.13,0.82,0.14,0.25,2,10.25,8.25,0.13,0,2,0.5,8.25,1.5,1.5,0,1.5,0.25,10.3,2.04,0,0,40.67,45.61,36.77,44.29,52.18,3.39,0.26,3.3,0.19,43.5,37.2,47.4,53.4,3.5,0.23,2.8,0.11,59,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,brassard,d,brassard3700cd,87268-8294,C,d,Derick Brassard,brassard,6.371111382,45,3700,OTT@CAR,OTT,CAR,,,,,,C/UTIL,brassard3700cd,2500
