,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
braun3700dj,56.55,Justin Braun,3700,D,0,PHI,MTL-J.Allen,2.48,3.2,1.7,-4.46,0.7,4,0,1,0,0,29,1,3,3.4,2.7,-165,6,46,-145,3.4,-2.3,30,2,30,105,4.3,20,10,10,10,0.03,0.05,0.08,15.54,0.31,0.7,1.14,0.62,0.04,1.11,1.81,10.92,13.68,7.89,0,0,0.05,0,0.03,0,0,0,0.03,0.05,0.39,0,0.91,0,0.25,0.25,12.45,1.2,0.5,1,0.5,0,0.75,1.25,8.75,11,0,0,0,0,9.67,1.67,0.67,1,1,0,12.85,0,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,braun,j,braun3700dj,87268-11410,D,j,Justin Braun,braun,3.073684291,38,3700,MON@PHI,PHI,MON,,,,,,D/UTIL,braun3700dj,2500
brodie4200dt,75.05,T.J. Brodie,4200,D,0,TOR,MIN-F.Gustavsson,6.04,7.7,4.4,-1.97,1.4,1,0,1,0,-1.3,78,0,3,3.6,2.5,-210,6,85,-152,7.2,-0.3,52,17,24,97,6.4,70,10,20,10,0.03,0.33,0.36,21.65,1,1.05,1.39,0.76,0.02,1.58,2.63,16.17,14.49,12.48,0,0.01,0.24,0,0.03,0,0,0.03,0.03,0.29,0.29,0,1.09,0,0.25,0.25,21.4,0.7,0.75,0.75,1,0,2,2.75,17.25,16.5,0,0,0.08,0,17.5,2.83,0.83,2,0.83,0,21.52,0.11,0,0,48.24,47.06,42.56,42.88,44.51,3.12,0.25,3.22,0.23,50.6,47.92,44.4,49.23,2.5,0.32,2.69,0.06,48.63,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,brodie,t,brodie4200dt,87268-11158,D,t,T.J. Brodie,brodie,7.166666667,36,4200,MIN@TOR,TOR,MIN,,,,,,D/UTIL,brodie4200dt,3500
bryson3600dj,44.25,Jacob Bryson,3600,D,0,BUF,FLA-S.Bobrovsky,0,0,0,-6.72,0,3,0,1,0,-3.8,44,2,1,3,4.2,170,7,40,168,3.7,-3,37,9,50,86,1.1,11,55,0,9,0.03,0.11,0.13,15.98,0.49,0.51,0.68,0.74,0.05,1.07,1.57,12.5,12.5,9.5,0.01,0,0.28,0.03,0.04,0.67,0,0.01,0.01,0.09,0.13,0,0.46,0,0,0,13.07,0,0.29,0.29,1,0,0.57,0.86,9.43,12.14,0,0,0.09,0,7.33,1,0,1,0,0,12.77,0.06,0,0,45.46,44.81,41.46,42.14,50.74,3.17,0.25,3.51,0.25,44.7,48.18,43.1,57.45,2.6,0.19,3.27,0.28,54.86,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,bryson,j,bryson3600dj,87268-103573,D,j,Jacob Bryson,bryson,4.222222222,45,3600,BUF@FLA,BUF,FLA,,,,,,D/UTIL,bryson3600dj,2500
bunting6000wm,79.75,Michael Bunting,6000,W,0,TOR,MIN-F.Gustavsson,10.9,13.7,8.1,-0.07,1.8,1,2,6,0,-6.1,15,0,3,3.6,2.5,-210,6,85,-152,11.2,1.1,56,27,39,97,11.8,50,50,20,10,0.28,0.5,0.78,16,2.92,2.04,3.12,0.65,0.14,0.29,2.33,15.49,12.73,11.56,0.05,0.06,1.8,0.23,0.33,0.7,0,0,0.22,0.44,1.32,0.02,2.6,0.5,0.2,0.7,16.19,2.59,2.3,3.5,0.66,0.22,0.2,2.5,15.1,14.4,0.2,0.1,1.99,0.3,14.5,2.17,2,0.17,3,0.5,15.48,1.64,0.17,0.17,48.24,47.06,42.56,42.88,44.51,3.12,0.25,3.22,0.23,50.6,47.92,44.4,49.23,2.5,0.32,2.69,0.06,48.63,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,bunting,m,bunting6000wm,87268-66617,W,m,Michael Bunting,bunting,10.62068966,58,6000,MIN@TOR,TOR,MIN,,,,,,W/UTIL,bunting6000wm,4300
burns7000db,85.25,Brent Burns,7000,D,0,CAR,OTT-C.Talbot,14.97,18.7,11.2,0.94,2.1,1,2,10,0,-0.6,63,1,3,4.1,2.6,-250,6.5,77,-265,13.1,0.3,81,29,18,87,16.8,90,10,50,10,0.18,0.55,0.73,24.18,1.81,2.66,3.92,0.68,0.07,1.35,4.01,18.68,14.99,13.93,0.05,0.24,3.07,0.59,0.91,0.65,0,0,0.14,0.31,0.59,0,2.22,0.4,0.8,1.2,22.01,3.27,2.2,3.6,0.61,0.18,1.2,3.4,19.6,13,0,0.3,1.58,0.2,24.4,3.4,2.4,1,4,0.8,21.25,1.59,0,0.2,51.33,52.18,44.29,36.77,45.61,3.14,0.19,3.41,0.2,53.4,47.4,37.2,43.5,2.2,0.32,4.2,0.14,39,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,burns,b,burns7000db,87268-8426,D,b,Brent Burns,burns,13.82321385,56,7000,OTT@CAR,CAR,OTT,,,,,,D/UTIL,burns7000db,6000
byfield3700cq,58.53,Quinton Byfield,3700,C,0,LA,NYI-ISorokin,5.3,6.8,3.8,-0.91,1.4,1,0,2,0,0.9,93,2,1,2.9,3.3,114,6,45,112,5.5,-0.1,43,19,40,72,6.8,77,22,33,9,0.1,0.25,0.36,12.84,1.68,1.14,1.9,0.6,0.09,0.34,1.47,10.33,9.86,7.83,0.02,0.02,0.89,0.2,0.27,0.75,0,0,0.08,0.24,0.58,0,2.08,0,0.5,0.5,13.53,2.22,1.9,2.8,0.68,0,0.3,2.2,11.3,9.7,0,0,1.11,0.3,11.17,2.17,1.83,0.33,2.83,0.5,12.83,0.82,0,0,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,byfield,q,byfield3700cq,87268-142016,C,q,Quinton Byfield,byfield,5.473529591,34,3700,LA@NYI,LA,NYI,,,,,,C/UTIL,byfield3700cq,3200
byram5700db,57.65,Bowen Byram,5700,D,0,COL,WPG-C.Hellebuyck,8.22,10.4,6.1,-3.02,1.4,2,2,2,0,-3.1,7,1,5,3,3.1,-105,6,47,-140,8.1,-0.4,20,10,20,97,13.7,44,22,33,9,0.08,0.45,0.53,19.61,1.62,1.65,2.35,0.7,0.05,1.04,2.69,18.81,16.51,13.94,0.02,0.04,0.86,0.18,0.24,0.75,0.02,0,0.04,0.41,0.59,0,1.61,0.29,0.57,0.86,21.99,2.35,1.71,2.29,0.75,0.17,1.86,3.57,17.57,22.43,0.14,0,1.14,0.29,17.33,3.5,1.83,1.67,2.5,0.33,22.08,1.09,0.17,0,46.1,50.44,45.52,45.25,44.6,3.16,0.27,2.82,0.21,49.2,43.2,54.9,45.2,2.4,0.17,3,0.13,42.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,byram,b,byram5700db,87268-113272,D,b,Bowen Byram,byram,10.71764688,17,5700,COL@WPG,COL,WPG,,,,,,D/UTIL,byram5700db,4200
cates4200wn,74.7,Noah Cates,4200,W,0,PHI,MTL-J.Allen,8.22,10.4,6,0.76,2,2,0,1,0,0.3,82,1,3,3.4,2.7,-165,6,46,-145,7.8,0.6,56,28,43,73,10.3,80,20,50,10,0.18,0.28,0.46,16.66,1.66,1.26,1.77,0.71,0.15,0.71,1.97,11.07,12.55,8.16,0.01,0.05,1.52,0.15,0.27,0.55,0.01,0.01,0.16,0.21,0.11,0,1.75,0.27,0.36,0.64,17.86,2.15,1.27,1.91,0.67,0.21,0.82,2.09,11.18,13.09,0,0,1.18,0.09,11.14,2.14,1.14,1,1.71,0.14,17.43,0.71,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,cates,n,cates4200wn,87268-168107,W,n,Noah Cates,cates,7.464406676,59,4200,MON@PHI,PHI,MON,,,,,,W/UTIL,cates4200wn,3500
chabot6800dt,59,Thomas Chabot,6800,D,0,OTT,CAR-F.Andersen,11.33,14.2,8.5,-2.27,1.7,1,1,16,0,-5.3,44,1,4,2.6,4.1,200,6.5,23,215,13.1,0.8,52,26,20,86,13.4,90,10,30,10,0.16,0.5,0.66,25.42,1.56,2.73,3.61,0.76,0.06,1.7,4.44,20.24,19.21,15,0.09,0.22,3.86,0.53,0.73,0.73,0,0,0.06,0.28,0.78,0,1.74,0.1,0.5,0.6,24.92,1.44,3,3.8,0.79,0.03,2,5,20.1,20.1,0,0.3,3.77,0.6,18.67,4.67,2.17,2.5,2.67,0.67,25.64,3.78,0,0.17,40.67,45.61,36.77,44.29,52.18,3.39,0.26,3.3,0.19,43.5,37.2,47.4,53.4,3.5,0.23,2.8,0.11,59,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,chabot,t,chabot6800dt,87268-66759,D,t,Thomas Chabot,chabot,12.70588235,51,6800,OTT@CAR,OTT,CAR,,,,,,D/UTIL,chabot6800dt,5700
chatfield4000dj,60.45,Jalen Chatfield,4000,D,0,CAR,OTT-C.Talbot,4.35,5.6,3.1,-3.23,1.1,3,0,1,0,-2.9,7,1,3,4.1,2.6,-250,6.5,77,-265,5.3,-1.1,41,8,23,100,5.8,50,50,20,10,0.08,0.14,0.22,14.02,0.94,1.2,1.8,0.67,0.06,0.77,1.97,13.19,9.28,9.92,0,0,0.01,0,0.02,0,0.02,0.02,0.06,0.12,0.63,0,1.12,0,0.4,0.4,17.43,1.38,1.2,2,0.6,0,0.4,1.6,15,12,0,0,0,0,15.8,2.2,1.8,0.4,2.6,0,14.59,0,0,0,51.33,52.18,44.29,36.77,45.61,3.14,0.19,3.41,0.2,53.4,47.4,37.2,43.5,2.2,0.32,4.2,0.14,39,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,chatfield,j,chatfield4000dj,87268-66571,D,j,Jalen Chatfield,chatfield,5.285714286,56,4000,OTT@CAR,CAR,OTT,,,,,,D/UTIL,chatfield4000dj,2500
cizikas3400cc,62.72,Casey Cizikas,3400,C,0,NYI,LA-JQuick,5.71,7.3,4.1,0.11,1.7,3,0,1,0,-3.8,76,0,2,3.3,2.9,-135,6,55,-134,5.2,-0.9,64,18,32,97,3.3,83,16,0,12,0.09,0.14,0.23,14.15,0.98,1.22,1.67,0.73,0.08,0.65,1.87,9.33,10.93,6.7,0,0,0.1,0,0.03,0,0.01,0.01,0.08,0.13,0.77,0,1.48,0,0,0,15.83,0,1.42,1.91,0.74,0,0.67,2.08,12.58,12,0,0,0.12,0,11.14,1.86,1.29,0.57,1.83,0,16.18,0.16,0,0,45.39,44.19,44.46,49.21,47.98,2.7,0.2,3.13,0.25,47.92,45.6,50.58,46.2,2.83,0.15,3.4,0.15,49.33,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,cizikas,c,cizikas3400cc,87268-9033,C,c,Casey Cizikas,cizikas,5.073333232,60,3400,LA@NYI,NYI,LA,,,,,,C/UTIL,cizikas3400cc,2600
cogliano3500wa,51.83,Andrew Cogliano,3500,W,0,COL,WPG-C.Hellebuyck,4.87,6.3,3.5,-1.23,1.4,4,0,1,0,-2.2,66,1,5,3,3.1,-105,6,47,-140,4.9,-1.2,48,17,40,95,6,77,22,22,9,0.12,0.11,0.24,12.24,1.18,1.09,1.35,0.81,0.11,0.69,1.78,8.08,9.15,6.03,0,0,0.04,0.01,0.02,0.5,0.01,0.03,0.11,0.08,0.6,0,1.2,0.2,0.1,0.3,12.52,1.44,1.5,1.7,0.88,0.13,0.9,2.4,8.1,12.3,0,0,0,0,6.17,2.17,1.17,1,1.17,0,11.83,0,0,0,46.1,50.44,45.52,45.25,44.6,3.16,0.27,2.82,0.21,49.2,43.2,54.9,45.2,2.4,0.17,3,0.13,42.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,cogliano,a,cogliano3500wa,87268-8357,W,a,Andrew Cogliano,cogliano,6.158490451,53,3500,COL@WPG,COL,WPG,,,,,,W/UTIL,cogliano3500wa,2500
compher5400cj,70.27,J.t. Compher,5400,C,0,COL,WPG-CHellebuyck,11.55,14.6,8.5,1.85,2.1,2,1,9,0,-2.3,57,1,5,3,3.1,-105,6,47,-140,9.9,1.6,54,32,43,96,15.3,66,33,44,9,0.24,0.35,0.58,17.79,1.96,1.69,2.3,0.73,0.14,0.94,2.63,13.25,13.21,9.71,0.08,0.06,1.67,0.3,0.42,0.72,0,0,0.16,0.29,0.41,0,2.6,0.2,0.7,0.9,20.61,2.62,2.4,3,0.8,0.08,1.6,4,16.5,19.9,0,0.1,0.91,0.3,16.17,4,2.5,1.5,3.17,0.67,20.18,0.97,0,0.17,46.1,50.44,45.52,45.25,44.6,3.16,0.27,2.82,0.21,49.2,43.2,54.9,45.2,2.4,0.17,3,0.13,42.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,compher,j,compher5400cj,87268-70279,C,j,J.T. Compher,compher,11.36363636,55,5400,COL@WPG,COL,WPG,,,,,,C/UTIL,compher5400cj,4300
connor8500wk,84.17,Kyle Connor,8500,W,0,WPG,COL-A.Georgiev,17.79,22.2,13.3,1.94,2.1,1,1,22,0,-1.7,86,0,2,3.1,3,-115,6,53,116,18.1,2.3,75,32,20,86,13.6,62,37,25,8,0.51,0.7,1.21,20.91,3.47,3.44,4.8,0.72,0.15,0.34,3.78,14.77,14.98,11.48,0.1,0.27,3.36,1,1.5,0.67,0.02,0,0.38,0.43,0.16,0.03,3.2,0.2,0.7,0.9,21.27,2.54,3.4,5.5,0.62,0.06,0.1,3.5,13.6,12.3,0.1,0.2,4.05,1.6,14.17,4,3.83,0.17,6.2,2.67,20.55,3.66,0.17,0.33,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,connor,k,connor8500wk,87268-70125,W,k,Kyle Connor,connor,17.10862048,58,8500,COL@WPG,WPG,COL,,,,,,W/UTIL,connor8500wk,7900
cousins3900cn,68.64,Nick Cousins,3900,C,0,FLA,BUF-ULuukkonen,5.54,7.1,4,-1.08,1.4,3,0,1,0,-1.8,34,0,4,4.2,3,-202,7,60,-205,6.1,-0.3,53,24,37,94,6.3,60,40,30,10,0.1,0.24,0.35,11.64,1.81,1.3,1.74,0.75,0.08,0.47,1.77,10.6,11.08,7.89,0,0,0.67,0.06,0.12,0.5,0,0,0.1,0.24,0.57,0.01,1.4,0.09,0.36,0.45,11.68,2.31,1.18,1.55,0.76,0.08,0.55,1.73,14.55,12,0,0,0.07,0,14.71,1.43,1.14,0.29,1.57,0,11.65,0.1,0,0,49.36,50.74,42.14,41.46,44.81,3.38,0.23,2.75,0.26,57.45,43.1,48.18,44.7,2.82,0.1,2.5,0.32,46.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,cousins,n,cousins3900cn,87268-15307,C,n,Nick Cousins,cousins,6,60,3900,BUF@FLA,FLA,BUF,,,,,,C/UTIL,cousins3900cn,2500
cozens6800cd,77.71,Dylan Cozens,6800,C,0,BUF,FLA-SBobrovsky,9.92,12.5,7.3,-2.65,1.5,2,2,7,0,2.5,12,2,1,3,4.2,170,7,40,168,11.2,1.1,61,32,37,86,9.8,44,44,11,9,0.26,0.46,0.72,16.24,2.66,2.33,3.12,0.75,0.11,0.29,2.62,10.98,10.58,8.28,0.05,0.19,2.58,0.43,0.61,0.7,0.02,0.01,0.19,0.26,0.66,0.02,2.67,0.44,0.22,0.67,15.14,2.65,2.11,3.33,0.63,0.21,0.22,2.33,9.44,11.22,0,0.11,2.58,0.33,10.83,2.17,2,0.17,3,0.5,15.43,2.7,0,0.17,45.46,44.81,41.46,42.14,50.74,3.17,0.25,3.51,0.25,44.7,48.18,43.1,57.45,2.6,0.19,3.27,0.28,54.86,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,cozens,d,cozens6800cd,87268-113279,C,d,Dylan Cozens,cozens,13.21999956,55,6800,BUF@FLA,BUF,FLA,,,,,,C/UTIL,cozens6800cd,5000
dadonov3900we,55.79,Evgenii Dadonov,3900,W,0,MTL,PHI-C.Hart,7.97,10.1,5.8,1.09,2,2,2,3,0,-1.8,72,1,3,2.7,3.4,140,6,54,125,8.3,0.5,51,23,35,88,7.2,55,44,44,9,0.18,0.34,0.52,14.8,2.11,1.58,2.13,0.74,0.11,0.51,2.09,12.18,11.65,8.72,0.04,0.06,1.85,0.2,0.26,0.75,0,0,0.14,0.27,0.29,0,1.78,0,0.6,0.6,15.62,2.3,1,1.7,0.59,0,0.6,1.6,10.4,13.6,0,0.3,2.3,0.2,10.83,2,1.17,0.83,2,0.33,15.24,1.72,0,0.33,45.61,41.22,49.86,47.24,42.98,3.13,0.17,2.79,0.25,39.4,51.18,51.2,44.09,2.7,0.26,2.64,0.28,43.71,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,dadonov,e,dadonov3900we,87268-8875,W,e,Evgenii Dadonov,dadonov,6.504000244,50,3900,MON@PHI,MON,PHI,,,,,,W/UTIL,dadonov3900we,3000
dahlin8400dr,78.55,Rasmus Dahlin,8400,D,0,BUF,FLA-S.Bobrovsky,15.52,19.4,11.6,-1.52,1.8,1,1,18,0,-0.2,11,2,1,3,4.2,170,7,40,168,15.3,0.6,69,34,25,86,14.8,66,22,22,9,0.22,0.74,0.96,25.44,2.26,2.55,3.35,0.76,0.09,1.51,4.06,18.75,15.95,14.25,0.07,0.34,3.59,0.57,0.77,0.75,0,0.01,0.15,0.39,1.13,0,2.14,0,0.9,0.9,25.62,2.11,2.7,3.6,0.75,0,1.5,4.2,19.8,15.3,0,0.4,3.18,0.7,20.5,4,2.5,1.5,3.5,0.83,25.31,3.4,0,0.5,45.46,44.81,41.46,42.14,50.74,3.17,0.25,3.51,0.25,44.7,48.18,43.1,57.45,2.6,0.19,3.27,0.28,54.86,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,dahlin,r,dahlin8400dr,87268-85132,D,r,Rasmus Dahlin,dahlin,17.64181796,55,8400,BUF@FLA,BUF,FLA,,,,,,D/UTIL,dahlin8400dr,7000
danault5400cp,69.28,Phillip Danault,5400,C,0,LA,NYI-ISorokin,9.99,12.6,7.4,0.29,1.9,2,2,3,0,-3.3,76,2,1,2.9,3.3,114,6,45,112,11.7,2,69,37,30,96,10.8,66,33,33,9,0.31,0.39,0.7,18.52,2.27,2.08,2.9,0.72,0.15,0.9,2.98,13.89,12.84,10.57,0.07,0.14,2.34,0.32,0.43,0.75,0,0.05,0.24,0.2,0.61,0,2.34,0.1,0.5,0.6,18.64,1.93,2.2,2.8,0.79,0.05,0.8,3,14.5,13.8,0,0.3,1.52,0.4,14.33,2,1.33,0.67,1.83,0.33,18.4,1.39,0,0.5,49.4,47.98,49.21,44.46,44.19,3.21,0.23,2.94,0.17,46.2,50.58,45.6,47.92,2.9,0.34,2.75,0.21,45.43,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,danault,p,danault5400cp,87268-15277,C,p,Phillip Danault,danault,11.12372861,59,5400,LA@NYI,LA,NYI,,,,,,C/UTIL,danault5400cp,4600
deangelo6200dt,73.4,Tony DeAngelo,6200,D,0,PHI,MTL-J.Allen,13.01,16.3,9.7,0.7,2.1,3,1,6,0,-3.3,82,1,3,3.4,2.7,-165,6,46,-145,11.3,-0.7,53,18,31,103,11.1,60,40,30,10,0.13,0.47,0.61,21.94,1.67,2.47,3.26,0.76,0.05,1.11,3.58,17.32,16.18,13.11,0.06,0.22,3.24,0.63,0.77,0.81,0,0,0.08,0.25,0.85,0,1.88,0.27,0.18,0.45,19.9,1.36,2.91,3.73,0.78,0.09,0.82,3.73,18.09,15.36,0,0,2.44,0.45,18,3.29,2.29,1,3.43,0.43,20.56,2.33,0,0,47.1,42.98,47.24,49.86,41.22,2.92,0.13,3.49,0.26,44.09,51.2,51.18,39.4,2.09,0.09,3.2,0.28,39.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,deangelo,t,deangelo6200dt,87268-58928,D,t,Tony DeAngelo,deangelo,11.5462963,54,6200,MON@PHI,PHI,MON,,,,,,D/UTIL,deangelo6200dt,5600
debrincat7300wa,67.21,Alex DeBrincat,7300,W,0,OTT,CAR-F.Andersen,12.97,16.3,9.7,-0.54,1.8,2,1,8,0,-2.3,72,1,4,2.6,4.1,200,6.5,23,215,15.8,1.4,72,35,23,85,14,60,40,40,10,0.36,0.62,0.98,20.14,2.92,3.4,4.45,0.76,0.11,0.42,3.81,14.88,14.35,11.01,0.13,0.24,3.95,0.94,1.24,0.76,0,0,0.23,0.37,0.37,0.02,2.39,0.4,0.5,0.9,18.23,2.96,2.5,3.4,0.74,0.16,0.7,3.2,13.2,14.2,0.2,0,3.64,1,11,2.83,2.17,0.67,3,0.67,18.79,3.75,0.17,0,40.67,45.61,36.77,44.29,52.18,3.39,0.26,3.3,0.19,43.5,37.2,47.4,53.4,3.5,0.23,2.8,0.11,59,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,debrincat,a,debrincat7300wa,87268-73885,W,a,Alex DeBrincat,debrincat,14.38214329,56,7300,OTT@CAR,OTT,CAR,,,,,,W/UTIL,debrincat7300wa,6400
demelo3900dd,64.25,Dylan DeMelo,3900,D,0,WPG,COL-A.Georgiev,5.86,7.5,4.3,-1.51,1.5,1,0,1,0,-3.4,85,0,2,3.1,3,-115,6,53,116,6.7,-0.4,74,25,18,86,5.9,50,25,0,8,0.02,0.27,0.29,19.95,0.87,1.17,1.66,0.7,0.02,1.39,2.56,15.59,15.33,11.82,0,0,0.06,0,0,0,0.01,0.02,0.01,0.24,0.46,0,1.53,0,0.14,0.14,19.46,0.43,1.29,2,0.64,0,2.14,3.43,17.57,15.43,0,0,0.05,0,15.6,3.4,1.8,1.6,2.75,0,20.09,0.07,0,0,48.39,44.6,45.25,45.52,50.44,3.1,0.23,2.9,0.21,45.2,54.9,43.2,49.2,3.6,0.14,2.4,0.17,45.83,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,demelo,d,demelo3900dd,87268-21936,D,d,Dylan DeMelo,demelo,6.76862769,51,3900,COL@WPG,WPG,COL,,,,,,D/UTIL,demelo3900dd,3400
denisenko3200wg,52.08,Grigori Denisenko,3200,W,0,FLA,BUF-U.Luukkonen,5.19,6.7,3.7,-0.32,1.6,4,0,1,0,0,82,0,4,4.2,3,-202,7,60,-205,3.9,-0.4,13,1,11,61,1.3,10,40,0,10,0,0.19,0.19,9.89,1.15,0.88,1.31,0.67,0,0.5,1.38,7.8,8.6,5.13,0,0,0.37,0,0,0,0,0,0,0.19,0.25,0,0.9,0,0,0,7.61,0,0.5,1,0.5,0,0.33,0.83,6.33,7.67,0,0,0.12,0,6.2,0.8,0.6,0.2,1.2,0,7.09,0,0,0,49.36,50.74,42.14,41.46,44.81,3.38,0.23,2.75,0.26,57.45,43.1,48.18,44.7,2.82,0.1,2.5,0.32,46.17,2/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,denisenko,g,denisenko3200wg,87268-135673,W,g,Grigori Denisenko,denisenko,3.576470543,17,3200,BUF@FLA,FLA,BUF,,,,,,W/UTIL,denisenko3200wg,2500
