,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
acciari4000cn,45.6,Noel Acciari,4000,C,0,STL,TB-AVasilevskiy,6.41,8.2,4.6,-0.42,1.6,3,0,1,0,-0.7,66,0,2,2.6,3.6,159,6,27,130,6.9,0.4,45,19,28,97,6.4,57,42,14,14,0.17,0.18,0.35,12.98,1.62,1.25,1.75,0.71,0.13,0.9,2.15,9.06,10.43,7.03,0,0,0.14,0.01,0.01,1,0,0.03,0.17,0.15,0.29,0.04,1.42,0.07,0.29,0.36,14.59,1.48,0.93,1.23,0.75,0.08,1,1.93,9,12.5,0,0,0.09,0.08,9.57,1.86,0.86,1,1.29,0.14,16.55,0.11,0,0,40.26,40.14,43.45,48.1,44.25,2.92,0.27,3.25,0.2,37.46,41.42,48.46,47.5,2.92,0.34,2.92,0.17,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,acciari,n,acciari4000cn,85980-62861,C,n,Noel Acciari,acciari,7.813953488,43,4000,TB@STL,STL,TB,,,,,,C/UTIL,acciari4000cn
addison4200dc,62.4,Calen Addison,4200,D,0,MIN,ARI-K.Vejmelka,9.59,12.1,7.1,1.58,2.3,3,1,2,0,-2.6,28,0,2,4.1,2.1,-370,6,92,-365,6.9,-0.7,20,9,29,91,8.1,36,63,27,11,0.08,0.41,0.49,16.16,1.82,1.24,1.73,0.72,0.07,0.55,1.8,12,10.42,9.08,0,0.31,3.44,0.32,0.4,0.79,0,0,0.08,0.1,0.37,0,1.49,0.08,0.38,0.46,16.25,1.7,1.31,2,0.65,0.06,0.54,1.85,11.58,9.08,0,0.31,4.08,0.58,12.33,2.17,1.83,0.33,2.5,1.17,16.38,3.85,0,0.5,47.27,44.27,49.78,41.82,37.88,3.2,0.23,3.33,0.26,43.58,45.62,42.17,40.54,3.25,0.18,3.33,0.35,41.86,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,addison,c,addison4200dc,85980-97055,D,c,Calen Addison,addison,7.607499695,40,4200,ARI@MIN,MIN,ARI,,,,,,D/UTIL,addison4200dc
aho3900ds,64,Sebastian Aho,3900,D,0,NYI,MTL-S.Montembeault,15.77,19.8,11.7,8.4,4,2,2,2,0,-0.9,28,0,2,3.4,2.2,-240,5.5,87,-230,4.5,-1.1,38,16,41,97,5.8,69,30,15,13,0.08,0.2,0.28,16.2,1.04,1.03,0,0,0.08,1,2.03,0,0,0,0,0.02,0,0,0,0,0,0,0.08,0.19,0.25,0,1.3,0.08,0.08,0.15,19.49,0.46,1.31,0,0,0.06,1.38,2.69,0,0,0,0,0,0,0,3.17,1.5,1.67,0,0,19.5,0,0,0,44.79,42.77,46.3,48.27,41.37,2.65,0.22,3.52,0.24,41.75,47,47.58,39.36,2.45,0.11,3.77,0.41,43.83,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,aho,s,aho3900ds,85980-82154,D,s,Sebastian Aho,aho,5.353846232,39,3900,MON@NYI,NYI,MON,,,,,,D/UTIL,aho3900ds
aho7500cs,84.15,Sebastian Aho,7500,C,0,CAR,PIT-CDesmith,15.77,19.8,11.8,1.76,2.1,1,2,8,0,-1.1,51,1,2,3.6,2.5,-210,6,82,-156,14.2,-1.2,64,23,28,102,13.9,35,28,21,14,0.4,0.53,0.93,19.17,2.91,2.7,3.96,0.68,0.15,0.33,3.03,13.63,10.89,10.48,0.1,0.19,3.22,0.63,1.09,0.58,0.03,0.02,0.27,0.32,0.6,0.05,3.11,0.22,0.67,0.89,19.03,2.81,3,4.25,0.71,0.07,0.33,3.33,13.75,7.88,0,0.33,3.95,0.75,13.29,3.57,3.14,0.43,4.29,1.29,19.67,4.03,0,0.43,48.74,51.51,45.88,37.8,47.94,3.15,0.19,2.84,0.19,51.92,45.09,33.77,42.55,3.92,0.23,3.36,0.14,42.17,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,aho,s,aho7500cs,85980-73946,C,s,Sebastian Aho,aho,14.99714355,35,7500,PIT@CAR,CAR,PIT,,,,,,C/UTIL,aho7500cs
alexandrov3500cn,29.9,Nikita Alexandrov,3500,C,0,STL,TB-AVasilevskiy,3.63,4.7,2.6,-2.17,1,4,0,1,0,-4.7,66,0,2,2.6,3.6,159,6,27,130,5.4,0.1,11,4,8,69,8.3,50,50,33,6,0.14,0.14,0.29,8.78,1.98,1,1.21,0.82,0.14,0.57,1.57,6.79,8.36,5.07,0,0,0.03,0,0,0,0,0,0.14,0.14,0.14,0,0.94,0.33,0.17,0.5,8.11,3.7,1.17,1.5,0.78,0.29,0.67,1.83,6.83,7.83,0,0,0,0,6.83,1.83,1.17,0.67,1.5,0,8.11,0,0,0,40.26,40.14,43.45,48.1,44.25,2.92,0.27,3.25,0.2,37.46,41.42,48.46,47.5,2.92,0.34,2.92,0.17,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,alexandrov,n,alexandrov3500cn,85980-113932,C,n,Nikita Alexandrov,alexandrov,5.333333333,15,3500,TB@STL,STL,TB,,,,,,C/UTIL,alexandrov3500cn
allison4300ww,29.84,Wade Allison,4300,W,0,PHI,WAS-D.Kuemper,5.9,7.5,4.3,-1.76,1.4,3,0,1,0,-5.4,28,0,3,2.5,3.7,182,6,28,130,5,0,18,5,20,87,6.1,33,50,16,12,0.2,0.04,0.24,12.14,1.19,1.56,2.36,0.66,0.13,0.96,2.52,10.72,11.52,8.64,0,0,0.62,0.08,0.08,1,0,0,0.2,0.04,0.32,0,1.45,0.2,0,0.2,11.95,1,1.3,2.5,0.52,0.15,1,2.3,11.4,10.2,0,0,0.11,0,12.5,3,2,1,3,0,12.47,0.12,0,0,46.49,42.44,45.97,48.85,45.29,3,0.13,2.88,0.19,45,47.33,46.75,49.5,3.36,0.19,2.73,0.23,49.17,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,allison,w,allison4300ww,85980-128513,W,w,Wade Allison,allison,6.900000254,24,4300,PHI@WSH,PHI,WSH,,,,,,W/UTIL,allison4300ww
amadio5100wm,64.13,Michael Amadio,5100,W,0,VGK,EDM-S.Skinner,9.29,11.8,6.8,0.07,1.8,3,2,4,0,-1,28,0,2,3.5,3.1,-132,6.5,30,-156,5.7,-0.2,34,19,44,86,11.2,66,33,41,12,0.23,0.15,0.38,12.41,1.84,1.25,1.54,0.81,0.18,0.3,1.54,12.74,10.63,9.11,0.02,0,0.23,0.03,0.03,1,0,0,0.21,0.15,0.34,0,1.71,0.42,0.33,0.75,14.53,3.1,2.08,2.45,0.85,0.2,0.08,2.17,15.9,11.2,0.08,0,0.75,0.09,15.8,1.4,1.2,0.2,1.8,0,13.88,0.64,0,0,46.31,49.81,44.54,47.46,47.69,2.65,0.23,3.44,0.24,49.36,41.08,44,47.92,2.3,0.39,3.55,0.26,47.57,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,amadio,m,amadio5100wm,85980-59142,W,m,Michael Amadio,amadio,6.748275757,29,5100,EDM@VGK,VGK,EDM,,,,,,W/UTIL,amadio5100wm
andersen8300gf,76.65,Frederik Andersen,8300,G,0,CAR,PIT-C.DeSmith,17.68,22.2,13.1,-0.09,2.1,1,0,9,0,-2.6,40,1,0,3.6,2.5,-210,6,82,-156,16.7,0.5,25,18,14,102,20.8,7,0,0,14,2.35,0,0,0,0,27.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,47.94,0,0,0,0,0,0,33.77,42.55,0,0,0,0,42.17,1/14/2023,0,24.8,0.62,0.3,59.92,0.08,21,2,1,1,39.63,3.33,34.26,3.37,0.19,3.3,0.22,2.67,29,4,0.21,4,0.23,30.17,PIT,andersen,f,andersen8300gf,85980-23072,G,f,Frederik Andersen,andersen,13.6,10,8300,PIT@CAR,CAR,PIT,,,,,,G,andersen8300gf
anderson3700dm,66.35,Mikey Anderson,3700,D,0,LA,NJD-M.Blackwood,6.39,8.1,4.7,-0.55,1.7,1,0,1,0,-3.3,85,0,3,3.4,3.3,-117,6.5,34,-126,6.2,-0.8,57,14,17,96,7.4,92,7,30,13,0.04,0.21,0.25,21.17,0.71,1.11,1.66,0.67,0.04,1.51,2.62,17.06,15.53,12.74,0,0,0.1,0.01,0.01,1,0,0,0.04,0.21,0.3,0,1.19,0,0.31,0.31,22.17,0.84,1.38,1.75,0.79,0,1.69,3.08,16.58,13.92,0,0,0.2,0,16.5,2.83,1.17,1.67,1.33,0,22.05,0.09,0,0,46.52,48.5,43.95,43.04,49.12,3.22,0.2,2.81,0.19,44.83,45.77,42.58,50.46,3.73,0.29,3.42,0.17,44.43,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,anderson,m,anderson3700dm,85980-103753,D,m,Mikey Anderson,anderson,6.64888916,45,3700,NJ@LA,LA,NJ,,,,,,D/UTIL,anderson3700dm
anderson4600wj,41.73,Josh Anderson,4600,W,0,MTL,NYI-I.Sorokin,8.63,10.9,6.3,0.39,1.9,2,2,2,0,-4,22,1,2,2.2,3.4,197,5.5,13,188,8.2,0.1,55,25,40,87,8.1,69,30,30,13,0.27,0.12,0.39,16.6,1.41,2.06,2.99,0.69,0.13,0.58,2.64,12.02,13.48,8.88,0.05,0,1.92,0.29,0.43,0.67,0,0,0.23,0.12,1.02,0,2.26,0.21,0.07,0.29,16.77,1.04,2.14,3.14,0.68,0.1,0.86,3,9.15,12.31,0.07,0,1.87,0.43,9.5,3.17,2,1.17,3.5,0.33,15.85,1.34,0,0,45.11,41.37,48.27,46.3,42.77,3.08,0.16,2.78,0.16,39.36,47.58,47,41.75,3,0.21,3.18,0.17,38.67,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,anderson,j,anderson4600wj,85980-42772,W,j,Josh Anderson,anderson,8.284999847,40,4600,MON@NYI,MON,NYI,,,,,,W/UTIL,anderson4600wj
andersondolan3600cj,48,J. Anderson-Dolan,3600,C,0,LA,NJD-MBlackwood,4.02,5.2,2.9,-1.99,1.1,4,0,1,0,-0.8,59,0,3,3.4,3.3,-117,6.5,34,-126,4.3,-0.3,19,3,15,96,3.9,69,30,7,13,0.09,0.09,0.17,10.69,0.95,1.06,1.58,0.67,0.08,0.66,1.71,8.85,8.97,6.67,0,0,0.17,0,0,0,0,0,0.09,0.09,0.17,0,0.97,0.08,0.08,0.15,9.84,0.91,0.77,1,0.77,0.1,0.69,1.46,7.42,7.75,0,0,0.21,0,7.83,1.83,1,0.83,1,0,10.28,0.34,0,0,46.52,48.5,43.95,43.04,49.12,3.22,0.2,2.81,0.19,44.83,45.77,42.58,50.46,3.73,0.29,3.42,0.17,44.43,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,andersondolan,j,andersondolan3600cj,85980-82026,C,j,Jaret Anderson-Dolan,andersondolan,4.38787888,33,3600,NJ@LA,LA,NJ,,,,,,C/UTIL,andersondolan3600cj
armia3800wj,36.75,Joel Armia,3800,W,0,MTL,NYI-I.Sorokin,7.19,9.2,5.2,0.51,1.9,3,2,1,0,-3.5,51,1,2,2.2,3.4,197,5.5,13,188,6,-0.1,47,13,20,87,6.7,69,23,15,13,0.14,0.12,0.25,14.22,1.06,1.8,2.43,0.74,0.08,0.53,2.32,10.58,10.86,7.63,0.02,0.02,0.83,0.24,0.27,0.88,0.02,0,0.1,0.1,0.27,0,1.77,0.23,0.08,0.31,14.31,1.3,1.31,1.92,0.68,0.18,0.62,1.92,9.67,11.75,0,0,0.41,0.08,12.8,2.2,1.6,0.6,2.6,0,16,0.49,0,0,45.11,41.37,48.27,46.3,42.77,3.08,0.16,2.78,0.16,39.36,47.58,47,41.75,3,0.21,3.18,0.17,38.67,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,armia,j,armia3800wj,85980-42983,W,j,Joel Armia,armia,5.839999898,30,3800,MON@NYI,MON,NYI,,,,,,W/UTIL,armia3800wj
arvidsson7100wv,83.62,Viktor Arvidsson,7100,W,0,LA,NJD-M.Blackwood,13.92,17.5,10.4,0.8,2,2,2,5,0,-1.6,6,0,3,3.4,3.3,-117,6.5,34,-126,12.8,1.7,56,21,25,96,14.9,69,15,23,13,0.3,0.49,0.79,16.49,2.87,2.84,4,0.71,0.11,0.59,3.43,14.51,12.27,11.32,0.07,0.12,2.16,0.43,0.58,0.74,0,0,0.24,0.37,0.18,0.04,2.74,0.36,0.64,1,16.52,3.63,2.91,3.4,0.86,0.12,0.45,3.36,13.1,11.7,0,0.18,2.14,0.4,14.4,3.6,3,0.6,3.4,0.4,17.03,1.92,0,0,46.52,48.5,43.95,43.04,49.12,3.22,0.2,2.81,0.19,44.83,45.77,42.58,50.46,3.73,0.29,3.42,0.17,44.43,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,arvidsson,v,arvidsson7100wv,85980-59207,W,v,Viktor Arvidsson,arvidsson,12.79000015,40,7100,NJ@LA,LA,NJ,DTD,Illness,,,,W/UTIL,arvidsson7100wv
asplund3200cr,56.31,Rasmus Asplund,3200,C,0,BUF,NAS-JSaros,4.62,5.9,3.3,-0.57,1.4,4,0,1,0,-5.4,82,0,2,3.2,3.5,110,6.5,59,130,5.2,-0.9,40,17,38,86,1.1,0,27,0,11,0.07,0.22,0.3,12.6,1.43,1.42,1.89,0.75,0.05,0.21,1.63,9.71,9.3,7.53,0,0.01,0.37,0.06,0.09,0.67,0.01,0,0.06,0.21,0.09,0.01,0.94,0,0,0,11.72,0,0.67,1,0.67,0,0,0.67,5.67,14.33,0,0,0,0,8,1,1,0,1.5,0,11.04,0,0,0,48.42,43.33,47.36,42.59,43.9,3.2,0.25,3.49,0.24,43.55,53.17,43.91,45.33,3.18,0.23,3.55,0.21,44,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,asplund,r,asplund3200cr,85980-84403,C,r,Rasmus Asplund,asplund,5.135999756,25,3200,BUF@NSH,BUF,NSH,,,,,,C/UTIL,asplund3200cr
astonreese3500wz,39.2,Z. Aston-Reese,3500,W,0,TOR,BOS-L.Ullmark,3.94,5.1,2.8,-2.16,1.1,4,0,1,0,-4.2,66,0,2,2.8,3.4,132,6,35,128,4.2,-1.8,42,14,49,87,3.3,38,61,7,13,0.1,0.05,0.15,11.73,0.77,1.05,1.58,0.67,0.1,0.64,1.69,8.29,9.31,6.41,0,0,0.04,0,0,0,0,0,0.1,0.05,0.32,0.03,0.94,0.08,0,0.08,10.19,0.47,1.08,2.08,0.52,0.07,0.38,1.46,8,7.92,0,0,0.01,0,7.14,1.29,0.86,0.43,2,0,9.2,0.01,0,0,45.08,47.17,40.52,42.13,46.49,3.13,0.25,3.47,0.17,45,46.92,37.75,46.33,3.33,0.25,3.09,0.15,46.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,astonreese,z,astonreese3500wz,85980-79820,W,z,Zach Aston-Reese,astonreese,3.795348766,43,3500,TOR@BOS,TOR,BOS,,,,,,W/UTIL,astonreese3500wz
athanasiou4200wa,42.79,A. Athanasiou,4200,W,0,CHI,SEA-M.Jones,8.39,10.6,6.1,0.93,2,3,2,1,0,-4.7,72,0,2,2.4,3.8,205,6,27,220,8.6,0.6,42,17,25,92,7.3,53,46,23,13,0.29,0.11,0.4,15.45,1.55,2.1,2.98,0.7,0.14,0.66,2.76,10.79,14.16,8.28,0.02,0.02,1.67,0.33,0.52,0.62,0,0,0.27,0.1,0.55,0.03,1.88,0.23,0.08,0.31,14.9,1.25,1.92,2.67,0.72,0.12,0.54,2.46,9.67,11.33,0,0,1.85,0.08,9,2.33,1.67,0.67,2.5,0.33,14.77,1.8,0,0,42.29,39.61,42.49,50.13,44.92,2.95,0.2,3.14,0.29,40.17,45.23,46.83,45.08,3,0.12,2.85,0.3,42,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,athanasiou,a,athanasiou4200wa,85980-43139,W,a,Andreas Athanasiou,athanasiou,7.841025328,39,4200,SEA@CHI,CHI,SEA,,,,,,W/UTIL,athanasiou4200wa
bailey3800wj,77.52,Josh Bailey,3800,W,0,NYI,MTL-S.Montembeault,8.46,10.7,6.2,1.78,2.2,1,2,4,0,1.7,81,0,2,3.4,2.2,-240,5.5,87,-230,7.8,0.5,59,30,34,97,6.8,76,23,30,13,0.21,0.32,0.53,16.18,1.96,1.31,1.71,0.77,0.16,0.37,1.68,10.76,13.08,7.94,0.01,0.09,1.51,0.15,0.22,0.68,0,0,0.2,0.23,0.09,0,2.17,0.08,0.38,0.46,16.86,1.64,1.23,1.75,0.7,0.06,0.54,1.77,11.91,12.91,0,0,1.72,0.42,13,2,1.67,0.33,2.17,0.67,16.79,1.64,0,0,44.79,42.77,46.3,48.27,41.37,2.65,0.22,3.52,0.24,41.75,47,47.58,39.36,2.45,0.11,3.77,0.41,43.83,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,bailey,j,bailey3800wj,85980-8495,W,j,Josh Bailey,bailey,6.958974202,39,3800,MON@NYI,NYI,MON,,,,,,W/UTIL,bailey3800wj
barbashev4300wi,48.07,Ivan Barbashev,4300,W,0,STL,TB-A.Vasilevskiy,7.72,9.8,5.6,0.06,1.8,2,2,2,0,-4.9,28,0,2,2.6,3.6,159,6,27,130,7.8,-0.3,48,25,51,96,8,50,50,28,14,0.19,0.34,0.53,15.71,2.02,1.29,1.71,0.76,0.15,0.37,1.66,10.24,13.75,7.91,0,0.04,1.61,0.18,0.24,0.74,0,0,0.19,0.3,0.49,0.02,1.69,0.14,0.43,0.57,17.49,1.96,1.29,2.15,0.6,0.11,0.5,1.79,11.25,15.33,0,0.07,2.11,0.08,11,1.86,1.43,0.43,2.43,0.14,16.4,1.19,0,0,40.26,40.14,43.45,48.1,44.25,2.92,0.27,3.25,0.2,37.46,41.42,48.46,47.5,2.92,0.34,2.92,0.17,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,barbashev,i,barbashev4300wi,85980-58880,W,i,Ivan Barbashev,barbashev,7.476744186,43,4300,TB@STL,STL,TB,,,,,,W/UTIL,barbashev4300wi
barkov7600ca,93.76,Aleksander Barkov,7600,C,0,FLA,VAN-SMartin,19.7,24.6,14.8,5.48,2.6,2,1,5,0,3,59,0,2,3.9,2.7,-215,6.5,63,-230,17.3,0.6,57,27,30,98,15.2,46,30,23,13,0.41,0.75,1.16,20.88,3.33,3.2,4.24,0.75,0.13,0.63,3.83,15.83,10.99,11.98,0.15,0.29,3.86,0.79,1.13,0.7,0.01,0.01,0.25,0.45,0.21,0.02,2.4,0.4,0.8,1.2,19.6,3.67,1.7,2.4,0.71,0.24,0.6,2.3,12.8,11.4,0.1,0.6,3.54,0.2,13.71,2.43,1.57,0.86,2.14,0.29,21.28,3.64,0,0.43,46.82,50.74,47.09,40.8,43.67,3.38,0.23,2.85,0.28,46.69,45.73,46.15,40.36,3.17,0.32,2.9,0.45,39.6,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,barkov,a,barkov7600ca,85980-41393,C,a,Aleksander Barkov,barkov,15.32121231,33,7600,VAN@FLA,FLA,VAN,,,,,,C/UTIL,barkov7600ca
barrie5800dt,71.3,Tyson Barrie,5800,D,0,EDM,VGK-L.Thompson,9,11.3,6.7,-2.45,1.6,2,1,3,0,-4.1,66,2,1,3.1,3.5,112,6.5,70,130,10.2,0.4,61,25,31,108,12.3,64,35,21,14,0.1,0.5,0.6,19.04,1.89,1.96,2.71,0.72,0.05,1.13,3.09,13.55,13.63,10.34,0.03,0.33,3.04,0.5,0.71,0.71,0,0.01,0.07,0.16,0.38,0,1.74,0.07,0.64,0.71,20.34,2.09,2.29,2.67,0.86,0.03,1.5,3.79,13,12,0,0.5,3.69,0.58,11.86,3.38,1.88,1.5,2,1,19.21,3.7,0,0.25,47.43,47.69,47.46,44.54,49.81,3.26,0.29,2.52,0.24,47.92,44,41.08,49.36,3.91,0.4,2.8,0.11,49.2,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,barrie,t,barrie5800dt,85980-13981,D,t,Tyson Barrie,barrie,11.38409077,44,5800,EDM@VGK,EDM,VGK,,,,,,D/UTIL,barrie5800dt
barron3600dj,26.05,Justin Barron,3600,D,0,MTL,NYI-I.Sorokin,4.3,5.5,3.1,-2.42,1.2,4,0,1,0,-8.1,44,1,2,2.2,3.4,197,5.5,13,188,6.3,-0.1,10,3,3,55,2,28,28,0,7,0.11,0.11,0.22,17.88,0.74,1.89,2,0.94,0.06,0.56,2.44,12.33,15.11,9.67,0,0,0.72,0,0,0,0,0,0.11,0.11,0.22,0,1.23,0,0,0,16.45,0,1,1.25,0.8,0,0.25,1.25,12.25,14,0,0,0.06,0,13.33,1.67,1.33,0.33,1.33,0,16.14,0.08,0,0,45.11,41.37,48.27,46.3,42.77,3.08,0.16,2.78,0.16,39.36,47.58,47,41.75,3,0.21,3.18,0.17,38.67,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYI,barron,j,barron3600dj,85980-149590,D,j,Justin Barron,barron,1.920000076,5,3600,MON@NYI,MON,NYI,,,,,,D/UTIL,barron3600dj
barzal6800cm,86.76,Mathew Barzal,6800,C,0,NYI,MTL-SMontembeault,15.93,20,11.9,3.36,2.3,1,1,6,0,3.5,45,0,2,3.4,2.2,-240,5.5,87,-230,12,0.3,63,25,28,97,15.6,76,15,46,13,0.21,0.66,0.87,18.28,2.86,2.17,2.86,0.76,0.1,0.39,2.56,14.02,13.72,10.26,0.04,0.28,3.12,0.53,0.67,0.79,0,0,0.17,0.38,0.27,0,2.56,0.67,0.25,0.92,18.85,2.93,2.42,2.91,0.83,0.28,1,3.42,12.7,12.9,0.08,0.08,3.54,0.73,12.6,2.6,2,0.6,3,0.4,19.14,3.38,0,0.2,44.79,42.77,46.3,48.27,41.37,2.65,0.22,3.52,0.24,41.75,47,47.58,39.36,2.45,0.11,3.77,0.41,43.83,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,barzal,m,barzal6800cm,85980-66685,C,m,Mathew Barzal,barzal,13.73333304,42,6800,MON@NYI,NYI,MON,,,,,,C/UTIL,barzal6800cm
batherson7300wd,71.05,Drake Batherson,7300,W,0,OTT,COL-A.Georgiev,12.91,16.2,9.6,-0.6,1.8,2,1,16,0,0.7,42,0,2,2.7,3.4,135,6,26,176,13.2,0.2,47,18,19,91,15.6,100,0,45,11,0.32,0.52,0.84,18.63,2.7,2.81,4.2,0.67,0.11,0.32,3.13,14.4,12.7,10.65,0.21,0.18,3.72,0.69,1.03,0.67,0,0,0.11,0.34,0.58,0,3.01,0.46,0.54,1,19.1,3.14,3.46,5.42,0.64,0.13,0.62,4.08,13.75,11.58,0.38,0.15,4.42,1.08,14.5,3.83,3.33,0.5,5.67,1.17,18.75,4.05,0.17,0,43.74,46.36,44.13,44.83,50.5,3.19,0.24,2.94,0.21,45.5,38.58,42.67,53.08,3.92,0.28,2.91,0.34,45.67,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,batherson,d,batherson7300wd,85980-82190,W,d,Drake Batherson,batherson,14.41707258,41,7300,OTT@COL,OTT,COL,,,,,,W/UTIL,batherson7300wd
bayreuther3900dg,39.7,Gavin Bayreuther,3900,D,0,CLB,DET-V.Husso,0,0,0,-7.37,0,3,0,1,0,-4.6,17,0,2,2.7,4,190,6.5,23,215,4.9,-1,35,11,23,78,9.1,41,16,33,12,0.05,0.14,0.18,13.48,0.8,1.05,1.58,0.66,0.04,1.2,2.25,11.6,12.84,8.47,0,0,0.01,0,0,0,0,0,0.05,0.14,0.55,0,0.89,0.29,0.29,0.57,15.71,2.18,1.14,1.43,0.8,0.25,1,2.14,13,14.71,0,0,0,0,13,2.14,1.14,1,1.43,0,15.71,0,0,0,44.13,43.26,46.31,50.38,40.11,2.67,0.19,2.95,0.27,43.08,43.33,51.62,38,2.33,0.21,3.58,0.3,40,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,bayreuther,g,bayreuther3900dg,85980-79822,D,g,Gavin Bayreuther,bayreuther,5.866666521,21,3900,CBJ@DET,CBJ,DET,,,,,,D/UTIL,bayreuther3900dg
