,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
lizotte3700cb,67.22,Blake Lizotte,3700,C,0,LA,NJD-MBlackwood,6.43,8.2,4.7,0.22,1.7,3,0,1,0,-2.2,66,0,3,3.4,3.3,-117,6.5,34,-126,6.2,-0.4,55,25,37,96,6.8,69,30,23,13,0.14,0.23,0.37,12.42,1.79,1.34,1.66,0.81,0.11,0.34,1.68,10.92,9.19,7.91,0,0,0.12,0.02,0.05,0.5,0,0.01,0.14,0.22,0.67,0.01,1.23,0.08,0.46,0.54,14.37,2.25,0.85,1.33,0.63,0.09,0.54,1.38,12.25,12,0,0,0.04,0,12.83,1.17,0.67,0.5,1.17,0,14.71,0,0,0,46.52,48.5,43.95,43.04,49.12,3.22,0.2,2.81,0.19,44.83,45.77,42.58,50.46,3.73,0.29,3.42,0.17,44.43,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,lizotte,b,lizotte3700cb,85980-103276,C,b,Blake Lizotte,lizotte,6.808888753,45,3700,NJ@LA,LA,NJ,,,,,,C/UTIL,lizotte3700cb
lockwood3000ww,27.21,William Lockwood,3000,W,0,VAN,FLA-S.Bobrovsky,3.91,5,2.8,-1.21,1.3,4,0,1,0,-2.3,91,1,2,2.7,3.9,175,6.5,37,188,2.4,-1,15,0,19,52,1.6,20,80,0,5,0,0,0,11.05,0,0.89,1.33,0.67,0,0.61,1.5,8.41,9.65,6.24,0,0,0.11,0,0,0,0,0,0,0,0.5,0,0.97,0,0,0,10.3,0,0.6,0.8,0.75,0,0.4,1,8.2,8.8,0,0,0.1,0,8.2,1,0.6,0.4,0.8,0,10.3,0.1,0,0,43.05,43.67,40.8,47.09,50.74,3.23,0.26,3.51,0.25,40.36,46.15,45.73,46.69,3.5,0.2,3.25,0.38,46.14,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,lockwood,w,lockwood3000ww,85980-146162,W,w,William Lockwood,lockwood,3,8,3000,VAN@FLA,VAN,FLA,,,,,,W/UTIL,lockwood3000ww
lomberg3700wr,63.48,Ryan Lomberg,3700,W,0,FLA,VAN-S.Martin,4.8,6.2,3.4,-1.69,1.3,4,0,1,0,0.1,51,0,2,3.9,2.7,-215,6.5,63,-230,4.8,-1.3,39,15,40,98,6,69,30,23,13,0.14,0.1,0.24,10.53,1.37,1.35,1.95,0.7,0.1,0.23,1.58,10.42,9,7.7,0,0,0.06,0,0,0,0,0,0.14,0.1,1.16,0,1.3,0.08,0.15,0.23,11.2,1.23,2,2.31,0.87,0.04,0.38,2.38,11.33,11.92,0,0,0.21,0,9,1.71,1.43,0.29,1.71,0,8.91,0,0,0,46.82,50.74,47.09,40.8,43.67,3.38,0.23,2.85,0.28,46.69,45.73,46.15,40.36,3.17,0.32,2.9,0.45,39.6,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,lomberg,r,lomberg3700wr,85980-66754,W,r,Ryan Lomberg,lomberg,4.576744257,43,3700,VAN@FLA,FLA,VAN,,,,,,W/UTIL,lomberg3700wr
lundell4400ca,76.59,Anton Lundell,4400,C,0,FLA,VAN-SMartin,10.86,13.7,8,3.21,2.5,2,2,4,0,3,86,0,2,3.9,2.7,-215,6.5,63,-230,9.2,-0.2,41,18,35,98,6,38,38,7,13,0.21,0.32,0.53,15.14,2.1,2,2.6,0.77,0.11,0.62,2.62,11.71,9.16,8.76,0.01,0.07,1.48,0.22,0.41,0.55,0.03,0.03,0.17,0.22,0.46,0.01,2.46,0,0.2,0.2,15.21,0.79,2.3,2.7,0.85,0,0.4,2.7,9.3,9.6,0,0.1,1.66,0.5,9.14,3,2.57,0.43,2.86,0.57,15.41,1.7,0,0,46.82,50.74,47.09,40.8,43.67,3.38,0.23,2.85,0.28,46.69,45.73,46.15,40.36,3.17,0.32,2.9,0.45,39.6,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,lundell,a,lundell4400ca,85980-152882,C,a,Anton Lundell,lundell,8.714705523,34,4400,VAN@FLA,FLA,VAN,,,,,,C/UTIL,lundell4400ca
luostarinen4700we,68.25,Eetu Luostarinen,4700,W,0,FLA,VAN-S.Martin,8.34,10.6,6.1,-0.1,1.8,3,2,2,0,-4.2,4,0,2,3.9,2.7,-215,6.5,63,-230,6.2,-0.8,53,25,46,98,7.2,61,38,23,13,0.11,0.23,0.34,14.26,1.43,1.24,1.62,0.77,0.09,0.55,1.79,10.98,9.58,8.18,0.01,0.02,0.48,0.1,0.16,0.62,0.01,0.01,0.09,0.2,0.22,0,1.84,0.15,0.23,0.38,16.47,1.38,1.69,2.31,0.73,0.09,0.46,2.15,11.92,11.08,0.08,0,1.36,0.31,10.71,1.86,1.29,0.57,1.86,0.57,15.96,1.38,0,0,46.82,50.74,47.09,40.8,43.67,3.38,0.23,2.85,0.28,46.69,45.73,46.15,40.36,3.17,0.32,2.9,0.45,39.6,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,luostarinen,e,luostarinen4700we,85980-107994,W,e,Eetu Luostarinen,luostarinen,8.190697958,43,4700,VAN@FLA,FLA,VAN,,,,,,W/UTIL,luostarinen4700we
lyubushkin3700di,53.05,Ilya Lyubushkin,3700,D,0,BUF,NAS-J.Saros,3.47,4.5,2.5,-3.47,0.9,3,0,1,0,-3,28,0,2,3.2,3.5,110,6.5,59,130,4.1,-2.3,41,11,40,96,4.4,36,45,18,11,0.03,0.14,0.17,15.94,0.64,0.58,0.75,0.78,0.04,1.18,1.77,12.32,12.77,9.23,0,0,0.01,0,0,0,0,0,0.03,0.14,1.05,0,0.55,0,0.33,0.33,12.69,1.56,0.22,0.33,0.67,0,0.89,1.11,9.88,9.63,0,0,0,0,9.43,1,0.14,0.86,0.29,0,11.57,0,0,0,48.42,43.33,47.36,42.59,43.9,3.2,0.25,3.49,0.24,43.55,53.17,43.91,45.33,3.18,0.23,3.55,0.21,44,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,lyubushkin,i,lyubushkin3700di,85980-84404,D,i,Ilya Lyubushkin,lyubushkin,3.586206897,29,3700,BUF@NSH,BUF,NSH,,,,,,D/UTIL,lyubushkin3700di
maatta4000do,66.35,Olli Maatta,4000,D,0,DET,CLB-E.Merzlikins,5.24,6.7,3.8,-2.34,1.3,3,0,1,0,-2.2,17,0,2,4,2.7,-227,6.5,77,-265,5.4,-2.3,59,11,34,92,6.6,63,36,9,11,0.03,0.18,0.22,18.66,0.71,0.89,1.27,0.7,0.04,1.38,2.26,15.06,13.84,11.26,0,0,0.12,0.01,0.03,0.33,0,0,0.03,0.18,0.18,0.01,0.87,0.09,0.27,0.36,16.01,1.35,0.73,0.91,0.8,0.13,1.36,2.09,10,12.9,0,0,0.07,0,8.67,1.83,0.67,1.17,0.83,0,16.51,0.12,0,0,45.11,40.11,50.38,46.31,43.26,3.21,0.2,3.12,0.23,38,51.62,43.33,43.08,3.75,0.2,3.25,0.33,42.57,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,maatta,o,maatta4000do,85980-42862,D,o,Olli Maatta,maatta,7.31111145,36,4000,CBJ@DET,DET,CBJ,,,,,,D/UTIL,maatta4000do
macdermid3600dk,42.6,Kurtis MacDermid,3600,D,0,COL,OTT-C.Talbot,2.45,3.2,1.7,-4.27,0.7,3,0,1,0,-4.1,44,0,2,3.4,2.7,-160,6,74,-215,2.6,-1.9,14,4,36,98,1.9,7,69,7,13,0.04,0.09,0.13,7.11,1.1,0.64,0.93,0.69,0.06,0.25,0.89,6.28,6.28,4.36,0,0,0,0,0,0,0,0,0.04,0.09,1.61,0,0.43,0,0.18,0.18,4.82,2.24,0.27,0.4,0.68,0,0.09,0.36,4.78,4.11,0,0,0.01,0,4.83,0.33,0.17,0.17,0.33,0,6.17,0,0,0,47.25,50.5,44.83,44.13,46.36,3.21,0.26,3.16,0.19,53.08,42.67,38.58,45.5,3.55,0.13,3,0.08,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,macdermid,k,macdermid3600dk,85980-39972,D,k,Kurtis MacDermid,macdermid,1.839999962,20,3600,OTT@COL,COL,OTT,,,,,,D/UTIL,macdermid3600dk
macewen3700wz,32.46,Zack MacEwen,3700,W,0,PHI,WAS-D.Kuemper,4.58,5.9,3.3,-1.91,1.2,4,0,1,0,-3.8,51,0,3,2.5,3.7,182,6,28,130,4.7,-1.3,42,15,50,85,2.7,16,75,8,12,0.08,0.11,0.19,11.29,1.01,1.29,1.77,0.73,0.06,0.48,1.77,8.13,10.71,6.12,0,0,0.46,0.03,0.06,0.4,0,0,0.08,0.11,1.42,0,1.13,0.09,0,0.09,10.57,0.51,0.73,1.27,0.57,0.13,0.27,1,8,9.09,0,0,0.11,0,10,1.5,1.17,0.33,2.17,0,10.72,0.13,0,0,46.49,42.44,45.97,48.85,45.29,3,0.13,2.88,0.19,45,47.33,46.75,49.5,3.36,0.19,2.73,0.23,49.17,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,macewen,z,macewen3700wz,85980-73990,W,z,Zack MacEwen,macewen,5.642105103,38,3700,PHI@WSH,PHI,WSH,,,,,,W/UTIL,macewen3700wz
mackinnon10400cn,86.93,Nathan MacKinnon,10400,C,0,COL,OTT-CTalbot,24.02,30,18,4.06,2.3,1,1,27,0,-3.6,66,0,2,3.4,2.7,-160,6,74,-215,20.4,1.8,63,32,22,99,21.5,30,15,23,13,0.56,0.76,1.31,21.67,3.63,5.17,6.48,0.8,0.11,0.5,5.67,19.91,15.16,14.61,0.17,0.27,3.85,1.48,1.93,0.76,0,0,0.39,0.49,0.69,0.01,4.31,0.5,0.67,1.17,24.96,2.81,6,8,0.75,0.08,0.33,6.33,22.5,13.33,0,0,5.25,1.5,22.5,6.33,6,0.33,8,2,24.96,5.25,0,0,47.25,50.5,44.83,44.13,46.36,3.21,0.26,3.16,0.19,53.08,42.67,38.58,45.5,3.55,0.13,3,0.08,48.5,1/14/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,mackinnon,n,mackinnon10400cn,85980-41391,C,n,Nathan MacKinnon,mackinnon,22.55862111,29,10400,OTT@COL,COL,OTT,,,,,,C/UTIL,mackinnon10400cn
