,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
jarnkrok4900wc,68.04,Calle Jarnkrok,4900,W,0,TOR,BUF-U.Luukkonen,7.85,10,5.7,-0.98,1.6,3,2,2,0,-4,41,0,2,4,3.1,-175,7,51,-164,7.1,-0.8,46,22,42,101,8.2,60,30,40,10,0.17,0.29,0.46,14.25,1.94,1.44,2.01,0.71,0.12,0.26,1.7,10.82,9.62,8.06,0.01,0.03,1.23,0.15,0.24,0.62,0.01,0.02,0.15,0.24,0.18,0,1.65,0.27,0.27,0.55,14.21,2.32,1.73,2.64,0.66,0.16,0.27,2,12,10.27,0,0,1.2,0.18,12.2,1.6,1.2,0.4,2.4,0.4,15.24,1.42,0,0,48.12,47.33,42.07,42.7,44.77,3.12,0.24,2.73,0.26,53.09,44.1,44.82,45,2.45,0.3,2.2,0.32,45.25,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,jarnkrok,c,jarnkrok4900wc,87209-23061,W,c,Calle Jarnkrok,jarnkrok,8.14,50,4900,TOR@BUF,TOR,BUF,,,,,,W/UTIL,jarnkrok4900wc,3600
jarvis5000ws,87.42,Seth Jarvis,5000,W,0,CAR,STL-J.Binnington,11.76,14.8,8.7,2.74,2.4,1,2,7,0,1.6,86,0,3,4.1,2.1,-362,6,84,-265,9.6,1.2,60,31,36,99,9.6,44,22,55,9,0.24,0.34,0.58,15.23,2.29,2.07,2.91,0.71,0.11,0.43,2.51,13.18,9.84,10.04,0.02,0.07,2.06,0.38,0.61,0.62,0.01,0,0.21,0.27,0.23,0,2.84,0.4,0,0.4,16.3,1.47,2.2,2.7,0.81,0.18,0.4,2.6,14.4,10.7,0,0,1.64,0.3,18.25,3.5,3,0.5,3.75,0.75,17.04,1.61,0,0,49.74,51.96,47.61,36.82,40.76,3.15,0.19,2.5,0.23,51.8,42.9,37.2,42.8,2.5,0.28,2.9,0.21,44.2,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,jarvis,s,jarvis5000ws,87209-146131,W,s,Seth Jarvis,jarvis,9.309090909,55,5000,STL@CAR,CAR,STL,,,,,,W/UTIL,jarvis5000ws,4400
jeannot3900wt,73.15,Tanner Jeannot,3900,W,0,NAS,VAN-C.Delia,7.82,9.9,5.7,0.94,2,3,0,1,0,0,50,0,2,3.7,3,-160,6.5,63,-165,7,-1.1,52,21,46,88,7.6,62,37,37,8,0.16,0.15,0.3,15.68,1.15,1.54,2.34,0.66,0.1,0.93,2.47,11.29,11.93,8.47,0.01,0,0.61,0.09,0.14,0.67,0.01,0,0.13,0.15,1.39,0.02,1.55,0.22,0.11,0.33,14.59,1.36,1.67,2.11,0.79,0.13,0.56,2.22,11.33,10.89,0,0,0.01,0,11.33,1.5,1.17,0.33,1.67,0,14.92,0.02,0,0,45.65,44.95,46.23,47.57,43.44,3.28,0.21,2.86,0.29,49.78,41.09,43.89,44.64,2.33,0.24,2.82,0.35,44.86,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,jeannot,t,jeannot3900wt,87209-73951,W,t,Tanner Jeannot,jeannot,6.414814702,54,3900,VAN@NSH,NSH,VAN,,,,,,W/UTIL,jeannot3900wt,2700
jensen4500dn,66.65,Nick Jensen,4500,D,0,WAS,DET-V.Husso,6.78,8.6,5,-1.88,1.5,2,0,0,0,-3.6,29,0,3,3.4,2.8,-157,6,48,-160,7.1,-1,73,20,26,94,5.7,44,11,55,9,0.02,0.3,0.32,20.46,0.94,1.2,1.85,0.65,0.02,1.6,2.8,16.07,16.61,11.71,0,0,0.03,0,0.02,0,0,0.01,0.02,0.29,0.31,0,0.98,0,0.1,0.1,20.89,0.29,1.2,1.8,0.67,0,1.6,2.8,14.6,18.4,0,0,0.04,0,13.8,3.2,1.2,2,1.8,0,20.23,0.05,0,0,48.28,46.07,47.62,46.23,39.86,3.19,0.23,2.86,0.24,45.8,50.55,51.3,36.73,3,0.17,2.64,0.1,32.29,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,jensen,n,jensen4500dn,87209-39710,D,n,Nick Jensen,jensen,7.910344617,58,4500,DET@WSH,WSH,DET,,,,,,D/UTIL,jensen4500dn,3300
johansen4300cr,80.1,Ryan Johansen,4300,C,0,NAS,VAN-C.Delia,10.83,13.7,8,3.39,2.5,2,1,6,0,1.3,86,0,2,3.7,3,-160,6.5,63,-165,9.3,0.3,57,22,40,88,7.6,62,12,37,8,0.28,0.34,0.62,16.13,2.31,1.48,2.08,0.71,0.19,0.36,1.83,11.31,11.46,8.42,0.13,0.12,3.16,0.5,0.79,0.63,0,0,0.14,0.22,0.61,0.01,2.01,0.22,0.44,0.67,17.48,2.3,1.89,3.11,0.61,0.12,0.22,2.11,14.44,10.89,0.22,0,3.03,0.56,14.83,1.67,1.5,0.17,2.17,1,17.4,3.47,0.17,0,45.65,44.95,46.23,47.57,43.44,3.28,0.21,2.86,0.29,49.78,41.09,43.89,44.64,2.33,0.24,2.82,0.35,44.86,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,johansen,r,johansen4300cr,87209-12592,C,r,Ryan Johansen,johansen,8.240740741,54,4300,VAN@NSH,NSH,VAN,,,,,,C/UTIL,johansen4300cr,3700
johansson4300wm,72.17,Marcus Johansson,4300,W,0,WAS,DET-V.Husso,8.39,10.7,6.1,0.73,2,3,2,3,0,-2.3,57,0,3,3.4,2.8,-157,6,48,-160,7.5,0.1,60,23,39,93,7.3,55,11,44,9,0.18,0.27,0.45,15.79,1.71,1.59,2.01,0.79,0.11,0.35,1.94,12.18,11.51,9.01,0.04,0.12,2.54,0.29,0.33,0.9,0.01,0,0.13,0.15,0.09,0,1.74,0.2,0.3,0.5,17.57,1.71,1.5,1.9,0.79,0.13,0.4,1.9,12.3,14.4,0,0.2,3.2,0.6,11.8,1.8,1,0.8,1.4,0.2,18.6,3.73,0,0.2,48.28,46.07,47.62,46.23,39.86,3.19,0.23,2.86,0.24,45.8,50.55,51.3,36.73,3,0.17,2.64,0.1,32.29,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,johansson,m,johansson4300wm,87209-12220,W,m,Marcus Johansson,johansson,7.856896762,58,4300,DET@WSH,WSH,DET,,,,,,W/UTIL,johansson4300wm,3200
johnson3600dj,38.15,Jack Johnson,3600,D,0,CHI,VGK-A.Hill,5.19,6.6,3.8,-1.53,1.4,2,0,0,0,-2,63,1,2,2.5,4.2,232,6.5,28,235,4.2,-2.5,48,8,37,98,3.9,81,0,18,11,0,0.06,0.06,17.96,0.2,0.86,1.19,0.72,0,1.25,2.1,12.01,16.33,8.87,0,0,0.05,0,0,0,0,0.01,0,0.05,0.33,0,0.92,0,0,0,19.18,0,1,1.25,0.8,0,1.58,2.58,11.58,18.33,0,0,0,0,13.14,2.29,1.29,1,1.57,0,19.11,0,0,0,44.87,39.2,47.76,50.17,50.15,2.88,0.18,2.33,0.24,40.08,48.2,50.42,49.5,2.58,0.03,1.9,0.16,49,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,johnson,j,johnson3600dj,87209-8410,D,j,Jack Johnson,johnson,4.952727162,55,3600,VGK@CHI,CHI,VGK,,,,,,D/UTIL,johnson3600dj,2600
johnson5300wt,39.21,Tyler Johnson,5300,W,0,CHI,VGK-A.Hill,9.28,11.7,6.8,-0.33,1.8,2,1,8,0,-3,33,1,2,2.5,4.2,232,6.5,28,235,7.6,0.1,30,17,25,84,8.3,45,18,27,11,0.17,0.28,0.45,14.37,1.88,1.64,2.4,0.68,0.1,0.4,2.04,8.87,11.6,6.64,0.02,0.04,2.07,0.49,0.6,0.81,0,0,0.15,0.23,0.3,0.02,2.35,0.11,0.33,0.44,16.19,1.63,2.56,4,0.64,0.04,0.67,3.22,8.67,10.33,0,0,2.76,0.89,10.29,3.43,2.86,0.57,4.71,1.43,17.98,3.38,0,0,44.87,39.2,47.76,50.17,50.15,2.88,0.18,2.33,0.24,40.08,48.2,50.42,49.5,2.58,0.03,1.9,0.16,49,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,johnson,t,johnson5300wt,87209-13612,W,t,Tyler Johnson,johnson,9.596551303,29,5300,VGK@CHI,CHI,VGK,,,,,,W/UTIL,johnson5300wt,3900
jokiharju3900dh,62.4,Henri Jokiharju,3900,D,0,BUF,TOR-I.Samsonov,5.62,7.2,4.1,-1.75,1.4,1,0,0,0,-2.2,73,0,3,3.1,4,145,7,49,136,6.4,-0.7,45,16,21,85,6,77,33,22,9,0.02,0.25,0.26,21.45,0.73,1.42,1.75,0.81,0.01,1.18,2.6,15.77,15.61,11.96,0,0.07,0.85,0.13,0.16,0.78,0,0,0.02,0.18,0.42,0,1.18,0,0.3,0.3,20.8,0.87,1.3,1.7,0.76,0,0.9,2.2,17.1,15.4,0,0,0.28,0,17.25,2,1.5,0.5,2,0,18.84,0.21,0,0,45.22,44.77,42.7,42.07,47.33,3.19,0.25,3.12,0.22,45,44.82,44.1,53.09,2.8,0.18,2.91,0.06,53.8,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,jokiharju,h,jokiharju3900dh,87209-81999,D,h,Henri Jokiharju,jokiharju,6.074999809,32,3900,TOR@BUF,BUF,TOR,,,,,,D/UTIL,jokiharju3900dh,3100
jones3500wm,24.96,Max Jones,3500,W,0,ANA,TB-A.Vasilevskiy,4.83,6.2,3.5,-1.27,1.4,2,0,0,0,-1.8,72,2,1,2,4.8,430,6.5,22,365,4.5,-1,28,8,21,87,5.5,80,10,20,10,0.09,0.09,0.18,12.19,0.89,1.43,2,0.72,0.06,0.23,1.66,9.43,13.27,6.89,0,0,0.16,0,0,0,0,0,0.09,0.09,0.89,0,1.91,0.09,0.09,0.18,13.51,0.8,1.82,2.55,0.71,0.05,0.27,2.09,11.45,16.18,0,0,0.24,0,10.29,1.86,1.57,0.29,2.14,0,13.9,0.35,0,0,44.12,42.61,43.91,52.27,44.83,2.77,0.17,3.26,0.2,43.09,47.82,59.82,49.27,2.45,0.19,2.64,0.17,54.14,2/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,jones,m,jones3500wm,87209-70922,W,m,Max Jones,jones,4.472727342,44,3500,ANH@TB,ANH,TB,,,,,,W/UTIL,jones3500wm,2600
