RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
mackinnon10300cn,93.62,Nathan MacKinnon,10300,C,0,COL,NJD-VVanecek,24.34,30.4,18.2,4.58,2.4,1,1,29,1,0.8,64,0,2,3.1,3,-115,6,59,-125,22.5,2.8,67,37,19,97,27.5,90,10,60,10,0.55,0.85,1.4,21.91,3.83,5.19,6.54,0.79,0.11,0.52,5.71,20.37,15.91,14.88,0.15,0.28,3.83,1.53,1.98,0.77,0,0,0.4,0.57,0.62,0.03,3.99,0.9,0.8,1.7,23.13,4.41,5.6,6.8,0.82,0.16,0.8,6.4,19.7,19.8,0.1,0.1,3.8,1.5,18.57,6.14,5.71,0.43,6.29,1.43,22.84,3.52,0,0.14,46.39,50.27,44.76,45.33,49.45,3.15,0.27,2.9,0.19,45.56,47.6,55.89,53.1,2.8,0.14,2.6,0.15,57.86,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,mackinnon,n,mackinnon10300cn,87465-41391,C,n,Nathan MacKinnon,mackinnon,23.50851116,47,10300,NJ@COL,COL,NJ,,,,,,C/UTIL,mackinnon10300cn,9300
matthews10100ca,92.64,Auston Matthews,10100,C,0,TOR,EDM-JCampbell,20.72,25.9,15.5,1.37,2.1,1,1,23,1,-0.1,16,1,3,3.6,3.6,-112,7,73,-125,21.7,2.6,67,34,20,97,18.1,37,37,25,8,0.66,0.61,1.28,20.38,3.77,4.51,6.48,0.7,0.15,1.27,5.77,17.33,13.68,13.14,0.18,0.16,3.77,1.18,1.73,0.68,0,0,0.48,0.46,0.29,0.04,3.34,0.5,0.5,1,16.97,3.54,3,4.5,0.67,0.17,2,5,14.5,13.5,0,0.17,2.38,0.33,14.5,5,3,2,4.5,0.67,16.97,2.38,0,0.17,44.67,46.95,44.69,43.18,47.76,3.12,0.25,3.45,0.22,50.89,37.6,48.33,49.1,2.22,0.3,3.73,0.22,55,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,matthews,a,matthews10100ca,87465-70899,C,a,Auston Matthews,matthews,20.04339715,53,10100,TOR@EDM,TOR,EDM,,,,,,C/UTIL,matthews10100ca,8400
draisaitl9700cl,91.26,Leon Draisaitl,9700,C,0,EDM,TOR-ISamsonov,19.65,24.6,14.7,1.13,2,2,1,14,1,0,16,0,2,3.6,3.6,-107,7,27,105,20.4,1.2,72,31,22,105,17.2,72,27,27,11,0.61,0.93,1.54,21.78,4.24,3.18,4.36,0.73,0.19,0.44,3.62,15.62,15.95,11.85,0.34,0.29,3.96,1.28,1.77,0.72,0.01,0.01,0.25,0.63,0.33,0,2.67,0.64,0.55,1.18,22.26,3.18,2.91,4.09,0.71,0.22,0.09,3,17.55,13.82,0.55,0.18,3.67,1.18,19,3,2.86,0.14,4.14,1.71,22.55,3.05,0.71,0.14,49.04,47.76,43.18,44.69,46.95,3.26,0.31,3.08,0.22,49.1,48.33,37.6,50.89,3.18,0.31,2.11,0,49.17,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,draisaitl,l,draisaitl9700cl,87465-58331,C,l,Leon Draisaitl,draisaitl,20.63728772,59,9700,TOR@EDM,EDM,TOR,,,,,,C/UTIL,draisaitl9700cl,8000
tavares7800cj,90.77,John Tavares,7800,C,0,TOR,EDM-JCampbell,14.8,18.6,11,0.17,1.9,2,1,14,1,0,76,1,3,3.6,3.6,-112,7,73,-125,15.8,0.9,71,31,26,98,18.4,62,37,50,8,0.42,0.57,0.99,17.76,3.34,3.23,4.6,0.7,0.13,0.52,3.75,12.97,12.03,9.64,0.17,0.26,3.53,1.12,1.53,0.73,0,0,0.25,0.31,0.44,0.01,3.01,0.67,0.44,1.11,17.42,3.82,3.11,4.22,0.74,0.21,0,3.11,13.56,15,0.22,0.11,2.47,0.78,12.33,3.67,3.67,0,4.83,1.33,16.18,2.36,0.17,0.17,44.67,46.95,44.69,43.18,47.76,3.12,0.25,3.45,0.22,50.89,37.6,48.33,49.1,2.22,0.3,3.73,0.22,55,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,tavares,j,tavares7800cj,87465-8494,C,j,John Tavares,tavares,16.5049998,60,7800,TOR@EDM,TOR,EDM,,,,,,C/UTIL,tavares7800cj,7000
zibanejad8500cm,89.96,Mika Zibanejad,8500,C,0,NYR,PHI-CHart,16.72,20.9,12.5,0.66,2,1,1,16,1,0.1,33,1,3,3.7,2.5,-230,6,92,-190,16.8,0.8,71,26,24,105,21,90,9,36,11,0.46,0.6,1.06,20.19,3.15,3.09,4.51,0.69,0.15,0.53,3.62,12.81,13.13,9.8,0.26,0.16,3.33,1.12,1.66,0.68,0.02,0.02,0.19,0.43,0.19,0.01,2.8,0.82,0.55,1.36,18.78,4.35,2.91,4.73,0.62,0.28,1.18,4.09,9.36,11.45,0.45,0.18,2.9,1.36,9,3.71,2.71,1,4.14,2.29,18.98,3.22,0.29,0.29,47.33,45.08,50.06,45.39,43.03,2.86,0.25,2.76,0.25,41.73,51.7,45.45,45.1,2.91,0.28,2.1,0.33,46,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,zibanejad,m,zibanejad8500cm,87465-14565,C,m,Mika Zibanejad,zibanejad,17.24000041,60,8500,NYR@PHI,NYR,PHI,,,,,,C/UTIL,zibanejad8500cm,7100
mcdavid10700cc,89.07,Connor McDavid,10700,C,0,EDM,TOR-ISamsonov,25.43,31.8,19.1,4.85,2.4,1,1,26,1,-2.6,70,0,2,3.6,3.6,-107,7,27,105,25.5,5.5,83,45,13,105,30.8,90,9,54,11,0.72,1.14,1.87,22.52,4.98,4.22,5.4,0.78,0.17,0.43,4.65,18.94,15.36,14.38,0.21,0.52,3.85,1.09,1.41,0.77,0.03,0.04,0.49,0.58,0.4,0.06,4.06,0.82,1.27,2.09,23.69,5.29,5.73,6.73,0.85,0.14,0.45,6.18,19.82,13,0.09,0.64,3.65,1.27,21.86,6.57,6.29,0.29,7.86,1.29,23.9,3.04,0.14,0.71,49.04,47.76,43.18,44.69,46.95,3.26,0.31,3.08,0.22,49.1,48.33,37.6,50.89,3.18,0.31,2.11,0,49.17,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,mcdavid,c,mcdavid10700cc,87465-64102,C,c,Connor McDavid,mcdavid,26.96721311,61,10700,TOR@EDM,EDM,TOR,,,,,,C/UTIL,mcdavid10700cc,9800
trocheck6800cv,87.47,Vincent Trocheck,6800,C,0,NYR,PHI-CHart,12.14,15.3,9,-0.43,1.8,2,2,11,0,0.8,33,1,3,3.7,2.5,-230,6,92,-190,11.9,1,60,29,39,101,16.9,72,27,45,11,0.3,0.39,0.69,19.2,2.16,2.76,4.09,0.67,0.11,0.51,3.27,14.5,11.95,10.88,0.1,0.12,3.22,0.82,1.15,0.72,0.01,0,0.19,0.27,0.7,0.02,2.78,0.45,0.64,1.09,18.41,3.55,3.27,4.55,0.72,0.14,0.64,3.91,16.09,13,0,0.18,1.49,0.45,18,4.57,4,0.57,5.14,0.29,19.06,1.43,0,0.14,47.33,45.08,50.06,45.39,43.03,2.86,0.25,2.76,0.25,41.73,51.7,45.45,45.1,2.91,0.28,2.1,0.33,46,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,trocheck,v,trocheck6800cv,87465-15283,C,v,Vincent Trocheck,trocheck,13.31166687,60,6800,NYR@PHI,NYR,PHI,,,,,,C/UTIL,trocheck6800cv,5400
hughes10000cj,82.65,Jack Hughes,10000,C,0,NJD,COL-JAnnunen,19.44,24.3,14.6,0.3,1.9,1,1,20,1,-3.7,26,0,4,3,3.1,-105,6,41,105,20.5,3.1,66,33,13,87,23.9,50,10,20,10,0.65,0.65,1.3,20.26,3.85,4.34,5.38,0.81,0.15,0.24,4.58,16.9,12.89,12.58,0.14,0.24,3.34,1.04,1.28,0.82,0,0,0.51,0.41,0.06,0.03,3.48,0.5,1.17,1.67,19.7,5.09,5,5.67,0.88,0.1,0.17,5.17,15.67,14.5,0,0.5,3.6,1.17,16.2,4.4,4.2,0.2,4.8,1.2,19.29,3.33,0,0.4,53.2,49.45,45.33,44.76,50.27,2.93,0.17,2.94,0.21,53.1,55.89,47.6,45.56,2.6,0.19,2.9,0.17,42.33,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,hughes,j,hughes10000cj,87465-111493,C,j,Jack Hughes,hughes,21.26181863,55,10000,NJ@COL,NJ,COL,,,,,,C/UTIL,hughes10000cj,8500
hintz7500cr,80.77,Roope Hintz,7500,C,0,DAL,ARI-CIngram,16.82,21.1,12.6,2.81,2.2,1,1,12,0,-0.7,48,1,2,3.8,1.9,-415,5.5,74,-390,14.7,0.8,57,34,31,97,12.9,55,44,55,9,0.47,0.49,0.95,17.9,3.18,2.49,3.46,0.72,0.19,0.72,3.2,14.11,12.54,10.35,0.11,0.18,2.78,0.47,0.66,0.71,0.03,0,0.32,0.31,0.39,0.02,3.34,0.56,0.11,0.67,19.94,2.02,3,4.25,0.71,0.19,0.33,3.33,16.33,13.33,0.11,0,3.66,0.67,16,3.5,3.33,0.17,4.6,1.33,20.72,3.75,0.17,0,50.71,46.29,49.54,47.77,38.63,2.94,0.22,3.51,0.25,53.38,49.5,50.63,43.1,3.44,0.06,3.8,0.21,44,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,hintz,r,hintz7500cr,87465-80286,C,r,Roope Hintz,hintz,15.33269207,52,7500,ARI@DAL,DAL,ARI,,,,,,C/UTIL,hintz7500cr,6300
o'reilly4900cr,80.73,Ryan O'Reilly,4900,C,0,TOR,EDM-JCampbell,10.18,12.9,7.5,1.5,2.1,2,2,7,0,0,86,1,3,3.6,3.6,-112,7,73,-125,11.6,2.1,51,29,32,97,15.7,55,22,33,9,0.37,0.33,0.7,18.8,2.23,2.14,2.63,0.81,0.17,0.52,2.66,12.3,13.15,9.17,0.1,0.07,2.21,0.33,0.52,0.64,0.01,0.01,0.25,0.25,0.25,0.02,2.48,0.63,0.38,1,16.88,3.55,2.38,2.75,0.86,0.26,0.38,2.75,13.38,13.63,0,0,1.16,0.25,13.86,2.57,2.29,0.29,2.43,0.14,16.8,0.86,0,0,44.67,46.95,44.69,43.18,47.76,3.12,0.25,3.45,0.22,50.89,37.6,48.33,49.1,2.22,0.3,3.73,0.22,55,3/1/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,o'reilly,r,o'reilly4900cr,87465-9124,C,r,Ryan O'Reilly,o'reilly,9.684444173,45,4900,TOR@EDM,TOR,EDM,,,,,,C/UTIL,o'reilly4900cr,4300
