RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID,dkSalary
stutzle8100ct,88.98,Tim Stutzle,8100,C,0,OTT,DET-MHellberg,16.61,20.8,12.4,1.37,2.1,1,1,10,0,-1.3,26,1,2,3.5,3.2,-130,6.5,49,-135,15.9,3.6,64,42,29,87,20.2,60,40,40,10,0.43,0.65,1.08,20.14,3.22,2.66,3.67,0.73,0.16,0.72,3.39,15.69,13.93,11.75,0.14,0.31,3.63,0.71,1,0.71,0.01,0,0.28,0.34,0.6,0.06,3.08,0.55,0.91,1.45,21.01,4.14,3.27,4.09,0.8,0.17,0.73,4,15.82,14.45,0.09,0.27,3.89,0.91,16.57,3.71,3.43,0.29,3.86,0.86,21.66,3.8,0,0.29,46.99,45.76,47.42,44.42,39.93,3.37,0.25,2.87,0.24,41.82,50.27,47.55,35.45,3.45,0.18,2.91,0.13,40.14,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,stutzle,t,stutzle8100ct,87381-142017,C,t,Tim Stuetzle,stutzle,16.44074051,54,8100,DET@OTT,OTT,DET,,,,,,C/UTIL,stutzle8100ct,6600
mackinnon10400cn,88.32,Nathan MacKinnon,10400,C,0,COL,VGK-AHill,24.58,30.7,18.4,4.62,2.4,1,1,25,0,-2.2,57,0,2,3.3,2.9,-140,6,78,-140,22.5,2.8,67,37,19,97,26.5,80,20,60,10,0.55,0.86,1.41,21.91,3.86,5.18,6.55,0.79,0.11,0.53,5.71,20.4,15.9,14.92,0.15,0.28,3.85,1.53,1.99,0.77,0,0,0.4,0.58,0.62,0.02,4.2,0.8,0.9,1.7,23.45,4.35,5.1,6.5,0.78,0.16,0.9,6,20.5,19.5,0.1,0.1,3.88,1.4,18.67,6.17,5.67,0.5,6.33,1.5,23.07,3.77,0,0.17,47.65,50.27,47.98,45.33,49.86,3.17,0.27,2.37,0.24,46.1,49,54.7,49.3,2.9,0.14,2.5,0.16,50.83,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,mackinnon,n,mackinnon10400cn,87381-41391,C,n,Nathan MacKinnon,mackinnon,23.55000106,46,10400,VGK@COL,COL,VGK,,,,,,C/UTIL,mackinnon10400cn,9300
hintz7400cr,88.24,Roope Hintz,7400,C,0,DAL,VAN-TDemko,16.33,20.5,12.2,2.52,2.2,1,1,8,0,3.6,82,0,2,3.9,2.3,-282,6,61,-260,14.6,0.8,57,33,32,96,12.2,50,50,50,8,0.47,0.49,0.95,17.88,3.19,2.49,3.45,0.72,0.19,0.73,3.22,14.14,12.62,10.38,0.1,0.18,2.74,0.46,0.64,0.72,0.03,0,0.33,0.31,0.36,0.02,2.88,0.56,0.11,0.67,19.63,2.05,3.22,4.38,0.74,0.17,0.33,3.56,16.67,13.78,0.11,0,3.33,0.67,16.4,3.4,3.2,0.2,4.5,1.2,20.63,3.29,0,0,46.81,46.24,45.68,47.83,43.35,2.91,0.22,2.89,0.3,53.78,39.64,49.33,44.55,3.33,0.07,3.09,0.29,42,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,hintz,r,hintz7400cr,87381-80286,C,r,Roope Hintz,hintz,15.26274558,51,7400,VAN@DAL,DAL,VAN,,,,,,C/UTIL,hintz7400cr,6700
seguin5200ct,85.66,Tyler Seguin,5200,C,0,DAL,VAN-TDemko,11.44,14.4,8.5,2.15,2.2,2,2,7,0,0.6,86,0,2,3.9,2.3,-282,6,61,-260,10.7,0.5,63,25,36,96,7.5,50,50,12,8,0.25,0.38,0.63,17.43,2.17,2.58,3.45,0.75,0.1,0.39,2.97,13.26,13.78,9.85,0.05,0.06,2.19,0.53,0.67,0.79,0,0,0.2,0.31,0.33,0.04,2.75,0.11,0.11,0.22,17.67,0.75,2.89,3.88,0.75,0.04,0.11,3,14.44,14.33,0,0,1.67,0.22,15,3.8,3.6,0.2,5.25,1,17.94,2,0,0,46.81,46.24,45.68,47.83,43.35,2.91,0.22,2.89,0.3,53.78,39.64,49.33,44.55,3.33,0.07,3.09,0.29,42,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,seguin,t,seguin5200ct,87381-12417,C,t,Tyler Seguin,seguin,10.45084704,59,5200,VAN@DAL,DAL,VAN,,,,,,C/UTIL,seguin5200ct,4600
mcdavid10600cc,85.59,Connor McDavid,10600,C,0,EDM,BOS-JSwayman,24.96,31.2,18.7,4.59,2.4,1,1,26,0,-5.4,76,0,2,3.2,3.5,105,6.5,37,110,25.5,5.5,83,45,13,105,31.7,90,9,54,11,0.7,1.14,1.85,22.49,4.93,4.22,5.4,0.78,0.17,0.43,4.65,18.84,15.34,14.34,0.21,0.52,3.87,1.11,1.43,0.78,0.03,0.04,0.47,0.58,0.4,0.06,4.29,0.73,1.45,2.18,23.37,5.6,5.82,6.82,0.85,0.12,0.64,6.45,20.09,12.82,0.09,0.82,3.7,1.36,21.14,6.71,6.57,0.14,8.14,1.86,23.81,3.97,0.14,0.71,47.74,47.63,41.59,44.61,46.33,3.29,0.31,3.47,0.16,50.27,47.2,38.36,44.1,3.36,0.35,3,0.13,46.33,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,mcdavid,c,mcdavid10600cc,87381-64102,C,c,Connor McDavid,mcdavid,26.85666707,60,10600,BOS@EDM,EDM,BOS,,,,,,C/UTIL,mcdavid10600cc,9800
bergeron7200cp,85.38,Patrice Bergeron,7200,C,0,BOS,EDM-SSkinner,14.68,18.4,11,1.28,2,1,1,11,0,-0.1,82,1,2,3.5,3.2,-125,6.5,63,-130,15.6,1.6,70,33,21,96,11.5,50,50,30,10,0.39,0.48,0.87,17.81,2.93,3.7,4.85,0.76,0.11,0.71,4.41,14.6,9.2,11.36,0.12,0.12,3.24,0.81,1.15,0.7,0.01,0.01,0.26,0.34,0.31,0.02,3.14,0.3,0.3,0.6,17.46,2.06,2.6,3.9,0.67,0.12,0.7,3.3,13.8,10.8,0.1,0,3.23,0.8,14.5,3.83,2.83,1,4.17,0.83,16.73,2.93,0.17,0,43.02,46.33,44.61,41.59,47.63,3.25,0.23,3.43,0.22,44.1,38.36,47.2,50.27,3.3,0.09,3.55,0.26,52.86,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,bergeron,p,bergeron7200cp,87381-8175,C,p,Patrice Bergeron,bergeron,14.23793082,58,7200,BOS@EDM,BOS,EDM,,,,,,C/UTIL,bergeron7200cp,6500
draisaitl9900cl,84.22,Leon Draisaitl,9900,C,0,EDM,BOS-JSwayman,19.67,24.6,14.7,0.73,2,2,1,16,0,-3.9,26,0,2,3.2,3.5,105,6.5,37,110,20.6,1.4,73,32,21,105,19.5,81,18,36,11,0.61,0.92,1.53,21.83,4.2,3.17,4.34,0.73,0.19,0.45,3.62,15.52,15.93,11.79,0.34,0.29,4.01,1.28,1.76,0.73,0.01,0.01,0.25,0.62,0.33,0,2.88,0.73,0.64,1.36,21.85,3.73,3.09,4.18,0.74,0.24,0.18,3.27,17.55,13.55,0.64,0.18,3.75,1.27,18.71,3.43,3.29,0.14,4.57,2.14,22.55,4.02,0.86,0.14,47.74,47.63,41.59,44.61,46.33,3.29,0.31,3.47,0.16,50.27,47.2,38.36,44.1,3.36,0.35,3,0.13,46.33,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOS,draisaitl,l,draisaitl9900cl,87381-58331,C,l,Leon Draisaitl,draisaitl,20.82758621,58,9900,BOS@EDM,EDM,BOS,,,,,,C/UTIL,draisaitl9900cl,8400
krejci6200cd,83.89,David Krejci,6200,C,0,BOS,EDM-SSkinner,10.36,13.1,7.6,-0.98,1.7,2,2,6,0,0.3,20,1,2,3.5,3.2,-125,6.5,63,-130,11.6,0.9,58,24,32,58,9.1,60,40,10,10,0.25,0.64,0.89,17.23,3.1,1.57,2.13,0.73,0.16,0.58,2.15,12.08,12.98,9.14,0.06,0.15,2.58,0.44,0.52,0.85,0,0,0.19,0.49,0.26,0,2.26,0.1,0.6,0.7,18.1,2.32,1.6,2.3,0.7,0.06,0.3,1.9,12.6,15.5,0,0.1,2.7,0.2,13.5,2,2,0,2.67,0.5,17.74,2.09,0,0.17,43.02,46.33,44.61,41.59,47.63,3.25,0.23,3.43,0.22,44.1,38.36,47.2,50.27,3.3,0.09,3.55,0.26,52.86,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,krejci,d,krejci6200cd,87381-8176,C,d,David Krejci,krejci,11.40555601,54,6200,BOS@EDM,BOS,EDM,,,,,,C/UTIL,krejci6200cd,4600
zacha4800cp,81.24,Pavel Zacha,4800,C,0,BOS,EDM-SSkinner,8.8,11.2,6.4,0.33,1.8,2,2,6,0,0.3,41,1,2,3.5,3.2,-125,6.5,63,-130,9,0.6,53,27,36,88,9.8,60,40,30,10,0.21,0.45,0.65,16.25,2.4,1.68,2.53,0.66,0.12,0.24,1.92,12.08,11.82,9.22,0.01,0.04,1.75,0.32,0.47,0.67,0,0.01,0.19,0.4,0.23,0.01,2.14,0.4,0.3,0.7,16.89,2.49,1.6,2.3,0.7,0.25,0,1.6,10.4,13.5,0,0,2.03,0.4,11.33,1.17,1.17,0,2,0.83,17.18,2.04,0,0,43.02,46.33,44.61,41.59,47.63,3.25,0.23,3.43,0.22,44.1,38.36,47.2,50.27,3.3,0.09,3.55,0.26,52.86,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,zacha,p,zacha4800cp,87381-65970,C,p,Pavel Zacha,zacha,9.260344407,58,4800,BOS@EDM,BOS,EDM,,,,,,C/UTIL,zacha4800cp,3500
larkin7700cd,80.92,Dylan Larkin,7700,C,0,DET,OTT-CTalbot,14.49,18.2,10.8,0.07,1.9,1,1,6,0,-1.4,41,1,2,3.2,3.5,110,6.5,51,115,14.3,-0.8,67,22,21,87,20.1,90,10,50,10,0.34,0.55,0.89,19.86,2.69,3.09,4.25,0.73,0.11,0.43,3.51,12.73,13.37,9.77,0.15,0.14,3.34,0.78,1.09,0.71,0.01,0.01,0.18,0.4,0.51,0.01,3.14,0.64,0.64,1.27,18.67,4.08,3.27,4.82,0.68,0.19,0.36,3.64,11.18,13.27,0.36,0.27,3.59,1.09,12.43,3.43,3,0.43,4.57,0.86,17.2,2.42,0.29,0.29,43.39,39.93,44.42,47.42,45.76,3.23,0.2,3.38,0.2,35.45,47.55,50.27,41.82,3.64,0.23,4,0.14,40.71,2/27/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,larkin,d,larkin7700cd,87381-62788,C,d,Dylan Larkin,larkin,15.46140329,57,7700,DET@OTT,DET,OTT,,,,,,C/UTIL,larkin7700cd,6400
