entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3071787050","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-9366:Dustin Tokarski,87112-9366,G,Dustin,Dustin Tokarski,Tokarski,11.199999491373697,3,7700,PIT@NYI,PIT,NYI,,,,,,G
"3071787051","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-74064:Casey DeSmith,87112-74064,G,Casey,Casey DeSmith,DeSmith,14.289654961947736,29,7700,PIT@NYI,PIT,NYI,,,,,,G
"3071787052","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-42868:Tristan Jarry,87112-42868,G,Tristan,Tristan Jarry,Jarry,19.75172371699892,29,7700,PIT@NYI,PIT,NYI,IR,Upper body,,,,G
"3071787053","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-12253:Mats Zuccarello,87112-12253,W,Mats,Mats Zuccarello,Zuccarello,15.46730745755709,52,7700,DAL@MIN,MIN,DAL,,,,,,W/UTIL
"3071787055","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-62493:Artemi Panarin,87112-62493,W,Artemi,Artemi Panarin,Panarin,15.187036584924769,54,7600,NYR@EDM,NYR,EDM,,,,,,W/UTIL
"3071787056","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-73885:Alex DeBrincat,87112-73885,W,Alex,Alex DeBrincat,DeBrincat,14.326414864018279,53,7600,CHI@OTT,OTT,CHI,,,,,,W/UTIL
"3071787057","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-80286:Roope Hintz,87112-80286,C,Roope,Roope Hintz,Hintz,15.863829267785905,47,7600,DAL@MIN,DAL,MIN,,,,,,C/UTIL
"3071787058","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-8732:Semyon Varlamov,87112-8732,G,Semyon,Semyon Varlamov,Varlamov,16.952380952380953,21,7500,PIT@NYI,NYI,PIT,,,,,,G
"3071787059","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-9092:Evander Kane,87112-9092,W,Evander,Evander Kane,Kane,15,23,7500,NYR@EDM,EDM,NYR,,,,,,W/UTIL
"3071787060","87112-262939669","$44K Fri NHL Breakaway ($10K to 1st)","","","","","","","","","","",87112-97232:Ilya Sorokin,87112-97232,G,Ilya,Ilya Sorokin,Sorokin,17.953488372093023,43,7500,PIT@NYI,NYI,PIT,,,,,,G
