entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3071278498,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-146124,87095-82006,87095-15395,87095-59218,87095-42981,87095-43042,87095-70125,87095-97079,87095-66693,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3071278500,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-12592,87095-81974,87095-12410,87095-59218,87095-12262,87095-62277,87095-8635,87095-97079,87095-42710,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3071278501,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-15346,87095-16969,87095-59218,87095-74086,87095-42981,87095-64101,87095-40036,87095-97079,87095-12163,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3071278502,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-137278,87095-70901,87095-59127,87095-59218,87095-14564,87095-15293,87095-70125,87095-97079,87095-14466,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3071278503,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-62157,87095-80991,87095-43135,87095-66690,87095-62277,87095-8551,87095-8635,87095-8875,87095-42710,,,,,,,,,,,,,,,,,,,
3071278504,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-39269,87095-53606,87095-145130,87095-15315,87095-13406,87095-39464,87095-59218,87095-70125,87095-14466,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3071278505,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-37880,87095-40036,87095-146131,87095-85470,87095-42981,87095-43042,87095-8741,87095-97079,87095-66610,,87095-59218:David Pastrnak,87095-59218,W,David,David Pastrnak,Pastrnak,22.7094335,53,10300,BOS@NSH,BOS,NSH,,,,,,W/UTIL
3071278506,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-15321,87095-16969,87095-15315,87095-59218,87095-13406,87095-43122,87095-59263,87095-80369,87095-14466,,87095-111493:Jack Hughes,87095-111493,C,Jack,Jack Hughes,Hughes,21.46399902,50,10100,NJ@STL,NJ,STL,DTD,Upper body,,,,C/UTIL
3071278507,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-80991,87095-82006,87095-70125,87095-80475,87095-15356,87095-42981,87095-9990,87095-97079,87095-42710,,87095-70904:Matthew Tkachuk,87095-70904,W,Matthew,Matthew Tkachuk,Tkachuk,20.34259259,54,9900,FLA@WSH,FLA,WSH,,,,,,W/UTIL
3071278508,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-159932,87095-70901,87095-145130,87095-55375,87095-55607,87095-80005,87095-59218,87095-97079,87095-42710,,87095-66690:Timo Meier,87095-66690,W,Timo,Timo Meier,Meier,17.83636364,55,9100,SJ@VGK,SJ,VGK,,,,,,W/UTIL
3071278509,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-81983,87095-9266,87095-43134,87095-58880,87095-42981,87095-43042,87095-59218,87095-68646,87095-14466,,87095-8718:Alex Ovechkin,87095-8718,W,Alex,Alex Ovechkin,Ovechkin,17.76666712,54,8900,FLA@WSH,WSH,FLA,O,Personal,,,,W/UTIL
3071278510,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-58990,87095-82004,87095-55375,87095-59218,87095-62277,87095-82177,87095-8275,87095-97079,87095-66693,,87095-40050:Antti Raanta,87095-40050,G,Antti,Antti Raanta,Raanta,15.54285685,21,8700,MON@CAR,CAR,MON,,,,,,G
3071278511,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-40036,87095-62788,87095-59218,87095-8539,87095-15374,87095-62277,87095-80991,87095-97079,87095-42710,,87095-70125:Kyle Connor,87095-70125,W,Kyle,Kyle Connor,Connor,16.99444467,54,8700,WPG@CBJ,WPG,CBJ,,,,,,W/UTIL
3071278512,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-80991,87095-81983,87095-43135,87095-58880,87095-15356,87095-74127,87095-82926,87095-59218,87095-84324,,87095-23072:Frederik Andersen,87095-23072,G,Frederik,Frederik Andersen,Andersen,15.51111179,18,8700,MON@CAR,CAR,MON,,,,,,G
3071278513,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-15251,87095-81983,87095-12410,87095-59218,87095-169061,87095-66671,87095-82006,87095-97079,87095-54065,,87095-73940:Jordan Kyrou,87095-73940,W,Jordan,Jordan Kyrou,Kyrou,16.69,50,8600,NJ@STL,STL,NJ,,,,,,W/UTIL
3071278514,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-15251,87095-62788,87095-80475,87095-97079,87095-62277,87095-70912,87095-8175,87095-82006,87095-14466,,87095-66610:Dan Vladar,87095-66610,G,Dan,Dan Vladar,Vladar,15.0857137,21,8500,DET@CGY,CGY,DET,,,,,,G
3071278515,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-82006,87095-8596,87095-37968,87095-70125,87095-39464,87095-62195,87095-8763,87095-97079,87095-42710,,87095-12283:Jacob Markstrom,87095-12283,G,Jacob,Jacob Markstrom,Markstrom,11.50270287,37,8500,DET@CGY,CGY,DET,,,,,,G
3071278516,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-62788,87095-65969,87095-59218,87095-8875,87095-113276,87095-14564,87095-9025,87095-97079,87095-66693,,87095-66612:Adin Hill,87095-66612,G,Adin,Adin Hill,Hill,14,24,8400,SJ@VGK,VGK,SJ,,,,,,G
3071278517,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-58990,87095-82006,87095-145130,87095-70125,87095-42981,87095-64101,87095-8966,87095-97079,87095-66411,,87095-97093:Logan Thompson,87095-97093,G,Logan,Logan Thompson,Thompson,18.35675709,37,8400,SJ@VGK,VGK,SJ,O,Lower body,,,,G
3071278518,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-16969,87095-70901,87095-12410,87095-15315,87095-12262,87095-62492,87095-8175,87095-97079,87095-14466,,87095-15271:Laurent Brossoit,87095-15271,G,Laurent,Laurent Brossoit,Brossoit,12.03199951,25,8400,SJ@VGK,VGK,SJ,,,,,,G
3071278519,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-62788,87095-97116,87095-43135,87095-55375,87095-60674,87095-62294,87095-70904,87095-97079,87095-54065,,87095-12262:Roman Josi,87095-12262,D,Roman,Roman Josi,Josi,18.33529364,51,8400,BOS@NSH,NSH,BOS,,,,,,D/UTIL
3071278520,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-12592,87095-97116,87095-12410,87095-15315,87095-14456,87095-15356,87095-43178,87095-59218,87095-42710,,87095-9278:Martin Jones,87095-9278,G,Martin,Martin Jones,Jones,15.24324324,37,8300,PHI@SEA,SEA,PHI,,,,,,G
3071278521,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-64100,87095-70901,87095-12220,87095-58877,87095-12793,87095-13472,87095-70125,87095-97079,87095-66411,,87095-12697:Philipp Grubauer,87095-12697,G,Philipp,Philipp Grubauer,Grubauer,11.35238066,21,8300,PHI@SEA,SEA,PHI,,,,,,G
3071278522,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-15321,87095-9266,87095-12410,87095-43135,87095-39464,87095-42981,87095-66508,87095-97079,87095-42710,,87095-64100:Jack Eichel,87095-64100,C,Jack,Jack Eichel,Eichel,16.12926799,41,8300,SJ@VGK,VGK,SJ,,,,,,C/UTIL
3071278523,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-52475,87095-54743,87095-8275,87095-8635,87095-12262,87095-42981,87095-82004,87095-8640,87095-42710,,87095-8551:Erik Karlsson,87095-8551,D,Erik,Erik Karlsson,Karlsson,18.0345459,55,8200,SJ@VGK,SJ,VGK,,,,,,D/UTIL
3071278524,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-65970,87095-9189,87095-58877,87095-59218,87095-116885,87095-64101,87095-8635,87095-8640,87095-14466,,87095-58909:Connor Hellebuyck,87095-58909,G,Connor,Connor Hellebuyck,Hellebuyck,21.14285714,42,8200,WPG@CBJ,WPG,CBJ,,,,,,G
3071278525,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-40036,87095-64100,87095-58880,87095-97079,87095-42981,87095-43093,87095-66678,87095-80991,87095-42710,,87095-70635:David Rittich,87095-70635,G,David,David Rittich,Rittich,14.40000018,17,8200,WPG@CBJ,WPG,CBJ,,,,,,G
3071278526,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-16969,87095-54743,87095-42773,87095-59218,87095-15356,87095-66515,87095-8539,87095-8635,87095-42710,,87095-73946:Sebastian Aho,87095-73946,C,Sebastian,Sebastian Aho,Aho,15.76521766,46,8100,MON@CAR,CAR,MON,,,,,,C/UTIL
3071278527,87095-262925577,$12K Thu NHL Breakaway ($3K to 1st),87095-40036,87095-80991,87095-66709,87095-70118,87095-42981,87095-62277,87095-8741,87095-97079,87095-66693,,87095-54809:Linus Ullmark,87095-54809,G,Linus,Linus Ullmark,Ullmark,23.77142857,35,8100,BOS@NSH,BOS,NSH,,,,,,G
