entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3051879865,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-82796,86352-103203,86352-168107,86352-42981,86352-43152,86352-41392,86352-9321,86352-58988,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3051879866,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-142016,86352-15277,86352-14473,86352-59207,86352-12460,86352-70199,86352-41391,86352-70901,86352-15268,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3051879867,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15277,86352-41391,86352-73970,86352-97022,86352-169056,86352-42981,86352-41592,86352-70901,86352-97029,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3051879868,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-70901,86352-168107,86352-70483,86352-12460,86352-73909,86352-70928,86352-9266,86352-15339,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3051879869,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-62157,86352-41392,86352-83057,86352-61859,86352-82005,86352-62445,86352-62788,86352-82094,,,,,,,,,,,,,,,,,,,
3051879870,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-62445,86352-12439,86352-148097,86352-61859,86352-70199,86352-70928,86352-15280,86352-148103,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3051879872,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-41592,86352-142018,86352-151490,86352-23225,86352-8669,86352-59209,86352-74155,86352-70509,,86352-59218:David Pastrnak,86352-59218,W,David,David Pastrnak,Pastrnak,22.93695599,46,10500,BOS@MON,BOS,MON,,,,,,W/UTIL
3051879873,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-62445,86352-128511,86352-14473,86352-14178,86352-73909,86352-9266,86352-70168,86352-15268,,86352-41391:Nathan MacKinnon,86352-41391,C,Nathan,Nathan MacKinnon,MacKinnon,23.31470624,34,10400,WSH@COL,COL,WSH,,,,,,C/UTIL
3051879874,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-43176,86352-11150,86352-21686,86352-101277,86352-11201,86352-54477,86352-70904,86352-15339,,86352-70924:Tage Thompson,86352-70924,C,Tage,Tage Thompson,Thompson,21.08043505,46,10200,BUF@STL,BUF,STL,,,,,,C/UTIL
3051879876,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-41391,86352-12220,86352-8718,86352-12812,86352-23225,86352-70928,86352-9266,86352-15339,,86352-66737:Mikko Rantanen,86352-66737,W,Mikko,Mikko Rantanen,Rantanen,20.21555583,45,10100,WSH@COL,COL,WSH,,,,,,W/UTIL
3051879877,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-142016,86352-62275,86352-73889,86352-8718,86352-11201,86352-39464,86352-65969,86352-8175,86352-120415,,86352-111493:Jack Hughes,86352-111493,C,Jack,Jack Hughes,Hughes,20.4391307,46,10000,VGK@NJ,NJ,VGK,,,,,,C/UTIL
3051879878,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-39269,86352-8595,86352-145130,86352-15315,86352-11201,86352-8406,86352-59117,86352-70125,86352-42868,,86352-43214:Nikita Kucherov,86352-43214,W,Nikita,Nikita Kucherov,Kucherov,19.90222168,45,9900,MIN@TB,TB,MIN,,,,,,W/UTIL
3051879879,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-70928,86352-103203,86352-12253,86352-41394,86352-73909,86352-81974,86352-15315,86352-73938,,86352-70904:Matthew Tkachuk,86352-70904,W,Matthew,Matthew Tkachuk,Tkachuk,19.3456527,46,9700,FLA@PIT,FLA,PIT,,,,,,W/UTIL
3051879880,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-113269,86352-41592,86352-142018,86352-66508,86352-113276,86352-74016,86352-70279,86352-8254,86352-73938,,86352-135875:Kirill Kaprizov,86352-135875,W,Kirill,Kirill Kaprizov,Kaprizov,19.21777751,45,9600,MIN@TB,MIN,TB,,,,,,W/UTIL
3051879881,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-146124,86352-41391,86352-54477,86352-59117,86352-11201,86352-8410,86352-62275,86352-8594,86352-58988,,86352-66508:Travis Konecny,86352-66508,W,Travis,Travis Konecny,Konecny,18.57380894,42,9600,LA@PHI,PHI,LA,,,,,,W/UTIL
3051879882,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-82004,86352-8595,86352-142018,86352-21686,86352-11201,86352-13472,86352-43134,86352-70125,86352-70509,,86352-84409:Elias Pettersson,86352-84409,C,Elias,Elias Pettersson,Pettersson,19.08409119,44,9400,CHI@VAN,VAN,CHI,,,,,,C/UTIL
3051879883,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-148101,86352-159629,86352-41392,86352-59117,86352-11201,86352-54521,86352-40036,86352-8175,86352-82094,,86352-8718:Alex Ovechkin,86352-8718,W,Alex,Alex Ovechkin,Ovechkin,18.64375051,48,9200,WSH@COL,WSH,COL,DTD,Lower body,,,,W/UTIL
3051879884,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-159629,86352-8595,86352-135875,86352-142018,86352-11201,86352-23225,86352-15269,86352-59263,86352-15268,,86352-58907:Nikolaj Ehlers,86352-58907,W,Nikolaj,Nikolaj Ehlers,Ehlers,18.51666641,12,9200,WPG@NSH,WPG,NSH,,,,,,W/UTIL
3051879885,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-12592,86352-84409,86352-168107,86352-39253,86352-11201,86352-12460,86352-8555,86352-8595,86352-9052,,86352-8655:Steven Stamkos,86352-8655,C,Steven,Steven Stamkos,Stamkos,18.53777805,45,9000,MIN@TB,TB,MIN,,,,,,C/UTIL
3051879886,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-42839,86352-62788,86352-12843,86352-39252,86352-11201,86352-14178,86352-9266,86352-73940,86352-70509,,86352-66690:Timo Meier,86352-66690,W,Timo,Timo Meier,Meier,18.11666616,48,9000,SJ@DET,SJ,DET,,,,,,W/UTIL
3051879888,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-12592,86352-62445,86352-15280,86352-59218,86352-12460,86352-43152,86352-70483,86352-9321,86352-82094,,86352-54809:Linus Ullmark,86352-54809,G,Linus,Linus Ullmark,Ullmark,24.1032262,31,9000,BOS@MON,BOS,MON,,,,,,G
3051879889,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-41391,86352-62157,86352-151490,86352-62429,86352-11365,86352-23225,86352-62445,86352-70483,86352-15268,,86352-120415:Jeremy Swayman,86352-120415,G,Jeremy,Jeremy Swayman,Swayman,15.00952439,21,9000,BOS@MON,BOS,MON,,,,,,G
3051879890,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15360,86352-62275,86352-15280,86352-8640,86352-101277,86352-14178,86352-8175,86352-9266,86352-14466,,86352-70125:Kyle Connor,86352-70125,W,Kyle,Kyle Connor,Connor,17.80833308,48,8800,WPG@NSH,WPG,NSH,,,,,,W/UTIL
3051879891,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-15386,86352-12843,86352-161390,86352-55607,86352-8669,86352-9266,86352-70904,86352-58988,,86352-70635:David Rittich,86352-70635,G,David,David Rittich,Rittich,14.45333354,15,8700,WPG@NSH,WPG,NSH,,,,,,G
3051879892,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-39990,86352-142018,86352-15280,86352-61859,86352-66511,86352-41392,86352-73940,86352-15339,,86352-58909:Connor Hellebuyck,86352-58909,G,Connor,Connor Hellebuyck,Hellebuyck,21.34053988,37,8700,WPG@NSH,WPG,NSH,,,,,,G
3051879893,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-16969,86352-62445,86352-23226,86352-59263,86352-11201,86352-39464,86352-70483,86352-8763,86352-58988,,86352-12262:Roman Josi,86352-12262,D,Roman,Roman Josi,Josi,18.49130382,46,8700,WPG@NSH,NSH,WPG,,,,,,D/UTIL
3051879894,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-62275,86352-8394,86352-41392,86352-59207,86352-135677,86352-8406,86352-8595,86352-70905,86352-15400,,86352-70168:Alex Tuch,86352-70168,W,Alex,Alex Tuch,Tuch,16.46521792,46,8600,BUF@STL,BUF,STL,,,,,,W/UTIL
3051879895,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15360,86352-62157,86352-15280,86352-59209,86352-11201,86352-14178,86352-81983,86352-84409,86352-15268,,86352-85132:Rasmus Dahlin,86352-85132,D,Rasmus,Rasmus Dahlin,Dahlin,18.4244439,45,8600,BUF@STL,BUF,STL,,,,,,D/UTIL
3051879896,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-12592,86352-41391,86352-12728,86352-142018,86352-12613,86352-70199,86352-82051,86352-73889,86352-82094,,86352-84395:Kevin Lankinen,86352-84395,G,Kevin,Kevin Lankinen,Lankinen,15.77142879,14,8500,WPG@NSH,NSH,WPG,,,,,,G
3051879897,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-23041,86352-15269,86352-21686,86352-12262,86352-12460,86352-8394,86352-54477,86352-15268,,86352-66411:Juuse Saros,86352-66411,G,Juuse,Juuse Saros,Saros,19.79428537,35,8500,WPG@NSH,NSH,WPG,,,,,,G
3051879898,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-111493,86352-128506,86352-70483,86352-82156,86352-12460,86352-58928,86352-148101,86352-70928,86352-58988,,86352-42478:Bo Horvat,86352-42478,C,Bo,Bo Horvat,Horvat,17.07173887,46,8500,CHI@VAN,VAN,CHI,,,,,,C/UTIL
3051879899,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15277,86352-39269,86352-54477,86352-80369,86352-11201,86352-43152,86352-8175,86352-8275,86352-54028,,86352-12253:Mats Zuccarello,86352-12253,W,Mats,Mats Zuccarello,Zuccarello,15.91162819,43,8500,MIN@TB,MIN,TB,,,,,,W/UTIL
3051879900,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-113269,86352-82796,86352-168107,86352-66508,86352-41394,86352-8406,86352-70571,86352-97022,86352-66693,,86352-74064:Casey DeSmith,86352-74064,G,Casey,Casey DeSmith,DeSmith,12.43636391,22,8400,FLA@PIT,PIT,FLA,,,,,,G
3051879901,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-128506,86352-15386,86352-11150,86352-135875,86352-11201,86352-23225,86352-9269,86352-70905,86352-73938,,86352-8763:Brad Marchand,86352-8763,W,Brad,Brad Marchand,Marchand,15.57692308,39,8400,BOS@MON,BOS,MON,,,,,,W/UTIL
3051879903,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15346,86352-9266,86352-15315,86352-73940,86352-12460,86352-15356,86352-79935,86352-82912,86352-15339,,86352-64100:Jack Eichel,86352-64100,C,Jack,Jack Eichel,Eichel,16.7,35,8400,VGK@NJ,VGK,NJ,,,,,,C/UTIL
3051879905,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-8595,86352-15315,86352-43028,86352-43152,86352-8669,86352-9266,86352-80369,86352-54028,,86352-42868:Tristan Jarry,86352-42868,G,Tristan,Tristan Jarry,Jarry,19.75172372,29,8400,FLA@PIT,PIT,FLA,,,,,,G
3051879906,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-128506,86352-159629,86352-15269,86352-59209,86352-58928,86352-8551,86352-62445,86352-70928,86352-15268,,86352-82094:Alexandar Georgiev,86352-82094,G,Alexandar,Alexandar Georgiev,Georgiev,19.4424235,33,8300,WSH@COL,COL,WSH,,,,,,G
3051879907,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-15277,86352-15321,86352-15315,86352-66622,86352-39243,86352-8406,86352-41391,86352-82051,86352-54028,,86352-73940:Jordan Kyrou,86352-73940,W,Jordan,Jordan Kyrou,Kyrou,16.73636419,44,8300,BUF@STL,STL,BUF,,,,,,W/UTIL
3051879908,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-152882,86352-159629,86352-12439,86352-62429,86352-12262,86352-169056,86352-58878,86352-62788,86352-70509,,86352-83213:Pavel Francouz,86352-83213,G,Pavel,Pavel Francouz,Francouz,18.51428659,14,8300,WSH@COL,COL,WSH,,,,,,G
3051879910,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-148101,86352-23041,86352-103203,86352-8275,86352-113276,86352-8669,86352-41391,86352-97022,86352-82094,,86352-58926:Brayden Point,86352-58926,C,Brayden,Brayden Point,Point,16.6933336,45,8300,MIN@TB,TB,MIN,,,,,,C/UTIL
3051879911,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-148101,86352-8595,86352-145130,86352-54477,86352-11201,86352-61859,86352-70483,86352-8682,86352-58909,,86352-8553:Brian Elliott,86352-8553,G,Brian,Brian Elliott,Elliott,16.74285671,14,8200,MIN@TB,TB,MIN,,,,,,G
3051879912,86352-262567041,$400 Tue NHL Five Hole (150 Entries Max),86352-103262,86352-41391,86352-11122,86352-70483,86352-66409,86352-8669,86352-62445,86352-9266,86352-9052,,86352-8594:Sidney Crosby,86352-8594,C,Sidney,Sidney Crosby,Crosby,16.61739184,46,8200,FLA@PIT,PIT,FLA,,,,,,C/UTIL
