entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3085242580,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-8394,88202-142018,88202-21755,88202-54457,88202-73909,88202-8595,88202-59207,88202-42868,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3085242581,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-103240,88202-41391,88202-70571,88202-81972,88202-43042,88202-64101,88202-8595,88202-82024,88202-12163,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3085242582,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-8394,88202-142018,88202-70571,88202-39309,88202-41394,88202-97140,88202-85571,88202-42868,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3085242583,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-103262,88202-41391,88202-59207,88202-97153,88202-142019,88202-8608,88202-8555,88202-8595,88202-54028,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3085242585,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-62445,88202-142018,88202-21755,88202-42863,88202-66688,88202-62788,88202-8394,88202-117110,,,,,,,,,,,,,,,,,,,
3085242586,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-82114,88202-142018,88202-54477,88202-64101,88202-66688,88202-62429,88202-8640,88202-42868,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3085242587,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-62157,88202-15269,88202-54477,88202-8528,88202-8608,88202-82193,88202-62429,88202-54028,,88202-64102:Connor McDavid,88202-64102,C,Connor,Connor McDavid,McDavid,26.93857073,70,10700,SJ@EDM,EDM,SJ,,,,,,C/UTIL
3085242588,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-148186,88202-41391,88202-119693,88202-74112,88202-142019,88202-8406,88202-8608,88202-8640,88202-82094,,88202-41391:Nathan MacKinnon,88202-41391,C,Nathan,Nathan MacKinnon,MacKinnon,23.84385922,57,10400,CHI@COL,COL,CHI,,,,,,C/UTIL
3085242589,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-103276,88202-142016,88202-58685,88202-70571,88202-113276,88202-43042,88202-41391,88202-8394,88202-42868,,88202-58331:Leon Draisaitl,88202-58331,C,Leon,Leon Draisaitl,Draisaitl,20.97647095,68,10100,SJ@EDM,EDM,SJ,,,,,,C/UTIL
3085242590,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-103240,88202-41391,88202-142018,88202-15217,88202-103753,88202-8608,88202-62788,88202-74112,88202-42868,,88202-70904:Matthew Tkachuk,88202-70904,W,Matthew,Matthew Tkachuk,Tkachuk,20.54848411,66,10000,FLA@DET,FLA,DET,,,,,,W/UTIL
3085242591,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-142016,88202-41390,88202-54477,88202-70571,88202-42962,88202-79846,88202-41391,88202-70279,88202-82094,,88202-66737:Mikko Rantanen,88202-66737,W,Mikko,Mikko Rantanen,Rantanen,19.35000072,68,9500,CHI@COL,COL,CHI,,,,,,W/UTIL
3085242592,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-40036,88202-41391,88202-15269,88202-62869,88202-39309,88202-60674,88202-97022,88202-70571,88202-12163,,88202-82094:Alexandar Georgiev,88202-82094,G,Alexandar,Alexandar Georgiev,Georgiev,20.23529412,51,8600,CHI@COL,COL,CHI,,,,,,G
3085242594,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-142016,88202-41391,88202-142018,88202-151490,88202-14456,88202-55607,88202-62788,88202-8394,88202-117110,,88202-83213:Pavel Francouz,88202-83213,G,Pavel,Pavel Francouz,Francouz,17.85000038,16,8600,CHI@COL,COL,CHI,O,Lower body,,,,G
3085242595,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-40036,88202-41391,88202-119693,88202-54477,88202-74127,88202-8406,88202-70571,88202-73981,88202-54028,,88202-80479:Jonas Johansson,88202-80479,G,Jonas,Jonas Johansson,Johansson,13.60000038,2,8600,CHI@COL,COL,CHI,,,,,,G
3085242596,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-40036,88202-41390,88202-70571,88202-81972,88202-42910,88202-79846,88202-41391,88202-82114,88202-42868,,88202-142017:Tim Stuetzle,88202-142017,C,Tim,Tim Stuetzle,Stuetzle,17.72461501,65,8600,OTT@PIT,OTT,PIT,,,,,,C/UTIL
3085242598,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-8595,88202-153812,88202-70571,88202-113272,88202-142019,88202-9990,88202-70919,88202-54028,,88202-8594:Sidney Crosby,88202-8594,C,Sidney,Sidney Crosby,Crosby,17.05941994,69,8500,OTT@PIT,PIT,OTT,,,,,,C/UTIL
3085242599,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-40036,88202-41390,88202-59207,88202-62869,88202-135674,88202-8551,88202-41391,88202-8294,88202-117110,,88202-54028:Pheonix Copley,88202-54028,G,Pheonix,Pheonix Copley,Copley,17.21290244,31,8300,CGY@LA,LA,CGY,,,,,,G
3085242601,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-142016,88202-41390,88202-66756,88202-82024,88202-59269,88202-8406,88202-41391,88202-41393,88202-117110,,88202-54065:Joonas Korpisalo,88202-54065,G,Joonas,Joonas Korpisalo,Korpisalo,16.89696896,33,8300,CGY@LA,LA,CGY,,,,,,G
3085242603,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-41391,88202-82193,88202-142018,88202-15269,88202-42862,88202-8406,88202-8294,88202-70571,88202-82094,,88202-9252:Alex Stalock,88202-9252,G,Alex,Alex Stalock,Stalock,17.56190418,21,8100,CHI@COL,CHI,COL,,,,,,G
3085242604,88202-263304502,$300 Mon NHL Five Hole (150 Entries Max),88202-15277,88202-41391,88202-43028,88202-66754,88202-142019,88202-8608,88202-62157,88202-79965,88202-54028,,88202-15400:Petr Mrazek,88202-15400,G,Petr,Petr Mrazek,Mrazek,12.65454564,33,8100,CHI@COL,CHI,COL,O,Groin,,,,G
