entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3085697182","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-12690:Scott Wedgewood,88253-12690,G,Scott,Scott Wedgewood,Wedgewood,15.11999969482422,20,8600,SEA@DAL,DAL,SEA,O,Lower body,,,,G
"3085697183","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-142017:Tim Stuetzle,88253-142017,C,Tim,Tim Stuetzle,Stuetzle,17.577272357362688,66,8600,OTT@BOS,OTT,BOS,,,,,,C/UTIL
"3085697184","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-103202:Jake Oettinger,88253-103202,G,Jake,Jake Oettinger,Oettinger,18.618181818181817,55,8600,SEA@DAL,DAL,SEA,,,,,,G
"3085697185","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-180077:Matt Murray,88253-180077,G,Matt,Matt Murray,Murray,3.4666665395100913,3,8600,SEA@DAL,DAL,SEA,,,,,,G
"3085697186","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8553:Brian Elliott,88253-8553,G,Brian,Brian Elliott,Elliott,15,20,8500,TB@MON,TB,MON,,,,,,G
"3085697187","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8718:Alex Ovechkin,88253-8718,W,Alex,Alex Ovechkin,Ovechkin,18.264614633413462,65,8500,CBJ@WSH,WSH,CBJ,,,,,,W/UTIL
"3085697188","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-54565:Andrei Vasilevskiy,88253-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,19.0666662145544,54,8500,TB@MON,TB,MON,,,,,,G
"3085697189","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-8612:Marc-Andre Fleury,88253-8612,G,Marc-Andre,Marc-Andre Fleury,Fleury,17.200000581287203,42,8400,MIN@NJ,MIN,NJ,,,,,,G
"3085697190","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-82752:Filip Gustavsson,88253-82752,G,Filip,Filip Gustavsson,Gustavsson,18.605714634486606,35,8400,MIN@NJ,MIN,NJ,,,,,,G
"3085697191","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-59276:William Nylander,88253-59276,W,William,William Nylander,Nylander,17.584058678668477,69,8400,TOR@NYI,TOR,NYI,,,,,,W/UTIL
"3085697192","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-12262:Roman Josi,88253-12262,D,Roman,Roman Josi,Josi,18.208955223880597,67,8400,NSH@BUF,NSH,BUF,DTD,Upper body,,,,D/UTIL
"3085697193","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-14565:Mika Zibanejad,88253-14565,C,Mika,Mika Zibanejad,Zibanejad,17.25,70,8300,CAR@NYR,NYR,CAR,,,,,,C/UTIL
"3085697194","88253-263313638","$500 Tue NHL Five Hole (150 Entries Max)","","","","","","","","","","",88253-103200:Joseph Woll,88253-103200,G,Joseph,Joseph Woll,Woll,24,3,8300,TOR@NYI,TOR,NYI,,,,,,G
