entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3030376326","85626-262044136","$1K Thu NHL Save (Single Entry)","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3030376783","85626-262044152","$700 Thu NHL Slapshot (2 Entries Max)","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3030376784","85626-262044152","$700 Thu NHL Slapshot (2 Entries Max)","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3030376815","85626-262044099","$1K Thu NHL Deflection (0.25 To Enter)","","","","","","","","","","","4) You can not use this form to create new entries"
"3030376837","85626-262044086","$500 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","","","","","",85626-82094:Alexandar Georgiev,85626-82094,G,Alexandar,Alexandar Georgiev,Georgiev,18.74285670689174,28,8400,COL@VAN,COL,VAN,,,,,,G
"","","","","","","","","","","","","",85626-80479:Jonas Johansson,85626-80479,G,Jonas,Jonas Johansson,Johansson,5.599999904632568,1,8400,COL@VAN,COL,VAN,,,,,,G
"","","","","","","","","","","","","",85626-83213:Pavel Francouz,85626-83213,G,Pavel,Pavel Francouz,Francouz,15.680000305175781,10,8400,COL@VAN,COL,VAN,IR,Lower body,,,,G
"","","","","","","","","","","","","",85626-8453:Jaroslav Halak,85626-8453,G,Jaroslav,Jaroslav Halak,Halak,8.984615619365986,13,8300,NYR@MON,NYR,MON,,,,,,G
"","","","","","","","","","","","","",85626-104015:Igor Shesterkin,85626-104015,G,Igor,Igor Shesterkin,Shesterkin,18.245160502772176,31,8300,NYR@MON,NYR,MON,,,,,,G
"","","","","","","","","","","","","",85626-8732:Semyon Varlamov,85626-8732,G,Semyon,Semyon Varlamov,Varlamov,17.333333333333332,15,8200,NYI@EDM,NYI,EDM,,,,,,G
"","","","","","","","","","","","","",85626-97232:Ilya Sorokin,85626-97232,G,Ilya,Ilya Sorokin,Sorokin,18.141936271421372,31,8200,NYI@EDM,NYI,EDM,,,,,,G
"","","","","","","","","","","","","",85626-80991:Nico Hischier,85626-80991,C,Nico,Nico Hischier,Hischier,15.962161502322635,37,8200,STL@NJ,NJ,STL,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-8175:Patrice Bergeron,85626-8175,C,Patrice,Patrice Bergeron,Bergeron,15.13243309227196,37,8200,BOS@LA,BOS,LA,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-73940:Jordan Kyrou,85626-73940,W,Jordan,Jordan Kyrou,Kyrou,16.928571428571427,35,8100,STL@NJ,STL,NJ,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-73946:Sebastian Aho,85626-73946,C,Sebastian,Sebastian Aho,Aho,14.761290519468245,31,8100,NSH@CAR,CAR,NSH,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-84395:Kevin Lankinen,85626-84395,G,Kevin,Kevin Lankinen,Lankinen,12.800000508626303,12,8100,NSH@CAR,NSH,CAR,,,,,,G
"","","","","","","","","","","","","",85626-66411:Juuse Saros,85626-66411,G,Juuse,Juuse Saros,Saros,18.028570992606028,28,8100,NSH@CAR,NSH,CAR,,,,,,G
"","","","","","","","","","","","","",85626-14563:Ryan Nugent-Hopkins,85626-14563,W,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,16.26923076923077,39,8000,NYI@EDM,EDM,NYI,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-21897:Brock Nelson,85626-21897,C,Brock,Brock Nelson,Nelson,15.205128205128204,39,8000,NYI@EDM,NYI,EDM,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-82045:Martin Necas,85626-82045,W,Martin,Martin Necas,Necas,15.800000642475329,38,7900,NSH@CAR,CAR,NSH,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-82115:Stuart Skinner,85626-82115,G,Stuart,Stuart Skinner,Skinner,16.56296341507523,27,7900,NYI@EDM,EDM,NYI,,,,,,G
"","","","","","","","","","","","","",85626-12619:Jack Campbell,85626-12619,G,Jack,Jack Campbell,Campbell,10.273684049907484,19,7900,NYI@EDM,EDM,NYI,,,,,,G
"","","","","","","","","","","","","",85626-8763:Brad Marchand,85626-8763,W,Brad,Brad Marchand,Marchand,14.716666666666667,30,7900,BOS@LA,BOS,LA,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-14466:Darcy Kuemper,85626-14466,G,Darcy,Darcy Kuemper,Kuemper,16.215384850135216,26,7800,WSH@CBJ,WSH,CBJ,,,,,,G
"","","","","","","","","","","","","",85626-62445:Evan Rodrigues,85626-62445,C,Evan,Evan Rodrigues,Rodrigues,11.715384850135216,26,7800,COL@VAN,COL,VAN,DTD,Upper body,,,,C/UTIL
"","","","","","","","","","","","","",85626-68647:Charlie Lindgren,85626-68647,G,Charlie,Charlie Lindgren,Lindgren,16.560000610351562,20,7800,WSH@CBJ,WSH,CBJ,,,,,,G
"","","","","","","","","","","","","",85626-103523:Cale Makar,85626-103523,D,Cale,Cale Makar,Makar,16.22777811686198,36,7800,COL@VAN,COL,VAN,,,,,,D/UTIL
"","","","","","","","","","","","","",85626-66683:Mitchell Marner,85626-66683,W,Mitchell,Mitchell Marner,Marner,15.894736842105264,38,7800,SEA@TOR,TOR,SEA,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-8412:Jonathan Quick,85626-8412,G,Jonathan,Jonathan Quick,Quick,10.464000244140625,25,7700,BOS@LA,LA,BOS,,,,,,G
"","","","","","","","","","","","","",85626-54028:Pheonix Copley,85626-54028,G,Pheonix,Pheonix Copley,Copley,20.960000610351564,10,7700,BOS@LA,LA,BOS,,,,,,G
"","","","","","","","","","","","","",85626-70914:Jakob Chychrun,85626-70914,D,Jakob,Jakob Chychrun,Chychrun,15.844999694824219,20,7700,ARI@PHI,ARI,PHI,,,,,,D/UTIL
"","","","","","","","","","","","","",85626-8595:Evgeni Malkin,85626-8595,C,Evgeni,Evgeni Malkin,Malkin,14.010811470650339,37,7600,PIT@VGK,PIT,VGK,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-41392:Valeri Nichushkin,85626-41392,W,Valeri,Valeri Nichushkin,Nichushkin,14.858823888442096,17,7600,COL@VAN,COL,VAN,DTD,Ankle,,,,W/UTIL
"","","","","","","","","","","","","",85626-8651:Alex Pietrangelo,85626-8651,D,Alex,Alex Pietrangelo,Pietrangelo,15.609677222467237,31,7600,PIT@VGK,VGK,PIT,,,,,,D/UTIL
"","","","","","","","","","","","","",85626-66744:MacKenzie Blackwood,85626-66744,G,MacKenzie,MacKenzie Blackwood,Blackwood,8.97142846243722,14,7600,STL@NJ,NJ,STL,,,,,,G
"","","","","","","","","","","","","",85626-58988:Vitek Vanecek,85626-58988,G,Vitek,Vitek Vanecek,Vanecek,15.90769254244291,26,7600,STL@NJ,NJ,STL,,,,,,G
"","","","","","","","","","","","","",85626-8494:John Tavares,85626-8494,C,John,John Tavares,Tavares,14.813158537212171,38,7500,SEA@TOR,TOR,SEA,,,,,,C/UTIL
"","","","","","","","","","","","","",85626-12628:Mark Stone,85626-12628,W,Mark,Mark Stone,Stone,14.239999389648437,40,7500,PIT@VGK,VGK,PIT,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-12697:Philipp Grubauer,85626-12697,G,Philipp,Philipp Grubauer,Grubauer,7.828571319580078,14,7500,SEA@TOR,SEA,TOR,,,,,,G
"","","","","","","","","","","","","",85626-70571:Jake Guentzel,85626-70571,W,Jake,Jake Guentzel,Guentzel,14.125714111328126,35,7500,PIT@VGK,PIT,VGK,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-9278:Martin Jones,85626-9278,G,Martin,Martin Jones,Jones,14.523077157827524,26,7500,SEA@TOR,SEA,TOR,,,,,,G
"","","","","","","","","","","","","",85626-70900:Patrik Laine,85626-70900,W,Patrik,Patrik Laine,Laine,14.304761614118304,21,7500,WSH@CBJ,CBJ,WSH,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-149734:Karel Vejmelka,85626-149734,G,Karel,Karel Vejmelka,Vejmelka,16.1655168204472,29,7400,ARI@PHI,ARI,PHI,,,,,,G
"","","","","","","","","","","","","",85626-148067:Cole Caufield,85626-148067,W,Cole,Cole Caufield,Caufield,14.618421052631579,38,7400,NYR@MON,MON,NYR,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-15356:Dougie Hamilton,85626-15356,D,Dougie,Dougie Hamilton,Hamilton,15.094736199629935,38,7400,STL@NJ,NJ,STL,,,,,,D/UTIL
"","","","","","","","","","","","","",85626-66572:Connor Ingram,85626-66572,G,Connor,Connor Ingram,Ingram,7.666666666666667,12,7400,ARI@PHI,ARI,PHI,,,,,,G
"","","","","","","","","","","","","",85626-54514:Johnny Gaudreau,85626-54514,W,Johnny,Johnny Gaudreau,Gaudreau,14.094444274902344,36,7400,WSH@CBJ,CBJ,WSH,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-85470:Andrei Svechnikov,85626-85470,W,Andrei,Andrei Svechnikov,Svechnikov,14.43947400544819,38,7400,NSH@CAR,CAR,NSH,,,,,,W/UTIL
"","","","","","","","","","","","","",85626-39253:Filip Forsberg,85626-39253,W,Filip,Filip Forsberg,Forsberg,14.833333333333334,36,7300,NSH@CAR,NSH,CAR,,,,,,W/UTIL
