entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,"","Instructions"
"3083603741","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66744:MacKenzie Blackwood,88061-66744,G,MacKenzie,MacKenzie Blackwood,Blackwood,12.2,20,8400,TB@NJ,NJ,TB,IR,Lower body,,,,G
"3083603742","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-58988:Vitek Vanecek,88061-58988,G,Vitek,Vitek Vanecek,Vanecek,17.21818126331676,44,8400,TB@NJ,NJ,TB,,,,,,G
"3083603743","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-82094:Alexandar Georgiev,88061-82094,G,Alexandar,Alexandar Georgiev,Georgiev,19.95199951171875,50,8300,COL@OTT,COL,OTT,,,,,,G
"3083603744","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8594:Sidney Crosby,88061-8594,C,Sidney,Sidney Crosby,Crosby,17.258209684001866,67,8300,PIT@NYR,PIT,NYR,,,,,,C/UTIL
"3083603745","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-80479:Jonas Johansson,88061-80479,G,Jonas,Jonas Johansson,Johansson,5.599999904632568,1,8300,COL@OTT,COL,OTT,,,,,,G
"3083603746","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-66690:Timo Meier,88061-66690,W,Timo,Timo Meier,Meier,16.8031742156498,63,8300,TB@NJ,NJ,TB,,,,,,W/UTIL
"3083603747","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-83213:Pavel Francouz,88061-83213,G,Pavel,Pavel Francouz,Francouz,17.850000381469727,16,8300,COL@OTT,COL,OTT,O,Lower body,,,,G
"3083603748","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8553:Brian Elliott,88061-8553,G,Brian,Brian Elliott,Elliott,15.031579268606086,19,8200,TB@NJ,TB,NJ,,,,,,G
"3083603749","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-54565:Andrei Vasilevskiy,88061-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,19.09230745755709,52,8200,TB@NJ,TB,NJ,,,,,,G
"3083603750","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12262:Roman Josi,88061-12262,D,Roman,Roman Josi,Josi,18.363076547475963,65,8200,CHI@NSH,NSH,CHI,,,,,,D/UTIL
"3083603751","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8262:Patrick Kane,88061-8262,W,Patrick,Patrick Kane,Kane,13.806667073567708,60,8100,PIT@NYR,NYR,PIT,,,,,,W/UTIL
"3083603752","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12609:Zach Hyman,88061-12609,W,Zach,Zach Hyman,Hyman,16.881817441998106,66,8100,DAL@EDM,EDM,DAL,DTD,Undisclosed,,,,W/UTIL
"3083603753","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70635:David Rittich,88061-70635,G,David,David Rittich,Rittich,11.652173913043478,23,8100,BOS@WPG,WPG,BOS,,,,,,G
"3083603755","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-58909:Connor Hellebuyck,88061-58909,G,Connor,Connor Hellebuyck,Hellebuyck,19.907691368689903,52,8100,BOS@WPG,WPG,BOS,,,,,,G
"3083603756","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8453:Jaroslav Halak,88061-8453,G,Jaroslav,Jaroslav Halak,Halak,11.930434517238451,23,8000,PIT@NYR,NYR,PIT,,,,,,G
"3083603758","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-8551:Erik Karlsson,88061-8551,D,Erik,Erik Karlsson,Karlsson,17.307353300206803,68,8000,SEA@SJ,SJ,SEA,,,,,,D/UTIL
"3083603759","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-64100:Jack Eichel,88061-64100,C,Jack,Jack Eichel,Eichel,16.094545676491478,55,8000,CGY@VGK,VGK,CGY,,,,,,C/UTIL
"3083603761","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-97147:Brady Tkachuk,88061-97147,W,Brady,Brady Tkachuk,Tkachuk,16.470149253731343,67,8000,COL@OTT,OTT,COL,,,,,,W/UTIL
"3083603762","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-104015:Igor Shesterkin,88061-104015,G,Igor,Igor Shesterkin,Shesterkin,17.664000244140624,50,8000,PIT@NYR,NYR,PIT,,,,,,G
"3083603763","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-14563:Ryan Nugent-Hopkins,88061-14563,W,Ryan,Ryan Nugent-Hopkins,Nugent-Hopkins,16.258823170381433,68,7900,DAL@EDM,EDM,DAL,,,,,,W/UTIL
"3083603764","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-12690:Scott Wedgewood,88061-12690,G,Scott,Scott Wedgewood,Wedgewood,15.11999969482422,20,7900,DAL@EDM,DAL,EDM,DTD,Lower body,,,,G
"3083603766","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-41393:Aleksander Barkov,88061-41393,C,Aleksander,Aleksander Barkov,Barkov,15.986792222508845,53,7900,MON@FLA,FLA,MON,,,,,,C/UTIL
"3083603767","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-103202:Jake Oettinger,88061-103202,G,Jake,Jake Oettinger,Oettinger,18.807546939489978,53,7900,DAL@EDM,DAL,EDM,,,,,,G
"3083603768","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-180077:Matt Murray,88061-180077,G,Matt,Matt Murray,Murray,3.4666665395100913,3,7900,DAL@EDM,DAL,EDM,,,,,,G
"3083603769","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-74064:Casey DeSmith,88061-74064,G,Casey,Casey DeSmith,DeSmith,14.400000678168404,36,7800,PIT@NYR,PIT,NYR,,,,,,G
"3083603770","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-80286:Roope Hintz,88061-80286,C,Roope,Roope Hintz,Hintz,15.80499979654948,60,7800,DAL@EDM,DAL,EDM,,,,,,C/UTIL
"3083603771","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-70125:Kyle Connor,88061-70125,W,Kyle,Kyle Connor,Connor,16.344118006089154,68,7800,BOS@WPG,WPG,BOS,,,,,,W/UTIL
"3083603772","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-103523:Cale Makar,88061-103523,D,Cale,Cale Makar,Makar,16.86415071307488,53,7800,COL@OTT,COL,OTT,,,,,,D/UTIL
"3083603773","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-42868:Tristan Jarry,88061-42868,G,Tristan,Tristan Jarry,Jarry,17.157894736842106,38,7800,PIT@NYR,PIT,NYR,,,,,,G
"3083603774","88061-263251506","$400 Thu NHL Five Hole (150 Entries Max)","","","","","","","","","","",88061-43028:Carter Verhaeghe,88061-43028,W,Carter,Carter Verhaeghe,Verhaeghe,14.79090927586411,66,7700,MON@FLA,FLA,MON,,,,,,W/UTIL
