,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
houston3500,10.4,Houston,3500,HOU,GB,,,2.6,9.5,-0.7,-1.47,0.7,1,-2,4.07,-5,0.4,0,0,1,0,0.42,-4,0,26.5,29,0,2.5,55.5,35,0,0,0,0,0,0,0,0,0,0,0,0,1.95,6.05,0,0,0,0,0,0,0,0,0,0,0,0,4.5,-100,0,0,100,0.25,0,40,5.5,-0.7,500,0,0,81,0.36,0.18,22,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5176,0.5077,0.0104,0.0497,7.8,11.07,5.43,3.25,0.2169,houston,houston,h,houston3500,51091-12556:Houston Texans,51091-12556,D,h,Houston Texans,texans,3,6,3500,GB@HOU,HOU,GB,,,,Texans,Texans,houston,houston3500
jacksonville3300,21.25,Jacksonville,3300,JAX,@LAC,,,4.4,10.5,-0.5,0.97,1.3,3,5,3.43,-11,0.12,0,0,1,0,0.91,-0.9,0,20,28,-0.8,8,48,44,0,0,0,0,0,0,0,0,0,0,0,0,2.62,6.77,0,0,0,0,0,0,0,0,0,0,0,0,2.3,-400,0,0,100,0,0,30,4.2,-1.7,-200,0,0,68,0.43,0.31,16,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5568,0.5133,0.0133,0.0549,8.5,9.6,50,3.54,0.2569,jacksonville,jacksonville,j,jacksonville3300,51091-12554:Jacksonville Jaguars,51091-12554,D,j,Jacksonville Jaguars,jaguars,2.166666667,6,3300,JAC@LAC,JAC,LAC,,,,Jaguars,Jaguars,jacksonville,jacksonville3300
kansas city4600,61.96,Kansas City,4600,KC,@DEN,,,7.8,16,-0.6,0.19,1.7,11,26,7.61,0,0.72,0,0,3,0,0.98,3.1,0,26.5,19.5,-2.3,-7,46,64,0,0,0,0,0,0,0,0,0,0,0,0,3.29,7.35,0,0,0,0,0,0,0,0,0,15,0.8,0.38,7.3,700,0,0,75,0.5,0.25,40,7.8,0.9,400,0,0,95,0.57,0.04,21,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4642,0.5271,0.0188,0.0376,6.68,8.07,3.87,2.38,0.2149,city,kansas city,k,kansas city4600,51091-12536:Kansas City Chiefs,51091-12536,D,k,Kansas City Chiefs,chiefs,6.833333333,6,4600,KC@DEN,KC,DEN,,,,City,City,kansas city,kansas city4600
la chargers4500,39.59,LA Chargers,4500,LAC,JAX,,,6.2,13.3,-0.9,-1.09,1.4,10.5,5,7.29,-7,0.29,0,0,3,0,0.62,2.8,0,28,20,-0.3,-8,48,56,0,0,0,0,0,0,0,0,0,0,0,0,1.65,4.96,0,0,0,0,0,0,0,0,0,0,0,0,3.7,-500,0,0,100,0,0,30,4.3,-2.1,300,0,0,100,0.18,0,16,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4855,0.507,0.0095,0.038,6.64,7.64,4.25,2.86,0.2056,chargers,la chargers,l,la chargers4500,51091-12548:Los Angeles Chargers,51091-12548,D,l,Los Angeles Chargers,chargers,5,5,4500,JAC@LAC,LAC,JAC,,,,Angeles,LA,la chargers,la chargers4500
new england4800,50.38,New England,4800,NE,SF,,,7.4,14.2,-0.4,-0.85,1.5,3,4,8.25,5,0.92,0,0,2,0,0.8,2.5,0,23.5,20.5,-1,-3,44,53,0,0,0,0,0,0,0,0,0,0,0,0,2.97,6.64,0,0,0,0,0,0,0,0,0,47,0.64,0,8.7,-100,0,0,100,0.66,0,30,7.8,-1.3,200,0,0,88,0.5,0.11,18,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.508,0.4711,0.016,0.0367,7.25,7.86,4.25,2.6,0.1818,england,new england,n,new england4800,51091-12541:New England Patriots,51091-12541,D,n,New England Patriots,patriots,8.6,5,4800,SF@NE,NE,SF,,,,England,England,new england,new england4800
new orleans4000,51.02,New Orleans,4000,NO,CAR,,,6.7,13.5,-0.5,1.02,1.7,3,1,5.68,0,0.72,0,0,3,0,0.85,0.7,0,28.3,21.3,-1,-7,49.5,49,0,0,0,0,0,0,0,0,0,0,0,0,2.49,8.41,0,0,0,0,0,0,0,0,0,0,0,0,1.3,-300,0,0,66,0,0.33,30,7.1,-1.2,-100,0,0,90,0.4,0.1,20,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4799,0.4341,0.0152,0.0513,7.03,10.43,5.38,4.18,0.226,orleans,new orleans,n,new orleans4000,51091-12542:New Orleans Saints,51091-12542,D,n,New Orleans Saints,saints,5,5,4000,CAR@NO,NO,CAR,,,,Orleans,Orleans,new orleans,new orleans4000
ny jets3000,31.5,NY Jets,3000,NYJ,BUF,,,5.1,10.7,-0.5,2.64,1.7,3,5,2.46,-9,0.19,0,0,1,0,0.71,-2.4,0,18.8,28.3,2,9.5,47,35,0,0,0,0,0,0,0,0,0,0,0,0,2.55,6.74,0,0,0,0,0,0,0,0,0,53,0.49,0.02,4.8,-800,0,0,80,0.6,0.2,50,7.2,1.3,-900,0,0,94,0.61,0.05,18,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.4936,0.3685,0.0144,0.0441,7.2,10.2,5.62,3.17,0.1895,jets,ny jets,n,ny jets3000,51091-12544:New York Jets,51091-12544,D,n,New York Jets,jets,4.5,6,3000,BUF@NYJ,NYJ,BUF,,,,York,NY,ny jets,ny jets3000
pittsburgh4300,23.19,Pittsburgh,4300,PIT,@TEN,,,5.5,13,-0.4,-1.14,1.3,7,2,6.64,-6,0.34,0,0,1,0,0.85,-2.7,0,25,26,-2,1,51,60,0,0,0,0,0,0,0,0,0,0,0,0,4.24,12.29,0,0,0,0,0,0,0,0,0,60,0.88,0.02,11,-400,0,0,100,1,0,30,10.8,2.7,-500,0,0,88,0.72,0.11,18,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4407,0.4016,0.0234,0.0349,6.6,7.4,4.17,2.6,0.2072,pittsburgh,pittsburgh,p,pittsburgh4300,51091-12547:Pittsburgh Steelers,51091-12547,D,p,Pittsburgh Steelers,steelers,10.8,5,4300,PIT@TEN,PIT,TEN,,,,Steelers,Steelers,pittsburgh,pittsburgh4300
san francisco4400,32.71,San Francisco,4400,SF,@NE,,,6.4,13.3,-0.5,-0.56,1.5,3,17,6.96,-1,0.64,0,0,0,0,0.62,2.6,0,20.5,23.5,-0.5,3,44,47,0,0,0,0,0,0,0,0,0,0,0,0,1.52,6.43,0,0,0,0,0,0,0,0,0,47,0.64,0,5.3,-200,0,0,75,0.25,0.25,40,7.9,-0.6,-600,0,0,80,0.47,0.19,21,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4653,0.4977,0.0088,0.0435,6.37,8.93,4.92,3.17,0.24,francisco,san francisco,s,san francisco4400,51091-12549:San Francisco 49ers,51091-12549,D,s,San Francisco 49ers,49ers,5,6,4400,SF@NE,SF,NE,,,,Francisco,Francisco,san francisco,san francisco4400
seattle4100,23.75,Seattle,4100,SEA,@ARI,,,5.6,12.9,-0.5,-0.4,1.4,1,0,6,3,0.87,0,0,1,0,0.34,-2.7,0,29.5,26,0,-3.5,55.5,56,0,0,0,0,0,0,0,0,0,0,0,0,2.76,4.23,0,0,0,0,0,0,0,0,0,0,0,0,7.7,100,0,0,100,0.66,0,30,8.1,0.8,100,0,0,95,0.61,0.04,21,D,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5252,0.4859,0.017,0.0388,7.7,9.5,4.86,2.58,0.2256,seattle,seattle,s,seattle4100,51091-12550:Seattle Seahawks,51091-12550,D,s,Seattle Seahawks,seahawks,6.4,5,4100,SEA@ARI,SEA,ARI,,,,Seahawks,Seahawks,seattle,seattle4100
