RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
la chargers4100,35.21,LA Chargers,4100,LAC,@MIA,,,6.5,13.2,-0.2,0.5,1.6,3,1,6,-4,0.45,0,0,1,0,0.42,-4.3,0,23.5,25,0.2,1.5,48.5,41,0,0,0,0,0,0,0,0,0,0,0,0,1.69,4.64,0,0,0,0,0,0,0,0,0,80,0.79,0,3.3,-400,0,0,100,0,0,30,3.6,-2.7,-100,0,0,100,0.06,0,15,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4662,0.5225,0.0097,0.047,6.69,6.93,3.67,1.75,0.2474,chargers,la chargers,l,la chargers4100,51566-12548:Los Angeles Chargers,51566-12548,D,l,Los Angeles Chargers,chargers,4.625,8,4100,LAC@MIA,LAC,MIA,,,,Angeles,LA,la chargers,la chargers4100
la rams4000,40.21,LA Rams,4000,LA,SEA,,,6.7,13.5,-0.1,1.02,1.7,0.5,13,5.68,9,0.98,0,0,2,0,0.1,0.1,0,29,26,0.5,-3,55,49,0,0,0,0,0,0,0,0,0,0,0,0,2.55,9.63,0,0,0,0,0,0,0,0,0,0,0,0,7,-600,0,0,66,0.33,0.33,30,7.6,0.1,300,0,0,77,0.55,0.22,18,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.4892,0.5269,0.0145,0.0389,6.57,8.87,5.25,3.67,0.2256,rams,la rams,l,la rams4000,51566-12538:Los Angeles Rams,51566-12538,D,l,Los Angeles Rams,rams,7.375,8,4000,SEA@LAR,LAR,SEA,,,,Angeles,LA,la rams,la rams4000
las vegas3500,42.93,Las Vegas,3500,LV,DEN,,,6.3,13.2,-0.6,2.23,1.8,6.5,16,4.07,-9,0.19,0,0,2,0,0.71,4.5,0,27,23.5,-0.8,-3.5,50.5,55,0,0,0,0,0,0,0,0,0,0,0,0,1,4.19,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,66,0.33,0.33,30,2.5,-2.6,300,0,0,64,0.11,0.35,17,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.501,0.5349,0.0057,0.0495,7.67,10.13,5.21,3.08,0.2566,vegas,las vegas,l,las vegas3500,51566-12537:Las Vegas Raiders,51566-12537,D,l,Las Vegas Raiders,raiders,2.25,8,3500,DEN@LV,LV,DEN,,,,Vegas,Vegas,las vegas,las vegas3500
miami4700,29.84,Miami,4700,MIA,LAC,,,6.5,13.4,-0.4,-1.43,1.4,3,6,7.93,-3,0.51,0,0,1,0,0.05,0,0,25,23.5,-0.8,-1.5,48.5,59,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5.37,0,0,0,0,0,0,0,0,0,80,0.79,0,15.3,300,0,0,100,1,0,30,7.2,20,1200,0,0,93,0.5,0.06,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5188,0.5337,0.0144,0.0492,7.63,9.8,4.57,2.6,0.2381,miami,miami,m,miami4700,51566-12539:Miami Dolphins,51566-12539,D,m,Miami Dolphins,dolphins,9.875,8,4700,LAC@MIA,MIA,LAC,,,,Dolphins,Dolphins,miami,miami4700
new orleans4500,63.64,New Orleans,4500,NO,SF,,,8.1,16.2,0,0.81,1.8,3,10,7.29,5,0.92,0,0,5,0,0.26,0.5,0,29.5,20,-0.5,-9.5,49.5,57,0,0,0,0,0,0,0,0,0,0,0,0,2.85,8.56,0,0,0,0,0,0,0,0,0,0,0,0,8.3,500,0,0,66,0.66,0.33,30,7.4,-0.4,400,0,0,90,0.42,0.09,21,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4973,0.432,0.018,0.0527,7.15,9.53,50,3.86,0.2378,orleans,new orleans,n,new orleans4500,51566-12542:New Orleans Saints,51566-12542,D,n,New Orleans Saints,saints,6.125,8,4500,SF@NO,NO,SF,,,,Orleans,Orleans,new orleans,new orleans4500
ny giants3900,45.77,NY Giants,3900,NYG,PHI,,,7.1,14.1,0.1,1.74,1.8,6.5,4,5.36,-1,0.64,0,0,1,0,0.53,-0.2,0,20.5,25.5,1.5,5,46,49,0,0,0,0,0,0,0,0,0,0,0,0,1.76,5.99,0,0,0,0,0,0,0,0,0,56,0.71,0.04,9,0,0,0,100,0.75,0,40,5.3,0.4,500,0,0,75,0.56,0.25,16,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.5352,0.4271,0.0104,0.0455,7.52,10.4,4.79,2.75,0.2244,giants,ny giants,n,ny giants3900,51566-12543:New York Giants,51566-12543,D,n,New York Giants,giants,6.333333333,9,3900,PHI@NYG,NYG,PHI,,,,York,NY,ny giants,ny giants3900
philadelphia4600,54.15,Philadelphia,4600,PHI,@NYG,,,8,16.5,-0.5,0.39,1.7,6.5,3,7.61,1,0.78,0,0,1,0,0.71,1.1,0,25.5,20.5,3.5,-5,46,51,0,0,0,0,0,0,0,0,0,0,0,0,1.05,8.07,0,0,0,0,0,0,0,0,0,56,0.71,0.04,10.7,1000,0,0,100,0.66,0,30,6.1,-1.8,100,0,0,77,0.44,0.22,18,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4754,0.4165,0.0062,0.0437,7.09,9.2,5.54,4.36,0.1957,philadelphia,philadelphia,p,philadelphia4600,51566-12545:Philadelphia Eagles,51566-12545,D,p,Philadelphia Eagles,eagles,7.5,8,4600,PHI@NYG,PHI,NYG,,,,Eagles,Eagles,philadelphia,philadelphia4600
pittsburgh5000,61.75,Pittsburgh,5000,PIT,CIN,,,8.5,17.2,-0.2,-0.39,1.7,18.5,10,8.89,0,0.72,0,0,2,0,0.94,-0.7,0,26,19.5,-3,-6.5,45.5,54,0,0,0,0,0,0,0,0,0,0,0,0,3.95,12.09,0,0,0,0,0,0,0,0,0,50,0.68,0.31,11.3,500,0,0,100,0.5,0,40,9.9,2.1,200,0,0,100,0.66,0,15,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.4488,0.4226,0.0211,0.0357,6.82,8.36,5.27,2.9,0.1795,pittsburgh,pittsburgh,p,pittsburgh5000,51566-12547:Pittsburgh Steelers,51566-12547,D,p,Pittsburgh Steelers,steelers,10.125,8,5000,CIN@PIT,PIT,CIN,,,,Steelers,Steelers,pittsburgh,pittsburgh5000
san francisco3700,12.66,San Francisco,3700,SF,@NO,,,4.3,9.4,-0.8,-0.41,1.2,0.5,5,4.71,-4,0.45,0,0,1,0,0.34,-2.7,0,20,29.5,-1,9.5,49.5,43,0,0,0,0,0,0,0,0,0,0,0,0,1.53,4.75,0,0,0,0,0,0,0,0,0,0,0,0,4.6,-500,0,0,40,0.2,0.6,50,6.1,-1.7,-1300,0,0,70,0.4,0.3,20,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.472,0.4788,0.0087,0.0462,6.56,10.07,5.85,3.83,0.227,francisco,san francisco,s,san francisco3700,51566-12549:San Francisco 49ers,51566-12549,D,s,San Francisco 49ers,49ers,5,9,3700,SF@NO,SF,NO,,,,Francisco,Francisco,san francisco,san francisco3700
seattle3700,23.75,Seattle,3700,SEA,@LA,,,5,10.5,-0.5,0.29,1.4,6.5,5,4.71,-14,0.05,0,0,1,0,0.34,1.2,0,26,29,-1,3,55,51,0,0,0,0,0,0,0,0,0,0,0,0,2.83,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2.7,-400,0,0,66,0.33,0.33,30,6.5,-0.1,-300,0,0,90,0.55,0.1,20,D,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.5417,0.4886,0.0172,0.0452,7.98,10.86,5.86,3.38,0.2303,seattle,seattle,s,seattle3700,51566-12550:Seattle Seahawks,51566-12550,D,s,Seattle Seahawks,seahawks,5.25,8,3700,SEA@LAR,SEA,LAR,,,,Seahawks,Seahawks,seattle,seattle3700
