RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
la chargers3900,89.71,LA Chargers,3900,LAC,@DEN,,,8.5,14.5,0.9,3.14,2.2,14.5,2,5.36,-9,0.13,0,0,3,0,0.82,3.9,0,21.8,17.3,2,-4.5,39,68,0,0,0,0,0,0,0,0,0,0,0,0,2.02,7.09,0,0,0,0,0,0,0,0,0,35,0.55,0.07,4.2,500,0,0,100,0.2,0,50,6.7,0.6,-2100,0,0,86,0.44,0.13,29,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5081,0.4856,0.011,0.0405,7.3,8.07,4.27,3.18,0.2149,chargers,la chargers,l,la chargers3900,40932-12548,D,l,Los Angeles Chargers,chargers,6.272727273,11,3900,LAC@DEN,LAC,DEN,,,,,,Angeles,LA,la chargers,la chargers3900
la rams4100,57.84,LA Rams,4100,LA,@ARI,,,7.2,14.2,1.5,1.2,1.8,0.5,18,6,8,0.72,0,0,1,0,0.81,-1.7,0,24.8,22.3,0.3,-2.5,47,62,0,0,0,0,0,0,0,0,0,0,0,0,2.69,7.89,0,0,0,0,0,0,0,0,0,0,0,0,7,-500,0,0,60,0.4,0.4,50,7.7,0.6,-1900,0,0,85,0.46,0.14,28,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4659,0.4397,0.015,0.0388,6.85,9.81,5.43,3.42,0.2038,rams,la rams,l,la rams4100,40932-12538,D,l,Los Angeles Rams,rams,8.909090909,11,4100,LAR@ARI,LAR,ARI,,,,,,Angeles,LA,la rams,la rams4100
miami3300,66.15,Miami,3300,MIA,PHI,,,5.2,13.9,0.5,1.77,1.6,3,3,3.43,-5,0.39,0,0,1,0,0.73,3.6,0,17.3,27.8,-2,10.5,45,32,0,0,0,0,0,0,0,0,0,0,0,0,2.22,5.44,0,0,0,0,0,0,0,0,0,81,0.59,0.02,5,-300,0,0,75,0.5,0.25,40,5.2,0.2,-2700,0,0,82,0.29,0.17,17,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5302,0.5126,0.0109,0.0563,8.16,11.19,5.25,3.15,0.2179,miami,miami,m,miami3300,40932-12539,D,m,Miami Dolphins,dolphins,2.636363636,11,3300,PHI@MIA,MIA,PHI,,,,,,Dolphins,Dolphins,miami,miami3300
ny giants3000,63.61,NY Giants,3000,NYG,GB,,,6,14.5,0.9,3.54,2,0.5,-1,2.46,3,0.81,0,0,1,0,0.76,-0.3,0,18.5,25,-1.3,6.5,43.5,14,0,0,0,0,0,0,0,0,0,0,0,0,2.99,7.84,0,0,0,0,0,0,0,0,0,33,0.92,0.77,3.5,-200,0,0,75,0.25,0.25,40,7.6,2.2,-3000,0,0,90,0.47,0.09,21,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5149,0.4163,0.016,0.0499,8.19,9.5,4.8,3.69,0.2171,giants,ny giants,n,ny giants3000,40932-12543,D,n,New York Giants,giants,6.909090909,11,3000,GB@NYG,NYG,GB,,,,,,York,NY,ny giants,ny giants3000
ny jets4900,77.31,NY Jets,4900,NYJ,@CIN,,,8.4,14.5,1,-0.17,1.7,0.5,2,8.57,1,0.81,0,0,3,0,0.73,2.7,0,22.8,20.3,1.3,-2.5,43,72,0,0,0,0,0,0,0,0,0,0,0,0,1.67,7.19,0,0,0,0,0,0,0,0,0,42,0.69,0.23,12.3,300,0,0,100,0.75,0,40,8.4,2.6,-1100,0,0,86,0.54,0.13,22,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.4833,0.3808,0.01,0.0468,7.23,10.93,5.33,3.23,0.2012,jets,ny jets,n,ny jets4900,40932-12544,D,n,New York Jets,jets,8.818181818,11,4900,NYJ@CIN,NYJ,CIN,,,,,,York,NY,ny jets,ny jets4900
oakland3100,58.95,Oakland,3100,OAK,@KC,,,5.1,14.2,0.9,2.32,1.6,0.5,0,2.78,-2,0.72,0,0,1,0,0.61,0.4,0,19,30.5,-3.3,11.5,49.5,45,0,0,0,0,0,0,0,0,0,0,0,0,2.38,5.3,0,0,0,0,0,0,0,0,0,33,0.61,0.05,11,-400,0,0,100,0.8,0,50,6.4,1.5,-2900,0,0,85,0.38,0.14,21,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.5082,0.4798,0.0135,0.0548,7.92,10.81,6.4,4.36,0.2197,oakland,oakland,o,oakland3100,40932-12537,D,o,Oakland Raiders,raiders,5.636363636,11,3100,OAK@KC,OAK,KC,,,,,,Raiders,Raiders,oakland,oakland3100
philadelphia5000,82.01,Philadelphia,5000,PHI,@MIA,,,9.1,15.5,2.2,0.21,1.8,10.5,1,8.89,0,0.39,0,0,3,0,0.61,1.1,0,27.8,17.3,1,-10.5,45,68,0,0,0,0,0,0,0,0,0,0,0,0,2.56,7.86,0,0,0,0,0,0,0,0,0,81,0.59,0.02,6.3,400,0,0,100,0.33,0,30,6.9,1.1,-1000,0,0,84,0.5,0.15,26,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0.4735,0.4448,0.0161,0.0416,7.04,8.67,4.23,2.91,0.1923,philadelphia,philadelphia,p,philadelphia5000,40932-12545,D,p,Philadelphia Eagles,eagles,7.545454545,11,5000,PHI@MIA,PHI,MIA,,,,,,Eagles,Eagles,philadelphia,philadelphia5000
pittsburgh3700,77.92,Pittsburgh,3700,PIT,CLE,,,7.8,14,1.9,3.09,2.1,10.5,13,4.71,-16,0.16,0,0,3,0,0.5,1.8,0,19.5,20.5,0,1,40,34,0,0,0,0,0,0,0,0,0,0,0,0,2.92,9.31,0,0,0,0,0,0,0,0,0,50,0.75,0.56,11.6,-200,0,0,60,0.6,0.4,50,10.3,3.9,-2300,0,0,84,0.73,0.15,26,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4653,0.4469,0.0169,0.0377,7.24,8.5,4.46,3.13,0.2059,pittsburgh,pittsburgh,p,pittsburgh3700,40932-12547,D,p,Pittsburgh Steelers,steelers,12,11,3700,CLE@PIT,PIT,CLE,,,,,,Steelers,Steelers,pittsburgh,pittsburgh3700
san francisco3800,44.19,San Francisco,3800,SF,@BAL,,,6.6,14.6,1,1.57,1.7,0.5,4,5.03,-3,0.85,0,0,2,0,0.82,-3.6,0,19.8,25.3,-0.2,5.5,45,39,0,0,0,0,0,0,0,0,0,0,0,0,2.3,11.51,0,0,0,0,0,0,0,0,0,43,1,0.91,14.8,-500,0,0,100,1,0,50,10.2,4.2,-2200,0,0,83,0.66,0.16,24,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4289,0.4917,0.0124,0.04,6.13,7.93,4.93,3.42,0.2017,francisco,san francisco,s,san francisco3800,40932-12549,D,s,San Francisco 49ers,49ers,13.54545455,11,3800,SF@BAL,SF,BAL,,,,,,Francisco,Francisco,san francisco,san francisco3800
tampa bay3800,73.67,Tampa Bay,3800,TB,@JAX,,,6.8,14.5,1,1.77,1.8,0.5,23,5.03,1,0.81,0,0,1,0,0.81,1.4,0,24.8,21.8,0.8,-3,46.5,63,0,0,0,0,0,0,0,0,0,0,0,0,2.07,5.9,0,0,0,0,0,0,0,0,0,78,0.65,0.1,5.8,700,0,0,75,0.5,0.25,40,6.7,1.9,-2200,0,0,85,0.5,0.15,20,D,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5008,0.4289,0.0128,0.0457,7.3,10.5,5.64,2.75,0.2143,bay,tampa bay,t,tampa bay3800,40932-12551,D,t,Tampa Bay Buccaneers,buccaneers,6.636363636,11,3800,TB@JAC,TB,JAC,,,,,,Bay,Bay,tampa bay,tampa bay3800
