RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
stafford6700qbm,59.32,Matthew Stafford,6700,LA,@TB,,,15.44,24.8,6.1,-2.77,2.3,1.4,18.21,10.5,-1.0,0.63,0.0,0.0,1.0,0.0,0.72,-4.9,63.0,19.8,22.8,-1.0,3.0,42.5,38.0,24.0,36.0,260.0,67.0,7.1,5.44,1.6,38.0,133.3,272.3,9.6,51.9,14.3,4.4,3.6,7.5,1.0,1.0,1.0,1.1,0.1,0.409,7.24,3.71,1.71,81.0,0.69,0.16,13.8,-700,0.35,0.22,100.0,0.0,0.0,30.0,17.3,-2.4,700.0,0.42,0.27,82.0,0.39,0.04,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford6700qbm
ehlinger6300qbs,58.15,Sam Ehlinger,6300,IND,@NE,,,15.38,23.4,7.4,-2.04,2.4,1.1,17.42,7.02,-2.0,0.53,0.0,0.0,1.0,0.0,0.61,-2.0,25.0,17.8,22.3,-2.7,4.5,40.0,40.0,17.0,23.0,201.0,73.0,8.7,7.56,0.0,47.0,110.0,226.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,5.0,7.0,2.9,0.0,0.375,0.19,0.13,0.13,71.0,0.77,0.0,7.5,300,0.24,0.13,33.0,0.0,0.0,30.0,8.2,-0.5,300.0,0.3,0.33,21.0,0.15,0.1,19.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ehlinger,sam ehlinger,s,ehlinger6300qbs
burrow8500qbj,57.98,Joe Burrow,8500,CIN,CAR,,,19.52,29.5,9.6,-2.22,2.3,4.5,21.74,19.14,2.0,0.87,0.0,0.0,1.0,0.0,0.35,-3.1,67.0,24.8,17.8,-0.7,-7.0,42.5,43.0,25.0,36.0,295.0,70.0,8.2,6.95,1.9,42.0,150.8,289.3,11.9,38.0,11.4,5.3,1.9,9.5,3.0,8.0,12.0,4.0,0.3,0.5,5.53,2.53,1.47,71.0,0.45,0.0,26.1,700,0.6,0.44,100.0,0.75,0.0,40.0,20.8,0.6,2500.0,0.48,0.31,80.0,0.48,0.04,25.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,burrow,joe burrow,j,burrow8500qbj
tagovailoa8000qbt,57.72,Tua Tagovailoa,8000,MIA,@CHI,,,19.12,30.0,8.2,-1.64,2.4,5.2,20.76,24.08,2.0,0.87,0.0,0.0,1.0,0.0,0.61,-5.9,59.0,25.0,21.0,2.5,-4.0,46.0,50.0,20.0,29.0,235.0,69.0,7.9,7.44,1.5,42.0,137.8,253.8,8.2,46.3,18.5,5.2,2.1,4.9,2.0,5.0,7.0,2.5,0.1,0.325,4.18,1.82,0.82,59.0,0.56,0.0,22.6,1000,0.55,0.35,50.0,0.25,0.0,40.0,15.2,-1.4,2000.0,0.45,0.26,69.0,0.3,0.13,23.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tagovailoa,tua tagovailoa,t,tagovailoa8000qbt
mariota7100qbm,57.56,Marcus Mariota,7100,ATL,LAC,,,16.72,26.3,7.1,-2.27,2.4,2.7,18.99,7.56,-1.0,0.63,0.0,0.0,1.0,0.0,0.37,-3.5,32.0,23.8,26.3,3.8,2.5,50.0,53.0,11.0,18.0,143.0,62.0,8.0,6.18,1.0,32.0,81.4,205.3,4.4,19.4,8.9,5.6,3.3,9.5,4.0,10.0,20.0,5.0,0.3,0.5760000000000001,2.21,0.95,0.58,0.0,0.0,0.0,19.7,300,0.67,0.33,100.0,0.75,0.0,40.0,11.2,-0.8,1100.0,0.46,0.35,45.0,0.2,0.25,20.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mariota,marcus mariota,m,mariota7100qbm
heinicke7200qbt,54.08,Taylor Heinicke,7200,WAS,MIN,,,15.94,24.0,7.9,-3.25,2.2,0.9,19.19,14.66,1.0,0.82,0.0,0.0,0.0,0.0,0.37,4.6,63.0,20.3,23.3,-2.0,3.0,43.5,54.0,18.0,28.0,197.0,66.0,6.9,5.41,1.2,35.0,95.9,207.9,16.9,41.5,14.4,4.3,2.9,8.8,3.0,6.0,11.0,3.6,0.1,0.406,2.17,1.17,0.44,75.0,0.73,0.09,19.3,1100,0.51,0.29,50.0,0.5,0.0,40.0,12.1,-2.2,1200.0,0.35,0.19,42.0,0.15,0.07,26.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heinicke,taylor heinicke,t,heinicke7200qbt
goff7100qbj,53.38,Jared Goff,7100,DET,GB,,,15.86,25.8,5.9,-3.13,2.2,1.2,18.99,12.38,1.0,0.82,0.0,0.0,1.0,0.0,0.43,-7.8,64.0,22.8,26.8,0.8,4.0,49.5,45.0,21.0,33.0,242.0,65.0,7.3,6.74,1.8,38.0,125.9,272.5,10.1,36.1,10.8,5.5,1.8,5.7,1.0,3.0,3.0,2.6,0.0,0.125,3.69,1.81,1.06,0.0,0.0,0.0,9.5,-900,0.25,0.16,33.0,0.33,0.66,30.0,15.8,-1.3,1100.0,0.43,0.25,55.0,0.5,0.2,20.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,goff,jared goff,j,goff7100qbj
wilson6600qbz,51.33,Zach Wilson,6600,NYJ,BUF,,,13.14,20.0,6.3,-4.87,2.0,0.3,18.01,10.56,1.0,0.82,0.0,0.0,0.0,0.0,0.47,-12.1,59.0,17.8,28.3,-2.5,10.5,46.0,38.0,15.0,28.0,184.0,54.0,6.4,4.79,0.7,38.0,82.5,212.6,11.0,35.8,7.8,2.5,2.1,9.4,3.0,11.0,17.0,5.6,0.4,0.37799999999999995,3.29,2.06,1.06,72.0,0.75,0.06,11.4,-600,0.35,0.2,75.0,0.25,0.25,40.0,13.0,-2.3,600.0,0.37,0.22,55.0,0.25,0.1,20.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,zach wilson,z,wilson6600qbz
cousins7900qbk,51.28,Kirk Cousins,7900,MIN,@WAS,,,17.3,27.5,7.1,-3.26,2.2,1.7,20.56,17.4,1.0,0.82,0.0,0.0,0.0,0.0,0.39,-0.7,65.0,23.3,20.3,1.0,-3.0,43.5,46.0,22.0,34.0,250.0,64.0,7.3,6.86,1.9,39.0,145.0,295.4,12.9,39.7,11.3,5.6,1.8,5.6,1.0,4.0,5.0,2.6,0.2,0.452,6.35,3.18,1.53,75.0,0.73,0.09,21.1,800,0.51,0.31,100.0,0.66,0.0,30.0,16.6,-2.8,1900.0,0.43,0.25,84.0,0.34,0.03,26.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7900qbk
walker6500qbp,44.20,PJ Walker,6500,CAR,@CIN,,,11.8,18.9,4.7,-6.02,1.8,0.5,17.82,-1.04,-1.0,0.63,0.0,0.0,0.0,0.0,0.61,-8.7,39.0,17.8,24.8,-0.7,7.0,42.5,57.0,11.0,18.0,134.0,63.0,7.2,5.62,0.6,27.0,71.9,164.3,11.5,23.7,3.1,3.3,3.3,7.2,1.0,3.0,2.0,2.9,0.0,0.429,0.82,0.24,0.18,71.0,0.45,0.0,9.4,500,0.43,0.21,50.0,0.5,0.5,40.0,6.1,-1.4,500.0,0.29,0.16,25.0,0.1,0.25,20.0,QB,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walker,pj walker,p,walker6500qbp
