RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
arizona3500,75.41,Arizona,3500,ARI,@TB,,,6.7,15.3,1.7,2.63,1.9,0.5,9,4.07,6,0.94,0,0,1,0,0.69,1.7,0,22.8,28.3,-1.2,5.5,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0.53,8.42,0,0,0,0,0,0,0,0,0,78,0.45,0.01,4,0,0,0,75,0.25,0.25,40,4.6,0.2,-2500,0,0,82,0.23,0.17,17,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5667,0.5333,0.0029,0.0498,7.58,9.88,4.65,2.83,0.2202,arizona,arizona,a,arizona3500,40116-12546,D,a,Arizona Cardinals,cardinals,3.444444444,9,3500,ARI@TB,ARI,TB,,,,,,Cardinals,Cardinals,arizona,arizona3500
atlanta3000,53.27,Atlanta,3000,ATL,@NO,,,4.4,12.4,0.9,1.94,1.5,0.5,10,2.46,-11,0.31,0,0,1,0,0.53,-0.6,0,18.8,32.8,-1,14,51.5,43,0,0,0,0,0,0,0,0,0,0,0,0,1.96,5.28,0,0,0,0,0,0,0,0,0,0,0,0,0,-800,0,0,33,0,0.66,30,4.1,0.1,-3000,0,0,65,0.2,0.35,20,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.546,0.5177,0.0102,0.0505,7.8,9.69,4.93,3.5,0.2323,atlanta,atlanta,a,atlanta3000,40116-12525,D,a,Atlanta Falcons,falcons,1.125,8,3000,ATL@NO,ATL,NO,,,,,,Falcons,Falcons,atlanta,atlanta3000
baltimore5000,85.85,Baltimore,5000,BAL,@CIN,,,8.9,15.1,2.2,0.01,1.8,18.5,24,8.89,-6,0.12,0,0,3,0,0.8,4.1,0,27.3,16.8,-1.2,-10.5,44,65,0,0,0,0,0,0,0,0,0,0,0,0,2.54,5.25,0,0,0,0,0,0,0,0,0,58,0.57,0.01,12.3,0,0,0,100,0.75,0,40,9.4,1.7,-1000,0,0,82,0.43,0.17,23,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4475,0.4894,0.0169,0.0419,6.95,8.93,4.07,2.85,0.1866,baltimore,baltimore,b,baltimore5000,40116-12555,D,b,Baltimore Ravens,ravens,7.5,8,5000,BAL@CIN,BAL,CIN,,,,,,Ravens,Ravens,baltimore,baltimore5000
buffalo4500,75.31,Buffalo,4500,BUF,@CLE,,,7.5,13.4,1.6,0.21,1.7,0.5,5,7.29,-8,0.43,0,0,2,0,0.43,3.4,0,19.5,22.5,0,3,42,53,0,0,0,0,0,0,0,0,0,0,0,0,3.51,7.46,0,0,0,0,0,0,0,0,0,49,0.65,0.04,7.7,-1000,0,0,100,0.33,0,30,8.4,1.4,-1500,0,0,100,0.47,0,19,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.4474,0.4634,0.0186,0.0346,5.86,7.8,3.8,3.15,0.2222,buffalo,buffalo,b,buffalo4500,40116-12526,D,b,Buffalo Bills,bills,8.375,8,4500,BUF@CLE,BUF,CLE,,,,,,Bills,Bills,buffalo,buffalo4500
carolina3300,64.46,Carolina,3300,CAR,@GB,,,6.5,14.3,0.9,3.07,2,0.5,2,3.43,-5,0.76,0,0,1,0,0.82,-0.7,0,22,27,1,5,49,34,0,0,0,0,0,0,0,0,0,0,0,0,2.78,9.33,0,0,0,0,0,0,0,0,0,31,0.66,0.03,11.7,-400,0,0,100,0.66,0,30,8.2,2.6,-2700,0,0,100,0.57,0,19,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4841,0.468,0.0158,0.0458,7.17,90,40,2.42,0.2444,carolina,carolina,c,carolina3300,40116-12553,D,c,Carolina Panthers,panthers,10.75,8,3300,CAR@GB,CAR,GB,,,,,,Panthers,Panthers,carolina,carolina3300
chicago4200,73.47,Chicago,4200,CHI,DET,,,8.6,14.4,1.1,2.28,2,23,8,6.32,-7,0.03,0,0,5,0,0.76,-0.8,0,22.5,15.5,-1,-7,38,55,0,0,0,0,0,0,0,0,0,0,0,0,2.92,7.94,0,0,0,0,0,0,0,0,0,42,0.7,0.03,4.7,-300,0,0,100,0,0,30,10.3,20,-1800,0,0,95,0.5,0.04,24,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.4878,0.4538,0.0186,0.0308,6.24,9.38,4.07,2.77,0.1667,chicago,chicago,c,chicago4200,40116-12527,D,c,Chicago Bears,bears,8.75,8,4200,DET@CHI,CHI,DET,,,,,,Bears,Bears,chicago,chicago4200
cincinnati3000,65.34,Cincinnati,3000,CIN,BAL,,,5,13.7,0.9,2.54,1.7,0.5,-1,2.46,-7,0.52,0,0,1,0,0.69,0.5,0,16.8,27.3,-1.2,10.5,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0.83,4.34,0,0,0,0,0,0,0,0,0,58,0.57,0.01,3.7,-200,0,0,66,0.33,0.33,30,3.7,-1.1,-3000,0,0,77,0.31,0.22,22,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.531,0.5428,0.004,0.044,8.41,9.81,4.93,3.07,0.2038,cincinnati,cincinnati,c,cincinnati3000,40116-12528,D,c,Cincinnati Bengals,bengals,2.875,8,3000,BAL@CIN,CIN,BAL,,,,,,Bengals,Bengals,cincinnati,cincinnati3000
cleveland3500,86.24,Cleveland,3500,CLE,BUF,,,8.1,15.3,1.1,4.03,2.3,14.5,2,4.07,-8,0.23,0,0,4,0,0.8,2.1,0,22.5,19.5,0.5,-3,42,47,0,0,0,0,0,0,0,0,0,0,0,0,1.57,7.87,0,0,0,0,0,0,0,0,0,49,0.65,0.04,4.7,0,0,0,100,0.33,0,30,7.4,0.9,-2500,0,0,95,0.45,0.04,22,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4902,0.4764,0.0087,0.0376,7.03,10.21,5.83,3.55,0.1818,cleveland,cleveland,c,cleveland3500,40116-12529,D,c,Cleveland Browns,browns,6.125,8,3500,BUF@CLE,CLE,BUF,,,,,,Browns,Browns,cleveland,cleveland3500
detroit4400,51.16,Detroit,4400,DET,@CHI,,,7,13.4,0.9,0.04,1.6,0.5,6,6.96,-10,0.43,0,0,1,0,0.53,-1.2,0,15.5,22.5,-5,7,38,45,0,0,0,0,0,0,0,0,0,0,0,0,1.19,5.62,0,0,0,0,0,0,0,0,0,42,0.7,0.03,4.7,900,0,0,66,0.66,0.33,60,6.6,1.7,-1600,0,0,82,0.6,0.17,23,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.477,0.4683,0.0071,0.0441,7.49,10.4,5.4,3.71,0.2115,detroit,detroit,d,detroit4400,40116-12532,D,d,Detroit Lions,lions,6,8,4400,DET@CHI,DET,CHI,,,,,,Lions,Lions,detroit,detroit4400
green bay4000,80.62,Green Bay,4000,GB,CAR,,,7.5,15.3,0.8,1.82,1.9,0.5,8,5.68,4,0.94,0,0,3,0,0.82,1.5,0,27,22,0,-5,49,66,0,0,0,0,0,0,0,0,0,0,0,0,1.74,7.14,0,0,0,0,0,0,0,0,0,31,0.66,0.03,2.8,-300,0,0,100,0,0,60,5.7,-0.6,-2000,0,0,76,0.42,0.23,26,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5296,0.5191,0.0097,0.0421,7.82,10.53,4.94,3.4,0.1844,bay,green bay,g,green bay4000,40116-12533,D,g,Green Bay Packers,packers,6.666666667,9,4000,CAR@GB,GB,CAR,,,,,,Bay,Bay,green bay,green bay4000
