RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
stafford7000qbm,59.36,Matthew Stafford,7000,LA,SF,,,16.32,26.5,6.2,-2.48,2.3,2.3,17.38,18.8,3.0,0.91,0.0,0.0,1.0,0.0,0.74,-5.4,63.0,21.5,20.5,-1.0,-1.0,42.0,26.0,24.0,36.0,268.0,67.0,7.3,5.81,1.8,41.0,138.5,278.6,9.9,56.2,14.9,5.0,3.6,7.2,1.0,1.0,1.0,1.3,0.0,0.4,7.71,3.94,1.82,0.0,0.0,0.0,10.6,-300,0.23,0.16,66.0,0.0,0.33,30.0,17.6,-2.2,1000.0,0.43,0.28,82.0,0.43,0.04,23.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford7000qbm
mariota6900qbm,57.92,Marcus Mariota,6900,ATL,CAR,,,15.56,24.7,6.4,-3.04,2.3,2.9,24.42,18.6,-2.0,0.53,0.0,0.0,1.0,0.0,0.47,-4.3,29.0,22.8,18.8,3.3,-4.0,41.5,44.0,10.0,16.0,131.0,61.0,7.8,6.48,0.8,30.0,80.6,194.2,5.3,23.0,10.5,5.0,2.5,10.6,4.0,8.0,19.0,4.8,0.3,0.6,2.11,0.89,0.56,0.0,0.0,0.0,14.8,-400,0.56,0.26,75.0,0.5,0.25,40.0,10.2,-1.1,900.0,0.45,0.35,42.0,0.15,0.26,19.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mariota,marcus mariota,m,mariota6900qbm
jones6600qbm,56.56,Mac Jones,6600,NE,@NYJ,,,14.14,22.1,6.2,-3.87,2.1,0.8,12.66,18.01,1.0,0.82,0.0,0.0,1.0,0.0,0.61,-5.1,59.0,21.3,18.3,-0.2,-3.0,39.5,55.0,17.0,26.0,201.0,64.0,7.5,6.22,1.1,31.0,119.6,253.0,16.4,53.3,18.3,4.2,3.5,5.1,3.0,6.0,10.0,3.0,0.1,0.479,4.35,2.12,1.12,60.0,0.42,0.0,1.9,0,0.21,0.11,0.0,0.0,0.25,40.0,11.1,-4.5,600.0,0.35,0.19,60.0,0.3,0.21,23.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,mac jones,m,jones6600qbm
mills6500qbd,56.13,Davis Mills,6500,HOU,TEN,,,14.2,22.9,5.5,-3.62,2.2,0.9,9.88,17.82,2.0,0.87,0.0,0.0,0.0,0.0,0.61,3.0,60.0,19.3,20.3,1.5,1.0,39.5,33.0,21.0,33.0,228.0,66.0,6.9,6.08,1.4,36.0,123.8,249.4,12.8,40.9,12.3,4.2,1.8,6.3,1.0,2.0,2.0,2.2,0.0,0.294,2.5,1.06,0.25,0.0,0.0,0.0,13.6,100,0.38,0.23,100.0,0.66,0.0,30.0,12.6,-1.4,500.0,0.35,0.21,73.0,0.42,0.1,19.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mills,davis mills,d,mills6500qbd
jones7500qbd,55.49,Daniel Jones,7500,NYG,@SEA,,,16.34,25.7,7.0,-3.44,2.2,3.0,9.04,19.78,-1.0,0.63,0.0,0.0,1.0,0.0,0.37,-3.8,63.0,20.8,23.8,0.0,3.0,44.5,46.0,18.0,28.0,174.0,66.0,6.2,5.16,1.0,31.0,85.7,182.4,12.0,30.4,11.0,3.6,1.8,8.2,7.0,12.0,37.0,5.2,0.3,0.544,3.47,1.94,1.35,53.0,0.88,0.68,19.1,500,0.56,0.3,100.0,1.0,0.0,40.0,13.5,-2.2,1500.0,0.36,0.21,52.0,0.19,0.14,21.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,daniel jones,d,jones7500qbd
heinicke6400qbt,55.48,Taylor Heinicke,6400,WAS,@IND,,,14.3,22.7,5.9,-3.32,2.2,0.8,23.06,17.62,2.0,0.87,0.0,0.0,1.0,0.0,0.68,-4.6,64.0,18.8,21.3,0.0,2.5,40.0,68.0,19.0,29.0,196.0,65.0,6.7,4.92,1.2,33.0,94.4,218.4,20.5,47.3,15.8,4.1,3.1,9.4,2.0,6.0,9.0,3.5,0.0,0.37,2.39,1.17,0.39,0.0,0.0,0.0,15.4,300,0.43,0.21,25.0,0.25,0.0,40.0,11.4,-2.6,400.0,0.33,0.18,42.0,0.11,0.07,26.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heinicke,taylor heinicke,t,heinicke6400qbt
wilson6400qbz,54.64,Zach Wilson,6400,NYJ,NE,,,12.2,19.3,5.1,-5.42,1.9,0.7,19.4,17.62,0.0,0.75,0.0,0.0,0.0,0.0,0.61,-2.4,59.0,18.3,21.3,-0.7,3.0,39.5,45.0,15.0,27.0,169.0,55.0,6.1,4.57,0.5,36.0,75.4,195.6,12.5,40.6,8.9,1.9,1.5,10.0,3.0,12.0,18.0,5.7,0.5,0.389,2.67,1.56,0.89,60.0,0.42,0.0,11.7,-100,0.37,0.19,75.0,0.25,0.25,40.0,12.5,-2.3,400.0,0.37,0.21,47.0,0.19,0.09,21.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wilson,zach wilson,z,wilson6400qbz
pickett6600qbk,54.05,Kenny Pickett,6600,PIT,@PHI,,,13.4,21.3,5.5,-4.61,2.0,1.1,8.34,18.01,-3.0,0.45,0.0,0.0,1.0,0.0,0.47,-8.6,54.0,15.8,27.3,-4.5,11.5,43.0,37.0,21.0,31.0,192.0,68.0,6.1,3.42,0.5,25.0,122.5,247.0,0.0,0.0,0.0,1.6,5.8,4.6,3.0,10.0,15.0,5.1,0.5,0.583,2.86,1.14,0.43,60.0,0.61,0.0,12.5,300,0.34,0.23,100.0,0.75,0.0,40.0,10.8,-1.6,600.0,0.3,0.2,50.0,0.33,0.08,12.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pickett,kenny pickett,k,pickett6600qbk
dalton7100qba,53.86,Andy Dalton,7100,NO,LV,,,15.84,26.0,5.7,-3.15,2.2,1.8,17.16,18.99,4.0,0.94,0.0,0.0,0.0,0.0,0.43,4.0,64.0,23.8,24.8,2.0,1.0,48.5,27.0,21.0,35.0,243.0,61.0,6.9,5.47,1.6,40.0,125.2,279.6,7.9,35.3,12.6,4.6,3.7,5.4,2.0,5.0,7.0,2.8,0.0,0.41700000000000004,2.83,1.33,0.56,0.0,0.0,0.0,18.8,1000,0.51,0.29,100.0,0.6,0.0,50.0,15.1,-0.2,1100.0,0.38,0.24,52.0,0.28,0.04,21.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dalton,andy dalton,a,dalton7100qba
walker6400qbp,52.07,PJ Walker,6400,CAR,@ATL,,,11.76,20.3,3.2,-5.86,1.8,1.0,17.68,17.62,-3.0,0.45,0.0,0.0,0.0,0.0,0.68,2.2,29.0,18.8,22.8,-2.2,4.0,41.5,56.0,9.0,13.0,89.0,66.0,6.5,4.97,0.4,18.0,46.9,98.7,15.6,32.3,4.2,3.1,3.1,9.1,1.0,0.0,0.0,-0.1,0.0,0.28600000000000003,0.76,0.18,0.12,0.0,0.0,0.0,6.6,400,0.4,0.21,25.0,0.25,0.5,40.0,4.3,-1.4,400.0,0.27,0.15,20.0,0.05,0.3,20.0,QB,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,walker,pj walker,p,walker6400qbp
