,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
arizona4200,65.86,Arizona,4200,ARI,@NYJ,,,7,14.2,-0.2,0.68,1.7,6.5,7,6.32,3,0.86,0,0,3,0,0.99,1.5,0,27.8,20.8,0.5,-7,48.5,62,0,0,0,0,0,0,0,0,0,0,0,0,1.43,6.95,0,0,0,0,0,0,0,0,0,67,0.54,0.01,4.5,900,0,0,100,0.5,0,40,4.7,-0.4,900,0,0,80,0.53,0.2,15,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5205,0.4342,0.0084,0.0446,7.82,11.4,5.53,30,0.2105,arizona,arizona,a,arizona4200,50700-12546:Arizona Cardinals,50700-12546,D,a,Arizona Cardinals,cardinals,5,4,4200,ARI@NYJ,ARI,NYJ,,,,Cardinals,Cardinals,arizona,arizona4200
atlanta3300,54.07,Atlanta,3300,ATL,CAR,,,6.6,13.3,-0.1,3.17,2,0.5,0,3.43,4,0.89,0,0,2,0,0.98,-0.6,0,28,25.5,0.7,-2.5,53.5,53,0,0,0,0,0,0,0,0,0,0,0,0,2.19,5.46,0,0,0,0,0,0,0,0,0,0,0,0,1.4,-300,0,0,40,0.2,0.6,50,5.4,0.1,-300,0,0,58,0.41,0.41,17,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.5282,0.5081,0.0131,0.0456,7.72,10.07,6.64,4.21,0.2185,atlanta,atlanta,a,atlanta3300,50700-12525:Atlanta Falcons,50700-12525,D,a,Atlanta Falcons,falcons,1.75,4,3300,CAR@ATL,ATL,CAR,,,,Falcons,Falcons,atlanta,atlanta3300
baltimore4900,67.31,Baltimore,4900,BAL,CIN,,,8.9,17.7,0.1,0.33,1.8,10.5,26,8.57,3,0.86,0,0,3,0,0.62,-0.3,0,30.8,18.3,-2.2,-12.5,49,48,0,0,0,0,0,0,0,0,0,0,0,0,2.06,6.73,0,0,0,0,0,0,0,0,0,67,0.94,0.82,10.8,100,0,0,100,0.75,0,40,11.1,2.7,100,0,0,95,0.75,0.05,20,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.4561,0.4561,0.0127,0.0342,6.15,7.79,4.25,3.5,0.1743,baltimore,baltimore,b,baltimore4900,50700-12555:Baltimore Ravens,50700-12555,D,b,Baltimore Ravens,ravens,10.75,4,4900,CIN@BAL,BAL,CIN,,,,Ravens,Ravens,baltimore,baltimore4900
carolina3500,28.78,Carolina,3500,CAR,@ATL,,,5.2,10.7,-0.3,1.13,1.5,3,5,4.07,-9,0.2,0,0,1,0,0.53,-2.4,0,25.5,28,1.7,2.5,53.5,47,0,0,0,0,0,0,0,0,0,0,0,0,2.38,7.14,0,0,0,0,0,0,0,0,0,0,0,0,4,100,0,0,75,0.25,0.25,40,40,-1.2,100,0,0,73,0.2,0.26,15,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5119,0.5443,0.0133,0.0593,7.57,10.8,4.87,3.17,0.2716,carolina,carolina,c,carolina3500,50700-12553:Carolina Panthers,50700-12553,D,c,Carolina Panthers,panthers,4,4,3500,CAR@ATL,CAR,ATL,,,,Panthers,Panthers,carolina,carolina3500
cincinnati3100,45.77,Cincinnati,3100,CIN,@BAL,,,4.7,10.1,-0.7,1.92,1.5,0.5,3,2.78,-6,0.35,0,0,1,0,0.73,0.4,0,18.3,30.8,-0.7,12.5,49,52,0,0,0,0,0,0,0,0,0,0,0,0,2.63,6.68,0,0,0,0,0,0,0,0,0,67,0.94,0.82,3.3,-500,0,0,75,0.5,0.25,40,4.5,-0.2,-500,0,0,73,0.53,0.26,15,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.4676,0.5043,0.0135,0.0385,7.82,10.86,60,3.54,0.1645,cincinnati,cincinnati,c,cincinnati3100,50700-12528:Cincinnati Bengals,50700-12528,D,c,Cincinnati Bengals,bengals,3.25,4,3100,CIN@BAL,CIN,BAL,,,,Bengals,Bengals,cincinnati,cincinnati3100
cleveland3800,36.13,Cleveland,3800,CLE,IND,,,6.3,13.2,-0.6,1.27,1.7,3,12,5.03,-3,0.51,0,0,2,0,0.53,-2.7,0,24.8,23.8,1.3,-1,48.5,58,0,0,0,0,0,0,0,0,0,0,0,0,2.6,6.12,0,0,0,0,0,0,0,0,0,63,0.75,0.02,6.3,800,0,0,75,0.5,0.25,40,6.1,-0.4,800,0,0,87,0.43,0.12,16,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5158,0.5146,0.0148,0.0505,7.27,12.43,6.29,3.69,0.2241,cleveland,cleveland,c,cleveland3800,50700-12529:Cleveland Browns,50700-12529,D,c,Cleveland Browns,browns,5.75,4,3800,IND@CLE,CLE,IND,,,,Browns,Browns,cleveland,cleveland3800
dallas3500,77.61,Dallas,3500,DAL,NYG,,,7.1,14.1,0.1,3.03,2,14.5,9,4.07,-5,0.4,0,0,4,0,0.98,2.7,0,29.8,22.3,-2,-7.5,52,61,0,0,0,0,0,0,0,0,0,0,0,0,1.35,6.76,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-300,0,0,25,0,0.75,40,5.5,-1.2,-300,0,0,75,0.35,0.25,20,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5,0.4942,0.0074,0.0452,7.22,10.73,5.5,3.18,0.1925,dallas,dallas,d,dallas3500,50700-12530:Dallas Cowboys,50700-12530,D,d,Dallas Cowboys,cowboys,0.25,4,3500,NYG@DAL,DAL,NYG,,,,Cowboys,Cowboys,dallas,dallas3500
houston3700,65.46,Houston,3700,HOU,JAX,,,6.5,13.4,-0.4,1.79,1.8,3,11,4.71,-1,0.63,0,0,3,0,0.53,2.4,0,30.8,24.3,0.3,-6.5,55,57,0,0,0,0,0,0,0,0,0,0,0,0,2.01,5.43,0,0,0,0,0,0,0,0,0,0,0,0,2.3,700,0,0,100,0,0,30,5.1,-1.2,700,0,0,81,0.36,0.18,22,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5191,0.4945,0.0106,0.0537,80,11.4,5.71,3.67,0.2398,houston,houston,h,houston3700,50700-12556:Houston Texans,50700-12556,D,h,Houston Texans,texans,1.75,4,3700,JAC@HOU,HOU,JAC,,,,Texans,Texans,houston,houston3700
indianapolis4500,31.25,Indianapolis,4500,IND,@CLE,,,7,13.7,0.3,-0.29,1.6,0.5,11,7.29,6,0.94,0,0,1,0,0.45,-3,0,23.8,24.8,0.3,1,48.5,42,0,0,0,0,0,0,0,0,0,0,0,0,3.9,7.41,0,0,0,0,0,0,0,0,0,63,0.75,0.02,13,800,0,0,100,0.75,0,40,8.4,0.8,800,0,0,83,0.61,0.16,18,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.499,0.419,0.023,0.0379,7.08,7.93,4.5,2.67,0.1849,indianapolis,indianapolis,i,indianapolis4500,50700-12535:Indianapolis Colts,50700-12535,D,i,Indianapolis Colts,colts,13,4,4500,IND@CLE,IND,CLE,,,,Colts,Colts,indianapolis,indianapolis4500
jacksonville3600,51.31,Jacksonville,3600,JAX,@HOU,,,5.7,11.3,0.1,1.31,1.6,3,4,4.39,-7,0.3,0,0,1,0,0.78,1.3,0,24.3,30.8,0.8,6.5,55,43,0,0,0,0,0,0,0,0,0,0,0,0,2.55,7.43,0,0,0,0,0,0,0,0,0,0,0,0,1.6,100,0,0,40,0.2,0.6,50,5.4,-1.1,100,0,0,68,0.56,0.31,16,D,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.5435,0.5126,0.0133,0.0518,8.12,9.53,50,3.29,0.2448,jacksonville,jacksonville,j,jacksonville3600,50700-12554:Jacksonville Jaguars,50700-12554,D,j,Jacksonville Jaguars,jaguars,2,4,3600,JAC@HOU,JAC,HOU,,,,Jaguars,Jaguars,jacksonville,jacksonville3600
