rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
48,Jalen Hurts,8300,PHI,@LV,,,23.14,34,12.2,1.79,2.8,10,23.54,21.35,0,0.79,1,0,2,0,0.57,-2.6,46,24.8,23.8,2.5,-1,48.5,44,15,27,194,58,7.1,6.16,1.1,39,0,0,19.2,46.8,26.2,4.1,2.2,6.6,7,11,40,5.7,0.5,0.551,4.73,2.13,1,0,0,0,25.3,100,0.52,0.41,100,1,0,50,16.8,30,2300,0.46,0.37,66,0.55,0.27,18,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,hurts,jalen hurts,j,hurts8300qbj
46,Justin Fields,6500,CHI,@TB,,,15.08,24.2,5.9,-2.74,2.3,0.5,4.16,17.82,-3,0.51,1,0,1,0,0.69,3.3,45,17.3,29.8,-0.7,12.5,47,45,8,16,105,53,6.4,3.24,0.3,25,0,0,14.1,63.6,19.2,1.9,3.1,15.8,4,8,17,3.9,0.2,0.346,2.17,1,0.67,82,0.72,0.18,8.8,0,0.31,0.16,75,0.25,0.25,40,90,-3.9,500,0.38,0.2,77,0.22,0.22,90,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,fields,justin fields,j,fields6500qbj
44.5,Mac Jones,6800,NE,NYJ,,,16.88,28.1,5.7,-1.52,2.5,0.5,22.18,18.4,4,0.94,0.67,0,1,0,0.51,-3.8,63,25,17.5,0.2,-7.5,42.5,77,25,35,245,71,7,5.56,1.2,34,0,0,16.1,42.2,21.3,3.4,2.9,5.9,1,2,4,2.6,0,0.5,3.83,1.33,0.17,56,0.37,0,15.2,300,0.38,0.25,100,1,0,40,12.2,-3,800,0.31,0.19,87,0.62,0.12,80,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jones,mac jones,m,jones6800qbm
43,Derek Carr,7400,LV,PHI,,,19.44,30.2,8.7,-0.14,2.6,5.1,20.02,19.58,-3,0.51,0.88,0,1,0,0.57,-3,63,23.8,24.8,-1.5,1,48.5,56,21,33,271,64,8,7.34,1.5,43,0,0,16.7,47.4,27.7,4.5,2.1,6,2,4,7,3,0.2,0.5,6,3.12,1.71,0,0,0,16.9,200,0.42,0.26,75,0.5,0.25,40,17.3,-0.6,1400,0.45,0.27,68,0.5,0.18,22,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7400qbd
42.5,Taylor Heinicke,6900,WAS,@GB,,,16.62,26,7.2,-1.98,2.4,0.8,21.22,18.6,-3,0.51,1,0,1,0,0.37,-0.6,56,21,27,1.5,6,48,29,19,31,218,63,7,6.32,1.4,41,0,0,19.8,59.4,18.9,4.5,2.9,2.8,4,9,21,5.3,0.1,0.571,3.13,1.75,1.13,50,0.56,0,18.2,100,0.46,0.28,100,0.5,0,40,14.1,10,900,0.39,0.25,72,0.36,0.18,11,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,heinicke,taylor heinicke,t,heinicke6900qbt
36,Daniel Jones,7000,NYG,CAR,,,16.6,26.2,7,-2.2,2.4,1.4,17.02,18.8,-3,0.51,1,0,1,0,0.43,-0.9,62,20,23,-0.8,3,43,23,20,32,235,62,7.2,5.99,0.8,37,0,0,14.1,62.1,21.4,2.5,1.6,8,5,13,25,4.9,0.2,0.448,3.93,1.13,0.27,60,0.49,0,14.1,-400,0.34,0.24,50,0.25,0.5,40,15.2,-1.7,1000,0.37,0.25,61,0.38,0.16,18,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jones,daniel jones,d,jones7000qbd
29.5,Joe Burrow,7200,CIN,@BAL,,,16.68,27.8,5.6,-2.51,2.3,0.8,27.64,19.19,0,0.79,1,0,1,0,0.79,-1.8,61,19.8,26.3,-0.7,6.5,46,54,22,33,261,68,7.9,7.05,2.1,42,0,0,17.5,69.9,9.9,6.4,2.4,6.5,2,5,9,3.5,0.1,0.464,3.06,1.31,0.88,62,0.62,0,21.5,500,0.62,0.38,100,1,0,50,19.7,0.5,1200,0.51,0.32,55,0.4,0,20,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,burrow,joe burrow,j,burrow7200qbj
15.5,Zach Wilson,6400,NYJ,@NE,,,13.1,22.6,3.6,-4.52,2,0.5,2.04,17.62,-4,0.44,0,0,0,0,0.63,-2.8,61,17.5,25,-0.8,7.5,42.5,23,19,34,223,57,6.5,3.4,0.8,35,0,0,12.9,64.9,15.2,2.4,5.3,9.6,1,3,4,2.8,0,0.375,4.2,1.6,0.4,56,0.37,0,10.8,-100,0.28,0.19,66,0.33,0,30,10.5,-3.9,400,0.27,0.17,62,0.37,0.12,80,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,wilson,zach wilson,z,wilson6400qbz
7.5,Davis Mills,6400,HOU,@ARI,,,11.24,19.5,3,-6.38,1.8,0.5,3.4,17.62,-5,0.38,0,0,0,0,0.51,-3.3,54,13.5,34,-2,20.5,47.5,54,17,27,182,63,6.6,4.16,1,33,0,0,15.1,59.7,18.7,3.7,5.2,8.8,1,1,1,1.3,0,0.333,2,0.83,0.33,0,0,0,10.9,0,0.31,0.18,66,0.33,0.33,30,90,-3.4,400,0.28,0.17,70,0.1,0.2,10,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mills,davis mills,d,mills6400qbd
6.5,Jared Goff,6700,DET,@LA,,,15.42,24.9,5.9,-2.79,2.3,0.5,13.02,18.21,-2,0.59,1,0,1,0,0.37,-5.4,71,17,34,0,17,51,47,26,40,259,66,6.5,5.33,1.1,32,0,0,16.5,57.5,21,2.8,2.3,5,2,6,8,3.1,0.1,0.326,4.13,1.94,1.31,0,0,0,10.5,-400,0.26,0.16,50,0,0.5,40,14.4,-2.3,700,0.32,0.2,68,0.27,0.18,22,QB,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,goff,jared goff,j,goff6700qbj
92.07,Darrell Henderson,8000,LA,DET,,,15.31,19.7,10.9,1.15,1.9,29,7.9,14.16,-2,0.75,1,0,11,0,0.03,4.2,31,34,17,1,-17,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,46,4.4,0.4,0.51,1.88,0.94,0.63,0,0,0,17.7,1700,0.85,0.33,80,0.8,0,50,9.5,0.2,2000,0.76,0.31,47,0.34,0.21,23,RB,37,0.4,0.395,0.462,10,2,1,13,10,8.7,0.1,0,0.192,0.731,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,henderson,darrell henderson,d,henderson8000rbd
87.29,Derrick Henry,11000,TEN,KC,,,21.1,27.6,14.6,-0.54,1.9,9,15.4,21.64,10,0.98,1,0,8,0,0,0.8,45,27.5,31.5,1.5,4,59,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,130,5.3,1.2,0.535,3.47,1.94,1.12,76,0.58,0.02,24.5,1300,0.83,0.49,75,0.5,0,40,20.1,20,5000,0.76,0.45,50,0.31,0.31,22,RB,37,0.677,0.78,0.683,24,2,1,9,5,6.2,0,0,0.276,0.603,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,henry,derrick henry,d,henry11000rbd
82.52,Aaron Jones,8500,GB,WAS,,,16.02,20.6,11.4,0.61,1.9,12.5,6.4,15.41,7,0.97,1,0,10,0,0.16,0.3,39,27,21,-2.5,-6,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,73,5.3,0.4,0.55,3.18,1.29,0.47,50,0.56,0,14.9,1600,0.78,0.35,100,0.2,0,50,16.1,1.6,2500,0.9,0.41,60,0.26,0.21,23,RB,37,0.429,0.587,0.646,13,3,3,24,11,7.2,0.3,0,0.111,0.511,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jones,aaron jones,a,jones8500rba
82.32,Sony Michel,5300,LA,DET,,,5.55,7.2,3.9,-1.88,1,0.5,0.4,7.43,-6,0.61,0,0,8,0,0.11,4.2,19,34,17,1,-17,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,4.5,0.1,0.533,0.89,0.22,0.11,0,0,0,6.9,-400,0.58,0.32,80,0.4,0.2,50,6.3,-0.7,-700,0.64,0.33,39,0.13,0.21,23,RB,37,0.1,0.336,0.321,8,0,0,9,6,12.3,0.1,0,0.063,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,michel,sony michel,s,michel5300rbs
81.94,Darrel Williams,6700,KC,@TEN,,,12.45,16.1,8.8,1.53,1.9,20,6.5,10.92,-4,0.67,1,0,4,0,0.21,0.4,23,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,3.9,0.3,0.609,1.19,0.63,0.31,76,0.58,0.02,11.5,1700,0.81,0.32,100,0.5,0,40,60,0.5,700,0.93,0.26,52,0.19,0.28,21,RB,37,0.308,0.161,0.345,4,1,1,9,4,6.8,0,0,0.308,0.692,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,williams,darrel williams,d,williams6700rbd
80.14,Chuba Hubbard,7300,CAR,@NYG,,,13.84,17.9,9.8,1.42,1.9,19.3,7.6,12.42,1,0.88,1,0,5,0,0.08,2.1,32,23,20,-0.3,-3,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,3.9,0.2,0.472,1.5,0.83,0.5,60,0.49,0,12.3,1000,0.58,0.29,100,0.66,0,30,7.9,0.8,1300,0.53,0.25,88,0.44,0.11,90,RB,37,0.125,0.428,0.451,12,3,2,13,6,6.3,0,0,0.143,0.429,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,hubbard,chuba hubbard,c,hubbard7300rbc
