rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
71.79,Antonio Gibson,6600,WAS,@GB,,,9.68,12.6,6.8,-0.99,1.5,2.4,6.6,10.67,2,0.9,1,0,2,0,0.34,1.3,32,21,27,1.5,6,48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,4.7,0.8,0.554,2,1.19,0.81,50,0.56,0,13.8,500,0.85,0.4,75,0.5,0.25,40,11.6,1.5,600,0.7,0.36,61,0.28,0.23,21,RB,37,0.733,0.578,0.478,13,2,2,15,12,7.6,0.1,0,0.31,0.552,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,gibson,antonio gibson,a,gibson6600rba
71.09,Jerick McKinnon,5000,KC,@TEN,,,4.58,6,3.1,-2.1,0.9,0.5,2.7,6.68,-13,0.43,0,0,3,0,0.21,0.4,17,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2.7,0.1,0.386,0.75,0.31,0.19,76,0.58,0.02,2.3,500,0.9,0.15,50,0,0,40,5.5,-0.8,-1000,1.15,0.32,57,0.09,0.19,21,RB,37,0.133,0.068,0.25,2,1,1,11,7,8.4,0,0,0.286,0.714,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mckinnon,jerick mckinnon,j,mckinnon5000rbj
70.73,Ty'Son Williams,5500,BAL,CIN,,,3.9,5.2,2.6,-4.03,0.7,0.5,4.4,7.93,-16,0.36,0,0,5,0,0.05,0.3,28,26.3,19.8,-0.7,-6.5,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,5.5,0.3,0.419,0.44,0.13,0.06,62,0.62,0,2.7,-900,0.44,0.13,0,0,0.5,40,9.8,0.6,-500,0.98,0.35,22,0.18,0.09,22,RB,37,0.2,0.265,0.418,7,2,1,15,9,8.6,0,0,0.25,0.75,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,williams,ty'son williams,t,williams5500rbt
70.28,Mike Davis,6300,ATL,@MIA,,,10.44,13.5,7.4,0.52,1.7,5.9,1,9.92,3,0.92,1,0,4,0,0.11,2.5,41,22,23.5,-1.5,1.5,45.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,3.5,0.4,0.466,2.73,1.4,0.67,84,0.78,0.07,9.9,600,0.61,0.22,100,0.66,0,30,9.8,-1.1,300,0.62,0.24,52,0.21,0.26,19,RB,37,0.385,0.418,0.64,11,4,3,18,9,5.6,0.1,0,0.147,0.382,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,davis,mike davis,m,davis6300rbm
70.11,James Conner,6500,ARI,HOU,,,10.2,13.2,7.2,-0.22,1.6,7.1,12.4,10.42,0,0.84,1,0,5,0,0.21,-1.2,38,34,13.5,1.5,-20.5,47.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,3.6,0.5,0.491,2.06,0.94,0.65,0,0,0,13.8,1200,0.92,0.43,100,0.5,0,40,90,-0.1,500,0.61,0.24,55,0.25,0.3,20,RB,37,0.583,0.489,0.585,12,2,2,11,7,5.9,0,0,0.226,0.645,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,conner,james conner,j,conner6500rbj
69.78,Devonta Freeman,5700,BAL,CIN,,,6.91,9,4.8,-1.52,1.2,0.5,11.4,8.43,0,0.84,1,0,4,0,0.05,0.3,13,26.3,19.8,-0.7,-6.5,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,5.9,0.2,0.75,0.31,0.06,0,62,0.62,0,4.4,700,0.88,0.31,50,0.25,0.5,40,3.5,-0.6,-300,0.79,0.27,15,0.05,0.15,19,RB,37,0.143,0.128,0.191,3,1,0,6,3,11.3,0,0,0.25,0.75,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,freeman,devonta freeman,d,freeman5700rbd
68.53,Salvon Ahmed,5100,MIA,ATL,,,5.12,6.7,3.6,-1.81,1,0.5,6.2,6.93,-9,0.52,0,0,1,0,0.11,1.2,23,23.5,22,-1,-1.5,45.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,3.8,0.3,0.5,1.56,0.69,0.31,84,0.78,0.07,3.2,200,0.67,0.32,75,0,0,40,6.9,-0.4,-900,0.68,0.3,55,0.25,0.15,20,RB,37,0.3,0.33,0.362,8,2,1,10,7,7.1,0,0,0.136,0.591,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,ahmed,salvon ahmed,s,ahmed5100rbs
67.71,Chase Edmonds,6200,ARI,HOU,,,8.9,11.6,6.2,-0.77,1.4,8.5,9.5,9.67,-5,0.64,1,0,8,0,0.43,-1.2,38,34,13.5,1.5,-20.5,47.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,5.1,0,0.532,1.88,0.56,0.13,0,0,0,9.1,-400,0.67,0.23,75,0.25,0.25,40,8.4,-0.4,200,0.67,0.22,71,0.23,0.28,21,RB,37,0,0.314,0.55,7,4,3,26,12,7.2,0.1,0,0,0.389,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,edmonds,chase edmonds,c,edmonds6200rbc
67.22,JJ Taylor,4900,NE,NYJ,,,3.07,4.2,2,-3.36,0.6,0,15.1,6.43,1,0.88,0,0,5,0,0.21,1.4,7,25,17.5,0.2,-7.5,42.5,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4.1,0,0.091,0.12,0,0,56,0.37,0,0,200,0,0,25,0,0.25,40,30,-0.9,-1100,1.28,0.42,21,0,0.15,19,RB,37,0,0.078,0.122,1,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,taylor,jj taylor,j,taylor4900rbj
66.69,Jeremy McNichols,5500,TEN,KC,,,2.18,2.9,1.4,-5.75,0.4,0,1.5,7.93,-1,0.79,0,0,1,0,0.34,0.8,17,27.5,31.5,1.5,4,59,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4.1,0.1,0.421,0.53,0.24,0.06,76,0.58,0.02,8.4,800,1.67,0.46,75,0.5,0,40,3.5,-1.1,-500,0.81,0.2,47,0.14,0.38,21,RB,37,0.032,0.055,0.267,2,2,1,11,6,7.8,0.1,0,0.333,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mcnichols,jeremy mcnichols,j,mcnichols5500rbj
64.69,Royce Freeman,4900,CAR,@NYG,,,3.84,5,2.7,-2.59,0.8,0,2.4,6.43,4,0.94,0,0,4,0,0.21,2.1,11,23,20,-0.3,-3,43,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4.9,0,0.367,0.22,0.06,0.06,60,0.49,0,0.9,-500,0.31,0.06,0,0,1,30,30,-1.4,-1100,1.13,0.27,31,0,0.27,22,RB,37,0,0.08,0.165,2,0,0,2,2,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,freeman,royce freeman,r,freeman4900rbr
63.78,Malcolm Brown,5200,MIA,ATL,,,4.48,5.9,3.1,-2.7,0.9,0.5,1.4,7.18,-14,0.4,0,0,1,0,0.08,1.2,24,23.5,22,-1,-1.5,45.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,4.2,0.3,0.434,1.06,0.69,0.56,84,0.78,0.07,5.3,400,0.88,0.22,50,0.25,0.25,40,4.9,-1.7,-800,0.82,0.21,40,0.13,0.4,22,RB,37,0.308,0.194,0.358,4,1,0,6,6,8.5,0,0,0.2,0.467,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,brown,malcolm brown,m,brown5200rbm
62.48,Joe Mixon,7200,CIN,@BAL,,,11.72,15.2,8.2,-0.45,1.6,10.3,11.9,12.17,-1,0.79,1,0,2,0,0.34,0.1,39,19.8,26.3,-0.7,6.5,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,80,4.3,0.5,0.523,0.5,0.31,0.19,62,0.62,0,14.2,500,0.79,0.42,100,0.25,0,40,10,0.7,1200,0.47,0.26,25,0.1,0.2,20,RB,37,1,0.754,0.673,18,2,2,15,10,6.9,0.2,0,0.429,0.714,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,mixon,joe mixon,j,mixon7200rbj
61.24,Giovani Bernard,4900,TB,CHI,,,3.73,4.9,2.6,-2.7,0.8,0.5,1.5,6.43,-18,0.32,0,0,6,0,0.28,-2,30,29.8,17.3,-1.2,-12.5,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,3.4,0.1,0.466,1.75,0.88,0.38,82,0.72,0.18,7.2,300,1.2,0.36,80,0.4,0,50,7.9,0.8,-1100,0.68,0.26,70,0.3,0.2,20,RB,37,0.167,0.28,0.484,7,3,3,22,13,70,0.3,0,0.111,0.444,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,bernard,giovani bernard,g,bernard4900rbg
59.33,D'Andre Swift,7100,DET,@LA,,,12.65,16.4,8.9,0.73,1.8,15.5,24.4,11.92,2,0.9,0.89,0,5,0,0.11,0,40,17,34,0,17,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,3.8,0.6,0.471,2.41,1.41,0.76,0,0,0,15.4,-300,0.81,0.34,75,0.5,0.25,40,13.8,20,1100,0.79,0.35,57,0.33,0.14,21,RB,37,0.667,0.461,0.639,10,5,4,37,18,8.1,0.1,0,0.286,0.429,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,swift,d'andre swift,d,swift7100rbd
55.14,Ronald Jones,5100,TB,CHI,,,4.17,5.5,2.9,-2.76,0.8,0.5,4.3,6.93,-15,0.38,0,0,5,0,0.21,-2,21,29.8,17.3,-1.2,-12.5,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,5,0.4,0.595,1.5,1.06,0.56,82,0.72,0.18,4.1,100,0.71,0.34,40,0,0.2,50,7.3,-1.3,-900,0.69,0.35,41,0.16,0.2,24,RB,37,0.385,0.514,0.328,9,1,1,8,6,8.1,0.1,0,0.167,0.583,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,jones,ronald jones,r,jones5100rbr
53.18,Samaje Perine,5400,CIN,@BAL,,,3.28,4.5,2.1,-4.4,0.6,0.5,14,7.68,-19,0.31,0,0,0,0,0.34,0.1,19,19.8,26.3,-0.7,6.5,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,4.7,0.2,0.463,1.44,0.38,0.31,62,0.62,0,6.7,700,0.92,0.31,50,0.25,0,40,4.9,0,-600,0.71,0.26,52,0.15,0.31,19,RB,37,0.3,0.258,0.316,5,1,1,8,5,6.7,0.1,0,0.125,0.313,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,perine,samaje perine,s,perine5400rbs
53.03,Chris Evans,4800,CIN,@BAL,,,2.16,2.9,1.4,-4.02,0.5,0,0,6.18,-1,0.79,0,0,0,0,0.28,0.1,6,19.8,26.3,-0.7,6.5,46,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4.5,0,0.75,0.17,0,0,62,0.62,0,6.8,300,2.46,0.97,75,0.25,0,40,7.1,0.6,-1200,2.97,1.19,66,0.22,0.11,90,RB,37,0,0.037,0.112,0,1,1,20,12,13,0.2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,evans,chris evans,c,evans4800rbc
52.23,Jamaal Williams,5300,DET,@LA,,,6.73,8.8,4.7,-0.7,1.3,0.5,5.7,7.43,-1,0.79,0,0,2,0,0.34,0,27,17,34,0,17,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,41,4.3,0.3,0.593,1.88,0.88,0.29,0,0,0,7.3,-300,0.6,0.32,75,0.25,0.25,40,8.2,0.6,-700,0.67,0.3,60,0.17,0.17,23,RB,37,0.286,0.38,0.426,9,2,2,14,6,6.4,0.1,0,0.133,0.567,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,williams,jamaal williams,j,williams5300rbj
49.02,Michael Carter,5600,NYJ,@NE,,,9.56,12.7,6.5,1.38,1.7,8.2,12.4,8.18,-2,0.75,1,0,1,0,0.28,-1.1,26,17.5,25,-0.8,7.5,42.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,3.5,0.4,0.511,1.4,1,0.6,56,0.37,0,9,700,0.66,0.33,100,0.66,0,30,6.8,0.5,-400,0.56,0.26,62,0.37,0.25,80,RB,37,0.667,0.446,0.427,9,2,1,12,10,7.1,0,0,0.286,0.714,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,carter,michael carter,m,carter5600rbm
43.17,Ty Johnson,5100,NYJ,@NE,,,4.97,6.5,3.4,-1.96,1,0.5,10.1,6.93,-12,0.45,0,0,0,0,0.28,-1.1,21,17.5,25,-0.8,7.5,42.5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,4,0.1,0.532,1.13,0.6,0.53,56,0.37,0,5.2,0,0.77,0.22,66,0.33,0.33,30,60,-0.2,-900,0.77,0.29,61,0.22,0.27,18,RB,37,0.222,0.232,0.365,5,2,1,10,6,6.8,0.1,0,0.125,0.625,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,johnson,ty johnson,t,johnson5100rbt
41.68,Khalil Herbert,6000,CHI,@TB,,,6.49,8.5,4.5,-2.68,1.1,0.5,15.8,9.17,-2,0.75,0.67,0,1,0,0.28,-2.3,19,17.3,29.8,-0.7,12.5,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,4.5,0.2,0.55,0.83,0.5,0.33,82,0.72,0.18,8.8,1500,0.82,0.37,50,0.25,0.25,40,7.3,1.2,0,0.84,0.38,44,0.11,0.22,90,RB,37,0.143,0.275,0.333,8,0,0,3,1,7.5,0,0,0.2,0.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,herbert,khalil herbert,k,herbert6000rbk
38.68,Damien Williams,6100,CHI,@TB,,,5.68,7.4,3.9,-3.74,0.9,0.5,1.3,9.42,-5,0.64,0,0,0,0,0.43,-2.3,20,17.3,29.8,-0.7,12.5,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,4.3,0.3,0.563,0.5,0.25,0.25,82,0.72,0.18,14.7,1200,1.52,0.77,50,0.5,0,40,5.6,0.4,100,0.75,0.28,14,0.09,0.19,21,RB,37,0.333,0.206,0.34,5,2,1,10,6,6.1,0,0,0.25,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,williams,damien williams,d,williams6100rbd
38.67,Devontae Booker,5800,NYG,CAR,,,11.25,14.9,7.6,2.57,1.9,23.5,13.6,8.68,-9,0.52,0.8,0,2,0,0.93,-4.9,21,20,23,-0.8,3,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,3.7,0.3,0.378,1.35,0.71,0.29,60,0.49,0,10,700,0.79,0.25,75,0.25,0,40,5.3,-1.9,-200,0.61,0.25,45,0.13,0.45,22,RB,37,0.211,0.233,0.331,6,1,1,6,4,4.9,0.1,0,0.105,0.368,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,booker,devontae booker,d,booker5800rbd
36.52,David Johnson,5000,HOU,@ARI,,,5.03,6.8,3.3,-1.65,1,0.5,7.7,6.68,-8,0.55,0,0,2,0,0.34,-2.3,37,13.5,34,-2,20.5,47.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,5.3,0.2,0.5,1.56,0.81,0.44,0,0,0,4.8,0,0.69,0.16,66,0,0.33,30,90,0.9,-1000,1.02,0.24,47,0.26,0.26,19,RB,37,0.375,0.32,0.603,5,3,2,23,11,9.2,0.2,0,0.375,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,johnson,david johnson,d,johnson5000rbd
31.37,Elijhaa Penny,5000,NYG,CAR,,,2.08,2.7,1.4,-4.6,0.4,0,2.4,6.68,-3,0.71,0,0,0,0,0.16,-4.9,7,20,23,-0.8,3,43,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3.2,0.1,0.692,0.27,0.13,0.13,60,0.49,0,3,500,1.52,0.38,25,0.25,0.5,40,1.8,0,-1000,1.26,0.26,16,0.05,0.44,18,RB,37,0.071,0.03,0.108,1,0,0,1,1,70,0,0,0.5,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,penny,elijhaa penny,e,penny5000rbe
30.12,Mark Ingram,5400,HOU,@ARI,,,6.03,7.9,4.2,-1.65,1.1,0.5,4.2,7.68,-3,0.71,0,0,0,0,0.16,-2.3,17,13.5,34,-2,20.5,47.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,3.3,0.1,0.367,1.19,0.56,0.31,0,0,0,5.2,100,0.37,0.23,66,0,0.33,30,50,-1.5,-600,0.46,0.29,36,0.04,0.18,22,RB,37,0.077,0.212,0.293,9,0,0,2,1,4.4,0,0,0.059,0.412,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,ingram,mark ingram,m,ingram5400rbm
24.92,Phillip Lindsay,4900,HOU,@ARI,,,3.08,4,2.1,-3.35,0.6,0,0.8,6.43,0,0.84,0,0,0,0,0.34,-2.3,19,13.5,34,-2,20.5,47.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,3.8,0.1,0.323,0.35,0.12,0.12,0,0,0,2.7,0,0.46,0.27,66,0.33,0.33,30,4.1,-2.1,-1100,0.44,0.22,42,0.14,0.47,21,RB,37,0.182,0.277,0.302,8,1,0,3,3,60,0.1,0,0.2,0.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,lindsay,phillip lindsay,p,lindsay4900rbp
0,C. Patterson,8000,ATL,@MIA,,,13.26,17.2,9.3,13.26,1.7,4.2,13.1,0,0,0,1,0,0,0,0.5,0,19,22,23.5,-1.5,1.5,45.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,4,0.1,0.458,1.4,0.47,0.2,84,0.78,0.07,20.1,2100,1.16,0.65,100,0.66,0,30,8.9,-0.1,2000,0.87,0.47,55,0.3,0.25,20,RB,37,0.222,0.235,0.287,5,3,2,25,11,9.5,0.3,0,0.167,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,patterson,c. patterson,c,patterson8000rbc
93.4,Tyreek Hill,8500,KC,@TEN,,,17.32,24,10.6,1.81,2,23.1,9.7,15.51,1,0.86,0.95,0,7,0,0.98,1.8,58,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.75,0.38,76,0.58,0.02,19.7,-200,1.71,0.34,50,0.25,0.5,40,19.1,4.2,2500,1.69,0.33,66,0.38,0.23,21,WR,37,0,0,0,0,10,7,98,31,13.7,1.1,0,0.333,0,0.267,0.39,0.298,0,0,0,0,0,0,0,0,0,0,0,0,hill,tyreek hill,t,hill8500wrt
88.7,Davante Adams,9000,GB,WAS,,,18.12,24.7,11.5,1.47,2,21.5,16.6,16.65,3,0.9,0.96,0,7,0,0.98,1.3,55,27,21,-2.5,-6,48,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,1.24,0.65,50,0.56,0,19.4,800,1.55,0.35,50,0.5,0.5,40,20.6,3.9,3000,1.9,0.37,69,0.34,0.17,23,WR,37,0,0,0,0,10,8,105,32,13,1.1,0,0.469,0,0.356,0.383,0.404,0,0,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams9000wrd
83,Mecole Hardman,5400,KC,@TEN,,,9.39,13.1,5.7,0.95,1.7,10.5,2.8,8.44,-11,0.57,1,0,1,0,0.61,1.8,35,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.19,0.06,76,0.58,0.02,8.8,0,1.25,0.18,100,0.5,0,40,7.3,-0.7,-600,1.35,0.21,71,0.19,0.19,21,WR,37,0,0,0,0,4,3,39,21,11.6,0.2,0,0.222,0,0.126,0.07,0.121,0,0,0,0,0,0,0,0,0,0,0,0,hardman,mecole hardman,m,hardman5400wrm
79.15,Chris Godwin,6700,TB,CHI,,,13,17.9,8.1,1.6,1.9,26,21.1,11.4,-6,0.67,1,0,6,0,0.69,0,59,29.8,17.3,-1.2,-12.5,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.5,0.25,82,0.72,0.18,9.5,-600,1.32,0.15,40,0,0.6,50,13.1,0.2,700,1.75,0.22,62,0.2,0.25,24,WR,37,0,0,0,0,7,5,70,25,12.7,0.5,0,0.353,0,0.182,0.186,0.209,0,0,0,0,0,0,0,0,0,0,0,0,godwin,chris godwin,c,godwin6700wrc
78.65,Mike Evans,7100,TB,CHI,,,12.82,17.8,7.8,0.5,1.8,17,28.6,12.32,0,0.83,1,0,3,0,0.74,0,54,29.8,17.3,-1.2,-12.5,47,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.69,0.38,82,0.72,0.18,11.9,0,1.4,0.19,60,0.2,0.4,50,13.4,1.3,1100,1.78,0.25,54,0.25,0.37,24,WR,37,0,0,0,0,7,4,71,24,14.7,0.7,0,0.3,0,0.186,0.244,0.214,0,0,0,0,0,0,0,0,0,0,0,0,evans,mike evans,m,evans7100wrm
76.8,Calvin Ridley,7300,ATL,@MIA,,,13.36,18.3,8.4,0.59,1.8,17.2,10.6,12.77,0,0.83,1,0,5,0,0.72,1.2,56,22,23.5,-1.5,1.5,45.5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0.67,0.53,84,0.78,0.07,10.8,-800,0.9,0.16,33,0,0.33,30,13.7,-0.6,1300,1.37,0.24,50,0.11,0.22,18,WR,37,0,0,0,0,9,6,83,27,13.2,0.4,0,0.19,0,0.262,0.238,0.311,0,0,0,0,0,0,0,0,0,0,0,0,ridley,calvin ridley,c,ridley7300wrc
72.9,Demarcus Robinson,5300,KC,@TEN,,,4.56,6.6,2.6,-3.65,0.9,0.5,1.2,8.21,-14,0.52,0,0,1,0,0.04,1.8,46,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.13,0.06,76,0.58,0.02,5.4,600,2.15,0.1,75,0.25,0,40,5.8,-1,-700,1.72,0.13,61,0.19,0.23,21,WR,37,0,0,0,0,3,2,29,16,11.3,0.3,0,0.167,0,0.086,0.116,0.091,0,0,0,0,0,0,0,0,0,0,0,0,robinson,demarcus robinson,d,robinson5300wrd
72.5,Cooper Kupp,8800,LA,DET,,,17.17,23.6,10.8,0.98,2,25.3,32.6,16.19,-1,0.8,1,0,8,0,0.94,-2,55,34,17,1,-17,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,0.63,0.5,0,0,0,18,900,1.53,0.31,80,0.4,0.2,50,14.6,1.7,2800,1.47,0.26,60,0.21,0.17,23,WR,37,0,0,0,0,9,7,83,27,11.7,0.5,0,0.333,0,0.271,0.308,0.296,0,0,0,0,0,0,0,0,0,0,0,0,kupp,cooper kupp,c,kupp8800wrc
71.8,Marquise Brown,7300,BAL,CIN,,,11.53,16.3,6.8,-1.24,1.6,0.8,16.5,12.77,23,0.99,0.92,0,3,0,0.5,-0.5,51,26.3,19.8,-0.7,-6.5,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.25,62,0.62,0,14.6,700,2.16,0.29,75,0.5,0.25,40,12.9,2.4,1300,2.05,0.25,71,0.47,0.09,21,WR,37,0,0,0,0,6,4,54,28,13.7,0.8,0,0.375,0,0.238,0.462,0.255,0,0,0,0,0,0,0,0,0,0,0,0,brown,marquise brown,m,brown7300wrm
71.2,AJ Brown,7000,TEN,KC,,,11.95,16.6,7.3,-0.14,1.7,13.6,23.3,12.09,1,0.86,1,0,3,0,0.72,-1.1,50,27.5,31.5,1.5,4,59,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.35,0.18,76,0.58,0.02,2.8,200,0.47,0.09,25,0,0.25,40,12.5,-0.6,1000,1.71,0.25,50,0.22,0.27,22,WR,37,0,0,0,0,7,4,69,29,16,0.6,0,0.6,0,0.258,0.36,0.308,0,0,0,0,0,0,0,0,0,0,0,0,brown,aj brown,a,brown7000wra
70.7,Robert Woods,6800,LA,DET,,,12.43,16.9,7.9,0.8,1.8,14.9,12,11.63,0,0.83,0.83,0,5,0,0.94,-2,61,34,17,1,-17,51,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.38,0.31,0,0,0,14,700,1.76,0.23,100,0.6,0,50,12,0.6,800,1.27,0.2,65,0.34,0.21,23,WR,37,0,0,0,0,8,5,60,20,10.4,0.4,0,0.5,0,0.229,0.231,0.215,0,0,0,0,0,0,0,0,0,0,0,0,woods,robert woods,r,woods6800wrr
70.4,Byron Pringle,5200,KC,@TEN,,,3.88,5.7,2,-4.1,0.7,0.5,9.8,7.98,-22,0.39,0,0,1,0,0.04,1.8,25,31.5,27.5,1,-4,59,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.19,0.13,76,0.58,0.02,4.7,300,1.43,0.18,75,0,0.25,40,5.5,-0.9,-800,2.51,0.22,57,0.09,0.14,21,WR,37,0,0,0,0,2,1,18,11,11.9,0.2,0,0.4,0,0.056,0.075,0.058,0,0,0,0,0,0,0,0,0,0,0,0,pringle,byron pringle,b,pringle5200wrb
70.15,DeAndre Hopkins,8000,ARI,HOU,,,13.32,18.4,8.3,-1.05,1.7,5.8,14.8,14.37,17,0.98,1,0,7,0,0.96,-2.6,65,34,13.5,1.5,-20.5,47.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0.75,0.44,0,0,0,12.3,-500,1.88,0.19,50,0.5,0.5,40,13.8,-1,2000,1.6,0.21,50,0.27,0.38,18,WR,37,0,0,0,0,8,5,73,25,12.5,0.6,0,0.381,0,0.254,0.323,0.271,0,0,0,0,0,0,0,0,0,0,0,0,hopkins,deandre hopkins,d,hopkins8000wrd
