RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
matthews10300ca,90.43,Auston Matthews,10300,C,0,TOR,PHI-CHart,23.74,29.7,17.8,3.98,2.3,21.6,1,1,20,0,2.5,25,0,2,4.2,2.5,-278,6.5,81,-265,21.9,4.5,56,13,17,93,28.7,76,15,0,13,0.77,0.55,1.32,20.75,3.82,4.63,5.91,0.78,0.17,0.83,5.45,18.02,12.9,13.86,0.18,0.16,3.12,0.93,1.19,0.78,0,0,0.59,0.39,0.18,0.05,3.99,1.08,0.5,1.58,20.38,4.65,5.17,7.25,0.71,0.21,0.83,6,20.08,11.25,0.17,0.08,3.12,0.83,16.5,6,5,1,7,2,20.42,4.06,0.17,0.17,50.8,49.09,47.36,42.53,44.36,2.65,0.27,2.87,0.27,51.5,55.29,40.93,40.36,2.57,0.33,2.5,0.29,38.86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,matthews,auston matthews,a,matthews10300ca
bergeron7300cp,87.32,Patrice Bergeron,7300,C,0,BOS,CLB-EMerzlikins,14.98,18.8,11.2,1.38,2.1,25.6,1,1,13,0,2.5,96,0,2,4.4,2.3,-360,6.5,90,-300,15.3,1.8,47,11,25,101,18.1,38,15,0,13,0.38,0.48,0.86,18.32,2.82,3.86,4.49,0.86,0.1,0.66,4.52,15.87,8.61,12.66,0.12,0.18,2.98,0.85,1.14,0.74,0.01,0.02,0.25,0.27,0.41,0.01,3.6,0.33,0.67,1,17.69,3.39,5,6.11,0.82,0.07,0.33,5.33,16.22,9.33,0.22,0.22,2.67,0.67,14,3.67,3.67,0,5,0.67,15.84,2.39,0.33,0.33,48.99,47.41,49.15,40.05,44.3,2.78,0.28,2.83,0.22,50.92,47.43,39.92,42.43,2.77,0.22,2.79,0.33,45.17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,bergeron,patrice bergeron,p,bergeron7300cp
lindholm8000ce,85.27,Elias Lindholm,8000,C,0,CGY,STL-VHusso,16.04,20,12,1,2,14.4,1,1,6,0,0.6,18,0,2,4.1,2.6,-255,6.5,67,-235,15.4,1.8,55,9,22,86,16.2,53,13,20,15,0.51,0.47,0.98,19.77,2.97,2.69,3.4,0.79,0.19,0.58,3.27,14.65,11.33,11.34,0.13,0.11,2.69,0.48,0.65,0.73,0.01,0.02,0.38,0.33,0.23,0.01,2.7,0.67,0.33,1,19.27,3.11,2.6,3.47,0.75,0.26,0.8,3.4,14.6,12.27,0.2,0.07,2.44,0.47,12.86,2.57,1.86,0.71,2.57,0.14,19.34,2.75,0.14,0.14,48.87,50.48,45.46,40.22,40.63,2.84,0.22,2.86,0.2,53.67,44.93,42.53,41.87,2.8,0.26,2.6,0.26,43.29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,lindholm,elias lindholm,e,lindholm8000ce
haula4200ce,82.84,Erik Haula,4200,C,0,BOS,CLB-EMerzlikins,7.59,9.6,5.5,0.35,1.8,27.7,2,0,1,0,1.1,32,0,2,4.4,2.3,-360,6.5,90,-300,8.7,2.1,48,26,31,91,11.3,46,46,46,13,0.19,0.35,0.55,15.57,2.12,1.82,2.23,0.82,0.11,0.48,2.3,11.3,11.38,8.9,0.01,0.05,1.19,0.17,0.21,0.83,0.01,0,0.17,0.31,0.53,0.01,1.99,0.23,0.62,0.85,14.84,3.44,1.77,2.31,0.77,0.13,0.46,2.23,15.15,10.54,0,0,0.88,0.08,14.17,2,1.67,0.33,1.83,0.17,14.58,1.48,0,0,48.99,47.41,49.15,40.05,44.3,2.78,0.28,2.83,0.22,50.92,47.43,39.92,42.43,2.77,0.22,2.79,0.33,45.17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,haula,erik haula,e,haula4200ce
hintz6800cr,82.72,Roope Hintz,6800,C,0,DAL,SJ-KKAHKONEN,15.17,19,11.4,2.6,2.2,26.4,1,1,6,0,-0.9,93,1,2,3.4,2.8,-154,6,78,-157,13.3,1.5,46,17,34,88,13.4,46,23,38,13,0.41,0.51,0.93,18.08,3.09,2.55,3.41,0.75,0.16,0.6,3.15,13.81,11.72,10.53,0.11,0.2,2.55,0.46,0.59,0.77,0.02,0.01,0.28,0.3,0.24,0.01,2.35,0.43,0.43,0.86,18.38,2.81,2.07,3.07,0.67,0.21,0.71,2.79,12,13.57,0.14,0.14,2.49,0.36,13.14,3,2.43,0.57,3.14,0.43,17.5,2.58,0.29,0.14,47.93,44.42,49.9,45.16,41.58,2.83,0.24,2.73,0.17,43.71,51,48.5,38.08,2.86,0.2,2.92,0.21,42.86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,hintz,roope hintz,r,hintz6800cr
backlund4800cm,81.48,Mikael Backlund,4800,C,0,CGY,STL-VHusso,10.83,13.6,8,2.36,2.3,9.6,2,2,6,0,-0.1,28,0,2,4.1,2.6,-255,6.5,67,-235,9.7,2,47,22,34,85,9.9,40,13,40,15,0.17,0.34,0.52,17.43,1.79,2.64,3.36,0.79,0.07,0.33,2.98,13.98,10.52,10.72,0,0.06,1.47,0.29,0.38,0.78,0.01,0,0.16,0.29,0.37,0.02,2.53,0.27,0.2,0.47,16.89,1.67,2.67,3.47,0.77,0.1,0.53,3.2,14.6,11.6,0,0,0.89,0.2,16.86,3.57,3.14,0.43,3.86,0.43,17.23,1.42,0,0,48.87,50.48,45.46,40.22,40.63,2.84,0.22,2.86,0.2,53.67,44.93,42.53,41.87,2.8,0.26,2.6,0.26,43.29,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,backlund,mikael backlund,m,backlund4800cm
tavares7600cj,81.03,John Tavares,7600,C,0,TOR,PHI-CHart,16.15,20.2,12.1,1.93,2.1,20,2,1,10,0,2.5,12,0,2,4.2,2.5,-278,6.5,81,-265,14.3,0.8,50,10,32,93,16.4,46,23,23,13,0.38,0.63,1,18,3.33,3.06,4.09,0.75,0.12,0.52,3.58,14.67,13.22,11.11,0.11,0.16,2.84,0.83,1.1,0.75,0,0,0.26,0.47,0.36,0.01,2.94,0.43,0.57,1,17.93,3.35,3,4.57,0.66,0.14,0.43,3.43,14.93,11.64,0.21,0.21,2.85,0.93,11.17,3.5,3.17,0.33,4.83,2.33,18.12,3.91,0.33,0.33,50.8,49.09,47.36,42.53,44.36,2.65,0.27,2.87,0.27,51.5,55.29,40.93,40.36,2.57,0.33,2.5,0.29,38.86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,tavares,john tavares,j,tavares7600cj
kerfoot5000ca,79.53,Alexander Kerfoot,5000,C,0,TOR,PHI-CHart,9.76,12.3,7.2,0.88,2,4.8,2,0,1,0,2.5,1,0,2,4.2,2.5,-278,6.5,81,-265,9.3,1.9,43,28,36,92,9.9,46,15,46,13,0.15,0.47,0.62,15.23,2.44,1.4,1.78,0.78,0.11,0.77,2.17,11.57,11.56,8.85,0,0.03,0.27,0.02,0.05,0.4,0,0.03,0.15,0.41,0.21,0.04,2,0.21,0.36,0.57,14.42,2.37,1.36,1.79,0.76,0.16,1,2.36,10.64,12.21,0,0,0.01,0,11,2.67,1.83,0.83,1.83,0.33,14.9,0.02,0,0,50.8,49.09,47.36,42.53,44.36,2.65,0.27,2.87,0.27,51.5,55.29,40.93,40.36,2.57,0.33,2.5,0.29,38.86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,kerfoot,alexander kerfoot,a,kerfoot5000ca
point8000cb,79.10,Brayden Point,8000,C,0,TB,MTL-JAllen,19.13,23.9,14.3,4.09,2.4,20.5,1,1,9,0,0.5,3,2,1,4.2,2.5,-295,6.5,86,-580,14,0.2,44,9,31,96,12.8,33,0,40,15,0.5,0.47,0.97,19.15,3.04,2.43,3.18,0.76,0.21,0.29,2.71,13.88,12.57,10.71,0.17,0.19,3.5,0.7,0.83,0.84,0,0,0.33,0.28,0.36,0.02,3.14,0.33,0.53,0.87,19,2.75,2.2,3.33,0.66,0.15,0.47,2.67,13.47,12.93,0.27,0.27,3.49,0.73,13,3.29,2.86,0.43,3.57,1.14,18.95,3.33,0.43,0.43,47.78,42.6,45.55,40.5,41.66,3.02,0.26,3.09,0.23,43.2,50.07,41.47,38.29,3.07,0.26,3.5,0.18,34.57,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,point,brayden point,b,point8000cb
cirelli5100ca,76.96,Anthony Cirelli,5100,C,0,TB,MTL-JAllen,12.2,15.3,9.1,3.11,2.4,22,2,0,1,0,2.2,3,2,1,4.2,2.5,-295,6.5,86,-580,8.3,0.1,38,16,41,96,8.5,53,13,40,15,0.19,0.3,0.49,18.01,1.63,1.76,2.19,0.8,0.11,0.74,2.5,11.68,10.8,8.97,0.03,0.07,1.72,0.15,0.25,0.62,0,0.01,0.16,0.22,0.8,0.01,1.99,0.07,0.47,0.53,16.75,1.9,1.47,2.07,0.71,0.05,0.93,2.4,11.47,11.47,0,0.2,0.5,0,10.57,2.57,2,0.57,2.43,0,16.78,0.53,0,0.43,47.78,42.6,45.55,40.5,41.66,3.02,0.26,3.09,0.23,43.2,50.07,41.47,38.29,3.07,0.26,3.5,0.18,34.57,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,cirelli,anthony cirelli,a,cirelli5100ca
