RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mackinnon10300cn,94.48,Nathan MacKinnon,10300,C,0,COL,CGY-J.Markstrom,24.6,30.7,18.5,4.84,2.4,21.6,1,1,30,0,2.3,49,2,1,3.4,3.3,-115,6.5,75,-135,22.4,2.7,67,37,19,97,25.9,80,20,60,10,0.56,0.85,1.41,21.86,3.87,5.26,6.61,0.79,0.11,0.5,5.76,20.35,15.84,14.89,0.15,0.28,3.84,1.55,2.01,0.77,0,0,0.41,0.57,0.6,0.02,3.98,0.7,1,1.7,23.51,4.34,5.2,6.4,0.81,0.13,0.7,5.9,21.2,21.1,0.1,0.1,3.68,1.4,20.33,6.33,6.17,0.17,6.67,1.83,23,3.85,0.17,0.17,42.96,50.39,39.58,45.27,52.39,3.16,0.27,3.37,0.19,48.9,36,53.8,58,2.7,0.15,3,0.24,60.57,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,mackinnon,nathan mackinnon,n,mackinnon10300cn
hughes10100cj,94.10,Jack Hughes,10100,C,0,NJD,PHI-S.Ersson,21.88,27.4,16.4,2.53,2.2,28,1,1,20,0,-0.1,21,0,2,4.3,2.5,-307,6.5,90,-275,20.4,3.1,67,32,13,88,25.5,54,9,27,11,0.65,0.67,1.32,20.26,3.91,4.32,5.42,0.8,0.15,0.22,4.54,16.82,12.76,12.49,0.14,0.24,3.34,1.04,1.29,0.81,0,0,0.51,0.43,0.06,0.03,3.47,0.71,1,1.71,20.2,5.08,5,5.71,0.88,0.14,0.43,5.43,14.86,13.71,0,0.43,3.6,1.57,16.25,4.25,4.25,0,5,1.5,19.93,3.77,0,0.5,51.61,49.42,49.9,44.81,43.02,2.93,0.18,2.78,0.25,50.64,51.55,49.45,45.18,2.73,0.17,2.36,0.31,43.43,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,hughes,jack hughes,j,hughes10100cj
hischier7600cn,92.51,Nico Hischier,7600,C,0,NJD,PHI-S.Ersson,16.23,20.3,12.1,2.01,2.1,28,2,1,14,0,0.4,49,0,2,4.3,2.5,-307,6.5,90,-275,15,1.3,72,29,18,88,13.2,63,27,18,11,0.38,0.6,0.98,19.64,2.99,2.91,3.89,0.75,0.13,0.67,3.59,14.03,12.7,10.65,0.07,0.15,3.19,0.68,1.01,0.67,0.02,0.02,0.28,0.43,0.1,0.02,2.69,0.27,0.36,0.64,19.01,2.02,3.27,4.18,0.78,0.08,1,4.27,14.55,14.09,0,0.09,2.79,1,15.57,4.71,3.71,1,4.14,0.86,18.97,2.57,0,0.14,51.61,49.42,49.9,44.81,43.02,2.93,0.18,2.78,0.25,50.64,51.55,49.45,45.18,2.73,0.17,2.36,0.31,43.43,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,hischier,nico hischier,n,hischier7600cn
stamkos8400cs,91.86,Steven Stamkos,8400,C,0,TB,DET-V.Husso,17.23,21.6,12.9,1.37,2.1,0,2,1,12,0,1,57,1,2,3.8,2.9,-183,6.5,69,-150,18,1.4,69,32,25,104,10.4,45,36,9,11,0.49,0.67,1.16,18.96,3.67,3.28,4.36,0.75,0.15,0.64,3.92,13.35,13.07,10.06,0.17,0.29,4.04,1.36,1.81,0.75,0,0,0.32,0.38,0.67,0.03,2.86,0.18,0.36,0.55,20.3,1.63,3,4.36,0.69,0.06,0.27,3.27,15.91,15.91,0.09,0.09,3.85,1.09,15.33,3,3,0,4.83,1.83,19.72,3.94,0.17,0.17,52.12,45.2,47.77,43.69,39.66,3.43,0.27,2.85,0.25,53.55,51.45,44.45,35.27,3.36,0.22,2.91,0.13,34.57,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,stamkos,steven stamkos,s,stamkos8400cs
bergeron7000cp,90.61,Patrice Bergeron,7000,C,0,BOS,VAN-A.Silovs,15.02,18.8,11.2,2.04,2.1,12.8,1,1,9,0,3.9,94,0,2,4.2,2.5,-282,6.5,94,-255,15.7,1.6,70,34,21,96,10.7,40,60,30,10,0.4,0.47,0.87,17.81,2.93,3.71,4.86,0.76,0.11,0.71,4.42,14.61,9.11,11.38,0.12,0.12,3.25,0.8,1.15,0.69,0.01,0.01,0.27,0.33,0.31,0.02,2.86,0.3,0.2,0.5,17.52,1.71,2.6,3.9,0.67,0.12,0.7,3.3,13.2,11.3,0.1,0,3.14,0.6,14,3.83,2.83,1,4.17,0.83,16.98,2.94,0.17,0,44.12,46.39,45.72,41.51,43.41,3.25,0.22,2.89,0.29,44.3,40.91,48.4,43.91,3.2,0.06,3.09,0.32,44.67,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,bergeron,patrice bergeron,p,bergeron7000cp
stutzle8200ct,89.89,Tim Stutzle,8200,C,0,OTT,MTL-S.Montembeault,17.41,21.8,13,1.96,2.1,3.2,1,1,12,0,-1.4,33,2,1,3.7,2.9,-165,6.5,57,-170,15.9,3.6,64,42,29,87,22.1,70,30,50,10,0.43,0.65,1.08,20.09,3.23,2.66,3.67,0.73,0.16,0.72,3.39,15.51,13.85,11.6,0.14,0.31,3.65,0.71,1.01,0.7,0.01,0,0.28,0.34,0.58,0.06,3.23,0.55,0.91,1.45,21.01,4.14,3.36,4.18,0.8,0.16,0.64,4,16.64,14.18,0.09,0.27,4.03,0.91,16.29,4,3.57,0.43,4.14,1.14,21.5,4.22,0,0.29,46.56,45.54,47.24,44.42,41.36,3.41,0.25,3.45,0.26,43.18,51.4,48.18,40.8,3.64,0.2,2.9,0.28,41.14,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,stutzle,tim stutzle,t,stutzle8200ct
mercer5000cd,87.11,Dawson Mercer,5000,C,0,NJD,PHI-S.Ersson,10.8,13.6,8,1.92,2.2,13.6,2,2,7,0,0.4,65,0,2,4.3,2.5,-307,6.5,90,-275,9.9,1.1,57,31,42,88,15,54,45,54,11,0.26,0.31,0.57,16.34,2.09,1.96,2.49,0.79,0.13,0.61,2.56,12.73,12.45,9.45,0.03,0.03,1.48,0.24,0.33,0.72,0.01,0.02,0.21,0.26,0.27,0.01,2.24,0.73,0.18,0.91,16.33,3.34,2.18,2.45,0.89,0.33,0.82,3,10.45,12.45,0.09,0,1.41,0.45,11.43,3.57,3,0.57,3.43,0.43,17.44,1.43,0.14,0,51.61,49.42,49.9,44.81,43.02,2.93,0.18,2.78,0.25,50.64,51.55,49.45,45.18,2.73,0.17,2.36,0.31,43.43,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,mercer,dawson mercer,d,mercer5000cd
krejci6100cd,86.76,David Krejci,6100,C,0,BOS,VAN-A.Silovs,10.61,13.4,7.8,-0.53,1.7,8.5,2,2,4,0,1.1,21,0,2,4.2,2.5,-282,6.5,94,-255,11.7,0.9,57,24,33,57,9.4,60,40,10,10,0.25,0.63,0.88,17.21,3.07,1.6,2.14,0.75,0.16,0.6,2.19,12.16,13.06,9.18,0.06,0.13,2.58,0.45,0.51,0.88,0,0,0.19,0.5,0.27,0,2.09,0.1,0.6,0.7,18.1,2.32,1.8,2.3,0.78,0.06,0.3,2.1,13.6,16.2,0,0,2.51,0.2,14.5,2.33,2.17,0.17,2.67,0.33,18.37,2.24,0,0,44.12,46.39,45.72,41.51,43.41,3.25,0.22,2.89,0.29,44.3,40.91,48.4,43.91,3.2,0.06,3.09,0.32,44.67,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,krejci,david krejci,d,krejci6100cd
aho7500cs,86.57,Sebastian Aho,7500,C,0,CAR,ANA-J.Gibson,18.81,23.5,14.1,4.8,2.5,1.6,1,1,14,0,-1.4,95,2,1,4.7,2,-515,6.5,76,-435,14.8,-0.2,67,27,26,100,17.7,70,30,40,10,0.46,0.49,0.95,19.18,2.97,2.82,4.12,0.69,0.16,0.34,3.17,14.24,10.54,11.11,0.09,0.16,3.22,0.61,1.06,0.57,0.04,0.02,0.32,0.31,0.5,0.06,3.3,0.73,0.36,1.09,18.82,3.48,3.36,4.82,0.7,0.22,0.09,3.45,17,9.55,0.27,0,2.27,0.64,20.67,3,2.83,0.17,5.17,0.33,18.55,2.28,0,0,57.36,52.22,52.65,36.8,42.25,3.13,0.19,3.19,0.26,53.64,61,37.45,39.27,2.18,0.29,3.45,0.24,36.71,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,aho,sebastian aho,s,aho7500cs
point8300cb,86.11,Brayden Point,8300,C,0,TB,DET-V.Husso,15.91,19.9,11.9,0.26,1.9,23.2,1,1,11,0,-1.6,33,1,2,3.8,2.9,-183,6.5,69,-150,15.1,0.4,61,29,29,104,19.8,72,27,45,11,0.47,0.5,0.97,19.43,2.99,2.76,3.74,0.74,0.17,0.48,3.24,14.4,13.46,10.84,0.21,0.19,3.85,0.88,1.13,0.78,0,0,0.26,0.31,0.25,0,2.94,0.64,0.82,1.45,19.15,4.54,2.73,4.09,0.67,0.23,0.64,3.36,17.36,15,0.27,0.18,3.61,0.73,18.67,2.83,2.33,0.5,3.83,1,19.64,3.72,0.17,0.17,52.12,45.2,47.77,43.69,39.66,3.43,0.27,2.85,0.25,53.55,51.45,44.45,35.27,3.36,0.22,2.91,0.13,34.57,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,point,brayden point,b,point8300cb
