RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
roslovic4300cj,74.57,Jack Roslovic,4300,C,0,CLB,ARI-CIngram,9.01,11.4,6.6,1.57,2.1,3,2,2,0,-0.9,50,2,1,3.3,3.4,-100,6.5,42,114,9.5,1.9,54,28,42,90,5.4,45,9,54,11,0.21,0.43,0.63,16.89,2.24,1.62,2.11,0.77,0.13,0.57,2.2,10.95,13.26,8.18,0.06,0.08,2.03,0.26,0.4,0.65,0.02,0.01,0.13,0.33,0.21,0,1.96,0.08,0.42,0.5,13.68,2.19,1.08,1.25,0.87,0.08,0.5,1.58,9.83,11.25,0,0,1.59,0.08,9.6,1.2,0.4,0.8,0.4,0,13.34,2.04,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,roslovic,jack roslovic,j,roslovic4300cj
scheifele7200cm,73.13,Mark Scheifele,7200,C,0,WPG,NJD-MBlackwood,12.66,15.9,9.4,-0.74,1.8,2,1,10,0,-3.3,42,1,3,2.9,3.2,105,6,45,105,15,1.5,62,30,29,85,13.1,75,25,25,8,0.55,0.43,0.98,20.55,2.86,2.53,3.62,0.7,0.22,0.54,3.06,15.27,15.36,11.33,0.14,0.13,3.46,0.71,1.08,0.65,0,0,0.41,0.3,0.6,0.03,2.64,0.6,0.3,0.9,20.59,2.62,3,4.33,0.69,0.2,0.4,3.4,14.4,14.5,0,0.2,4.91,0.7,14.33,4,3.67,0.33,5.33,1.33,20.41,4.41,0,0,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,scheifele,mark scheifele,m,scheifele7200cm
haula4300ce,72.82,Erik Haula,4300,C,0,NJD,WPG-CHellebuyck,8.65,11,6.3,1.21,2,3,2,5,0,-2.1,71,2,1,3.2,2.9,-125,6,55,-126,9.5,1.9,70,31,28,95,8.1,70,30,30,10,0.2,0.36,0.56,16.15,2.08,1.91,2.7,0.71,0.1,0.66,2.57,14.27,11.45,10.89,0.03,0.02,1.18,0.19,0.23,0.82,0.01,0,0.16,0.34,0.73,0,2.13,0.18,0.18,0.36,16.61,1.3,2.45,3.18,0.77,0.07,0.82,3.27,12.45,14.27,0,0,0.79,0.18,12.83,4.17,3,1.17,4,0.17,17.67,1.08,0,0,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,haula,erik haula,e,haula4300ce
kampf3700cd,72.36,David Kampf,3700,C,0,TOR,CHI-PMrazek,5.92,7.6,4.3,-0.29,1.6,3,0,1,0,0.6,58,2,1,4.2,2.4,-302,6.5,89,-255,5.7,-1,54,22,45,98,6.5,80,30,20,10,0.12,0.19,0.31,15.64,1.19,1.37,1.78,0.77,0.09,0.34,1.72,10.84,10.56,8.3,0,0,0.08,0.02,0.03,0.67,0.01,0.03,0.11,0.16,0.14,0.02,1.75,0.09,0.18,0.27,15.74,1.03,1.91,2.64,0.72,0.05,0.27,2.18,13.45,11.73,0,0,0,0,13.25,2.25,2,0.25,2.75,0,13.92,0,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,kampf,david kampf,d,kampf3700cd
mercer4500cd,71.00,Dawson Mercer,4500,C,0,NJD,WPG-CHellebuyck,8.31,10.6,6.1,0.46,1.8,2,2,2,0,-3.7,71,2,1,3.2,2.9,-125,6,55,-126,9.2,0.4,56,29,43,87,7.8,30,30,70,10,0.22,0.31,0.53,16.27,1.95,1.9,2.42,0.78,0.12,0.6,2.49,12.67,12.52,9.36,0.02,0.03,1.47,0.21,0.31,0.69,0.01,0.02,0.18,0.25,0.25,0,2.2,0.27,0.18,0.45,15.42,1.75,1.36,1.91,0.71,0.2,0.73,2.09,9.91,12.73,0,0,0.94,0.18,10,2.17,1.83,0.33,2,0,16.22,1.14,0,0,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,mercer,dawson mercer,d,mercer4500cd
bjugstad4600cn,68.83,Nick Bjugstad,4600,C,0,ARI,CLB-EMerzlikins,10.62,13.4,7.8,2.56,2.3,3,1,3,0,-0.6,58,2,1,3.4,3.3,-120,6.5,58,-135,6.8,0.3,51,23,36,98,7.6,72,18,27,11,0.19,0.18,0.36,14.69,1.47,1.64,2.39,0.68,0.12,0.35,1.99,10.15,11.47,7.47,0.02,0,0.43,0.06,0.15,0.42,0.01,0,0.15,0.18,0.45,0,2,0.17,0.08,0.25,17.65,0.85,2.42,3.5,0.69,0.07,0.5,2.92,13.08,14.42,0.08,0,0.76,0.25,14.5,3.33,2.5,0.83,4.17,1,18.57,1.37,0.17,0,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,bjugstad,nick bjugstad,n,bjugstad4600cn
kuraly4000cs,68.75,Sean Kuraly,4000,C,0,CLB,ARI-CIngram,6.86,8.8,5,0.03,1.7,4,0,1,0,2.5,50,2,1,3.3,3.4,-100,6.5,42,114,7.1,-0.3,45,23,44,90,7.1,45,27,54,11,0.19,0.16,0.35,15.51,1.35,1.53,2.05,0.75,0.13,0.75,2.28,10.38,13.04,7.63,0,0.01,0.23,0.01,0.04,0.33,0.01,0.02,0.18,0.12,1.06,0.06,1.36,0.17,0.17,0.33,15.31,1.29,1.5,2.25,0.67,0.11,0.67,2.17,13.5,12.33,0,0,0.22,0.08,15.8,2.2,1.6,0.6,2.4,0,15.92,0.04,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,kuraly,sean kuraly,s,kuraly4000cs
boyd3500ct,66.01,Travis Boyd,3500,C,0,ARI,CLB-EMerzlikins,7.92,10.1,5.8,2.12,2.3,2,2,5,0,-1.1,71,2,1,3.4,3.3,-120,6.5,58,-135,6.5,-0.7,48,26,51,88,6.7,63,36,36,11,0.16,0.21,0.37,16.8,1.32,1.12,1.6,0.7,0.14,0.7,1.82,10.27,14.47,7.73,0.02,0.04,2.06,0.22,0.3,0.73,0,0,0.13,0.17,0.29,0,1.69,0.17,0.25,0.42,14.67,1.72,1,1.5,0.67,0.17,0.83,1.83,9.5,13.75,0,0,1.04,0.08,7.17,0.83,0.33,0.5,0.5,0.17,12.82,1.24,0,0,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,boyd,travis boyd,t,boyd3500ct
johnson4300ck,64.85,Kent Johnson,4300,C,0,CLB,ARI-CIngram,9.61,12.2,7.1,2.17,2.2,2,1,3,0,-1.9,27,2,1,3.3,3.4,-100,6.5,42,114,7.1,-0.5,46,27,46,66,9.9,45,45,54,11,0.19,0.27,0.46,13.53,2.04,1.27,1.82,0.7,0.15,0.37,1.63,9.56,10.86,6.8,0.03,0.1,1.58,0.16,0.25,0.67,0,0,0.16,0.17,0.22,0,2.07,0.33,0.25,0.58,14.83,2.35,1.67,1.92,0.87,0.2,0.58,2.25,8.92,14,0,0,1.45,0.08,8.2,2.4,1.8,0.6,1.8,0.2,13.3,1.75,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,johnson,kent johnson,k,johnson4300ck
sillinger3500cc,62.87,Cole Sillinger,3500,C,0,CLB,ARI-CIngram,8.17,10.4,6,2.37,2.3,2,2,5,0,-1.9,71,2,1,3.3,3.4,-100,6.5,42,114,6.1,-0.5,57,16,36,90,4.8,72,9,27,11,0.13,0.14,0.27,13.33,1.22,1.56,2.15,0.73,0.08,0.56,2.13,9.78,11.8,7.26,0.01,0.01,0.77,0.15,0.17,0.93,0,0,0.12,0.13,0.38,0.01,2.08,0,0.08,0.08,14.53,0.33,1.42,2.25,0.63,0,1.08,2.5,10,15.08,0,0,1.04,0.08,8.6,2.4,1.8,0.6,2.2,0.2,13.51,1.68,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,sillinger,cole sillinger,c,sillinger3500cc
