RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mcleod3900cm,59.14,Michael McLeod,3900,C,0,NJD,WPG-CHellebuyck,4.35,5.6,3.1,-2.27,1.1,4,0,1,0,-1.6,34,2,1,3.2,2.9,-125,6,55,-126,5.2,-1.1,55,19,43,87,3,60,10,40,10,0.05,0.24,0.29,12.13,1.44,1.05,1.35,0.78,0.04,0.63,1.67,9.45,10.4,7.07,0,0,0.07,0.02,0.02,1,0,0.01,0.05,0.23,0.65,0.01,1.13,0,0.09,0.09,12.74,0.42,0.82,0.91,0.9,0,0.73,1.55,10.45,13.36,0,0,0.04,0,10.67,1.5,1,0.5,1.17,0,12.41,0.04,0,0,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,mcleod,michael mcleod,m,mcleod3900cm
mcbain3600cj,58.55,Jack McBain,3600,C,0,ARI,CLB-EMerzlikins,5.9,7.5,4.3,-0.11,1.6,4,0,1,0,-0.7,58,2,1,3.4,3.3,-120,6.5,58,-135,4.9,-1.3,55,16,44,56,3.6,54,9,45,11,0.14,0.08,0.21,13.37,0.94,1.12,1.54,0.73,0.12,0.7,1.82,8,11.56,6.03,0,0,0.09,0,0.03,0,0,0,0.14,0.08,0.76,0.03,1.07,0.08,0,0.08,12.69,0.38,1.17,1.67,0.7,0.07,0.5,1.67,9.25,11.08,0,0,0.01,0,7.17,1,0.5,0.5,1,0,11.06,0,0,0,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,mcbain,jack mcbain,j,mcbain3600cj
lowry4100ca,58.37,Adam Lowry,4100,C,0,WPG,NJD-MBlackwood,5.82,7.5,4.2,-1.21,1.4,3,0,0,0,-3.4,50,1,3,2.9,3.2,105,6,45,105,7.8,-0.1,54,22,42,85,5.3,50,12,50,8,0.2,0.22,0.42,15.5,1.63,1.65,2.23,0.74,0.12,0.62,2.27,9.98,10.94,7.45,0,0.03,1.31,0.15,0.24,0.6,0.06,0.01,0.14,0.17,0.59,0.02,1.32,0,0.2,0.2,15.11,0.79,0.9,1.78,0.51,0,0.8,1.7,10.4,9.6,0,0.1,1.54,0,10.67,2.67,1,1.67,1.67,0.33,14.3,0.04,0,0,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,lowry,adam lowry,a,lowry4100ca
pederson3800cl,50.65,Lane Pederson,3800,C,0,CLB,ARI-CIngram,6.6,8.4,4.8,0.18,1.7,2,2,4,0,-1.9,58,2,1,3.3,3.4,-100,6.5,42,114,5.5,0.1,10,3,10,56,1.6,0,0,20,10,0.07,0.13,0.2,11.75,1.02,1.27,1.38,0.91,0.05,0.6,1.87,8.5,9.92,6.58,0,0,0.6,0.08,0.08,1,0,0,0.07,0.13,1.13,0,1.61,0,0,0,10.49,0,0.67,1,0.67,0,0.33,1,6.67,10.33,0,0,0.31,0,7,1,0,1,0,0,9.13,0.93,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,pederson,lane pederson,l,pederson3800cl
barron4100cm,50.18,Morgan Barron,4100,C,0,WPG,NJD-MBlackwood,6.35,8.1,4.6,-0.68,1.5,4,0,0,0,-2.3,34,1,3,2.9,3.2,105,6,45,105,5.4,-0.7,39,12,35,82,5.4,50,25,50,8,0.11,0.16,0.27,12.91,1.25,1.63,2.11,0.77,0.07,0.61,2.24,10,10.35,7.63,0,0.02,0.07,0,0,0,0.02,0,0.1,0.15,0.32,0.02,1.54,0,0.2,0.2,14.83,0.81,1.8,2.33,0.77,0,0.8,2.6,13.1,10.8,0,0,0.06,0,11,2.33,1.67,0.67,2.33,0,13.41,0.04,0,0,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,barron,morgan barron,m,barron4100cm
domi5300cm,46.60,Max Domi,5300,C,0,CHI,TOR-ISamsonov,10.81,13.6,8,1.31,2,1,1,4,0,-3.6,65,0,2,2.4,4.2,245,6.5,11,205,8.7,0.1,50,25,50,100,9.7,63,18,36,11,0.19,0.4,0.59,15.32,2.31,1.78,2.42,0.74,0.1,0.21,1.99,11.2,13.25,8.61,0.07,0.1,2.2,0.5,0.64,0.78,0,0,0.12,0.3,0.97,0.01,2.34,0.08,0.58,0.67,17.96,2.24,1.92,2.58,0.74,0.04,0.42,2.33,12,14.58,0,0,2.99,0.5,12.33,2,1.5,0.5,2.33,0.67,18.6,3.61,0,0,44.36,39.2,42.76,49.98,47.4,2.89,0.18,3.1,0.22,41.33,46.64,50.83,51.18,2.33,0.04,3,0.09,52.75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,domi,max domi,m,domi5300cm
lafferty4300cs,44.79,Sam Lafferty,4300,C,0,CHI,TOR-ISamsonov,8.18,10.4,6,0.74,1.9,3,2,3,0,-3.6,65,0,2,2.4,4.2,245,6.5,11,205,7,0.4,57,27,35,84,12.4,72,54,27,11,0.18,0.22,0.39,14.79,1.58,1.49,1.92,0.78,0.12,0.43,1.92,9.48,11.92,6.99,0,0,0.34,0.03,0.08,0.33,0.05,0.01,0.13,0.2,0.59,0,1.77,0.42,0.25,0.67,16.1,2.5,2.17,2.67,0.81,0.19,0.5,2.67,11.67,12.42,0,0,1.27,0.17,13.33,2.17,2,0.17,2.83,0.67,16.54,1.68,0,0,44.36,39.2,42.76,49.98,47.4,2.89,0.18,3.1,0.22,41.33,46.64,50.83,51.18,2.33,0.04,3,0.09,52.75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,lafferty,sam lafferty,s,lafferty4300cs
johnson3400cr,20.71,Reese Johnson,3400,C,0,CHI,TOR-ISamsonov,3.4,4.4,2.4,-2.2,1,4,0,0,0,-3.4,71,0,2,2.4,4.2,245,6.5,11,205,3,-1.7,32,4,41,84,3.9,54,9,45,11,0.06,0.06,0.13,10.7,0.73,0.83,1.21,0.68,0.08,0.36,1.19,6.42,9.95,4.76,0,0,0.04,0,0.03,0,0,0,0.06,0.06,0.7,0,1.23,0.17,0,0.17,11.18,0.91,1.33,1.75,0.76,0.12,0.42,1.75,7.08,9.33,0,0,0,0,8.33,1.5,1.17,0.33,1.33,0,11.13,0,0,0,44.36,39.2,42.76,49.98,47.4,2.89,0.18,3.1,0.22,41.33,46.64,50.83,51.18,2.33,0.04,3,0.09,52.75,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,johnson,reese johnson,r,johnson3400cr
marner8300wm,91.31,Mitch Marner,8300,W,0,TOR,CHI-PMrazek,16.57,20.7,12.4,1.11,2,2,1,7,0,-1.8,6,2,1,4.2,2.4,-302,6.5,89,-255,17.6,1.7,81,28,14,98,14.3,80,0,20,10,0.41,0.88,1.29,21.26,3.64,2.77,3.96,0.7,0.15,0.55,3.32,15.18,11.62,11.2,0.08,0.34,3.67,0.74,0.97,0.77,0.03,0.02,0.3,0.52,0.29,0.01,2.49,0.27,0.73,1,21.28,2.82,2.64,3.27,0.81,0.1,0.45,3.09,15,15.45,0.09,0.36,2.99,0.55,13.5,2.25,2.25,0,2.75,1,21.03,3.22,0,0.5,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,marner,mitch marner,m,marner8300wm
nylander8800ww,91.03,William Nylander,8800,W,0,TOR,CHI-PMrazek,17.91,22.4,13.4,1.48,2,1,1,24,0,-1.9,16,2,1,4.2,2.4,-302,6.5,89,-255,17.1,2.2,79,33,16,98,21.2,90,30,10,10,0.53,0.58,1.11,18.23,3.65,3.37,4.69,0.72,0.16,0.38,3.74,14.23,12.51,10.83,0.16,0.18,3.65,0.83,1.23,0.67,0,0,0.37,0.4,0.27,0.02,3.44,0.64,0.73,1.36,17.61,4.63,4,5.55,0.72,0.16,0.18,4.18,16.18,13.91,0.09,0.18,2.87,0.91,16,5,4.75,0.25,6.25,1.5,17.8,3.05,0,0.25,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,nylander,william nylander,w,nylander8800ww
keller6900wc,86.97,Clayton Keller,6900,W,0,ARI,CLB-EMerzlikins,17.07,21.4,12.8,4.34,2.5,1,1,10,0,-0.1,66,2,1,3.4,3.3,-120,6.5,58,-135,14,1.2,57,27,25,88,18,54,45,45,11,0.44,0.55,0.99,20.64,2.88,2.33,3.17,0.74,0.19,0.33,2.67,12.44,15.11,9.57,0.09,0.17,3.11,0.49,0.66,0.75,0,0,0.35,0.37,0.49,0.07,2.85,0.67,0.5,1.17,20.94,3.35,3,4.75,0.63,0.22,0.17,3.17,16,14.25,0.08,0.17,3.12,0.33,14.67,3,2.83,0.17,4.5,0.67,20.37,3.04,0.17,0.33,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,keller,clayton keller,c,keller6900wc
schmaltz6300wn,86.56,Nick Schmaltz,6300,W,0,ARI,CLB-EMerzlikins,15.65,19.6,11.7,4.09,2.5,1,1,8,0,-0.1,78,2,1,3.4,3.3,-120,6.5,58,-135,14.1,3.1,53,32,28,89,18.1,63,45,36,11,0.39,0.62,1.01,19.81,3.06,2.12,2.84,0.75,0.18,0.53,2.65,12.74,14.67,9.74,0.11,0.08,2.8,0.52,0.66,0.79,0,0,0.28,0.54,0.27,0.04,2.61,0.58,0.58,1.17,20.76,3.38,2.42,3,0.81,0.24,0.67,3.08,15.42,14.58,0.17,0.17,3.1,0.92,13.83,2.83,2.17,0.67,2.33,0.67,20.95,2.9,0.17,0.17,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,schmaltz,nick schmaltz,n,schmaltz6300wn
bunting6000wm,84.56,Michael Bunting,6000,W,0,TOR,CHI-PMrazek,11.36,14.3,8.4,0.39,1.9,1,2,6,0,-1.9,42,2,1,4.2,2.4,-302,6.5,89,-255,11.2,1.2,57,28,38,98,10.7,40,20,60,10,0.27,0.51,0.78,16.09,2.91,2.08,3.16,0.66,0.13,0.29,2.38,15.73,12.71,11.73,0.05,0.06,1.8,0.23,0.33,0.7,0,0,0.22,0.44,1.31,0.02,2.5,0.36,0.36,0.73,16.09,2.72,2.18,3.45,0.63,0.17,0.18,2.36,15.45,16.09,0.18,0.09,1.86,0.27,14.75,2.5,2.25,0.25,3.5,0.75,16.22,2.17,0.25,0.25,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,bunting,michael bunting,m,bunting6000wm
laine7600wp,83.32,Patrik Laine,7600,W,0,CLB,ARI-CIngram,16.54,20.7,12.4,2.45,2.2,1,1,12,0,-2.2,78,2,1,3.3,3.4,-100,6.5,42,114,14.1,0.2,56,27,20,90,14.6,63,36,36,11,0.37,0.5,0.87,19.37,2.69,3.29,4.7,0.7,0.11,0.32,3.62,14.26,15.03,10.52,0.07,0.15,3.5,0.97,1.49,0.65,0,0,0.29,0.35,0.38,0,2.87,0.25,0.75,1,19.1,3.14,2.42,4,0.6,0.1,0.58,3,14.67,14.67,0.17,0.33,3.39,0.83,12.6,2.2,1.8,0.4,3.2,2.4,17.34,4.22,0.2,0.2,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,laine,patrik laine,p,laine7600wp
bratt7100wj,80.16,Jesper Bratt,7100,W,0,NJD,WPG-CHellebuyck,13.08,16.4,9.7,-0.04,1.8,1,1,8,0,-4.2,66,2,1,3.2,2.9,-125,6,55,-126,14.4,0.7,73,32,21,87,11.9,80,20,20,10,0.4,0.58,0.98,17.84,3.3,2.52,3.68,0.69,0.16,0.4,2.92,16.01,12.26,12.13,0.08,0.22,3.03,0.39,0.58,0.67,0,0,0.31,0.36,0.07,0.01,2.59,0.36,0.45,0.82,18.06,2.72,2.18,3.18,0.69,0.17,0.09,2.27,17.27,16.18,0.09,0.09,2.06,0.18,17.67,2.5,2.33,0.17,3.5,0.5,17.93,2.57,0.17,0.17,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,bratt,jesper bratt,j,bratt7100wj
connor8700wk,79.38,Kyle Connor,8700,W,0,WPG,NJD-MBlackwood,16.37,20.5,12.3,0.13,1.9,1,2,30,0,-2,58,1,3,2.9,3.2,105,6,45,105,17.9,2.1,75,31,21,85,12.7,62,12,37,8,0.51,0.67,1.19,21.02,3.4,3.44,4.71,0.73,0.15,0.34,3.78,14.67,15.07,11.41,0.12,0.27,3.42,1.01,1.49,0.68,0.02,0,0.37,0.41,0.16,0.03,3.66,0.3,0.5,0.8,21.52,2.23,4.2,6.11,0.69,0.07,0.1,4.3,15.2,11.6,0.2,0.1,4.97,2.2,17.67,5.33,5,0.33,7,4.33,20.98,4.41,0.33,0.33,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,connor,kyle connor,k,connor8700wk
engvall4100wp,78.33,Pierre Engvall,4100,W,0,TOR,CHI-PMrazek,7,8.9,5.1,-0.27,1.7,3,0,1,0,-1.3,72,2,1,4.2,2.4,-302,6.5,89,-255,7.6,0.5,58,31,37,98,8.1,50,30,50,10,0.22,0.23,0.45,13.59,1.99,1.88,2.64,0.71,0.12,0.13,2,11.8,9.96,8.84,0.01,0.01,0.69,0.08,0.11,0.7,0.02,0.01,0.19,0.21,0.47,0.03,2.03,0.27,0.18,0.45,14.1,1.91,2.09,3.18,0.66,0.13,0.09,2.18,13.73,11,0,0,1.13,0.09,14.5,3.25,3,0.25,3.5,0.25,13.82,1.58,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,engvall,pierre engvall,p,engvall4100wp
crouse6100wl,77.76,Lawson Crouse,6100,W,0,ARI,CLB-EMerzlikins,11.9,15,8.8,0.73,2,3,2,6,0,0.3,4,2,1,3.4,3.3,-120,6.5,58,-135,10.1,0.8,42,25,32,88,10.2,36,18,36,11,0.39,0.23,0.62,17.71,2.1,1.87,2.54,0.74,0.21,0.67,2.54,10.7,13.85,7.7,0.1,0.01,2.08,0.28,0.41,0.68,0.01,0,0.28,0.22,0.54,0.04,2.05,0.38,0.13,0.5,17.69,1.7,2.13,3.13,0.68,0.18,0.75,2.88,12.13,13.75,0.13,0,1.31,0.13,13.5,3.5,2.83,0.67,4.17,0.5,18.73,1.42,0.17,0,46.94,38.51,50.55,49.99,43.07,2.67,0.2,3.02,0.24,42.58,52.42,50,46.33,2.92,0.2,2.42,0.21,47.4,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,crouse,lawson crouse,l,crouse6100wl
palat4800wo,73.68,Ondrej Palat,4800,W,0,NJD,WPG-CHellebuyck,10.5,13.2,7.8,1.87,2.2,3,1,2,0,-0.2,50,2,1,3.2,2.9,-125,6,55,-126,9.4,0.5,42,19,24,103,12.7,90,40,10,10,0.25,0.41,0.66,16.12,2.46,1.76,2.23,0.79,0.14,0.76,2.52,13.36,13.17,9.88,0,0.08,1.77,0.25,0.33,0.76,0,0.01,0.25,0.32,0.23,0.04,1.77,0.27,0.55,0.82,16.95,2.9,1.82,2.36,0.77,0.15,1.27,3.09,15.91,16.55,0,0.18,1.64,0.27,14.33,2.83,1.67,1.17,2.17,0.17,17.09,2.39,0,0.33,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,palat,ondrej palat,o,palat4800wo
zetterlund3900wf,72.44,Fabian Zetterlund,3900,W,0,NJD,WPG-CHellebuyck,6.48,8.3,4.7,-0.4,1.7,3,0,1,0,-0.2,66,2,1,3.2,2.9,-125,6,55,-126,8.3,0.4,40,17,20,87,8.2,50,40,30,10,0.15,0.36,0.51,13.53,2.26,2.11,2.92,0.72,0.07,0.32,2.43,12.76,10.98,9.51,0.02,0.04,0.99,0.28,0.38,0.74,0,0,0.13,0.32,0.11,0,1.69,0,0.63,0.63,14.1,2.68,1.75,2.38,0.74,0,0.25,2,13.5,13.88,0,0,0.02,0,13.67,2,1.83,0.17,2.67,0,13.8,0,0,0,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,zetterlund,fabian zetterlund,f,zetterlund3900wf
marchenko5700wk,71.62,Kirill Marchenko,5700,W,0,CLB,ARI-CIngram,11.74,14.8,8.7,1.35,2.1,1,1,4,0,-2.2,42,2,1,3.3,3.4,-100,6.5,42,114,10.1,1.6,51,37,48,29,10.4,45,36,54,11,0.44,0.03,0.47,14.34,1.97,1.91,2.63,0.73,0.23,0.63,2.53,10.23,12.84,7.26,0.19,0,1.95,0.47,0.59,0.79,0,0,0.25,0.03,0.31,0,2.67,0.42,0.08,0.5,16.83,1.78,2.17,2.75,0.79,0.19,0.42,2.58,11.33,14.33,0.25,0,2.78,0.58,12.8,2.6,2.2,0.4,2.8,0.8,17.87,3.64,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,marchenko,kirill marchenko,k,marchenko5700wk
ehlers8000wn,71.38,Nikolaj Ehlers,8000,W,0,WPG,NJD-MBlackwood,12.94,16.2,9.6,-1.93,1.6,3,2,20,0,-4.3,58,1,3,2.9,3.2,105,6,45,105,17.3,1.4,42,18,7,85,13.2,50,12,25,8,0.4,0.66,1.06,17.08,3.72,3.72,5.27,0.71,0.11,0.36,4.09,14.87,12.53,11.71,0.11,0.15,2.52,0.62,0.84,0.74,0,0,0.3,0.51,0.21,0,2.89,0.1,0.6,0.7,16.37,2.57,3.8,5.78,0.66,0.03,0.1,3.9,13.6,12.2,0.1,0.1,3.6,1,14,4.33,4,0.33,4.67,1,14.47,1.38,0,0,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,ehlers,nikolaj ehlers,n,ehlers8000wn
jarnkrok5100wc,71.18,Calle Jarnkrok,5100,W,0,TOR,CHI-PMrazek,7.86,10,5.7,-1.36,1.5,3,2,3,0,-1.3,21,2,1,4.2,2.4,-302,6.5,89,-255,7.1,-0.8,46,22,42,101,9.4,70,40,30,10,0.18,0.29,0.47,14.28,1.97,1.44,2,0.72,0.12,0.26,1.7,10.8,9.64,8.07,0.01,0.03,1.23,0.15,0.24,0.62,0.01,0.02,0.16,0.24,0.18,0,1.76,0.27,0.27,0.55,14.4,2.29,1.82,2.73,0.67,0.15,0.27,2.09,12.36,10.45,0,0,1.18,0.18,13.5,1.75,1.25,0.5,2.5,0.5,15.4,1.61,0,0,50.03,47.4,49.98,42.76,39.2,3.11,0.24,2.8,0.24,51.18,50.83,46.64,41.33,2.36,0.27,2.75,0.15,45.17,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,jarnkrok,calle jarnkrok,c,jarnkrok5100wc
sharangovich4600wy,70.65,Y. Sharangovich,4600,W,0,NJD,WPG-CHellebuyck,7.18,9.2,5.2,-1.06,1.6,1,0,1,0,-4.2,42,2,1,3.2,2.9,-125,6,55,-126,9.7,0.8,54,31,45,87,8.8,60,30,40,10,0.3,0.25,0.55,15.66,2.11,1.99,2.81,0.71,0.15,0.48,2.47,12.19,11.42,9.01,0.01,0,0.62,0.08,0.17,0.5,0.05,0.02,0.24,0.23,0.33,0.02,2.28,0.18,0.27,0.45,15.55,1.74,1.82,2.27,0.8,0.1,0.45,2.27,12.55,11.91,0,0,0.03,0,14.83,2.83,2.33,0.5,2.5,0,16.22,0,0,0,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,sharangovich,y. sharangovich,y,sharangovich4600wy
wheeler6600wb,70.15,Blake Wheeler,6600,W,0,WPG,NJD-MBlackwood,11.14,14,8.2,-1,1.7,3,1,6,0,-4.3,21,1,3,2.9,3.2,105,6,45,105,12.9,1.3,58,30,28,85,15.1,75,37,25,8,0.35,0.56,0.91,18.26,2.99,2.13,3.04,0.7,0.16,0.48,2.61,13.77,13.2,10.35,0.1,0.17,2.8,0.35,0.56,0.62,0,0,0.25,0.39,0.6,0.04,1.69,0.4,0.8,1.2,17.06,4.22,0.9,2,0.45,0.44,0.3,1.2,12.2,12,0.1,0.3,3.16,0.1,13,2,1.33,0.67,2.33,0.33,19.87,4.38,0.33,0.33,49.11,44.37,45.16,45.62,49.17,3.14,0.23,2.94,0.21,47.9,55.18,41.2,50.27,4.5,0.13,2.73,0.2,51.67,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,wheeler,blake wheeler,b,wheeler6600wb
tatar5000wt,68.41,Tomas Tatar,5000,W,0,NJD,WPG-CHellebuyck,7.5,9.5,5.5,-1.52,1.5,2,2,2,0,-4.6,27,2,1,3.2,2.9,-125,6,55,-126,8.3,0,54,27,42,87,6.1,30,10,70,10,0.21,0.27,0.49,15.12,1.94,1.82,2.63,0.69,0.12,0.44,2.26,13.76,11.25,10.37,0.01,0.02,1.84,0.25,0.36,0.7,0,0,0.2,0.25,0.36,0.01,2.05,0.18,0.18,0.36,14.4,1.5,1.18,2,0.59,0.15,0.09,1.27,12.64,13,0,0.09,1.45,0,13.5,1.33,1.17,0.17,1.67,0,14.61,1.84,0,0.17,46.25,49.17,45.62,45.16,44.37,2.95,0.18,2.87,0.21,50.27,41.2,55.18,47.9,2.27,0.24,2.9,0.21,47.33,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,tatar,tomas tatar,t,tatar5000wt
robinson3800we,66.40,Eric Robinson,3800,W,0,CLB,ARI-CIngram,7.63,9.7,5.6,0.95,2,4,0,1,0,-3.8,42,2,1,3.3,3.4,-100,6.5,42,114,6.4,-0.2,54,20,25,90,6.8,72,18,27,11,0.12,0.2,0.32,13.89,1.38,1.65,2.07,0.8,0.07,0.36,2.01,10.06,11.06,7.41,0,0,0.02,0,0.07,0,0.01,0.03,0.11,0.18,0.19,0.01,1.74,0.17,0.17,0.33,14.27,1.39,2.25,2.92,0.77,0.07,0.17,2.42,11.92,11.5,0,0,0.01,0,14.8,3,3,0,4,0.2,15.71,0.02,0,0,47.84,43.07,49.99,50.55,38.51,2.71,0.18,3.43,0.24,46.33,50,52.42,42.58,2.67,0.22,3.92,0.13,40.83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,robinson,eric robinson,e,robinson3800we
