RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
eichel9300cj,87.84,Jack Eichel,9300,C,0,VGK,PIT-T.Jarry,16.76,21,12.5,-0.94,1.8,38.1,1,1,13,0,0.2,41,0,3,3.3,3.4,-100,6.5,57,114,16.4,1.7,54,24,12,85,18.3,69,23,23,13,0.43,0.45,0.88,19.13,2.76,3.83,4.59,0.83,0.11,0.9,4.72,15.31,13.76,11.24,0.07,0.19,2.96,0.82,1.05,0.78,0,0,0.36,0.26,0.17,0.03,3.52,0.5,0.64,1.14,19.49,3.51,3.86,4.5,0.86,0.13,0.79,4.64,14.79,12.71,0.07,0.21,2.78,0.77,13.29,4.71,3.86,0.86,4.57,0.83,19.57,3.1,0,0.29,46.56,50.37,45.16,45.98,48.75,2.76,0.21,2.73,0.19,45.71,45.57,50.86,47.5,2.71,0.21,2.93,0.1,46.71,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,eichel,jack eichel,j,eichel9300cj
mcdavid10400cc,87.59,Connor McDavid,10400,C,0,EDM,MIN-M.Fleury,21.34,26.7,16,1.38,2.1,23.7,1,1,22,0,0.2,62,2,1,3,3.7,133,6.5,36,114,22.1,2.5,74,40,22,100,21.9,84,53,15,13,0.59,1.04,1.63,22.36,4.37,3.97,5.05,0.79,0.15,0.35,4.32,19.3,15.42,14.59,0.15,0.38,3.85,0.96,1.23,0.78,0,0.02,0.43,0.64,0.58,0.07,3.7,0.64,1,1.64,23.32,4.22,4.71,5.86,0.8,0.14,0.36,5.07,17.14,15.14,0.21,0.57,4.3,1.46,19.14,4.71,4.57,0.14,5.71,1.5,24.75,4.37,0.14,0.43,44.99,48.03,42.27,44.78,43.61,3.07,0.25,3.26,0.25,44.14,42.75,45.71,42.33,3.64,0.24,3.17,0.13,42.6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,mcdavid,connor mcdavid,c,mcdavid10400cc
kopitar6700ca,86.96,Anze Kopitar,6700,C,0,LA,ARI-K.Vejmelka,13.34,16.7,9.9,0.97,2,32.5,1,1,12,0,-0.4,66,0,2,4.1,2.6,-247,6.5,68,-245,12.1,0.1,61,30,37,93,13.2,66,41,33,12,0.18,0.54,0.73,20.51,2.14,2.46,3.27,0.75,0.08,0.99,3.45,15.14,12.78,11.35,0.03,0.18,3.25,0.56,0.77,0.73,0,0.01,0.15,0.35,0.17,0.01,2.94,0.21,0.43,0.64,20.27,1.89,2.14,3.07,0.7,0.1,1.36,3.5,16.36,14.14,0,0.07,2.16,0.36,15.71,3.86,2.43,1.43,3.71,0.29,19.85,1.37,0,0,48.63,49.18,49.38,42.52,37.72,3.12,0.17,3.32,0.22,49.79,44.42,46.43,35,2.79,0.28,4.33,0.21,34.4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,kopitar,anze kopitar,a,kopitar6700ca
pettersson9600ce,86.80,Elias Pettersson,9600,C,0,VAN,FLA-S.Knight,16.19,20.3,12.1,-2.13,1.7,6.4,2,1,13,0,-0.3,4,0,2,3.3,3.5,-100,6.5,44,126,15.7,3.4,65,37,31,79,20.6,66,41,33,12,0.5,0.55,1.05,18.89,3.33,2.6,3.97,0.65,0.19,0.74,3.34,12.94,13.28,9.91,0.1,0.25,3.22,0.54,1.05,0.52,0.01,0.01,0.39,0.29,0.13,0.04,3.05,0.57,0.71,1.29,19.74,3.92,3.79,4.93,0.77,0.15,1.07,4.86,11.29,11.93,0.07,0.29,3.85,0.64,11.33,5,4.17,0.83,5.33,1.33,18.78,3.11,0.17,0,43.1,44.7,40.01,47.46,51.98,3.08,0.27,3.46,0.23,43.14,43.21,48.14,50.93,3.5,0.29,3.86,0.22,47.29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,pettersson,elias pettersson,e,pettersson9600ce
kadri7000cn,86.51,Nazem Kadri,7000,C,0,CGY,MTL-J.Allen,15.09,18.9,11.3,2.11,2.2,8,2,1,7,0,1.9,72,0,2,4.3,2.4,-310,6.5,54,-220,15,-1.1,62,21,26,97,8,42,0,57,14,0.39,0.6,0.99,18.68,3.18,3.49,4.97,0.7,0.11,0.38,3.87,15.9,12.06,11.53,0.11,0.2,3.58,0.9,1.4,0.64,0,0,0.28,0.4,0.66,0.03,2.91,0.2,0.13,0.33,17.12,1.16,2.67,4,0.67,0.08,0.6,3.27,13.07,12.53,0.07,0.07,2.98,0.4,12,3,2.43,0.57,3.86,0.71,16.67,2.99,0,0,47.02,51.96,46.13,40.63,40.99,3.06,0.2,3.48,0.21,47.67,44.92,41.53,43.85,2.93,0.16,3.69,0.19,45.33,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,kadri,nazem kadri,n,kadri7000cn
malkin7500ce,85.76,Evgeni Malkin,7500,C,0,PIT,VGK-L.Thompson,13.8,17.3,10.3,-0.21,1.8,16.5,2,1,6,0,-0.1,12,0,2,3.4,3.3,-120,6.5,43,-137,14.5,0.6,56,27,22,90,11.8,69,23,30,13,0.44,0.52,0.96,18.49,3.12,3.14,3.87,0.81,0.14,0.39,3.54,14.38,12.26,10.88,0.15,0.23,3.76,0.94,1.23,0.77,0,0,0.28,0.3,0.68,0,2.71,0.29,0.57,0.86,17.7,2.91,2.64,3.43,0.77,0.11,0.36,3,14.21,12.93,0,0.14,3.27,0.57,12.57,3.43,2.86,0.57,3,0.71,17.31,2.86,0,0.14,48.89,48.75,45.98,45.16,50.37,3.11,0.22,2.45,0.25,47.5,50.86,45.57,45.71,2.79,0.1,2.64,0.27,45.29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,malkin,evgeni malkin,e,malkin7500ce
danault6000cp,85.74,Phillip Danault,6000,C,0,LA,ARI-K.Vejmelka,12.13,15.3,9,1.2,2,1.6,2,2,7,0,-0.5,77,0,2,4.1,2.6,-247,6.5,68,-245,12.1,3,70,41,27,92,12.9,66,58,33,12,0.38,0.33,0.71,18.38,2.32,2.28,3.11,0.73,0.17,0.76,3.03,14.79,12.21,11.4,0.06,0.07,2.34,0.36,0.51,0.71,0,0.04,0.32,0.22,0.47,0.01,2.63,0.21,0.64,0.86,17.95,2.87,1.86,2.93,0.63,0.12,0.93,2.79,13.14,12.5,0.07,0.29,2.01,0.21,14.14,3.57,2.29,1.29,3.57,0.43,17.74,1.34,0.14,0.29,48.63,49.18,49.38,42.52,37.72,3.12,0.17,3.32,0.22,49.79,44.42,46.43,35,2.79,0.28,4.33,0.21,34.4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,danault,phillip danault,p,danault6000cp
draisaitl10200cl,85.07,Leon Draisaitl,10200,C,0,EDM,MIN-M.Fleury,19.44,24.3,14.6,-0.11,1.9,23.7,1,1,19,0,0.2,1,2,1,3,3.7,133,6.5,36,114,19.4,0.4,71,32,26,100,19.7,84,15,15,13,0.58,0.82,1.39,22.1,3.77,3.34,4.54,0.74,0.17,0.41,3.76,15.53,15.81,11.7,0.25,0.25,3.95,1.23,1.71,0.72,0.01,0.01,0.31,0.56,0.46,0.01,3.2,0.79,0.64,1.43,22.61,3.79,3.57,4.64,0.77,0.22,0.79,4.36,14,16.71,0.43,0.14,4.38,2,17.29,3.57,3.29,0.29,4.57,2.14,23.51,4.58,0.29,0,44.99,48.03,42.27,44.78,43.61,3.07,0.25,3.26,0.25,44.14,42.75,45.71,42.33,3.64,0.24,3.17,0.13,42.6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,draisaitl,leon draisaitl,l,draisaitl10200cl
haula4600ce,84.83,Erik Haula,4600,C,0,NJD,NAS-J.Saros,10.78,13.6,8,2.72,2.3,18.1,1,2,9,0,1.7,62,0,3,3.9,2.8,-202,6.5,86,-176,9.6,2,70,32,25,93,8.7,84,23,15,13,0.21,0.37,0.58,15.47,2.25,1.94,2.63,0.74,0.11,0.6,2.54,13.49,10.58,10.49,0.03,0.03,1.11,0.2,0.26,0.78,0,0,0.18,0.33,0.7,0,2.82,0.07,0.36,0.43,15.98,1.61,2,3,0.67,0.04,0.86,2.86,14.86,10.07,0.07,0,1.55,0.21,15.86,3.43,2.43,1,3.71,0.14,16.21,1.04,0.14,0,47.58,48.35,44.6,44.28,43.45,2.84,0.17,3.55,0.22,49.79,46.25,43,44.17,3.29,0.2,3.25,0.23,48.8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,haula,erik haula,e,haula4600ce
bennett6500cs,84.74,Sam Bennett,6500,C,0,FLA,VAN-T.Demko,14.2,17.8,10.6,2.24,2.2,33.6,1,2,9,0,1,28,0,2,3.5,3.3,-128,6.5,56,-152,11.6,-0.1,56,29,40,93,14,69,38,30,13,0.3,0.34,0.64,16.95,2.26,3.22,4.04,0.8,0.09,0.5,3.72,15.54,11.62,11.87,0.03,0.05,2.04,0.5,0.62,0.81,0,0,0.27,0.29,1.14,0.02,2.94,0.29,0.57,0.86,17.28,2.99,2.79,3.64,0.76,0.1,0.86,3.64,15.14,12.79,0.07,0.07,1.65,0.5,15.86,2.86,1.86,1,2.57,0.43,18.5,1.81,0,0.14,49.7,51.98,47.46,40.01,44.7,3.45,0.22,2.85,0.25,50.93,48.14,43.21,43.14,3.43,0.27,3.07,0.3,42.83,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,bennett,sam bennett,s,bennett6500cs
eriksson6300cj,84.73,Joel Eriksson Ek,6300,C,0,MIN,EDM-J.Campbell,15.85,19.8,11.9,4.3,2.5,29,3,1,5,0,-2.4,66,0,4,3.7,3,-167,6.5,64,-137,12.4,2.3,60,29,36,88,11.2,54,27,45,11,0.32,0.4,0.72,18.63,2.32,3,3.9,0.77,0.11,0.49,3.49,11.6,10.33,8.8,0.12,0.11,3.14,0.76,1.01,0.75,0.01,0,0.18,0.29,0.49,0.01,2.28,0.17,0.67,0.83,19.24,2.59,2.58,4,0.65,0.06,0.42,3,12.33,10.42,0,0.25,3.3,0.83,15.2,2.6,2.2,0.4,4,1,19.78,2.46,0,0.2,43.53,43.61,44.78,42.27,48.03,3.24,0.23,3.36,0.24,42.33,45.71,42.75,44.14,3.08,0.19,3.5,0.31,47,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,eriksson,joel eriksson ek,j,eriksson6300cj
horvat9100cb,84.53,Bo Horvat,9100,C,0,VAN,FLA-S.Knight,14.6,18.3,10.9,-2.69,1.6,3.2,1,1,7,0,-1,28,0,2,3.3,3.5,-100,6.5,44,126,15.5,2.4,56,32,29,79,19.3,75,25,25,12,0.6,0.31,0.91,19.58,2.79,2.97,3.86,0.77,0.2,0.57,3.54,13.26,13.38,9.99,0.26,0.11,3.27,0.94,1.29,0.73,0.04,0,0.3,0.2,0.49,0.06,3.11,0.79,0.36,1.14,21.36,3.2,3.5,4.43,0.79,0.22,0.5,4,14.43,13.57,0.29,0.07,3.94,1.29,14.17,2.67,2,0.67,3,1.17,20.66,3.31,0,0,43.1,44.7,40.01,47.46,51.98,3.08,0.27,3.46,0.23,43.14,43.21,48.14,50.93,3.5,0.29,3.86,0.22,47.29,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,horvat,bo horvat,b,horvat9100cb
mercer5400cd,83.95,Dawson Mercer,5400,C,0,NJD,NAS-J.Saros,12.04,15.1,8.9,2.34,2.2,4.8,1,1,6,0,1.7,18,0,3,3.9,2.8,-202,6.5,86,-176,8.6,0.3,54,28,45,85,9.2,53,30,46,13,0.19,0.31,0.49,16.06,1.83,1.84,2.35,0.78,0.1,0.53,2.36,12.94,12.5,9.83,0.04,0.05,1.72,0.19,0.28,0.7,0.02,0.01,0.13,0.25,0.31,0,2.6,0.14,0.5,0.64,14,2.74,1.5,2.57,0.58,0.1,0.93,2.43,12,10.43,0,0.07,1.29,0.15,12.57,2.43,1.71,0.71,2.71,0.29,14.39,1.13,0,0.14,47.58,48.35,44.6,44.28,43.45,2.84,0.17,3.55,0.22,49.79,46.25,43,44.17,3.29,0.2,3.25,0.23,48.8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,mercer,dawson mercer,d,mercer5400cd
