RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mcdavid10700cc,98.17,Connor McDavid,10700,C,0,EDM,SJ-J.Reimer,28.46,35.6,21.3,7.88,2.7,27.2,1,1,17,0,5.3,75,0,2,4.4,2.4,-350,6.5,93,-305,25.9,5.7,84,48,12,106,33.1,92,7,92,13,0.73,1.17,1.9,22.43,5.08,4.14,5.36,0.77,0.18,0.45,4.59,18.74,15.52,14.16,0.23,0.51,3.75,1.07,1.42,0.75,0.03,0.05,0.48,0.61,0.48,0.05,3.52,1.23,1.23,2.46,22.03,6.7,4.31,5.75,0.75,0.29,0.46,4.77,17.58,14.33,0.31,0.54,3.56,1,12.83,3,2.5,0.5,3.33,1,21.35,3.14,0.33,0.17,45.82,47.43,46.98,44.67,46.02,3.21,0.32,3.08,0.18,44.82,44.85,40.45,49.08,3.25,0.36,3.69,0.21,46.43,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,mcdavid,connor mcdavid,c,mcdavid10700cc
mackinnon10400cn,93.93,Nathan MacKinnon,10400,C,0,COL,CHI-A.Stalock,27.18,34,20.4,7.22,2.6,19.2,1,1,25,0,-0.2,82,0,2,4.5,2.2,-402,6.5,84,-435,22.5,2.7,66,38,20,99,24.8,84,15,53,13,0.57,0.84,1.41,21.89,3.86,5.13,6.49,0.79,0.11,0.51,5.63,20.3,15.53,14.72,0.16,0.27,3.89,1.56,2.04,0.76,0,0,0.41,0.57,0.56,0.03,4.12,0.85,0.77,1.62,20.98,4.63,4.54,5.67,0.8,0.19,0.62,5.15,18.33,14.08,0.23,0.23,3.61,1.33,18.25,4.88,4.38,0.5,5.88,2.13,20.36,4.03,0.38,0.38,50.63,50.15,50.88,44.4,39.12,3.22,0.27,2.75,0.25,48.18,51.54,39.73,38.69,3.08,0.3,2.57,0.19,35.71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,mackinnon,nathan mackinnon,n,mackinnon10400cn
draisaitl10100cl,93.16,Leon Draisaitl,10100,C,0,EDM,SJ-J.Reimer,21.3,26.6,16,1.95,2.1,27.2,2,1,14,0,0.5,8,0,2,4.4,2.4,-350,6.5,93,-305,20.9,1.6,74,32,20,106,22.7,84,15,46,13,0.64,0.93,1.57,21.57,4.37,3.16,4.38,0.72,0.2,0.45,3.61,15.72,15.8,11.93,0.36,0.32,3.86,1.26,1.75,0.72,0.01,0.01,0.26,0.6,0.27,0,2.84,0.85,0.85,1.69,21.35,4.75,2.85,4.67,0.61,0.3,0.46,3.31,18.17,12.5,0.54,0.38,3.65,1,16.83,3.5,3.17,0.33,5,1.33,20.81,3.3,0.17,0.33,45.82,47.43,46.98,44.67,46.02,3.21,0.32,3.08,0.18,44.82,44.85,40.45,49.08,3.25,0.36,3.69,0.21,46.43,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,draisaitl,leon draisaitl,l,draisaitl10100cl
malkin7400ce,90.16,Evgeni Malkin,7400,C,0,PIT,OTT-M.Sogaard,17.25,21.6,12.9,3.44,2.3,16,2,1,6,0,0.2,55,0,2,4,3.1,-167,7,77,-165,15.2,1.2,66,34,27,95,16.5,69,30,46,13,0.4,0.66,1.06,18.81,3.38,2.93,3.84,0.76,0.14,0.46,3.39,15.16,13.05,11.51,0.14,0.3,3.93,0.85,1.18,0.72,0,0,0.26,0.36,0.71,0,2.56,0.21,0.93,1.14,18.94,3.61,2.86,3.57,0.8,0.07,0.71,3.57,15.93,13,0.07,0.43,4,0.71,16,3,2.29,0.71,2.86,0.71,18.79,3.55,0.14,0.57,49.13,50.77,44.13,46.93,45.31,3.3,0.22,3.47,0.19,54.36,41.69,44.36,44.77,3.36,0.21,3.57,0.14,45.29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,malkin,evgeni malkin,e,malkin7400ce
barkov7900ca,88.32,Aleksander Barkov,7900,C,0,FLA,DET-V.Husso,18.13,22.7,13.6,3.3,2.3,12.8,2,1,17,0,-0.3,46,1,2,3.8,2.8,-193,6.5,88,-170,17.1,1,60,29,23,99,22.9,66,0,55,9,0.4,0.72,1.12,21.11,3.18,3.24,4.21,0.77,0.12,0.66,3.9,15.41,11.2,11.55,0.12,0.29,4.09,0.83,1.13,0.73,0,0.02,0.28,0.41,0.22,0.01,3.45,0.29,1.14,1.43,20.77,4.13,4.29,4.71,0.91,0.07,0.57,4.86,16.29,9.29,0,0.43,4.2,1.43,16.4,5,4.2,0.8,4.6,1.4,20.6,4.11,0,0.4,50.67,51.34,46.84,41.71,39.64,3.35,0.22,3.01,0.23,60,44.58,38,40.83,3.1,0.23,3.62,0.21,43.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,barkov,aleksander barkov,a,barkov7900ca
crosby8500cs,86.53,Sidney Crosby,8500,C,0,PIT,OTT-M.Sogaard,19.55,24.5,14.6,3.49,2.3,4.8,1,1,17,0,-0.5,46,0,2,4,3.1,-167,7,77,-165,17.3,0.6,71,34,27,95,16.8,76,15,30,13,0.43,0.82,1.25,20.08,3.74,3.02,4.12,0.73,0.14,0.58,3.6,18.23,14.91,13.47,0.12,0.24,3.7,0.75,0.9,0.83,0,0,0.31,0.58,0.67,0.01,3.27,0.29,0.86,1.14,19.76,3.46,3.36,4.43,0.76,0.09,0.57,3.93,20.07,14.07,0.21,0.21,3.69,0.79,22,4.29,3.57,0.71,4.86,1.14,20.01,3.38,0.29,0.29,49.13,50.77,44.13,46.93,45.31,3.3,0.22,3.47,0.19,54.36,41.69,44.36,44.77,3.36,0.21,3.57,0.14,45.29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,crosby,sidney crosby,s,crosby8500cs
backlund6100cm,85.96,Mikael Backlund,6100,C,0,CGY,LA-P.Copley,12.44,15.6,9.2,1.3,2,13.3,2,1,12,0,-0.5,75,1,2,3.4,3.3,-115,6.5,37,-105,11.7,2.3,75,37,24,102,13.7,76,23,38,13,0.25,0.39,0.64,18,2.13,3.12,4.04,0.77,0.08,0.32,3.44,15.7,10.13,11.57,0.05,0.06,1.88,0.39,0.57,0.68,0.01,0.03,0.19,0.3,0.53,0.01,2.73,0.43,0.29,0.71,19.44,2.19,3.79,5,0.76,0.11,0.57,4.36,17.21,11.07,0.21,0.14,2,0.5,14.86,3.57,3,0.57,4.86,1.29,20.28,1.85,0.29,0.14,48.56,52.73,44.35,39.19,48.02,3.12,0.2,3.17,0.25,55.86,39.92,39.79,51.38,2.86,0.2,3,0.18,55.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,backlund,mikael backlund,m,backlund6100cm
stutzle8600ct,84.15,Tim Stutzle,8600,C,0,OTT,PIT-T.Jarry,16.6,20.8,12.4,0.33,1.9,8,1,1,12,0,-0.7,24,1,2,3.1,4,142,7,23,140,17.3,4.1,67,45,27,88,20.9,76,23,53,13,0.52,0.67,1.19,20.64,3.46,2.86,3.94,0.73,0.18,0.67,3.53,16.15,13.83,12.04,0.13,0.29,3.8,0.7,1.05,0.67,0.05,0,0.34,0.39,0.55,0.07,3.11,0.64,0.71,1.36,21.78,3.75,3.29,4.29,0.77,0.2,0.36,3.64,16.64,13.5,0,0.21,4.13,0.64,16.14,3.43,3,0.43,4,1.14,22.75,4.22,0,0.29,45.32,45.31,46.93,44.13,50.77,3.58,0.24,3.07,0.22,44.77,44.36,41.69,54.36,3.86,0.15,3.07,0.21,57.86,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,stutzle,tim stutzle,t,stutzle8600ct
rodrigues5500ce,83.11,Evan Rodrigues,5500,C,0,COL,CHI-A.Stalock,11.79,14.8,8.7,1.88,2.1,1.6,1,2,13,0,-0.2,85,0,2,4.5,2.2,-402,6.5,84,-435,10.6,0.5,60,22,29,93,10.3,61,38,23,13,0.23,0.29,0.52,16.73,1.86,3,3.64,0.82,0.08,0.37,3.37,14.38,11.79,10.65,0.08,0.06,1.96,0.39,0.43,0.91,0.01,0,0.13,0.23,0.46,0,3.09,0.23,0.31,0.54,14.8,2.19,2.46,3.42,0.72,0.09,0.69,3.15,16,11.92,0.08,0,0.95,0.17,17.63,3.25,2.38,0.88,3.38,0.13,15,0.98,0,0,50.63,50.15,50.88,44.4,39.12,3.22,0.27,2.75,0.25,48.18,51.54,39.73,38.69,3.08,0.3,2.57,0.19,35.71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,rodrigues,evan rodrigues,e,rodrigues5500ce
kopitar6800ca,82.87,Anze Kopitar,6800,C,0,LA,CGY-J.Markstrom,13.3,16.7,9.9,0.73,2,18.1,1,1,10,0,0.9,69,0,2,3.3,3.4,-110,6.5,63,-115,13.8,1.9,63,38,35,94,15.8,69,30,38,13,0.32,0.55,0.87,20.52,2.54,2.28,3.12,0.73,0.14,1.11,3.38,14.63,13.08,11.1,0.06,0.18,3.19,0.51,0.68,0.74,0,0.01,0.26,0.36,0.09,0.01,2.29,0.62,0.38,1,20.86,2.88,2.15,3.54,0.61,0.29,1.15,3.31,15.46,10.08,0.08,0.08,2.88,0.15,16.17,2.33,1.5,0.83,2.67,0.17,20.36,2.74,0,0.17,46.05,48.02,39.19,44.35,52.73,3.26,0.23,3.35,0.19,51.38,39.79,39.92,55.86,2.92,0.13,2.71,0.13,54.29,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,kopitar,anze kopitar,a,kopitar6800ca
