RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
matthews9500ca,95.15,Auston Matthews,9500,C,0,TOR,NJD-V.Vanecek,20.85,26.1,15.6,2.74,2.2,28.5,1,1,26,0,0.7,91,0,2,3.6,3.1,-145,6.5,45,-162,23.1,4.2,72,40,21,92,19.8,71,42,28,14,0.77,0.65,1.42,20.77,4.1,4.75,6.65,0.71,0.16,0.82,5.57,18.33,12.59,13.9,0.22,0.19,3.44,1.16,1.66,0.7,0,0,0.55,0.46,0.29,0.05,3.49,0.43,0.64,1.07,20.98,3.06,4.29,6.79,0.63,0.1,0.64,4.93,16.43,13.86,0.36,0.21,3.75,1.57,16.71,5,4.14,0.86,6.71,2,19.56,2.5,0.43,0.14,45.1,48.43,44.4,42.68,48.66,2.99,0.27,2.55,0.19,45.86,38.14,42.71,54.21,3.31,0.28,3.23,0.21,51.67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,matthews,auston matthews,a,matthews9500ca
bergeron8000cp,94.43,Patrice Bergeron,8000,C,0,BOS,PHI-C.Hart,17.39,21.8,13,2.35,2.2,1.6,1,1,16,0,1.7,40,0,4,4,2.1,-355,6,75,-275,15.8,2,72,32,20,94,15.3,85,28,14,14,0.36,0.53,0.89,18.16,2.94,4.07,5.22,0.78,0.09,0.67,4.75,15.63,8.68,12.46,0.12,0.18,3.22,0.95,1.35,0.7,0,0.04,0.24,0.31,0.43,0.02,3.5,0.5,0.5,1,18.22,3.29,3.14,4.57,0.69,0.16,0.64,3.79,14.21,8.43,0.21,0.14,3.99,0.93,13,3.33,2.83,0.5,4.17,1.5,17.91,3.87,0.5,0,46.85,46.55,50.28,39.9,42.09,3.04,0.22,2.81,0.26,41.64,51.29,41.07,42.43,3.79,0.25,3,0.26,49.86,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,bergeron,patrice bergeron,p,bergeron8000cp
scheifele6900cm,91.64,Mark Scheifele,6900,C,0,WPG,ANA-J.Gibson,18.23,22.8,13.7,5.45,2.6,22.4,1,1,15,0,0.8,40,0,4,3.7,2.5,-220,6,65,-200,15.7,2.5,65,31,25,79,12.7,58,25,41,12,0.51,0.56,1.07,21.17,3.03,2.46,3.31,0.74,0.21,0.61,3.07,15.88,16.17,12.14,0.13,0.15,3.63,0.58,0.9,0.65,0,0,0.39,0.4,0.29,0,3.23,0.62,0.15,0.77,21.4,2.16,2.38,3.46,0.69,0.26,0.31,2.69,15.31,17.46,0.08,0.08,3.75,0.54,17.2,2.8,2.8,0,3.8,1.6,21.23,3.6,0.2,0.2,48.04,44.18,47.69,46.7,42.73,3.14,0.21,3.01,0.24,44.54,50.36,45.77,41.79,3.5,0.21,3.64,0.35,43.67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,scheifele,mark scheifele,m,scheifele6900cm
crosby7800cs,90.52,Sidney Crosby,7800,C,0,PIT,MIN-F.Gustavsson,14.77,18.5,11,0.14,1.9,45.8,1,1,8,0,0.3,21,0,2,3.3,3.3,-110,6.5,65,-108,17.3,1.5,76,40,23,92,13.8,64,21,35,14,0.45,0.8,1.25,20.13,3.73,3.05,4,0.76,0.15,0.6,3.65,17.1,14.4,13.07,0.1,0.28,3.45,0.79,0.95,0.83,0,0,0.35,0.51,0.5,0.05,2.57,0.36,0.43,0.79,20.55,2.31,2.43,3.29,0.74,0.15,0.71,3.14,15.64,16.07,0,0,3.95,0.64,14.67,2.5,1.5,1,2.33,0.33,20.06,3.22,0,0,45.74,48.83,42.55,45.4,43.47,3.05,0.23,3.29,0.25,48,44.64,48.5,43.43,3.08,0.15,3.07,0.16,41.67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,crosby,sidney crosby,s,crosby7800cs
eichel9700cj,90.43,Jack Eichel,9700,C,0,VGK,ARI-K.Vejmelka,17.9,22.4,13.4,-0.62,1.8,14.9,1,1,13,0,-0.1,6,0,2,4.5,2.2,-430,6.5,76,-345,16.5,2,50,22,9,84,19.2,78,28,14,14,0.47,0.41,0.88,19.07,2.77,3.82,4.59,0.83,0.12,0.9,4.73,15.6,13.81,11.4,0.08,0.18,2.95,0.82,1.08,0.75,0,0,0.39,0.24,0.2,0.02,3.6,0.64,0.57,1.21,18.87,3.85,3.64,4.21,0.86,0.18,0.57,4.21,15,11.71,0.07,0.21,2.79,0.57,15.17,5,4.17,0.83,4.67,0.83,19.09,2.7,0,0.17,46.77,50.74,49.68,45.37,38.14,2.71,0.21,3.25,0.21,46.86,43.62,50.36,33.31,2.62,0.24,4,0.15,36.67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,eichel,jack eichel,j,eichel9700cj
dubois6800cp,89.52,Pierre-Luc Dubois,6800,C,0,WPG,ANA-J.Gibson,16.02,20,12,3.45,2.4,13.3,2,1,10,0,1.4,6,0,4,3.7,2.5,-220,6,65,-200,12.4,0.8,60,30,37,79,15.6,83,50,16,12,0.33,0.39,0.71,18.79,2.27,2.86,4.08,0.7,0.11,0.45,3.31,14.14,13.91,10.95,0.18,0.06,3.44,0.85,1.06,0.8,0,0,0.15,0.33,1.3,0,3.06,0.54,0.31,0.85,18.16,2.81,3.15,4.85,0.65,0.17,0.38,3.54,13.31,12,0.23,0.08,3.85,1.15,11.2,3.6,3.2,0.4,4.4,1,18.01,3.77,0.4,0.2,48.04,44.18,47.69,46.7,42.73,3.14,0.21,3.01,0.24,44.54,50.36,45.77,41.79,3.5,0.21,3.64,0.35,43.67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,dubois,pierre-luc dubois,p,dubois6800cp
zibanejad9800cm,88.65,Mika Zibanejad,9800,C,0,NYR,SEA-M.Jones,16.73,20.9,12.5,-2,1.7,18.9,1,1,13,0,-0.4,8,0,4,3.3,2.8,-145,6,70,-110,16.9,2.2,78,34,19,98,14.8,53,15,46,13,0.43,0.65,1.08,19.97,3.24,3.08,4.48,0.69,0.14,0.53,3.61,12.88,13.24,9.87,0.24,0.19,3.15,1.01,1.53,0.66,0.02,0.04,0.18,0.42,0.18,0,3.13,0.5,0.57,1.07,21.08,3.05,4.14,6.07,0.68,0.12,0.14,4.29,15.29,10.93,0.36,0.29,4.68,1.79,13.5,3,3,0,5,1.83,20.2,4.34,0.17,0.33,44.41,42.65,42.65,46.05,42.95,2.77,0.27,3.01,0.26,47.79,42.23,40,43.31,3.57,0.24,3.23,0.19,39.8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,zibanejad,mika zibanejad,m,zibanejad9800cm
suzuki8500cn,88.49,Nick Suzuki,8500,C,0,MTL,CLB-J.Korpisalo,14.32,17.9,10.7,-1.74,1.7,23.2,1,1,5,0,0.5,1,0,2,3.3,3.4,-105,6.5,59,150,12.8,1.6,61,30,38,80,15,61,46,38,13,0.34,0.49,0.83,20.7,2.41,2.23,2.87,0.77,0.15,0.78,3,12.87,14.47,9.67,0.11,0.14,3.07,0.56,0.75,0.75,0.01,0.03,0.21,0.33,0.4,0,2.76,0.69,0.54,1.23,20.25,3.65,2.46,3.08,0.8,0.28,0.38,2.85,12.54,12.23,0.23,0.15,2.71,0.54,12,2.83,2.17,0.67,2.67,0.33,21.48,2.38,0.33,0,48.52,41.04,50.16,47.49,43.98,2.95,0.14,2.88,0.22,43.69,52.42,45.15,44.83,2.69,0.2,2.92,0.2,44.2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,suzuki,nick suzuki,n,suzuki8500cn
mackinnon10400cn,87.77,Nathan MacKinnon,10400,C,0,COL,CAR-A.Raanta,19.65,24.6,14.7,-0.31,1.9,6.4,1,1,26,0,-1.6,43,0,3,3.2,3.5,110,6.5,48,-110,21,2.6,72,35,17,95,22.5,90,54,9,11,0.53,0.87,1.4,21.5,3.91,5.16,6.46,0.8,0.1,0.52,5.68,20.04,15.22,14.7,0.16,0.3,3.66,1.37,1.81,0.75,0,0,0.38,0.57,0.67,0.01,3.95,0.25,1.42,1.67,22.26,4.5,5.17,6.92,0.75,0.05,0.67,5.83,20.92,18.33,0.17,0.33,3.57,1.33,19.2,5.8,5.2,0.6,7,2.6,21.05,4.23,0,0.6,42.52,50.95,38.99,44.28,51.38,3.24,0.3,3.27,0.17,49.08,31.71,47.17,51.43,3,0.33,3.85,0.26,50.43,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,mackinnon,nathan mackinnon,n,mackinnon10400cn
jenner7200cb,87.24,Boone Jenner,7200,C,0,CLB,MTL-S.Montembeault,16.76,21,12.5,3.36,2.3,24.8,1,1,22,0,1.4,90,0,2,3.4,3.3,-115,6.5,41,-182,13.8,2.4,50,26,22,84,16.4,83,41,16,12,0.36,0.38,0.74,20.33,2.18,2.87,3.95,0.73,0.13,1.11,3.98,14.15,17.02,10.85,0.11,0.03,2.72,0.48,0.66,0.72,0,0,0.25,0.34,0.46,0.02,3.54,0.5,0.25,0.75,19.91,2.26,3.67,4.83,0.76,0.14,1.5,5.17,17.17,18.42,0.17,0,1.97,0.33,19.2,6.2,4.8,1.4,5.6,0.6,20.11,1.3,0.4,0,45.98,43.98,47.49,50.16,41.04,2.61,0.17,3.35,0.23,44.83,45.15,52.42,43.69,2.5,0.13,3.46,0.22,41.83,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,jenner,boone jenner,b,jenner7200cb
