RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
pettersson9700ce,94.84,Elias Pettersson,9700,C,0,VAN,SJ-J.Reimer,21.33,26.7,16,2.81,2.2,12.8,1,1,16,0,5.3,69,0,2,3.8,2.9,-176,6.5,62,-175,20,3.6,72,39,25,86,17.7,75,25,33,12,0.56,0.77,1.33,20.39,3.91,3.29,4.8,0.68,0.17,0.99,4.28,12.65,12.59,9.6,0.09,0.26,3.61,0.8,1.39,0.58,0.05,0.05,0.42,0.47,0.16,0.05,3.28,0.46,0.85,1.31,22.03,3.57,3.23,5.08,0.64,0.14,1.08,4.31,13.69,12.85,0.15,0.15,3.93,0.77,14.29,2.71,2.57,0.14,4.71,1.86,21.81,3.69,0.29,0.29,44.71,42.16,47.16,45.27,45.91,3.24,0.26,3.1,0.17,40.58,45.62,45.17,48.69,3.08,0.2,3.77,0.2,47.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,pettersson,elias pettersson,e,pettersson9700ce
miller7400cj,90.46,J.T. Miller,7400,C,0,VAN,SJ-J.Reimer,18.12,22.7,13.6,4.31,2.4,23.2,2,1,10,0,0.6,62,0,2,3.8,2.9,-176,6.5,62,-175,16.2,2.2,75,36,19,87,20.4,75,16,50,12,0.4,0.68,1.08,20.86,3.11,2.79,4,0.7,0.14,0.67,3.46,13.62,12.72,10.1,0.14,0.26,3.76,0.96,1.4,0.69,0.06,0.03,0.21,0.38,0.72,0.02,2.98,0.75,0.67,1.42,21.09,4.04,3.08,4.42,0.7,0.24,0.5,3.58,12.08,12.42,0.08,0.17,3.9,1.25,13,3.29,2.86,0.43,4.57,1.57,21.03,3.56,0.14,0.29,44.71,42.16,47.16,45.27,45.91,3.24,0.26,3.1,0.17,40.58,45.62,45.17,48.69,3.08,0.2,3.77,0.2,47.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,miller,j.t. miller,j,miller7400cj
stamkos7500cs,89.98,Steven Stamkos,7500,C,0,TB,OTT-M.Sogaard,15.9,19.9,11.9,1.89,2.1,18.1,2,1,9,0,0,94,0,2,3.5,3.2,-129,6.5,62,-145,17.6,1,70,31,25,107,11.3,60,33,20,15,0.49,0.66,1.15,18.88,3.66,3.12,4.21,0.74,0.16,0.66,3.78,13.38,13.14,9.99,0.18,0.27,4.01,1.29,1.75,0.74,0,0,0.32,0.39,0.66,0.02,2.52,0.33,0.53,0.87,17.84,2.93,1.93,3.33,0.58,0.17,0.53,2.47,12.2,13.2,0.2,0.27,3.61,0.93,13.86,2.86,2.14,0.71,3.43,1.57,17.47,3.24,0.29,0.14,47.79,45.82,44.55,43.93,45.41,3.44,0.27,3.48,0.19,46.81,44.36,44.13,45.57,3.31,0.25,3.53,0.15,44.75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,stamkos,steven stamkos,s,stamkos7500cs
tavares7900cj,88.06,John Tavares,7900,C,0,TOR,FLA-S.Bobrovsky,14.33,18,10.7,-0.5,1.8,27.7,2,1,8,0,1.1,62,0,2,3.1,3.5,114,6.5,49,-100,15.9,0.9,70,30,25,98,13.3,50,33,16,12,0.42,0.57,0.99,17.77,3.34,3.21,4.6,0.7,0.13,0.54,3.75,12.59,12.2,9.36,0.18,0.28,3.57,1.18,1.6,0.73,0,0,0.24,0.28,0.42,0.01,2.29,0.36,0.45,0.82,17.61,2.79,2.64,4.5,0.59,0.14,0.55,3.18,12.9,14.5,0.18,0.27,2.56,1.2,12,2.67,1.67,1,3.33,0.83,18.22,2.29,0.17,0.5,41.38,45.52,41.64,43.81,51.34,3.14,0.25,3.49,0.26,42.64,38.27,50.55,56.91,2.18,0.29,2.91,0.25,53.17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,tavares,john tavares,j,tavares7900cj
eichel7700cj,87.86,Jack Eichel,7700,C,0,VGK,CGY-J.Markstrom,13.77,17.3,10.3,-0.65,1.8,11.2,1,1,10,0,0.6,97,0,2,3.1,3.6,120,6.5,63,120,16.2,0.7,61,29,20,88,15.6,69,23,30,13,0.47,0.45,0.92,19.02,2.9,3.58,4.33,0.83,0.13,0.78,4.36,14.53,14.94,10.77,0.04,0.16,2.69,0.66,0.84,0.78,0,0,0.43,0.28,0.08,0.03,2.8,0.57,0.43,1,18.65,3.22,3,3.46,0.87,0.19,0.86,3.86,12.85,16.77,0.07,0.14,2.27,0.31,11.71,3.29,2.71,0.57,3.14,0.57,17.21,2.53,0,0.14,41.86,48.87,39.12,49.55,52.55,2.53,0.22,3.38,0.2,43.67,40.64,55.33,52.79,2.31,0.23,3,0.17,54.43,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,eichel,jack eichel,j,eichel7700cj
larkin7100cd,87.11,Dylan Larkin,7100,C,0,DET,STL-J.Hofer,17.14,21.5,12.8,3.95,2.4,11.2,1,1,11,0,2.1,94,0,2,3.5,3.2,-126,6.5,44,-135,14.6,-0.2,71,24,19,89,12.8,92,7,15,13,0.37,0.55,0.91,19.74,2.77,3.1,4.33,0.72,0.12,0.43,3.52,12.55,13.14,9.53,0.18,0.16,3.48,0.84,1.2,0.7,0.01,0.01,0.17,0.38,0.52,0.01,3.08,0.29,0.5,0.79,19.57,2.42,2.86,4.14,0.69,0.1,0.29,3.14,13.86,12.79,0.21,0.21,3.39,1,15,3.29,3.14,0.14,4.86,1.57,19.97,2.88,0.29,0.43,45.09,39.6,48.31,46.77,40.41,3.36,0.19,2.44,0.22,41.31,48.46,43.54,38.23,3.36,0.19,2.85,0.19,39.43,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,larkin,dylan larkin,d,larkin7100cd
barkov8000ca,86.95,Aleksander Barkov,8000,C,0,FLA,TOR-M.Murray,18.89,23.6,14.1,3.85,2.4,11.2,2,1,18,0,-0.8,75,0,2,3.5,3.1,-137,6.5,51,-120,17.1,1.1,61,29,22,101,22.5,72,0,54,11,0.39,0.74,1.13,21.12,3.21,3.28,4.25,0.77,0.12,0.66,3.94,15.4,11.08,11.5,0.12,0.29,4.08,0.86,1.16,0.74,0,0.02,0.27,0.42,0.21,0.01,3.27,0.25,1.38,1.63,20.71,4.72,4.5,5.13,0.88,0.06,0.63,5.13,15.38,8.25,0,0.5,4.26,1.5,16.17,4.83,4.33,0.5,5,1.83,20.9,4.2,0,0.5,51.72,51.34,43.81,41.64,45.52,3.34,0.22,3.11,0.23,56.91,50.55,38.27,42.64,3.18,0.26,2.82,0.23,41.17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TOR,barkov,aleksander barkov,a,barkov8000ca
dubois6900cp,86.50,Pierre-Luc Dubois,6900,C,0,WPG,ANA-J.Gibson,14.9,18.7,11.1,2.12,2.2,16,2,1,12,0,1.5,75,0,2,4.2,2.5,-295,6.5,76,-230,13.5,0,62,25,26,87,5.9,21,21,0,14,0.33,0.49,0.82,18.48,2.66,2.78,4.29,0.65,0.12,0.6,3.38,13.42,13.01,10.47,0.13,0.16,3.48,1.01,1.27,0.8,0,0,0.2,0.33,1.06,0,2.92,0,0.17,0.17,17.74,0.57,2.33,4.17,0.56,0,0.5,2.83,12.5,10.67,0,0,5.06,1.33,14.33,4,3.67,0.33,5.33,2.33,17.55,4.83,0,0,50.49,44.91,53.82,44.34,40.89,3.18,0.21,3.18,0.28,46.57,54.18,42.36,37.09,3.57,0.12,2.75,0.33,37.14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,dubois,pierre-luc dubois,p,dubois6900cp
matthews9900ca,86.05,Auston Matthews,9900,C,0,TOR,FLA-S.Bobrovsky,21.01,26.3,15.8,2.07,2.1,30.4,1,1,22,0,-1.9,97,0,2,3.1,3.5,114,6.5,49,-100,21.1,2.1,68,31,21,97,20.6,75,25,25,12,0.58,0.66,1.24,20.47,3.63,4.42,6.33,0.7,0.13,1.27,5.69,16.83,14.13,12.73,0.2,0.16,3.76,1.15,1.71,0.67,0,0,0.38,0.5,0.3,0.02,3.64,0.5,0.67,1.17,20.73,3.39,4.58,6.18,0.74,0.11,1.08,5.67,17.18,15.64,0.25,0.08,2.6,0.64,17.67,5.83,5,0.83,6.5,1.17,21.92,2.45,0.33,0,41.38,45.52,41.64,43.81,51.34,3.14,0.25,3.49,0.26,42.64,38.27,50.55,56.91,2.18,0.29,2.91,0.25,53.17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLA,matthews,auston matthews,a,matthews9900ca
bergeron6700cp,85.46,Patrice Bergeron,6700,C,0,BOS,MTL-J.Allen,16.97,21.2,12.7,4.6,2.5,9.6,1,1,12,0,-3.1,98,0,2,4.6,2.2,-435,6.5,89,-430,15.4,1.4,73,34,22,97,14.7,76,23,38,13,0.39,0.48,0.87,17.64,2.96,3.53,4.64,0.76,0.11,0.69,4.22,14.02,9.2,10.82,0.11,0.13,3.28,0.83,1.16,0.71,0.02,0.01,0.27,0.34,0.34,0.03,3.27,0.43,0.57,1,16.82,3.57,3.29,4.43,0.74,0.13,0.36,3.64,13.57,9.64,0.07,0.14,2.98,0.86,12.13,3.63,3.25,0.38,3.88,1,16.08,2.95,0.13,0.25,50.58,45.28,49.49,41.44,40.89,3.36,0.21,3.28,0.27,44.38,57,43,39.93,3.07,0.16,2.29,0.38,39.14,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,bergeron,patrice bergeron,p,bergeron6700cp
