RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
stamkos7600cs,82.88,Steven Stamkos,7600,C,0,TB,WAS-D.Kuemper,18.34,22.9,13.7,4.12,2.4,22.1,1,1,10,0,-3.5,97,0,2,3.9,2.8,-205,6.5,90,-190,17.4,0.9,69,31,25,106,14.1,73,20,26,15,0.48,0.66,1.14,18.81,3.63,3.05,4.13,0.74,0.16,0.68,3.73,13.28,13.31,9.88,0.16,0.27,4,1.21,1.69,0.72,0,0,0.32,0.4,0.68,0.02,2.56,0.36,0.71,1.07,17.57,3.65,1.79,2.71,0.66,0.2,0.64,2.43,12.14,13,0.21,0.21,3.66,0.79,12.71,3,2.29,0.71,3,1.43,18.31,3.56,0.29,0.29,47,45.82,46.16,44.09,46.98,3.44,0.26,2.74,0.17,46.6,47.17,40.87,44.67,3.33,0.22,3,0.14,48.43,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,stamkos,steven stamkos,s,stamkos7600cs
zibanejad8400cm,81.63,Mika Zibanejad,8400,C,0,NYR,NJD-V.Vanecek,14.64,18.4,10.9,-1.22,1.7,10.1,1,1,8,0,-1.1,96,1,2,3.1,3.5,112,6.5,80,105,16.9,0.7,69,27,26,104,16.6,71,28,42,14,0.47,0.61,1.08,20.21,3.21,3.05,4.47,0.68,0.16,0.56,3.61,12.92,13.59,9.86,0.25,0.19,3.38,1.13,1.67,0.67,0.01,0.02,0.21,0.41,0.2,0.01,2.57,0.5,0.71,1.21,18.64,3.89,2.14,3.15,0.68,0.23,0.71,2.86,10.62,15.08,0.07,0.21,2.7,0.69,10.86,3,2.29,0.71,3.14,1,17.49,2.35,0,0.29,45.18,45,45.02,46.3,50.59,2.98,0.24,2.91,0.18,41.31,47.21,49.85,56.14,3,0.23,2.29,0.13,54.71,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,zibanejad,mika zibanejad,m,zibanejad8400cm
karlsson5100cw,80.74,William Karlsson,5100,C,0,VGK,SJ-J.Reimer,11.49,14.5,8.5,2.4,2.3,3.2,2,2,4,0,0.3,61,0,2,3.8,2.9,-182,6.5,76,-205,10.7,1.1,66,26,33,87,12,85,14,28,14,0.19,0.5,0.69,17.54,2.36,2.07,2.93,0.71,0.09,0.59,2.66,13.7,12.28,10.18,0.02,0.08,1.71,0.37,0.55,0.67,0.03,0.03,0.14,0.39,0.09,0.03,2.24,0.21,0.57,0.79,17.16,2.76,2,2.85,0.7,0.11,0.86,2.86,11.69,13.23,0,0.07,1.7,0.23,11,2.5,1.67,0.83,2,0.17,17.45,2.13,0,0.17,47.94,48.28,47.21,50,45.9,2.49,0.22,3.1,0.16,43.38,48.54,58.15,45.23,2.38,0.23,3.69,0.17,43.33,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,karlsson,william karlsson,w,karlsson5100cw
aho7100cs,80.40,Sebastian Aho,7100,C,0,CAR,DET-A.Nedeljkovic,15.76,19.7,11.8,2.57,2.2,9.6,1,1,6,0,-1.1,84,0,2,3.4,2.3,-220,5.5,85,-230,14.7,0.1,64,30,29,100,12.7,60,40,20,15,0.46,0.46,0.93,19.24,2.9,2.86,4.11,0.7,0.16,0.36,3.22,14.6,10.88,11.37,0.08,0.12,3.19,0.57,0.93,0.6,0.03,0.02,0.35,0.33,0.48,0.04,2.72,0.53,0.13,0.67,19.37,2.08,3,4,0.75,0.18,0.2,3.2,16.36,12.36,0.07,0.07,2.64,0.36,16.14,2.71,2.71,0,4,0,19.43,2.26,0,0,48.88,53.02,46.57,36.62,39.28,3.13,0.19,3.04,0.21,55.21,42.77,36.07,40.92,2.57,0.28,3.54,0.17,40,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,aho,sebastian aho,s,aho7100cs
point8300cb,79.26,Brayden Point,8300,C,0,TB,WAS-D.Kuemper,16.58,20.8,12.4,0.93,2,6.4,1,1,5,0,-3.5,68,0,2,3.9,2.8,-205,6.5,90,-190,15.6,0.6,63,33,28,106,15.8,66,33,33,15,0.53,0.47,1,19.5,3.08,2.74,3.68,0.75,0.19,0.5,3.24,14.72,13.6,10.95,0.21,0.14,3.81,0.85,1.14,0.75,0,0,0.32,0.33,0.17,0,2.45,0.67,0.4,1.07,19.49,3.29,2.13,3.07,0.7,0.31,0.67,2.8,15.2,12.4,0.27,0.07,3.57,0.67,15.86,2.29,1.57,0.71,2.29,0.57,20.17,3.4,0.14,0,47,45.82,46.16,44.09,46.98,3.44,0.26,2.74,0.17,46.6,47.17,40.87,44.67,3.33,0.22,3,0.14,48.43,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,point,brayden point,b,point8300cb
trocheck6500cv,78.20,Vincent Trocheck,6500,C,0,NYR,NJD-V.Vanecek,10.32,13,7.6,-1.64,1.6,3.2,2,2,5,0,-0.9,74,1,2,3.1,3.5,112,6.5,80,105,11.9,0.9,59,30,40,101,11.3,64,35,28,14,0.28,0.43,0.72,19.12,2.26,2.69,3.97,0.68,0.11,0.55,3.24,14.59,12.4,10.9,0.09,0.11,3.19,0.82,1.13,0.72,0.01,0,0.19,0.32,0.68,0.03,2.17,0.07,0.79,0.86,18.7,2.76,1.71,2.31,0.74,0.04,0.86,2.57,12.69,14.54,0,0.07,2.26,0.31,12.14,2.29,1.57,0.71,2.29,0.14,17.52,1.97,0,0,45.18,45,45.02,46.3,50.59,2.98,0.24,2.91,0.18,41.31,47.21,49.85,56.14,3,0.23,2.29,0.13,54.71,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,trocheck,vincent trocheck,v,trocheck6500cv
mercer5600cd,76.92,Dawson Mercer,5600,C,0,NJD,NYR-I.Shesterkin,10.7,13.5,7.9,0.59,1.9,6.4,2,2,12,0,0.1,61,0,3,3.5,3.1,-136,6.5,20,-125,10.4,1.1,57,28,42,90,12.9,60,40,26,15,0.27,0.36,0.62,16.62,2.24,1.93,2.57,0.75,0.14,0.7,2.63,13,12.41,9.61,0.02,0.08,1.43,0.25,0.34,0.73,0.01,0.01,0.23,0.27,0.22,0.01,2.14,0.27,0.53,0.8,19.58,2.45,2.4,3,0.8,0.11,0.93,3.33,16.62,14.77,0,0.27,1.5,0.21,15.43,2.86,1.57,1.29,2.14,0.43,19.82,1.68,0,0,51.83,50.59,46.3,45.02,45,2.76,0.19,2.74,0.19,56.14,49.85,47.21,41.31,2.21,0.26,2.69,0.11,41.57,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYR,mercer,dawson mercer,d,mercer5600cd
kopitar6100ca,76.53,Anze Kopitar,6100,C,0,LA,EDM-S.Skinner,12.65,15.9,9.4,1.51,2.1,6.4,1,1,3,0,0.7,50,0,2,2.8,3.8,155,6.5,40,125,13.6,1.6,63,37,35,93,10.5,66,33,25,12,0.31,0.54,0.85,20.56,2.48,2.23,3.07,0.73,0.14,1.12,3.35,14.48,12.96,11.01,0.06,0.17,3.21,0.47,0.64,0.74,0,0.01,0.24,0.36,0.09,0.01,2.44,0.17,0.58,0.75,20.43,2.2,1.58,2.75,0.58,0.11,0.75,2.33,15,10.5,0,0.17,2.86,0.08,14,2.17,1.5,0.67,2.5,0.17,19.82,2.12,0,0.17,45.47,47.35,44.24,44.09,47.55,3.33,0.24,3.42,0.22,50.08,39.92,40.25,45.85,3.33,0.25,2.92,0.26,48,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EDM,kopitar,anze kopitar,a,kopitar6100ca
schenn5500cb,76.24,Brayden Schenn,5500,C,0,STL,CHI-P.Mrazek,12.3,15.5,9.1,2.39,2.2,12.8,1,1,4,0,0.1,81,0,2,3.6,3.1,-145,6.5,52,-180,11.8,1.7,64,29,29,97,14.1,78,21,35,14,0.27,0.55,0.82,18.39,2.68,1.71,2.63,0.65,0.16,0.51,2.21,11.83,14.82,8.81,0.08,0.17,2.57,0.41,0.64,0.65,0,0,0.19,0.37,0.65,0.02,2.51,0.36,0.71,1.07,18.19,3.53,1.79,2.57,0.69,0.2,0.71,2.5,11.07,14.21,0.07,0.14,2.37,0.21,11.63,2.38,2,0.38,2.75,0.5,17.53,1.9,0,0.13,44.09,40.45,50.06,48.67,38.93,2.98,0.25,2.78,0.25,40.36,47.93,47.64,36.86,3,0.24,2.71,0.26,40,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,schenn,brayden schenn,b,schenn5500cb
couture6400cl,73.20,Logan Couture,6400,C,0,SJ,VGK-L.Brossoit,16,20,12,4.25,2.5,13.6,2,1,5,0,-2,84,0,2,2.9,3.8,145,6.5,24,170,12.9,1.2,73,27,26,88,14.6,76,23,38,13,0.3,0.47,0.77,19.06,2.42,2.45,3.4,0.72,0.12,0.86,3.31,11.67,12.53,8.6,0.04,0.19,2.73,0.59,0.88,0.67,0.01,0,0.24,0.29,0.21,0.04,2.79,0.38,0.54,0.92,20.88,2.64,2.92,3.85,0.76,0.13,0.54,3.46,11.23,14,0.08,0.15,3.11,0.69,10.5,3.83,3.33,0.5,4,0.67,20.76,2.77,0,0,50.31,45.9,50,47.21,48.28,2.57,0.19,2.32,0.25,45.23,58.15,48.54,43.38,2.77,0.14,2.15,0.36,44.67,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,couture,logan couture,l,couture6400cl
