RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
dubois7900cp,92.44,Pierre-Luc Dubois,7900,C,0,WPG,BUF-E.Comrie,16.17,20.2,12.1,1.34,2,13.6,2,1,18,0,0.9,36,0,2,3.8,2.8,-185,6.5,65,-200,14.2,1.2,67,31,28,90,15.9,66,26,26,15,0.34,0.55,0.89,18.69,2.86,2.91,4.34,0.67,0.12,0.58,3.49,13.68,13.8,10.77,0.15,0.13,3.3,0.93,1.2,0.78,0,0,0.19,0.42,1.21,0,3.12,0.4,0.53,0.93,19.06,2.93,3.67,5.77,0.64,0.11,0.53,4.2,17.15,12.23,0.13,0.13,3.62,1,16.13,4.5,4.13,0.38,5.75,2,19.22,4.07,0.13,0,45.12,44.02,42.12,45.93,44.58,3.06,0.24,2.73,0.25,47.92,43.33,40.38,48.73,3.46,0.27,2.13,0.25,50.63,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,dubois,pierre-luc dubois,p,dubois7900cp
eriksson7200cj,91.66,Joel Eriksson Ek,7200,C,0,MIN,PHI-C.Hart,14.94,18.7,11.2,1.54,2.1,3.2,2,1,10,0,3.6,30,0,2,3.7,2.4,-232,6,83,-240,13.4,2.3,68,33,31,95,14.8,84,30,15,13,0.35,0.41,0.76,18.9,2.41,2.94,3.97,0.74,0.12,0.56,3.5,11.6,10.78,8.6,0.13,0.15,3.24,0.8,1.1,0.73,0.02,0.01,0.21,0.25,0.5,0.02,2.86,0.38,0.54,0.92,19.11,2.89,2.77,4.17,0.66,0.14,0.62,3.38,12.25,12.5,0.15,0.23,3.62,0.83,13,4.17,3.5,0.67,4.83,1.83,18.89,4,0.17,0.5,46.57,43.8,49.23,41.89,42.42,3.16,0.24,2.8,0.25,45.5,45.71,46.5,44.93,2.83,0.26,2.71,0.16,43.63,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,eriksson,joel eriksson ek,j,eriksson7200cj
mackinnon10400cn,91.54,Nathan MacKinnon,10400,C,0,COL,ANA-J.Gibson,27.79,34.7,20.8,7.83,2.7,16,1,1,27,0,-3.2,72,0,2,4.5,2.2,-430,6.5,95,-420,21,2.3,64,32,21,98,23.1,57,35,28,14,0.55,0.81,1.36,21.61,3.78,5.24,6.56,0.8,0.11,0.45,5.69,20.11,15.07,14.68,0.16,0.29,3.83,1.52,1.98,0.77,0,0,0.39,0.52,0.65,0.01,4.47,0.42,1.08,1.5,23.17,3.88,5.58,7.55,0.74,0.07,0.17,5.75,21.73,13.73,0,0.42,4.37,1.55,22,5.71,5.57,0.14,7.5,1.83,21.85,3.92,0,0.71,51.43,50.54,50.48,44.21,41.94,3.2,0.27,3.16,0.27,46,55.67,41.42,43.67,3.5,0.21,3,0.17,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,mackinnon,nathan mackinnon,n,mackinnon10400cn
lindholm6900ce,88.58,Elias Lindholm,6900,C,0,CGY,CHI-J.Stauber,16.51,20.7,12.3,3.73,2.4,1.6,1,1,7,0,-0.9,44,1,3,4.5,2.2,-420,6.5,75,-410,15,1.6,71,37,25,104,11.3,61,30,38,13,0.47,0.5,0.97,19.5,2.98,2.63,3.58,0.74,0.18,0.63,3.27,14.31,11.75,10.84,0.14,0.1,3.08,0.69,1.02,0.68,0,0.02,0.33,0.38,0.29,0.02,2.61,0.23,0.54,0.77,18.01,2.57,1.92,2.8,0.69,0.12,0.62,2.54,11.4,12.1,0.15,0.23,2.85,0.8,14.4,2.83,2.33,0.5,3.6,1.2,18.85,3.07,0.17,0.17,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,lindholm,elias lindholm,e,lindholm6900ce
hischier8100cn,87.56,Nico Hischier,8100,C,0,NJD,NAS-J.Saros,14.11,17.7,10.5,-1.13,1.7,8,1,1,12,0,0.4,14,1,2,3.2,3,-125,6,80,-118,15.1,1.8,71,32,20,88,18.1,92,30,7,13,0.42,0.59,1.01,19.54,3.1,2.75,3.7,0.74,0.15,0.67,3.42,13.67,12.28,10.3,0.1,0.15,3.16,0.62,0.97,0.64,0.01,0.02,0.31,0.42,0.07,0.02,3.32,0.62,0.54,1.15,18.12,3.81,3,3.92,0.76,0.21,0.77,3.77,13.69,14.31,0.15,0.31,2.73,0.46,17.33,4.17,3.17,1,4,0,17.65,1.46,0,0.33,49.27,48.89,47.83,44.6,44.7,2.93,0.18,3.5,0.24,48.08,49.92,49.46,46.15,2.77,0.25,3.69,0.17,47.63,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,hischier,nico hischier,n,hischier8100cn
kuznetsov5700ce,87.20,Evgeny Kuznetsov,5700,C,0,WAS,PIT-C.DeSmith,10.17,12.9,7.5,-0.15,1.8,13.3,2,2,5,0,0.6,66,0,2,3.5,3.2,-128,6.5,74,-132,12.6,0.1,72,21,26,95,10.6,57,14,42,14,0.2,0.67,0.87,18.68,2.79,2.47,3.46,0.71,0.08,0.3,2.77,11.81,12.72,9,0.11,0.23,3.4,0.77,1.04,0.74,0.01,0,0.09,0.44,0.66,0.01,2.33,0.07,0.79,0.86,17.97,2.87,1.86,2.69,0.69,0.04,0.21,2.07,12.77,14.15,0,0.36,2.52,0.31,14.29,2.14,1.86,0.29,3.14,0.29,17.55,2.22,0,0.14,48.71,45.92,46.08,46,48.53,3.19,0.23,2.94,0.21,51.38,44.77,46.62,47.77,2.31,0.2,3.54,0.28,50.43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,kuznetsov,evgeny kuznetsov,e,kuznetsov5700ce
backlund5400cm,86.20,Mikael Backlund,5400,C,0,CGY,CHI-J.Stauber,12.04,15.1,8.9,2.34,2.2,3.2,3,2,11,0,-0.4,86,1,3,4.5,2.2,-420,6.5,75,-410,10.7,1.8,73,32,26,104,13.6,84,46,15,13,0.21,0.37,0.58,17.48,1.99,3.03,3.94,0.77,0.07,0.3,3.32,15.19,9.96,11.42,0.01,0.06,1.6,0.31,0.47,0.66,0.01,0.01,0.19,0.3,0.5,0.02,3.05,0.23,0.46,0.69,17.23,2.4,4.08,5.2,0.78,0.06,0.38,4.46,18,10.6,0,0,1.55,0.3,16.8,4,3.67,0.33,5,0.6,17.82,1.85,0,0,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,backlund,mikael backlund,m,backlund5400cm
kadri7100cn,86.01,Nazem Kadri,7100,C,0,CGY,CHI-J.Stauber,17.3,21.6,13,4.11,2.4,9.6,2,1,15,0,-2.5,66,1,3,4.5,2.2,-420,6.5,75,-410,14.7,-0.5,66,21,23,101,15,76,30,23,13,0.38,0.51,0.89,18.51,2.88,3.46,4.93,0.7,0.11,0.41,3.88,15.94,12.4,11.72,0.12,0.16,3.41,0.9,1.31,0.69,0,0,0.26,0.34,0.75,0.02,3.35,0.46,0.38,0.85,18.15,2.81,3.69,5.3,0.7,0.12,0.23,3.92,16.3,12.7,0.23,0,2.87,1.3,15.8,4.17,4.17,0,5.2,1.2,18.11,3.09,0.17,0,53.01,52.15,50.13,39.71,39.19,3.06,0.21,2.8,0.25,55,50.15,42.1,37.69,2.9,0.24,2.85,0.14,36.14,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,kadri,nazem kadri,n,kadri7100cn
hughes10000cj,85.22,Jack Hughes,10000,C,0,NJD,NAS-J.Saros,17.39,21.8,13,-1.75,1.7,29.6,2,1,19,0,-2.7,19,1,2,3.2,3,-125,6,80,-118,20,3.2,68,34,13,88,25.7,84,46,15,13,0.64,0.64,1.28,20.2,3.8,4.17,5.29,0.79,0.15,0.22,4.39,16.75,13.03,12.49,0.14,0.22,3.3,0.91,1.17,0.78,0,0,0.5,0.42,0.06,0.03,3.64,0.92,0.69,1.62,21.13,4.6,5.38,6.54,0.82,0.17,0.15,5.54,16.08,13.54,0.15,0.38,2.85,1.23,14.17,4.33,4,0.33,5.33,1.33,21.01,1.57,0.17,0.5,49.27,48.89,47.83,44.6,44.7,2.93,0.18,3.5,0.24,48.08,49.92,49.46,46.15,2.77,0.25,3.69,0.17,47.63,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAS,hughes,jack hughes,j,hughes10000cj
strome5200cd,84.97,Dylan Strome,5200,C,0,WAS,PIT-C.DeSmith,9.86,12.5,7.3,0.57,1.9,3.2,1,2,6,0,1.8,51,0,2,3.5,3.2,-128,6.5,74,-132,11.2,1.3,58,33,40,89,12.2,57,35,35,14,0.33,0.48,0.81,18.01,2.7,1.88,2.56,0.73,0.17,0.49,2.37,13.86,13.7,10.26,0.08,0.2,3.43,0.38,0.54,0.7,0,0,0.25,0.28,0.31,0,2.64,0.38,0.46,0.85,16.25,3.14,1.85,2.67,0.69,0.21,0.54,2.38,13.5,11.75,0.08,0.15,1.98,0.33,13.5,2,1.83,0.17,2.5,0.33,16.24,1.52,0,0,48.71,45.92,46.08,46,48.53,3.19,0.23,2.94,0.21,51.38,44.77,46.62,47.77,2.31,0.2,3.54,0.28,50.43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,strome,dylan strome,d,strome5200cd
