,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,RylandID
tkachuk8300wb,93.93,Brady Tkachuk,8300,W,0,OTT,ARI-K.Vejmelka,18.47,23.1,13.8,3.01,2.2,1,1,22,0,2.5,85,0,3,3.7,2.9,-164,6.5,73,-142,15.5,0.8,61,32,36,91,13.7,54,9,27,11,0.34,0.57,0.91,18.86,2.9,4.09,5.3,0.77,0.08,0.17,4.26,15.64,12.46,11.36,0.13,0.22,3.66,1.18,1.51,0.78,0,0,0.22,0.35,1.18,0.02,3.81,0.15,0.54,0.69,19.22,2.15,3.92,4.83,0.81,0.04,0.15,4.08,14.5,12.33,0.08,0.38,4.75,1.33,16.17,4.33,4.33,0,5,1,18.86,3.94,0,0.17,47.84,46.22,49.78,44.8,37.6,3.18,0.23,3.3,0.26,45.25,45.71,42,38.79,3.92,0.3,3.15,0.32,37.71,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,tkachuk,b,tkachuk8300wb,85900-97147,W,b,Brady Tkachuk,tkachuk,16.77250061,40,8300,OTT@ARI,OTT,ARI,,,,,,W/UTIL,tkachuk8300wb
tkachuk9600wm,91.66,Matthew Tkachuk,9600,W,0,FLA,VGK-L.Thompson,16.09,20.1,12,-1.9,1.7,1,1,26,0,0.9,22,0,2,3.3,3.4,-105,6.5,36,112,18.6,2.1,68,34,26,103,18.9,53,30,38,13,0.53,0.81,1.34,18.82,4.27,3.18,4.45,0.71,0.17,0.28,3.46,17.71,11.8,13.51,0.13,0.27,3.39,0.91,1.29,0.71,0,0,0.4,0.54,1.09,0.06,3.39,0.75,0.42,1.17,19.39,3.62,3.42,4.67,0.73,0.22,0.5,3.92,16.55,13.64,0.33,0.17,3.53,1.25,16.86,4.71,4.29,0.43,5.86,2.71,19.6,4.1,0.57,0.29,45.35,50.58,47.23,40.62,49.71,3.38,0.23,2.51,0.23,44.62,42.82,44.85,48.45,3.17,0.29,2.7,0.11,49.2,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VGK,tkachuk,m,tkachuk9600wm,85900-70904,W,m,Matthew Tkachuk,tkachuk,19.4717955,39,9600,FLA@VGK,FLA,VGK,,,,,,W/UTIL,tkachuk9600wm
toews5500cj,44.48,Jonathan Toews,5500,C,0,CHI,COL-AGeorgiev,10.36,13.1,7.6,0.45,1.9,2,1,3,0,-1.8,60,0,4,2.2,4,262,6,4,255,8.3,0,50,25,44,84,8.8,38,23,61,13,0.26,0.32,0.58,17.52,1.99,1.84,2.3,0.8,0.14,0.38,2.22,10.99,13.32,8.07,0.14,0.04,2.57,0.41,0.52,0.78,0.01,0,0.11,0.27,0.88,0.01,2.17,0.23,0.31,0.54,18.56,1.75,1.92,2.83,0.68,0.12,0.23,2.15,11.58,12.75,0.23,0,3.66,0.5,11.33,1.33,1.33,0,2,0.33,18.78,3.67,0,0,40.64,39.7,44.27,50.05,50.5,2.96,0.21,2.94,0.21,40.75,38.92,47.75,52.67,3,0.15,2.82,0.35,44.67,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,toews,j,toews5500cj,85900-8254,C,j,Jonathan Toews,toews,9.318421213,38,5500,COL@CHI,CHI,COL,,,,,,C/UTIL,toews5500cj
toews5500dd,81.6,Devon Toews,5500,D,0,COL,CHI-P.Mrazek,12.51,15.7,9.4,1.7,2.3,1,2,17,0,-2.3,85,0,2,4,2.2,-332,6,96,-320,11.9,-0.7,58,25,32,99,9.4,69,15,30,13,0.14,0.53,0.67,25.58,1.57,2.23,2.86,0.78,0.06,1.47,3.69,21.95,17.37,16.03,0,0.1,1.49,0.11,0.15,0.73,0,0,0.14,0.44,0.34,0.01,1.87,0.15,0.15,0.31,27.14,0.69,2.31,3.17,0.73,0.07,1.62,3.92,25.09,16.55,0,0,1.45,0.08,23.83,4,2.33,1.67,3,0,27.31,1.87,0,0,49.39,50.5,50.05,44.27,39.7,3.19,0.27,2.81,0.27,52.67,47.75,38.92,40.75,3.36,0.14,2.18,0.42,39.5,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,toews,d,toews5500dd,85900-70199,D,d,Devon Toews,toews,10.51351351,37,5500,COL@CHI,COL,CHI,,,,,,D/UTIL,toews5500dd
toffoli6800wt,87.52,Tyler Toffoli,6800,W,0,CGY,STL-T.Greiss,12.3,15.5,9.1,-0.23,1.8,1,1,13,0,0.9,58,0,2,3.5,2.7,-171,6,51,-146,11.9,0.6,60,29,37,103,14,76,30,23,13,0.31,0.39,0.7,16.33,2.57,2.86,3.82,0.75,0.11,0.22,3.09,12.37,10.57,9.28,0.12,0.17,2.74,0.71,1.02,0.69,0.02,0.01,0.17,0.2,0.31,0.05,3.08,0.36,0.64,1,17.1,3.51,2.64,4.17,0.63,0.14,0.14,2.79,11.75,10.92,0.07,0.21,3.19,0.92,8.8,2.83,2.67,0.17,4,1.6,16.9,2.6,0,0.33,50.94,52.1,47.85,39.62,40.11,3.04,0.21,2.61,0.22,54.55,47.08,39.55,37.54,2.8,0.21,3.25,0.18,35.71,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,toffoli,t,toffoli6800wt,85900-12624,W,t,Tyler Toffoli,toffoli,13.03809466,42,6800,CGY@STL,CGY,STL,,,,,,W/UTIL,toffoli6800wt
toropchenko3500wa,33.69,A. Toropchenko,3500,W,0,STL,CGY-J.Markstrom,3.86,5,2.7,-2.24,1.1,4,0,0,0,-3.5,66,0,2,2.7,3.5,143,6,49,122,4.1,-1.1,35,9,28,96,4.7,53,23,46,13,0.06,0.08,0.14,10.28,0.82,1.18,1.54,0.77,0.05,0.54,1.72,6.97,9.82,5.38,0,0,0.05,0,0.02,0,0,0,0.06,0.08,0.32,0,1,0.07,0.21,0.29,10.2,1.71,0.86,1.08,0.8,0.08,0.64,1.5,6.83,9.25,0,0,0.09,0,7.43,1.57,1,0.57,1.29,0.14,10.94,0.09,0,0,39.65,40.11,39.62,47.85,52.1,2.94,0.27,3.3,0.18,37.54,39.55,47.08,54.55,2.92,0.34,2.6,0.27,53.8,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,toropchenko,a,toropchenko3500wa,85900-81984,W,a,Alexey Toropchenko,toropchenko,4.027586312,29,3500,CGY@STL,STL,CGY,,,,,,W/UTIL,toropchenko3500wa
trenin4700wy,75.04,Yakov Trenin,4700,W,0,NAS,MTL-S.Montembeault,7.24,9.2,5.3,-1.2,1.5,4,0,1,0,-1.1,6,2,1,3.8,2.9,-176,6.5,69,-156,6.6,-0.1,56,18,36,87,7.9,57,14,35,14,0.19,0.11,0.3,14.68,1.23,1.8,2.58,0.7,0.11,0.4,2.19,11.64,11.22,8.75,0,0,0.07,0,0.05,0,0.01,0,0.18,0.11,0.63,0.02,1.83,0.2,0.27,0.47,14.19,1.99,2.07,2.93,0.71,0.1,0.4,2.47,13,11.69,0,0,0.02,0,12.71,2.29,2.14,0.14,2.71,0,13.96,0.03,0,0,45.56,43.73,46.07,47.02,40.96,3.35,0.21,3.55,0.24,44.85,46.31,51.46,37.92,3.17,0.18,3.83,0.43,38,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,trenin,y,trenin4700wy,85900-66408,W,y,Yakov Trenin,trenin,6.982856968,35,4700,NSH@MON,NSH,MON,,,,,,W/UTIL,trenin4700wy
trocheck6500cv,70.87,Vincent Trocheck,6500,C,0,NYR,DAL-JOettinger,12.06,15.2,9,0.1,1.9,2,1,11,0,-7.5,51,0,2,2.9,2.7,-122,5.5,50,-118,11.5,1,60,30,39,103,13.2,75,33,25,12,0.32,0.35,0.66,18.92,2.09,2.63,3.87,0.68,0.12,0.53,3.16,13.76,11.92,10.4,0.12,0.11,3.26,0.79,1.09,0.73,0.01,0,0.19,0.24,0.68,0.02,2.58,0.31,0.62,0.92,20.09,2.75,2.62,4.08,0.64,0.12,0.62,3.23,15.08,14.75,0.23,0,3.37,1.08,16.17,4.67,4,0.67,5.5,1.83,20.6,3.86,0.17,0,48.75,44.63,47.36,45.96,45.58,2.82,0.26,2.92,0.19,44.77,51.69,45.54,47.46,3.15,0.24,2.58,0.26,46.83,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,trocheck,v,trocheck6500cv,85900-15283,C,v,Vincent Trocheck,trocheck,12.85952323,42,6500,DAL@NYR,NYR,DAL,,,,,,C/UTIL,trocheck6500cv
trouba6000dj,71.25,Jacob Trouba,6000,D,0,NYR,DAL-J.Oettinger,11.16,14,8.3,-0.72,1.9,2,2,8,0,-2.2,82,0,2,2.9,2.7,-122,5.5,50,-118,11.6,0.1,68,20,29,103,12.9,66,25,33,12,0.08,0.31,0.4,22.35,1.07,2.66,3.5,0.76,0.03,2.36,5.02,17.57,17.16,13.26,0.01,0.03,1.15,0.21,0.28,0.76,0.01,0.03,0.07,0.25,0.94,0.01,1.76,0.23,0.23,0.46,21.46,1.29,2.23,3.17,0.7,0.1,2.46,4.69,17.17,16.75,0.08,0.08,1.14,0.17,18.33,4.33,1.83,2.5,2.5,0.17,21.65,1.44,0.17,0.17,48.75,44.63,47.36,45.96,45.58,2.82,0.26,2.92,0.19,44.77,51.69,45.54,47.46,3.15,0.24,2.58,0.26,46.83,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,trouba,j,trouba6000dj,85900-39245,D,j,Jacob Trouba,trouba,11.30000015,42,6000,DAL@NYR,NYR,DAL,,,,,,D/UTIL,trouba6000dj
tuch8400wa,85.59,Alex Tuch,8400,W,0,BUF,WPG-C.Hellebuyck,15.01,18.8,11.2,-0.64,1.8,1,1,12,0,-1.2,16,0,2,3.2,3.5,111,6.5,44,108,14.9,2.2,77,37,22,86,21.6,81,54,18,11,0.36,0.57,0.93,18.68,2.99,2.86,4,0.72,0.13,0.8,3.66,13.37,11.86,10.36,0.07,0.16,3.23,0.4,0.65,0.62,0.01,0,0.28,0.41,0.19,0.06,2.87,0.64,0.91,1.55,19.84,4.69,3.27,4.64,0.71,0.19,0.73,4,15.3,13.1,0.18,0.36,3.4,0.64,15.86,3.43,2.86,0.57,4.29,0.57,20.15,3.16,0,0.14,44.12,43.1,46.21,42.66,43.76,3.19,0.26,2.86,0.21,43.18,43.92,44.45,45.83,3.27,0.31,2.82,0.26,50,1/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WPG,tuch,a,tuch8400wa,85900-70168,W,a,Alex Tuch,tuch,16.90512789,39,8400,WPG@BUF,BUF,WPG,,,,,,W/UTIL,tuch8400wa
