entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,,,,
2922051177,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-22038,81398-54140,81398-80001,81398-41305,81398-85671,81398-90576,81398-86811,81398-42104,81398-12549,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
2922051180,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-69531,81398-39280,81398-54140,81398-85671,81398-90576,81398-93408,81398-56265,81398-52613,81398-12542,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
2922051181,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-22038,81398-52922,81398-55552,81398-55635,81398-85671,81398-90576,81398-40126,81398-39829,81398-12540,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
2922051182,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-6498,81398-54140,81398-55050,81398-39716,81398-52613,81398-85671,81398-72725,81398-40687,81398-12548,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
2922051184,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-22038,81398-111540,81398-52922,81398-60858,81398-73048,81398-85671,81398-41872,81398-56018,81398-12546,,,,,,,,,,,,,,,,,,,
2922051187,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-22038,81398-111540,81398-80001,81398-56018,81398-71246,81398-85671,81398-41872,81398-32384,81398-12540,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
2922051188,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-6498,81398-54140,81398-70603,81398-27050,81398-32384,81398-85671,81398-130270,81398-42104,81398-12540,,81398-79970:Cooper Kupp,81398-79970,WR,Cooper,Cooper Kupp,Kupp,21.29999924,4,9500,DAL@LAR,LAR,DAL,,,,,,WR/FLEX
2922051189,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-22038,81398-54140,81398-55552,81398-56018,81398-85671,81398-94534,81398-41872,81398-52922,81398-12540,,81398-53562:Nick Chubb,81398-53562,RB,Nick,Nick Chubb,Chubb,20.64999962,4,9400,LAC@CLE,CLE,LAC,,,,,,RB/FLEX
2922051191,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-14225,81398-54140,81398-80001,81398-25079,81398-52613,81398-90576,81398-60451,81398-42104,81398-12538,,81398-80001:Austin Ekeler,81398-80001,RB,Austin,Austin Ekeler,Ekeler,16.07500076,4,9000,LAC@CLE,LAC,CLE,,,,,,RB/FLEX
2922051192,81398-259016621,$30K Sun NFL Pooch Punt (150 Entries Max),81398-6498,81398-39280,81398-70603,81398-25079,81398-52613,81398-55635,81398-45565,81398-111540,81398-12548,,81398-62239:Josh Allen,81398-62239,QB,Josh,Josh Allen,Allen,28.59499931,4,9000,PIT@BUF,BUF,PIT,,,,,,QB
