entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,"","Instructions"
"2945898786","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-27050:Tyler Lockett,82292-27050,WR,Tyler,Tyler Lockett,Lockett,11.042857578822545,7,7600,NYG@SEA,SEA,NYG,,,,,,WR/FLEX
"2945898787","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-63519:Daniel Jones,82292-63519,QB,Daniel,Daniel Jones,Jones,17.317143031529017,7,7500,NYG@SEA,NYG,SEA,,,,,,QB
"2945898788","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-91598:D'Andre Swift,82292-91598,RB,D'Andre,D'Andre Swift,Swift,15.59999974568685,3,7500,MIA@DET,DET,MIA,Q,Shoulder,,,,RB/FLEX
"2945898789","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-45631:Jamaal Williams,82292-45631,RB,Jamaal,Jamaal Williams,Williams,13.583333333333334,6,7500,MIA@DET,DET,MIA,,,,,,RB/FLEX
"2945898790","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-86631:CeeDee Lamb,82292-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.357142857142858,7,7500,CHI@DAL,DAL,CHI,,,,,,WR/FLEX
"2945898792","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-71845:Miles Sanders,82292-71845,RB,Miles,Miles Sanders,Sanders,13.699999491373697,6,7400,PIT@PHI,PHI,PIT,,,,,,RB/FLEX
"2945898793","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-86055:Dameon Pierce,82292-86055,RB,Dameon,Dameon Pierce,Pierce,14.183333079020182,6,7300,TEN@HOU,HOU,TEN,,,,,,RB/FLEX
"2945898794","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-38435:Jared Goff,82292-38435,QB,Jared,Jared Goff,Goff,17.003332773844402,6,7300,MIA@DET,DET,MIA,,,,,,QB
"2945898795","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-56018:Deebo Samuel,82292-56018,WR,Deebo,Deebo Samuel,Samuel,12.071428571428571,7,7300,SF@LAR,SF,LAR,Q,Hamstring,,,,WR/FLEX
"2945898797","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-45859:Derek Carr,82292-45859,QB,Derek,Derek Carr,Carr,16.599999745686848,6,7200,LV@NO,LV,NO,,,,,,QB
"2945898800","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-86997:Amon-Ra St. Brown,82292-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,13.260000610351563,5,7200,MIA@DET,DET,MIA,Q,Head,,,,WR/FLEX
"2945898802","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-31716:Dak Prescott,82292-31716,QB,Dak,Dak Prescott,Prescott,8.869999885559082,2,7200,CHI@DAL,DAL,CHI,,,,,,QB
"2945898804","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-24849:Jameis Winston,82292-24849,QB,Jameis,Jameis Winston,Winston,16.306666056315105,3,7100,LV@NO,NO,LV,,,,,,QB
"2945898805","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-54604:Jimmy Garoppolo,82292-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,15.706666310628256,6,7100,SF@LAR,SF,LAR,,,,,,QB
"2945898807","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-69213:Michael Pittman Jr.,82292-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.25,6,7100,WAS@IND,IND,WAS,,,,,,WR/FLEX
"2945898809","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-38791:Ezekiel Elliott,82292-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,10.642857142857142,7,7100,CHI@DAL,DAL,CHI,Q,Knee,,,,RB/FLEX
"2945898810","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-14225:Andy Dalton,82292-14225,QB,Andy,Andy Dalton,Dalton,16.15999984741211,4,7100,LV@NO,NO,LV,,,,,,QB
"2945898812","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-64576:Damien Harris,82292-64576,RB,Damien,Damien Harris,Harris,8.700000127156576,6,7000,NE@NYJ,NE,NYJ,,,,,,RB/FLEX
"2945898813","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-73048:DK Metcalf,82292-73048,WR,DK,DK Metcalf,Metcalf,9.32857186453683,7,7000,NYG@SEA,SEA,NYG,Q,Knee,,,,WR/FLEX
"2945898814","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-6654:Matthew Stafford,82292-6654,QB,Matthew,Matthew Stafford,Stafford,12.289999643961588,6,7000,SF@LAR,LAR,SF,,,,,,QB
"2945898815","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-103064:Breece Hall,82292-103064,RB,Breece,Breece Hall,Hall,15.085714067731585,7,7000,NE@NYJ,NYJ,NE,IR,Knee - acl,,,,RB/FLEX
"2945898817","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-40687:James Conner,82292-40687,RB,James,James Conner,Conner,8.65999984741211,5,7000,ARI@MIN,ARI,MIN,Q,Ribs,,,,RB/FLEX
"2945898819","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-85762:Eno Benjamin,82292-85762,RB,Eno,Eno Benjamin,Benjamin,9.228571210588727,7,7000,ARI@MIN,ARI,MIN,,,,,,RB/FLEX
"2945898821","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-26483:Geno Smith,82292-26483,QB,Geno,Geno Smith,Smith,18.097142900739396,7,7000,NYG@SEA,SEA,NYG,,,,,,QB
"2945898822","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-28573:Michael Thomas,82292-28573,WR,Michael,Michael Thomas,Thomas,14.366666158040365,3,7000,LV@NO,NO,LV,Q,Foot,,,,WR/FLEX
"2945898823","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-90576:DeVonta Smith,82292-90576,WR,DeVonta,DeVonta Smith,Smith,11.366666158040365,6,6900,PIT@PHI,PHI,PIT,,,,,,WR/FLEX
"2945898824","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-29358:Marcus Mariota,82292-29358,QB,Marcus,Marcus Mariota,Mariota,15.837142944335938,7,6900,CAR@ATL,ATL,CAR,,,,,,QB
"2945898825","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-87770:Chris Olave,82292-87770,WR,Chris,Chris Olave,Olave,12.916666666666666,6,6900,LV@NO,NO,LV,,,,,,WR/FLEX
"2945898826","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-39793:George Kittle,82292-39793,TE,George,George Kittle,Kittle,8.9,5,6900,SF@LAR,SF,LAR,,,,,,TE/FLEX
"2945898827","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-28744:Raheem Mostert,82292-28744,RB,Raheem,Raheem Mostert,Mostert,9.457142421177455,7,6800,MIA@DET,MIA,DET,,,,,,RB/FLEX
"2945898828","82292-259667884","$25K Sun NFL Pooch Punt (150 Entries Max)","","","","","","","","","","",82292-6616:Matt Ryan,82292-6616,QB,Matt,Matt Ryan,Ryan,14.63142830984933,7,6800,WAS@IND,IND,WAS,O,Shoulder,,,,QB
