Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (26809662),Connor McDavid,26809662,C/UTIL,9800,BOS@EDM 02/27/2023 08:30PM ET,EDM,22.08
C,Nathan MacKinnon (26809664),Nathan MacKinnon,26809664,C/UTIL,9300,VGK@COL 02/27/2023 09:00PM ET,COL,20.15
RW,David Pastrnak (26809772),David Pastrnak,26809772,W/UTIL,9100,BOS@EDM 02/27/2023 08:30PM ET,BOS,19.30
G,Jake Oettinger (26810236),Jake Oettinger,26810236,G,8500,VAN@DAL 02/27/2023 08:30PM ET,DAL,15.79
G,Scott Wedgewood (26810237),Scott Wedgewood,26810237,G,8500,VAN@DAL 02/27/2023 08:30PM ET,DAL,13.45
RW,Leon Draisaitl (26809774),Leon Draisaitl,26809774,W/UTIL,8400,BOS@EDM 02/27/2023 08:30PM ET,EDM,16.20
LW,Jason Robertson (26809776),Jason Robertson,26809776,W/UTIL,8300,VAN@DAL 02/27/2023 08:30PM ET,DAL,15.9
G,Cam Talbot (26810238),Cam Talbot,26810238,G,8200,DET@OTT 02/27/2023 07:00PM ET,OTT,11.33
G,Mads Sogaard (26810239),Mads Sogaard,26810239,G,8200,DET@OTT 02/27/2023 07:00PM ET,OTT,14.8
G,Linus Ullmark (26810240),Linus Ullmark,26810240,G,8100,BOS@EDM 02/27/2023 08:30PM ET,BOS,18.46
G,Alexandar Georgiev (26810241),Alexandar Georgiev,26810241,G,8000,VGK@COL 02/27/2023 09:00PM ET,COL,16.76
G,Jeremy Swayman (26810242),Jeremy Swayman,26810242,G,7900,BOS@EDM 02/27/2023 08:30PM ET,BOS,12.81
G,Justus Annunen (26810243),Justus Annunen,26810243,G,7800,VGK@COL 02/27/2023 09:00PM ET,COL,15.8
G,John Gibson (26810244),John Gibson,26810244,G,7800,CHI@ANH 02/27/2023 10:00PM ET,ANH,14.75
G,Lukas Dostal (26810245),Lukas Dostal,26810245,G,7800,CHI@ANH 02/27/2023 10:00PM ET,ANH,13.69
G,Petr Mrazek (26810246),Petr Mrazek,26810246,G,7600,CHI@ANH 02/27/2023 10:00PM ET,CHI,11.12
G,Jaxson Stauber (26810247),Jaxson Stauber,26810247,G,7600,CHI@ANH 02/27/2023 10:00PM ET,CHI,15.38
RW,Mikko Rantanen (26809778),Mikko Rantanen,26809778,W/UTIL,7500,VGK@COL 02/27/2023 09:00PM ET,COL,16.33
C,Elias Pettersson (26809666),Elias Pettersson,26809666,C/UTIL,7400,VAN@DAL 02/27/2023 08:30PM ET,VAN,16.38
G,Adin Hill (26810248),Adin Hill,26810248,G,7400,VGK@COL 02/27/2023 09:00PM ET,VGK,12.26
G,Laurent Brossoit (26810249),Laurent Brossoit,26810249,G,7400,VGK@COL 02/27/2023 09:00PM ET,VGK,21.2
G,Stuart Skinner (26810250),Stuart Skinner,26810250,G,7300,BOS@EDM 02/27/2023 08:30PM ET,EDM,14.40
