Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (27282463),Connor McDavid,27282463,C/UTIL,10200,ANH@EDM 04/01/2023 10:00PM ET,EDM,21.68
C,Nathan MacKinnon (27282465),Nathan MacKinnon,27282465,C/UTIL,9700,DAL@COL 04/01/2023 09:00PM ET,COL,20.02
C,Auston Matthews (27282467),Auston Matthews,27282467,C/UTIL,9200,TOR@OTT 04/01/2023 07:00PM ET,TOR,17.91
RW,Matthew Tkachuk (27282745),Matthew Tkachuk,27282745,W/UTIL,8700,FLA@CLS 04/01/2023 07:00PM ET,FLA,16.99
C,Jack Hughes (27282469),Jack Hughes,27282469,C/UTIL,8600,NJ@CHI 04/01/2023 08:00PM ET,NJ,17.06
G,Stuart Skinner (27283767),Stuart Skinner,27283767,G,8500,ANH@EDM 04/01/2023 10:00PM ET,EDM,14.59
G,Vitek Vanecek (27283768),Vitek Vanecek,27283768,G,8400,NJ@CHI 04/01/2023 08:00PM ET,NJ,12.78
C,Leon Draisaitl (27282471),Leon Draisaitl,27282471,C/UTIL,8400,ANH@EDM 04/01/2023 10:00PM ET,EDM,16.66
G,Jack Campbell (27283769),Jack Campbell,27283769,G,8300,ANH@EDM 04/01/2023 10:00PM ET,EDM,9.74
G,Frederik Andersen (27283770),Frederik Andersen,27283770,G,8300,CAR@MON 04/01/2023 07:00PM ET,CAR,11.53
G,Antti Raanta (27283771),Antti Raanta,27283771,G,8300,CAR@MON 04/01/2023 07:00PM ET,CAR,12.41
RW,Nikita Kucherov (27282747),Nikita Kucherov,27282747,W/UTIL,8300,NYI@TB 04/01/2023 07:00PM ET,TB,14.61
G,MacKenzie Blackwood (27283772),MacKenzie Blackwood,27283772,G,8200,NJ@CHI 04/01/2023 08:00PM ET,NJ,11.47
LW,Jason Robertson (27282749),Jason Robertson,27282749,W/UTIL,8200,DAL@COL 04/01/2023 09:00PM ET,DAL,15.95
G,Sergei Bobrovsky (27283773),Sergei Bobrovsky,27283773,G,8200,FLA@CLS 04/01/2023 07:00PM ET,FLA,11.84
G,Andrei Vasilevskiy (27283774),Andrei Vasilevskiy,27283774,G,8100,NYI@TB 04/01/2023 07:00PM ET,TB,15.62
LW,Kirill Kaprizov (27282751),Kirill Kaprizov,27282751,W/UTIL,8100,MIN@VGK 04/01/2023 10:00PM ET,MIN,15.81
G,Alexandar Georgiev (27283775),Alexandar Georgiev,27283775,G,8000,DAL@COL 04/01/2023 09:00PM ET,COL,16.08
G,Alex Lyon (27283778),Alex Lyon,27283778,G,8000,FLA@CLS 04/01/2023 07:00PM ET,FLA,11.87
G,Mack Guzda (27283779),Mack Guzda,27283779,G,8000,FLA@CLS 04/01/2023 07:00PM ET,FLA,0
G,Ilya Samsonov (27283776),Ilya Samsonov,27283776,G,8000,TOR@OTT 04/01/2023 07:00PM ET,TOR,14.19
G,Matt Murray (27283777),Matt Murray,27283777,G,8000,TOR@OTT 04/01/2023 07:00PM ET,TOR,13.18
C,Tage Thompson (27282473),Tage Thompson,27282473,C/UTIL,8000,BUF@PHI 04/01/2023 07:00PM ET,BUF,15.82
G,Kaapo Kahkonen (27283783),Kaapo Kahkonen,27283783,G,7900,SJ@ARI 04/01/2023 10:00PM ET,SJ,8.49
G,James Reimer (27283784),James Reimer,27283784,G,7900,SJ@ARI 04/01/2023 10:00PM ET,SJ,11.33
RW,Mikko Rantanen (27282753),Mikko Rantanen,27282753,W/UTIL,7900,DAL@COL 04/01/2023 09:00PM ET,COL,15.85
G,Eric Comrie (27283781),Eric Comrie,27283781,G,7900,BUF@PHI 04/01/2023 07:00PM ET,BUF,11.06
G,Ukko-Pekka Luukkonen (27283782),Ukko-Pekka Luukkonen,27283782,G,7900,BUF@PHI 04/01/2023 07:00PM ET,BUF,11.59
G,Brian Elliott (27283780),Brian Elliott,27283780,G,7900,NYI@TB 04/01/2023 07:00PM ET,TB,11.87
G,Jonas Johansson (27283785),Jonas Johansson,27283785,G,7800,DAL@COL 04/01/2023 09:00PM ET,COL,14.03
LW,Brady Tkachuk (27282755),Brady Tkachuk,27282755,W/UTIL,7800,TOR@OTT 04/01/2023 07:00PM ET,OTT,14.74
G,Philipp Grubauer (27283787),Philipp Grubauer,27283787,G,7800,LA@SEA 04/01/2023 10:00PM ET,SEA,8.65
G,Martin Jones (27283789),Martin Jones,27283789,G,7800,LA@SEA 04/01/2023 10:00PM ET,SEA,9.20
G,Jonathan Quick (27283786),Jonathan Quick,27283786,G,7800,MIN@VGK 04/01/2023 10:00PM ET,VGK,8.35
G,Laurent Brossoit (27283788),Laurent Brossoit,27283788,G,7800,MIN@VGK 04/01/2023 10:00PM ET,VGK,13.33
LW,Timo Meier (27282757),Timo Meier,27282757,W/UTIL,7700,NJ@CHI 04/01/2023 08:00PM ET,NJ,14.67
C,Jack Eichel (27282475),Jack Eichel,27282475,C/UTIL,7700,MIN@VGK 04/01/2023 10:00PM ET,VGK,13.49
RW,Travis Konecny (27282759),Travis Konecny,27282759,W/UTIL,7600,BUF@PHI 04/01/2023 07:00PM ET,PHI,13.95
G,Pheonix Copley (27283790),Pheonix Copley,27283790,G,7600,LA@SEA 04/01/2023 10:00PM ET,LA,11.81
G,Joonas Korpisalo (27283792),Joonas Korpisalo,27283792,G,7600,LA@SEA 04/01/2023 10:00PM ET,LA,14.78
G,Filip Gustavsson (27283791),Filip Gustavsson,27283791,G,7600,MIN@VGK 04/01/2023 10:00PM ET,MIN,17.03
