Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (26752216),Connor McDavid,26752216,C/UTIL,9700,PHI@EDM 02/21/2023 09:00PM ET,EDM,20.89
LW,Alex Ovechkin (26752424),Alex Ovechkin,26752424,W/UTIL,9000,DET@WAS 02/21/2023 07:00PM ET,WAS,15.62
C,Jack Hughes (26752218),Jack Hughes,26752218,C/UTIL,8800,MON@NJ 02/21/2023 07:00PM ET,NJ,17.94
C,Auston Matthews (26752220),Auston Matthews,26752220,C/UTIL,8700,TOR@BUF 02/21/2023 07:30PM ET,TOR,17.37
D,Roman Josi (26752876),Roman Josi,26752876,D/UTIL,8600,VAN@NSH 02/21/2023 08:00PM ET,NSH,17.98
C,Tage Thompson (26752222),Tage Thompson,26752222,C/UTIL,8500,TOR@BUF 02/21/2023 07:30PM ET,BUF,16.84
G,Andrei Vasilevskiy (26753238),Andrei Vasilevskiy,26753238,G,8500,ANH@TB 02/21/2023 07:00PM ET,TB,16.17
G,Vitek Vanecek (26753239),Vitek Vanecek,26753239,G,8400,MON@NJ 02/21/2023 07:00PM ET,NJ,13.78
G,Brian Elliott (26753242),Brian Elliott,26753242,G,8300,ANH@TB 02/21/2023 07:00PM ET,TB,14.46
G,Frederik Andersen (26753240),Frederik Andersen,26753240,G,8300,STL@CAR 02/21/2023 07:00PM ET,CAR,11.92
G,Antti Raanta (26753241),Antti Raanta,26753241,G,8300,STL@CAR 02/21/2023 07:00PM ET,CAR,12.00
G,MacKenzie Blackwood (26753243),MacKenzie Blackwood,26753243,G,8200,MON@NJ 02/21/2023 07:00PM ET,NJ,11.38
G,Stuart Skinner (26753244),Stuart Skinner,26753244,G,8200,PHI@EDM 02/21/2023 09:00PM ET,EDM,14.84
G,Adin Hill (26753245),Adin Hill,26753245,G,8100,VGK@CHI 02/21/2023 08:30PM ET,VGK,12.26
G,Darcy Kuemper (26753246),Darcy Kuemper,26753246,G,8000,DET@WAS 02/21/2023 07:00PM ET,WAS,13.53
G,Charlie Lindgren (26753247),Charlie Lindgren,26753247,G,8000,DET@WAS 02/21/2023 07:00PM ET,WAS,11.67
G,Jack Campbell (26753248),Jack Campbell,26753248,G,8000,PHI@EDM 02/21/2023 09:00PM ET,EDM,10.43
G,Ilya Samsonov (26753250),Ilya Samsonov,26753250,G,7900,TOR@BUF 02/21/2023 07:30PM ET,TOR,14.56
G,Joseph Woll (26753251),Joseph Woll,26753251,G,7900,TOR@BUF 02/21/2023 07:30PM ET,TOR,18.5
G,Laurent Brossoit (26753249),Laurent Brossoit,26753249,G,7900,VGK@CHI 02/21/2023 08:30PM ET,VGK,0
C,Leon Draisaitl (26752224),Leon Draisaitl,26752224,C/UTIL,7900,PHI@EDM 02/21/2023 09:00PM ET,EDM,16
C,Elias Pettersson (26752226),Elias Pettersson,26752226,C/UTIL,7800,VAN@NSH 02/21/2023 08:00PM ET,VAN,16.27
G,Juuse Saros (26753252),Juuse Saros,26753252,G,7800,VAN@NSH 02/21/2023 08:00PM ET,NSH,15.28
G,Kevin Lankinen (26753253),Kevin Lankinen,26753253,G,7800,VAN@NSH 02/21/2023 08:00PM ET,NSH,14.79
G,Filip Gustavsson (26753254),Filip Gustavsson,26753254,G,7800,LA@MIN 02/21/2023 08:00PM ET,MIN,15.10
RW,Nikita Kucherov (26752426),Nikita Kucherov,26752426,W/UTIL,7700,ANH@TB 02/21/2023 07:00PM ET,TB,15.20
D,Dougie Hamilton (26752878),Dougie Hamilton,26752878,D/UTIL,7700,MON@NJ 02/21/2023 07:00PM ET,NJ,14.12
C,Jack Eichel (26752228),Jack Eichel,26752228,C/UTIL,7700,VGK@CHI 02/21/2023 08:30PM ET,VGK,13.57
G,Collin Delia (26753255),Collin Delia,26753255,G,7600,VAN@NSH 02/21/2023 08:00PM ET,VAN,8.66
G,Arturs Silovs (26753256),Arturs Silovs,26753256,G,7600,VAN@NSH 02/21/2023 08:00PM ET,VAN,12.2
G,Pheonix Copley (26753257),Pheonix Copley,26753257,G,7600,LA@MIN 02/21/2023 08:00PM ET,LA,12.84
G,Marc-Andre Fleury (26753258),Marc-Andre Fleury,26753258,G,7600,LA@MIN 02/21/2023 08:00PM ET,MIN,11.75
LW,Zach Hyman (26752428),Zach Hyman,26752428,W/UTIL,7600,PHI@EDM 02/21/2023 09:00PM ET,EDM,15.14
G,Ukko-Pekka Luukkonen (26753259),Ukko-Pekka Luukkonen,26753259,G,7500,TOR@BUF 02/21/2023 07:30PM ET,BUF,13.36
G,Craig Anderson (26753260),Craig Anderson,26753260,G,7500,TOR@BUF 02/21/2023 07:30PM ET,BUF,15.06
RW,Travis Konecny (26752430),Travis Konecny,26752430,W/UTIL,7500,PHI@EDM 02/21/2023 09:00PM ET,PHI,13.95
G,Ville Husso (26753262),Ville Husso,26753262,G,7400,DET@WAS 02/21/2023 07:00PM ET,DET,12.84
RW,Jordan Kyrou (26752432),Jordan Kyrou,26752432,W/UTIL,7400,STL@CAR 02/21/2023 07:00PM ET,STL,13.87
G,Jonathan Quick (26753261),Jonathan Quick,26753261,G,7400,LA@MIN 02/21/2023 08:00PM ET,LA,7.89
C,Steven Stamkos (26752230),Steven Stamkos,26752230,C/UTIL,7300,ANH@TB 02/21/2023 07:00PM ET,TB,14.27
LW,Kirill Kaprizov (26752434),Kirill Kaprizov,26752434,W/UTIL,7300,LA@MIN 02/21/2023 08:00PM ET,MIN,15.70
G,Petr Mrazek (26753263),Petr Mrazek,26753263,G,7300,VGK@CHI 02/21/2023 08:30PM ET,CHI,9.70
G,Jaxson Stauber (26753264),Jaxson Stauber,26753264,G,7300,VGK@CHI 02/21/2023 08:30PM ET,CHI,15.3
RW,William Nylander (26752436),William Nylander,26752436,W/UTIL,7200,TOR@BUF 02/21/2023 07:30PM ET,TOR,14.51
D,Rasmus Dahlin (26752882),Rasmus Dahlin,26752882,D/UTIL,7200,TOR@BUF 02/21/2023 07:30PM ET,BUF,14.72
D,John Carlson (26752880),John Carlson,26752880,D/UTIL,7200,DET@WAS 02/21/2023 07:00PM ET,WAS,14.78
G,Magnus Hellberg (26753267),Magnus Hellberg,26753267,G,7200,DET@WAS 02/21/2023 07:00PM ET,DET,10.3
G,Carter Hart (26753265),Carter Hart,26753265,G,7200,PHI@EDM 02/21/2023 09:00PM ET,PHI,13.03
G,Samuel Ersson (26753266),Samuel Ersson,26753266,G,7200,PHI@EDM 02/21/2023 09:00PM ET,PHI,13
LW,John Tavares (26752438),John Tavares,26752438,W/UTIL,7100,TOR@BUF 02/21/2023 07:30PM ET,TOR,13.51
C,Sebastian Aho (26752232),Sebastian Aho,26752232,C/UTIL,7100,STL@CAR 02/21/2023 07:00PM ET,CAR,12.92
G,Jordan Binnington (26753268),Jordan Binnington,26753268,G,7100,STL@CAR 02/21/2023 07:00PM ET,STL,10.96
G,Thomas Greiss (26753269),Thomas Greiss,26753269,G,7100,STL@CAR 02/21/2023 07:00PM ET,STL,12.32
D,Alex Pietrangelo (26752884),Alex Pietrangelo,26752884,D/UTIL,7100,VGK@CHI 02/21/2023 08:30PM ET,VGK,13.18
RW,Alex Tuch (26752440),Alex Tuch,26752440,W/UTIL,7000,TOR@BUF 02/21/2023 07:30PM ET,BUF,12.95
C,Brayden Point (26752234),Brayden Point,26752234,C/UTIL,7000,ANH@TB 02/21/2023 07:00PM ET,TB,13.22
G,Jake Allen (26753270),Jake Allen,26753270,G,7000,MON@NJ 02/21/2023 07:00PM ET,MON,11.55
G,Sam Montembeault (26753271),Sam Montembeault,26753271,G,7000,MON@NJ 02/21/2023 07:00PM ET,MON,14.45
G,John Gibson (26753272),John Gibson,26753272,G,6900,ANH@TB 02/21/2023 07:00PM ET,ANH,13.75
G,Lukas Dostal (26753273),Lukas Dostal,26753273,G,6900,ANH@TB 02/21/2023 07:00PM ET,ANH,14.32
LW,Kevin Fiala (26752442),Kevin Fiala,26752442,W/UTIL,6900,LA@MIN 02/21/2023 08:00PM ET,LA,12.77
LW,Jeff Skinner (26752444),Jeff Skinner,26752444,W/UTIL,6800,TOR@BUF 02/21/2023 07:30PM ET,BUF,12.15
C,Dylan Larkin (26752236),Dylan Larkin,26752236,C/UTIL,6700,DET@WAS 02/21/2023 07:00PM ET,DET,13.01
LW,Andrei Svechnikov (26752446),Andrei Svechnikov,26752446,W/UTIL,6700,STL@CAR 02/21/2023 07:00PM ET,CAR,11.77
D,Brent Burns (26752886),Brent Burns,26752886,D/UTIL,6700,STL@CAR 02/21/2023 07:00PM ET,CAR,11.60
LW,Evander Kane (26752448),Evander Kane,26752448,W/UTIL,6700,PHI@EDM 02/21/2023 09:00PM ET,EDM,12.73
RW,Mats Zuccarello (26752450),Mats Zuccarello,26752450,W/UTIL,6600,LA@MIN 02/21/2023 08:00PM ET,MIN,12.38
RW,Mitchell Marner (26752454),Mitchell Marner,26752454,W/UTIL,6500,TOR@BUF 02/21/2023 07:30PM ET,TOR,11.99
