Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RW,David Pastrnak (26536365),David Pastrnak,26536365,W/UTIL,9600,BOS@TB 01/26/2023 07:00PM ET,BOS,20.04
C,Nathan MacKinnon (26536151),Nathan MacKinnon,26536151,C/UTIL,9500,ANH@COL 01/26/2023 09:00PM ET,COL,19.52
C,Tage Thompson (26536153),Tage Thompson,26536153,C/UTIL,8900,BUF@WPG 01/26/2023 08:00PM ET,BUF,17.67
LW,Alex Ovechkin (26536367),Alex Ovechkin,26536367,W/UTIL,8600,PIT@WAS 01/26/2023 07:00PM ET,WAS,16.26
G,Alexandar Georgiev (26537153),Alexandar Georgiev,26537153,G,8500,ANH@COL 01/26/2023 09:00PM ET,COL,16.28
G,Pavel Francouz (26537154),Pavel Francouz,26537154,G,8500,ANH@COL 01/26/2023 09:00PM ET,COL,15.87
D,Roman Josi (26536813),Roman Josi,26536813,D/UTIL,8400,NJ@NSH 01/26/2023 08:00PM ET,NSH,17.74
RW,Mikko Rantanen (26536369),Mikko Rantanen,26536369,W/UTIL,8400,ANH@COL 01/26/2023 09:00PM ET,COL,16.41
G,Jacob Markstrom (26537155),Jacob Markstrom,26537155,G,8400,CHI@CGY 01/26/2023 09:00PM ET,CGY,9.63
G,Dan Vladar (26537156),Dan Vladar,26537156,G,8400,CHI@CGY 01/26/2023 09:00PM ET,CGY,12.03
C,Jack Hughes (26536155),Jack Hughes,26536155,C/UTIL,8300,NJ@NSH 01/26/2023 08:00PM ET,NJ,17.35
G,Marc-Andre Fleury (26537157),Marc-Andre Fleury,26537157,G,8300,PHI@MIN 01/26/2023 08:00PM ET,MIN,12.18
G,Filip Gustavsson (26537158),Filip Gustavsson,26537158,G,8300,PHI@MIN 01/26/2023 08:00PM ET,MIN,15.02
G,Connor Hellebuyck (26537159),Connor Hellebuyck,26537159,G,8200,BUF@WPG 01/26/2023 08:00PM ET,WPG,16.96
RW,Travis Konecny (26536371),Travis Konecny,26536371,W/UTIL,8200,PHI@MIN 01/26/2023 08:00PM ET,PHI,15.02
G,Jordan Binnington (26537160),Jordan Binnington,26537160,G,8100,STL@ARI 01/26/2023 09:00PM ET,STL,10.38
G,Thomas Greiss (26537161),Thomas Greiss,26537161,G,8100,STL@ARI 01/26/2023 09:00PM ET,STL,14.73
G,Ville Husso (26537163),Ville Husso,26537163,G,8000,DET@MON 01/26/2023 07:00PM ET,DET,12.22
G,David Rittich (26537162),David Rittich,26537162,G,8000,BUF@WPG 01/26/2023 08:00PM ET,WPG,13.06
RW,Nikita Kucherov (26536373),Nikita Kucherov,26536373,W/UTIL,7900,BOS@TB 01/26/2023 07:00PM ET,TB,15.97
G,Vitek Vanecek (26537164),Vitek Vanecek,26537164,G,7900,NJ@NSH 01/26/2023 08:00PM ET,NJ,13.33
G,Magnus Hellberg (26537166),Magnus Hellberg,26537166,G,7800,DET@MON 01/26/2023 07:00PM ET,DET,8.62
G,Darcy Kuemper (26537165),Darcy Kuemper,26537165,G,7800,PIT@WAS 01/26/2023 07:00PM ET,WAS,13.94
G,Linus Ullmark (26537167),Linus Ullmark,26537167,G,7700,BOS@TB 01/26/2023 07:00PM ET,BOS,18.21
G,MacKenzie Blackwood (26537168),MacKenzie Blackwood,26537168,G,7700,NJ@NSH 01/26/2023 08:00PM ET,NJ,10.39
D,Rasmus Dahlin (26536815),Rasmus Dahlin,26536815,D/UTIL,7700,BUF@WPG 01/26/2023 08:00PM ET,BUF,15.07
G,Andrei Vasilevskiy (26537170),Andrei Vasilevskiy,26537170,G,7600,BOS@TB 01/26/2023 07:00PM ET,TB,15.52
G,Brian Elliott (26537171),Brian Elliott,26537171,G,7600,BOS@TB 01/26/2023 07:00PM ET,TB,14.8
G,Charlie Lindgren (26537169),Charlie Lindgren,26537169,G,7600,PIT@WAS 01/26/2023 07:00PM ET,WAS,12.02
LW,Kirill Kaprizov (26536375),Kirill Kaprizov,26536375,W/UTIL,7600,PHI@MIN 01/26/2023 08:00PM ET,MIN,16.04
LW,Steven Stamkos (26536377),Steven Stamkos,26536377,W/UTIL,7500,BOS@TB 01/26/2023 07:00PM ET,TB,15.43
G,Jeremy Swayman (26537172),Jeremy Swayman,26537172,G,7500,BOS@TB 01/26/2023 07:00PM ET,BOS,12.12
G,Tristan Jarry (26537173),Tristan Jarry,26537173,G,7500,PIT@WAS 01/26/2023 07:00PM ET,PIT,17.30
G,Juuse Saros (26537174),Juuse Saros,26537174,G,7400,NJ@NSH 01/26/2023 08:00PM ET,NSH,16.06
G,Kevin Lankinen (26537175),Kevin Lankinen,26537175,G,7400,NJ@NSH 01/26/2023 08:00PM ET,NSH,16.1
RW,Jordan Kyrou (26536379),Jordan Kyrou,26536379,W/UTIL,7400,STL@ARI 01/26/2023 09:00PM ET,STL,14.11
G,Sam Montembeault (26537176),Sam Montembeault,26537176,G,7300,DET@MON 01/26/2023 07:00PM ET,MON,15.15
G,Casey DeSmith (26537177),Casey DeSmith,26537177,G,7300,PIT@WAS 01/26/2023 07:00PM ET,PIT,12.08
LW,Kyle Connor (26536381),Kyle Connor,26536381,W/UTIL,7300,BUF@WPG 01/26/2023 08:00PM ET,WPG,14.54
D,Cale Makar (26536817),Cale Makar,26536817,D/UTIL,7300,ANH@COL 01/26/2023 09:00PM ET,COL,14.14
C,Sidney Crosby (26536157),Sidney Crosby,26536157,C/UTIL,7200,PIT@WAS 01/26/2023 07:00PM ET,PIT,13.48
D,John Carlson (26536819),John Carlson,26536819,D/UTIL,7200,PIT@WAS 01/26/2023 07:00PM ET,WAS,14.78
LW,Nikolaj Ehlers (26536383),Nikolaj Ehlers,26536383,W/UTIL,7200,BUF@WPG 01/26/2023 08:00PM ET,WPG,13.8
G,Karel Vejmelka (26537178),Karel Vejmelka,26537178,G,7200,STL@ARI 01/26/2023 09:00PM ET,ARI,13.47
G,Cayden Primeau (26537179),Cayden Primeau,26537179,G,7100,DET@MON 01/26/2023 07:00PM ET,MON,0.7
G,Jake Allen (26537180),Jake Allen,26537180,G,7100,DET@MON 01/26/2023 07:00PM ET,MON,11.02
RW,Alex Tuch (26536385),Alex Tuch,26536385,W/UTIL,7100,BUF@WPG 01/26/2023 08:00PM ET,BUF,13.18
G,Ukko-Pekka Luukkonen (26537181),Ukko-Pekka Luukkonen,26537181,G,7100,BUF@WPG 01/26/2023 08:00PM ET,BUF,13.80
G,Craig Anderson (26537182),Craig Anderson,26537182,G,7100,BUF@WPG 01/26/2023 08:00PM ET,BUF,16.02
C,Patrice Bergeron (26536159),Patrice Bergeron,26536159,C/UTIL,7000,BOS@TB 01/26/2023 07:00PM ET,BOS,12.68
RW,Mats Zuccarello (26536387),Mats Zuccarello,26536387,W/UTIL,7000,PHI@MIN 01/26/2023 08:00PM ET,MIN,12.73
G,Carter Hart (26537184),Carter Hart,26537184,G,7000,PHI@MIN 01/26/2023 08:00PM ET,PHI,13.03
D,Jakob Chychrun (26536821),Jakob Chychrun,26536821,D/UTIL,7000,STL@ARI 01/26/2023 09:00PM ET,ARI,12.57
G,Connor Ingram (26537183),Connor Ingram,26537183,G,7000,STL@ARI 01/26/2023 09:00PM ET,ARI,10.93
D,Dougie Hamilton (26536823),Dougie Hamilton,26536823,D/UTIL,6900,NJ@NSH 01/26/2023 08:00PM ET,NJ,13.13
LW,Valeri Nichushkin (26536389),Valeri Nichushkin,26536389,W/UTIL,6900,ANH@COL 01/26/2023 09:00PM ET,COL,12.78
G,John Gibson (26537187),John Gibson,26537187,G,6900,ANH@COL 01/26/2023 09:00PM ET,ANH,12.64
G,Petr Mrazek (26537185),Petr Mrazek,26537185,G,6900,CHI@CGY 01/26/2023 09:00PM ET,CHI,9.92
G,Jaxson Stauber (26537186),Jaxson Stauber,26537186,G,6900,CHI@CGY 01/26/2023 09:00PM ET,CHI,15.8
LW,Cole Caufield (26536391),Cole Caufield,26536391,W/UTIL,6800,DET@MON 01/26/2023 07:00PM ET,MON,12.49
LW,Jake Guentzel (26536393),Jake Guentzel,26536393,W/UTIL,6800,PIT@WAS 01/26/2023 07:00PM ET,PIT,12.66
G,Felix Sandstrom (26537188),Felix Sandstrom,26537188,G,6800,PHI@MIN 01/26/2023 08:00PM ET,PHI,7.26
C,Brayden Point (26536161),Brayden Point,26536161,C/UTIL,6700,BOS@TB 01/26/2023 07:00PM ET,TB,13.08
LW,Brad Marchand (26536395),Brad Marchand,26536395,W/UTIL,6700,BOS@TB 01/26/2023 07:00PM ET,BOS,12.31
G,Anthony Stolarz (26537189),Anthony Stolarz,26537189,G,6700,ANH@COL 01/26/2023 09:00PM ET,ANH,9.15
G,Carey Price (26537194),Carey Price,26537194,G,6500,DET@MON 01/26/2023 07:00PM ET,MON,0
G,Alex Nedeljkovic (26537205),Alex Nedeljkovic,26537205,G,6500,DET@MON 01/26/2023 07:00PM ET,DET,9.49
G,Keith Kinkaid (26537193),Keith Kinkaid,26537193,G,6500,BOS@TB 01/26/2023 07:00PM ET,BOS,23.5
G,Zach Fucale (26537195),Zach Fucale,26537195,G,6500,PIT@WAS 01/26/2023 07:00PM ET,WAS,0
G,Hunter Shepard (26537196),Hunter Shepard,26537196,G,6500,PIT@WAS 01/26/2023 07:00PM ET,WAS,0
G,Dustin Tokarski (26537203),Dustin Tokarski,26537203,G,6500,PIT@WAS 01/26/2023 07:00PM ET,PIT,14.65
G,Jonathan Bernier (26537197),Jonathan Bernier,26537197,G,6500,NJ@NSH 01/26/2023 08:00PM ET,NJ,0
G,Akira Schmid (26537198),Akira Schmid,26537198,G,6500,NJ@NSH 01/26/2023 08:00PM ET,NJ,11.66
G,Nico Daws (26537199),Nico Daws,26537199,G,6500,NJ@NSH 01/26/2023 08:00PM ET,NJ,0
G,Yaroslav Askarov (26537204),Yaroslav Askarov,26537204,G,6500,NJ@NSH 01/26/2023 08:00PM ET,NSH,7.7
C,Pierre-Luc Dubois (26536163),Pierre-Luc Dubois,26536163,C/UTIL,6500,BUF@WPG 01/26/2023 08:00PM ET,WPG,12.78
LW,Jeff Skinner (26536397),Jeff Skinner,26536397,W/UTIL,6500,BUF@WPG 01/26/2023 08:00PM ET,BUF,12.59
G,Eric Comrie (26537206),Eric Comrie,26537206,G,6500,BUF@WPG 01/26/2023 08:00PM ET,BUF,9.1
G,Ben Bishop (26537207),Ben Bishop,26537207,G,6500,BUF@WPG 01/26/2023 08:00PM ET,BUF,0
G,Samuel Ersson (26537202),Samuel Ersson,26537202,G,6500,PHI@MIN 01/26/2023 08:00PM ET,PHI,14.26
G,Zane McIntyre (26537208),Zane McIntyre,26537208,G,6500,PHI@MIN 01/26/2023 08:00PM ET,MIN,0
G,Jonas Johansson (26537190),Jonas Johansson,26537190,G,6500,ANH@COL 01/26/2023 09:00PM ET,COL,4.9
G,Olle Eriksson Ek (26537200),Olle Eriksson Ek,26537200,G,6500,ANH@COL 01/26/2023 09:00PM ET,ANH,0
