Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (27193507),Connor McDavid,27193507,C/UTIL,10200,VGK@EDM 03/25/2023 10:00PM ET,EDM,22.16
C,Auston Matthews (27193509),Auston Matthews,27193509,C/UTIL,9200,TOR@CAR 03/25/2023 07:00PM ET,TOR,17.47
LW,Alex Ovechkin (27193667),Alex Ovechkin,27193667,W/UTIL,8800,WAS@PIT 03/25/2023 08:00PM ET,WAS,15.90
G,Jake Oettinger (27194337),Jake Oettinger,27194337,G,8500,VAN@DAL 03/25/2023 07:00PM ET,DAL,14.84
C,Elias Pettersson (27193511),Elias Pettersson,27193511,C/UTIL,8400,VAN@DAL 03/25/2023 07:00PM ET,VAN,16.05
G,Vitek Vanecek (27194338),Vitek Vanecek,27194338,G,8400,OTT@NJ 03/25/2023 07:00PM ET,NJ,12.68
G,Akira Schmid (27194339),Akira Schmid,27194339,G,8400,OTT@NJ 03/25/2023 07:00PM ET,NJ,11.54
G,Remi Poirier (27194340),Remi Poirier,27194340,G,8300,VAN@DAL 03/25/2023 07:00PM ET,DAL,0
G,Joel Hofer (27194341),Joel Hofer,27194341,G,8200,STL@ANH 03/25/2023 10:30PM ET,STL,19.52
C,Jack Hughes (27193513),Jack Hughes,27193513,C/UTIL,8200,OTT@NJ 03/25/2023 07:00PM ET,NJ,17.03
C,Leon Draisaitl (27193515),Leon Draisaitl,27193515,C/UTIL,8100,VGK@EDM 03/25/2023 10:00PM ET,EDM,16.67
G,Sam Montembeault (27194342),Sam Montembeault,27194342,G,8100,CLS@MON 03/25/2023 07:00PM ET,MON,13.89
G,Jordan Binnington (27194343),Jordan Binnington,27194343,G,8000,STL@ANH 03/25/2023 10:30PM ET,STL,10.78
LW,Jason Robertson (27193669),Jason Robertson,27193669,W/UTIL,8000,VAN@DAL 03/25/2023 07:00PM ET,DAL,16.02
G,Jonathan Quick (27194344),Jonathan Quick,27194344,G,8000,VGK@EDM 03/25/2023 10:00PM ET,VGK,8.60
G,Logan Thompson (27194345),Logan Thompson,27194345,G,8000,VGK@EDM 03/25/2023 10:00PM ET,VGK,14.87
G,Frederik Andersen (27194347),Frederik Andersen,27194347,G,7900,TOR@CAR 03/25/2023 07:00PM ET,CAR,11.58
G,Pyotr Kochetkov (27194348),Pyotr Kochetkov,27194348,G,7900,TOR@CAR 03/25/2023 07:00PM ET,CAR,12.63
G,Jake Allen (27194346),Jake Allen,27194346,G,7900,CLS@MON 03/25/2023 07:00PM ET,MON,10.68
G,Tristan Jarry (27194349),Tristan Jarry,27194349,G,7800,WAS@PIT 03/25/2023 08:00PM ET,PIT,13.79
G,Casey DeSmith (27194350),Casey DeSmith,27194350,G,7800,WAS@PIT 03/25/2023 08:00PM ET,PIT,12.49
LW,Brady Tkachuk (27193671),Brady Tkachuk,27193671,W/UTIL,7700,OTT@NJ 03/25/2023 07:00PM ET,OTT,14.65
LW,Timo Meier (27193673),Timo Meier,27193673,W/UTIL,7600,OTT@NJ 03/25/2023 07:00PM ET,NJ,14.91
G,Darcy Kuemper (27194351),Darcy Kuemper,27194351,G,7600,WAS@PIT 03/25/2023 08:00PM ET,WAS,13.19
G,Ilya Samsonov (27194352),Ilya Samsonov,27194352,G,7500,TOR@CAR 03/25/2023 07:00PM ET,TOR,14.31
G,Matt Murray (27194353),Matt Murray,27194353,G,7500,TOR@CAR 03/25/2023 07:00PM ET,TOR,13.64
G,Joseph Woll (27194354),Joseph Woll,27194354,G,7500,TOR@CAR 03/25/2023 07:00PM ET,TOR,19
C,Jack Eichel (27193517),Jack Eichel,27193517,C/UTIL,7400,VGK@EDM 03/25/2023 10:00PM ET,VGK,13.47
G,Stuart Skinner (27194356),Stuart Skinner,27194356,G,7400,VGK@EDM 03/25/2023 10:00PM ET,EDM,14.29
