Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Connor McDavid (27136296),Connor McDavid,27136296,C/UTIL,9900,SJ@EDM 03/20/2023 09:30PM ET,EDM,22.01
C,Nathan MacKinnon (27136298),Nathan MacKinnon,27136298,C/UTIL,9700,CHI@COL 03/20/2023 09:00PM ET,COL,20.4
RW,Matthew Tkachuk (27136426),Matthew Tkachuk,27136426,W/UTIL,8500,FLA@DET 03/20/2023 07:00PM ET,FLA,17.00
G,Stuart Skinner (27136864),Stuart Skinner,27136864,G,8500,SJ@EDM 03/20/2023 09:30PM ET,EDM,14.50
G,Alexandar Georgiev (27136865),Alexandar Georgiev,27136865,G,8400,CHI@COL 03/20/2023 09:00PM ET,COL,16.05
G,Jack Campbell (27136866),Jack Campbell,27136866,G,8300,SJ@EDM 03/20/2023 09:30PM ET,EDM,9.61
G,Jonas Johansson (27136867),Jonas Johansson,27136867,G,8200,CHI@COL 03/20/2023 09:00PM ET,COL,9.65
C,Leon Draisaitl (27136300),Leon Draisaitl,27136300,C/UTIL,8200,SJ@EDM 03/20/2023 09:30PM ET,EDM,16.41
G,Pheonix Copley (27136868),Pheonix Copley,27136868,G,8100,CGY@LA 03/20/2023 10:30PM ET,LA,12.37
G,Joonas Korpisalo (27136869),Joonas Korpisalo,27136869,G,8100,CGY@LA 03/20/2023 10:30PM ET,LA,14.47
RW,Mikko Rantanen (27136428),Mikko Rantanen,27136428,W/UTIL,7900,CHI@COL 03/20/2023 09:00PM ET,COL,15.98
G,Sergei Bobrovsky (27136870),Sergei Bobrovsky,27136870,G,7900,FLA@DET 03/20/2023 07:00PM ET,FLA,12.28
G,Tristan Jarry (27136871),Tristan Jarry,27136871,G,7800,OTT@PIT 03/20/2023 07:00PM ET,PIT,13.86
G,Casey DeSmith (27136872),Casey DeSmith,27136872,G,7800,OTT@PIT 03/20/2023 07:00PM ET,PIT,12.55
G,Mack Guzda (27136873),Mack Guzda,27136873,G,7700,FLA@DET 03/20/2023 07:00PM ET,FLA,0
G,Mads Sogaard (27136874),Mads Sogaard,27136874,G,7600,OTT@PIT 03/20/2023 07:00PM ET,OTT,8.68
G,Kevin Mandolese (27136875),Kevin Mandolese,27136875,G,7600,OTT@PIT 03/20/2023 07:00PM ET,OTT,16.77
G,Ville Husso (27136876),Ville Husso,27136876,G,7500,FLA@DET 03/20/2023 07:00PM ET,DET,11.98
D,Cale Makar (27136662),Cale Makar,27136662,D/UTIL,7400,CHI@COL 03/20/2023 09:00PM ET,COL,14.17
G,Magnus Hellberg (27136879),Magnus Hellberg,27136879,G,7300,FLA@DET 03/20/2023 07:00PM ET,DET,9.79
G,Jacob Markstrom (27136877),Jacob Markstrom,27136877,G,7300,CGY@LA 03/20/2023 10:30PM ET,CGY,9.47
G,Dan Vladar (27136878),Dan Vladar,27136878,G,7300,CGY@LA 03/20/2023 10:30PM ET,CGY,9.93
C,Sidney Crosby (27136302),Sidney Crosby,27136302,C/UTIL,7300,OTT@PIT 03/20/2023 07:00PM ET,PIT,13.60
LW,Brady Tkachuk (27136430),Brady Tkachuk,27136430,W/UTIL,7200,OTT@PIT 03/20/2023 07:00PM ET,OTT,14.42
C,Tim Stuetzle (27136304),Tim Stuetzle,27136304,C/UTIL,7100,OTT@PIT 03/20/2023 07:00PM ET,OTT,14.04
G,Alex Stalock (27136880),Alex Stalock,27136880,G,7000,CHI@COL 03/20/2023 09:00PM ET,CHI,14.74
RW,Zach Hyman (27136432),Zach Hyman,27136432,W/UTIL,7000,SJ@EDM 03/20/2023 09:30PM ET,EDM,13.98
