Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Artemi Panarin (26924111),Artemi Panarin,26924111,W/UTIL,6100,NYR@MON 03/09/2023 07:00PM ET,NYR,11.38
D,Victor Hedman (26924639),Victor Hedman,26924639,D/UTIL,6100,VGK@TB 03/09/2023 07:00PM ET,TB,10.88
D,Miro Heiskanen (26924643),Miro Heiskanen,26924643,D/UTIL,6000,DAL@BUF 03/09/2023 07:00PM ET,DAL,10.86
RW,Martin Necas (26924115),Martin Necas,26924115,W/UTIL,6000,PHI@CAR 03/09/2023 07:00PM ET,CAR,12.03
LW,Rafael Harvey-Pinard (26924113),Rafael Harvey-Pinard,26924113,W/UTIL,6000,NYR@MON 03/09/2023 07:00PM ET,MON,10.96
C,Brock Nelson (26923829),Brock Nelson,26923829,C/UTIL,6000,NYI@PIT 03/09/2023 07:00PM ET,NYI,11.74
D,Kris Letang (26924641),Kris Letang,26924641,D/UTIL,6000,NYI@PIT 03/09/2023 07:00PM ET,PIT,10.70
LW,Chris Kreider (26924117),Chris Kreider,26924117,W/UTIL,5900,NYR@MON 03/09/2023 07:00PM ET,NYR,11.24
D,Mike Matheson (26924645),Mike Matheson,26924645,D/UTIL,5900,NYR@MON 03/09/2023 07:00PM ET,MON,9.98
RW,Claude Giroux (26924119),Claude Giroux,26924119,W/UTIL,5900,OTT@SEA 03/09/2023 10:00PM ET,OTT,11.26
D,Mikhail Sergachev (26924647),Mikhail Sergachev,26924647,D/UTIL,5900,VGK@TB 03/09/2023 07:00PM ET,TB,10.65
LW,Gabriel Landeskog (26924121),Gabriel Landeskog,26924121,W/UTIL,5800,LA@COL 03/09/2023 09:00PM ET,COL,0
D,Thomas Chabot (26924649),Thomas Chabot,26924649,D/UTIL,5800,OTT@SEA 03/09/2023 10:00PM ET,OTT,11.23
LW,Pavel Buchnevich (26924123),Pavel Buchnevich,26924123,W/UTIL,5800,SJ@STL 03/09/2023 08:00PM ET,STL,11.04
RW,Jesper Bratt (26924125),Jesper Bratt,26924125,W/UTIL,5800,NJ@WAS 03/09/2023 07:00PM ET,NJ,10.72
LW,Jamie Benn (26924129),Jamie Benn,26924129,W/UTIL,5700,DAL@BUF 03/09/2023 07:00PM ET,DAL,10.59
RW,Adrian Kempe (26924127),Adrian Kempe,26924127,W/UTIL,5700,LA@COL 03/09/2023 09:00PM ET,LA,11.20
D,Jacob Trouba (26924651),Jacob Trouba,26924651,D/UTIL,5700,NYR@MON 03/09/2023 07:00PM ET,NYR,11.02
RW,Nick Schmaltz (26924131),Nick Schmaltz,26924131,W/UTIL,5600,NSH@ARI 03/09/2023 09:00PM ET,ARI,10.31
D,Charlie McAvoy (26924653),Charlie McAvoy,26924653,D/UTIL,5600,EDM@BOS 03/09/2023 07:30PM ET,BOS,10.84
LW,Jared McCann (26924135),Jared McCann,26924135,W/UTIL,5600,OTT@SEA 03/09/2023 10:00PM ET,SEA,10.28
RW,Jonathan Marchessault (26924133),Jonathan Marchessault,26924133,W/UTIL,5600,VGK@TB 03/09/2023 07:00PM ET,VGK,10.65
C,Dylan Cozens (26923831),Dylan Cozens,26923831,C/UTIL,5500,DAL@BUF 03/09/2023 07:00PM ET,BUF,11.31
RW,Joe Pavelski (26924141),Joe Pavelski,26924141,W/UTIL,5500,DAL@BUF 03/09/2023 07:00PM ET,DAL,10.59
RW,Viktor Arvidsson (26924137),Viktor Arvidsson,26924137,W/UTIL,5500,LA@COL 03/09/2023 09:00PM ET,LA,10.45
D,Noah Dobson (26924655),Noah Dobson,26924655,D/UTIL,5500,NYI@PIT 03/09/2023 07:00PM ET,NYI,10.77
RW,Drake Batherson (26924139),Drake Batherson,26924139,W/UTIL,5500,OTT@SEA 03/09/2023 10:00PM ET,OTT,10.73
RW,Matt Duchene (26924145),Matt Duchene,26924145,W/UTIL,5400,NSH@ARI 03/09/2023 09:00PM ET,NSH,9.94
D,Darnell Nurse (26924657),Darnell Nurse,26924657,D/UTIL,5400,EDM@BOS 03/09/2023 07:30PM ET,EDM,10.63
