,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
campbell5100wrp,66.16,Parris Campbell,5100,IND,@JAX,,,8.47,11.9,5.1,0.71,1.7,7.7,7.76,-19,0.4,0,0,1,0,0.62,0,26,23.5,20.5,-1.5,-3,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,75,1,0.42,5.2,-100,0,0,33,0,0,30,5.9,-0.3,-900,1.74,0.23,23,0.09,0,21,WR,9.14.22,0,0,0,0,3,1,27,18,15.3,0.2,0,0,0,0.114,0.143,0.112,23.8,27,0,0,0,0,0,0,0,0,0,0,campbell,parris campbell,p,campbell5100wrp,80468-56262,WR,p,Parris Campbell,campbell,5.199999809,1,5100,IND@JAC,IND,JAC,,,,,,WR/FLEX,ryland,ryland,parris,campbell5100wrp
carolina4200,51.6,Carolina,4200,CAR,@NYG,,,6.28,13.1,-0.6,-0.74,1.5,1.8,7.02,3,0.86,0,0,1,0,0.3,6.2,0,21.3,22.3,0.5,1,43.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,7.11,0,0,0,0,0,0,0,0,0,80,0.59,0,9,-500,0,0,66,0.33,0.33,30,5.7,-1.4,-1800,0,0,80,0.47,0.19,21,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.4,0.4728,0.4474,0.0086,0.0428,6.91,8.75,4.5,30,0.25,carolina,carolina,c,carolina4200,80468-12553,D,c,Carolina Panthers,panthers,1,1,4200,CAR@NYG,CAR,NYG,,,,,,DEF,Panthers,Panthers,carolina,carolina4200
carr7300qbd,80.08,Derek Carr,7300,LV,ARI,,,19.98,31.3,8.6,0.59,2.7,15.5,19.39,-1,0.65,10,1,1,0,0.78,3.8,65,28.5,23,1.7,-5.5,51.5,50,24,35,273,69,7.7,6.7,1.3,37,140,298.6,23.2,53.5,22.6,3.7,2.3,6.2,2,4,6,2.8,0,0.417,5.5,2.17,0.72,0,0,0,16.8,-100,0,0,33,0,0,30,15.5,-3.4,1300,0.39,0.24,85,0.4,0.05,20,QB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,carr,derek carr,d,carr7300qbd,80468-45859,QB,d,Derek Carr,carr,16.79999924,1,7300,ARI@LV,LV,ARI,,,,,,QB,ryland,ryland,derek,carr7300qbd
carter5900rbm,45.95,Michael Carter,5900,NYJ,@CLE,,,8.69,11.3,6,-0.24,1.5,1.5,8.93,2,0.89,0,0,2,0,0.3,-1.1,33,16.5,23,-1.8,6.5,39.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48,4.4,0.3,0.524,1.59,1,0.59,80,0.61,0,7,700,0,0,50,0.5,0.5,20,9.3,1.6,-100,0.62,0.28,65,0.4,0.2,20,RB,9.14.22,0.364,0.482,0.833,11,4,2,23,10,8.9,0,0,0.16,0.44,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,carter,michael carter,m,carter5900rbm,80468-93539,RB,m,Michael Carter,carter,13.5,1,5900,NYJ@CLE,NYJ,CLE,,,,,,RB/FLEX,ryland,ryland,michael,carter5900rbm
chark5700wrd,59.37,D.J. Chark,5700,DET,WAS,,,8.33,11.8,4.9,-0.79,1.5,2.8,9.12,-2,0.75,0,0,2,0,0.78,-3,35,24.8,23.8,3,-1,48.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,13.2,400,0,0,33,0.33,0,30,9.3,0,-300,2.8,0.27,9,0.09,0.04,21,WR,9.14.22,0,0,0,0,3,1,22,14,17,0.3,0,1,0,0.115,0.5,0.126,30.5,20.3,0,0,0,0,0,0,0,0,0,0,chark,d.j. chark,d,chark5700wrd,80468-52917,WR,d,DJ Chark Jr.,chark,13.19999981,1,5700,WAS@DET,DET,WAS,,,,,,WR/FLEX,ryland,ryland,dj,chark5700wrd
chase8700wrj,71.73,Ja'Marr Chase,8700,CIN,@DAL,,,14.86,20.7,9,-1.11,1.7,10.1,15.97,6,0.93,3.8,1,6,0,0.76,-2.8,54,24.3,17.3,0.3,-7,41.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.59,0.24,0,0,0,23.9,500,0,0,33,0.33,0,30,15.6,2.1,2700,1.98,0.29,62,0.29,0.25,24,WR,9.14.22,0,0,0,0,7,4,84,35,17.8,0.8,0,0.353,0,0.234,0.353,0.298,51.8,36.6,0,0,0,0,0,0,0,0,0,0,chase,ja'marr chase,j,chase8700wrj,80468-85701,WR,j,Ja'Marr Chase,chase,23.89999962,1,8700,CIN@DAL,CIN,DAL,,,,,,WR/FLEX,ryland,ryland,ja'marr,chase8700wrj
chubb8500rbn,47.33,Nick Chubb,8500,CLE,NYJ,,,14.04,18.2,9.9,-1.37,1.7,5.3,15.41,12,0.98,0.8,1,6,0,0.04,-2.5,34,23,16.5,-0.8,-6.5,39.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,84,5.5,0.4,0.516,2.17,1.17,0.61,80,0.61,0,14.8,700,0,0,50,0,0,20,14.2,0.1,2500,0.84,0.42,35,0.15,0.35,20,RB,9.14.22,0.4,0.599,0.834,15,1,1,11,8,8.7,0.1,0,0.105,0.474,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,chubb,nick chubb,n,chubb8500rbn,80468-53562,RB,n,Nick Chubb,chubb,14.80000019,1,8500,NYJ@CLE,CLE,NYJ,,,,,,RB/FLEX,ryland,ryland,nick,chubb8500rbn
cincinnati3900,69.02,Cincinnati,3900,CIN,@DAL,,,7.5,15.7,-0.7,1.44,1.9,21.8,6.06,-5,0.35,0,0,4,0,0.04,-0.4,0,24.3,17.3,0.3,-7,41.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,7.29,0,0,0,0,0,0,0,0,0,0,0,0,5,-500,0,0,66,0,0.33,30,6.2,0.7,-2100,0,0,83,0.58,0.16,24,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.2,0.4965,0.5065,0.0136,0.0405,7.18,8.38,4.53,2.75,0.2239,cincinnati,cincinnati,c,cincinnati3900,80468-12528,D,c,Cincinnati Bengals,bengals,2,1,3900,CIN@DAL,CIN,DAL,,,,,,DEF,Bengals,Bengals,cincinnati,cincinnati3900
claypool6000wrc,63.52,Chase Claypool,6000,PIT,NE,,,9.21,12.8,5.7,-0.6,1.5,2.6,9.81,11,0.96,0,0,2,0,0.65,-2.3,54,18.8,21.8,-1.7,3,40.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.53,0.35,77,0.63,0,5.4,200,0,0,33,0,0.33,30,8.6,-1,0,1.06,0.16,65,0.21,0.17,23,WR,9.14.22,0,0,0,0,7,4,58,28,14.6,0.1,0,0.143,0,0.188,0.1,0.243,36.5,32.7,0,0,0,0,0,0,0,0,0,0,claypool,chase claypool,c,claypool6000wrc,80468-73111,WR,c,Chase Claypool,claypool,7.400000095,1,6000,NE@PIT,PIT,NE,,,,,,WR/FLEX,ryland,ryland,chase,claypool6000wrc
cleveland4500wrt,52.18,Tyrie Cleveland,4500,DEN,HOU,,,3.88,5.5,2.3,-2.51,0.9,0.1,6.39,23,0.99,0,0,0,0,0.6,-0.8,5,27.8,17.8,1.3,-10,45.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,87,0.1,0,0,0,0,0,0,0,0,30,0,0,-1500,0,0,0,0,0,20,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,cleveland,tyrie cleveland,t,cleveland4500wrt,80468-71372,WR,t,Tyrie Cleveland,cleveland,0,1,4500,HOU@DEN,DEN,HOU,,,,,,WR/FLEX,ryland,ryland,tyrie,cleveland4500wrt
cleveland4700,52.27,Cleveland,4700,CLE,NYJ,,,7.6,15.8,-0.6,-1.03,1.6,12.1,8.63,-3,0.46,0,0,4,0,0.51,-1.1,0,23,16.5,-0.8,-6.5,39.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,8.52,0,0,0,0,0,0,0,0,0,80,0.61,0,6,400,0,0,100,0,0,20,7.1,-0.3,-1300,0,0,80,0.5,0.2,20,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.5,0.4241,0.4903,0.0147,0.0409,6.25,10.6,4.07,2.82,0.1887,cleveland,cleveland,c,cleveland4700,80468-12529,D,c,Cleveland Browns,browns,6,1,4700,NYJ@CLE,CLE,NYJ,,,,,,DEF,Browns,Browns,cleveland,cleveland4700
collins5100wrn,61.39,Nico Collins,5100,HOU,@DEN,,,6.49,9.2,3.8,-1.27,1.3,1.2,7.76,-2,0.75,0,0,1,0,0.71,-3.6,37,17.8,27.8,1.8,10,45.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.24,0.12,87,0.1,0,8.2,-100,0,0,66,0.33,0,30,5.9,-1.5,-900,1.32,0.16,57,0.14,0.09,21,WR,9.14.22,0,0,0,0,4,2,33,18,13.7,0.1,0,0.167,0,0.138,0.067,0.158,26.4,22.6,0,0,0,0,0,0,0,0,0,0,collins,nico collins,n,collins5100wrn,80468-91419,WR,n,Nico Collins,collins,3.599999905,1,5100,HOU@DEN,HOU,DEN,,,,,,WR/FLEX,ryland,ryland,nico,collins5100wrn
conklin5100tet,53.81,Tyler Conklin,5100,NYJ,@CLE,,,5.87,7.9,3.9,-0.6,1.2,0.7,6.47,5,0.98,2.5,1,3,0,0.22,-0.1,54,16.5,23,-1.8,6.5,39.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.29,0.18,80,0.61,0,6.6,100,0,0,50,0,0.5,20,5.8,-0.6,-900,1.13,0.11,61,0.09,0.38,21,TE,9.14.22,0,0,0,0,5,3,34,16,9.7,0.2,0,0.188,0,0.156,0.094,0.135,15.2,10,0,0,0,0,0,0,0,0,0,0,conklin,tyler conklin,t,conklin5100tet,80468-60451,TE,t,Tyler Conklin,conklin,9.600000381,1,5100,NYJ@CLE,NYJ,CLE,,,,,,TE/FLEX,ryland,ryland,tyler,conklin5100tet
conner7600rbj,62.71,James Conner,7600,ARI,@LV,,,13.53,17.4,9.6,0.37,1.8,12.5,13.16,1,0.86,3.3,1,3,0,0.3,-2.6,40,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,3.8,1.1,0.522,2.47,1.71,1.12,0,0,0,14,-100,0,0,33,0,0,30,15.9,40,1600,0.99,0.4,63,0.45,0.13,22,RB,9.14.22,0.714,0.416,0.665,13,2,2,26,13,10.1,0.2,0,0.41,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,conner,james conner,j,conner7600rbj,80468-40687,RB,j,James Conner,conner,14,1,7600,ARI@LV,ARI,LV,,,,,,RB/FLEX,ryland,ryland,james,conner7600rbj
cooks6700wrb,67.76,Brandin Cooks,6700,HOU,@DEN,,,10.62,14.7,6.6,-0.78,1.6,15.7,11.4,-13,0.5,3.8,0.86,2,0,0.76,-3.6,51,17.8,27.8,1.8,10,45.5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.18,0.06,87,0.1,0,11.7,100,0,0,33,0,0,30,11.7,0.3,700,1.37,0.23,61,0.28,0.14,21,WR,9.14.22,0,0,0,0,8,5,60,23,10.6,0.4,0,0.2,0,0.272,0.353,0.293,42.7,41.3,0,0,0,0,0,0,0,0,0,0,cooks,brandin cooks,b,cooks6700wrb,80468-29501,WR,b,Brandin Cooks,cooks,11.69999981,1,6700,HOU@DEN,HOU,DEN,,,,,,WR/FLEX,ryland,ryland,brandin,cooks6700wrb
cooper6300wra,64.33,Amari Cooper,6300,CLE,NYJ,,,8.7,12,5.4,-1.79,1.4,2.4,10.49,8,0.94,1.3,0,1,0,0.72,-0.8,54,23,16.5,-0.8,-6.5,39.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29,0.18,80,0.61,0,3.2,0,0,0,0,0,0.66,30,90,-2.5,300,1.45,0.17,45,0.13,0.36,22,WR,9.14.22,0,0,0,0,6,3,51,22,13.2,0.4,0,0.235,0,0.178,0.176,0.183,40.2,25.8,0,0,0,0,0,0,0,0,0,0,cooper,amari cooper,a,cooper6300wra,80468-31001,WR,a,Amari Cooper,cooper,3.200000048,1,6300,NYJ@CLE,CLE,NYJ,,,,,,WR/FLEX,ryland,ryland,amari,cooper6300wra
dallas4400,33.54,Dallas,4400,DAL,CIN,,,6.36,13.1,-0.4,-1.3,1.4,0.5,7.66,12,0.99,0,0,1,0,0.16,0.2,0,17.3,24.3,-8.7,7,41.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,7.65,0,0,0,0,0,0,0,0,0,0,0,0,12,300,0,0,100,0.33,0,30,10.8,3.5,-1600,0,0,91,0.62,0.08,24,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.5,0.4128,0.4638,0.0256,0.0389,7.06,7.67,4.64,2.91,0.2261,dallas,dallas,d,dallas4400,80468-12530,D,d,Dallas Cowboys,cowboys,5,1,4400,CIN@DAL,DAL,CIN,,,,,,DEF,Cowboys,Cowboys,dallas,dallas4400
davis5900wrc,48.38,Corey Davis,5900,NYJ,@CLE,,,7.27,10.5,4,-2.31,1.2,1.2,9.58,7,0.93,0,0,0,0,0.65,-2.4,49,16.5,23,-1.8,6.5,39.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,80,0.61,0,6.1,500,0,0,50,0.5,0.5,20,7.6,-0.7,-100,1.17,0.16,35,0.15,0.15,20,WR,9.14.22,0,0,0,0,6,3,49,20,13.6,0.3,0,0.25,0,0.18,0.25,0.205,39.4,30.5,0,0,0,0,0,0,0,0,0,0,davis,corey davis,c,davis5900wrc,80468-45439,WR,c,Corey Davis,davis,10.69999981,1,5900,NYJ@CLE,NYJ,CLE,,,,,,WR/FLEX,ryland,ryland,corey,davis5900wrc
denver4800,51.3,Denver,4800,DEN,HOU,,,7.7,16.6,-1.2,-1.25,1.6,3.8,8.95,7,0.95,0,0,4,0,0.51,-4.4,0,27.8,17.8,1.3,-10,45.5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,6.67,0,0,0,0,0,0,0,0,0,87,0.1,0,5.8,300,0,0,75,0.25,0.25,40,6.5,-0.5,-1200,0,0,86,0.36,0.13,22,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.6,0.4876,0.5524,0.0138,0.0317,6.92,8.67,4.08,2.4,0.1615,denver,denver,d,denver4800,80468-12531,D,d,Denver Broncos,broncos,5,1,4800,HOU@DEN,DEN,HOU,,,,,,DEF,Broncos,Broncos,denver,denver4800
detroit3500,53.37,Detroit,3500,DET,WAS,,,6.38,13.8,0,1.61,1.8,3,4.77,3,0.86,0,0,2,0,0.59,0.2,0,24.8,23.8,3,-1,48.5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,5.79,0,0,0,0,0,0,0,0,0,0,0,0,4,400,0,0,33,0,0.33,30,3.9,-0.2,-2500,0,0,60,0.4,0.25,20,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.3,0.5097,0.5337,0.011,0.0456,7.8,11.69,5.36,3.38,0.2139,detroit,detroit,d,detroit3500,80468-12532,D,d,Detroit Lions,lions,0,1,3500,WAS@DET,DET,WAS,,,,,,DEF,Lions,Lions,detroit,detroit3500
dissly4200tew,69.74,Will Dissly,4200,SEA,@SF,,,3.05,4.3,1.8,-1.32,0.7,0.1,4.37,9,0.99,0,0,3,0,0.77,-1.4,33,15.8,24.8,-1.7,9,40.5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.06,0.06,66,0.73,0.28,11.8,-200,0,0,66,0.66,0,30,4.4,-0.3,-1800,2.7,0.13,61,0.14,0.04,21,TE,9.14.22,0,0,0,0,1,1,13,12,10.8,0.1,0,0.333,0,0.058,0.048,0.062,5.7,2.3,0,0,0,0,0,0,0,0,0,0,dissly,will dissly,w,dissly4200tew,80468-56708,TE,w,Will Dissly,dissly,11.80000019,1,4200,SEA@SF,SEA,SF,,,,,,TE/FLEX,ryland,ryland,will,dissly4200tew
dobbins6000rbj,57.99,J.K. Dobbins,6000,BAL,MIA,,,7.73,10,5.4,-1.44,1.3,0.8,9.17,15,0.99,0,1,2,0,0.3,-1.4,0,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.58,0,0,-900,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,RB,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,dobbins,j.k. dobbins,j,dobbins6000rbj,80468-87787,RB,j,J.K. Dobbins,dobbins,,,6000,MIA@BAL,BAL,MIA,Q,Knee - acl,,,,RB/FLEX,ryland,ryland,j.k.,dobbins6000rbj
dortch5500wrg,47.25,Greg Dortch,5500,ARI,@LV,,,7.92,11,4.9,-0.75,1.4,7.3,8.67,-24,0.33,8.8,1,2,0,0.03,-3,8,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,10.6,600,0,0,100,0.66,0,30,7.4,0.1,-500,7.43,0.93,28,0.09,0,21,WR,9.14.22,0,0,0,0,0,0,3,3,50,0,0,0,0,0.023,0,0.016,-8,-1.6,0,0,0,0,0,0,0,0,0,0,dortch,greg dortch,g,dortch5500wrg,80468-69558,WR,g,Greg Dortch,dortch,9.800000191,1,5500,ARI@LV,ARI,LV,,,,,,WR/FLEX,ryland,ryland,greg,dortch5500wrg
dotson5500wrj,59.32,Jahan Dotson,5500,WAS,@DET,,,8.41,11.6,5.2,-0.26,1.5,5.1,8.67,-14,0.49,2.5,1,1,0,0.65,-1.8,0,23.8,24.8,1,1,48.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,600,0,0,33,0.33,0.33,30,9.9,2.3,-500,0,0,25,0.25,0.25,40,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dotson,jahan dotson,j,dotson5500wrj,80468-86229,WR,j,Jahan Dotson,dotson,16.5,1,5500,WAS@DET,WAS,DET,,,,,,WR/FLEX,ryland,ryland,jahan,dotson5500wrj
drake5600rbk,52.58,Kenyan Drake,5600,BAL,MIA,,,4.84,6.5,3.2,-3.34,0.9,1.1,8.18,0,0.83,0,1,2,0,0.23,-1.4,21,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,4.3,0.2,0.456,1,0.11,0.05,79,0.58,0,4.1,-100,0,0,33,0,0.33,30,6.6,-0.9,-400,0.79,0.32,40,0.15,0.2,20,RB,9.14.22,0.222,0.249,0.582,5,3,2,21,11,9.3,0.1,0,0.167,0.5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,drake,kenyan drake,k,drake5600rbk,80468-30989,RB,k,Kenyan Drake,drake,5.099999905,1,5600,MIA@BAL,BAL,MIA,,,,,,RB/FLEX,ryland,ryland,kenyan,drake5600rbk
dulin5200wra,47.23,Ashton Dulin,5200,IND,@JAX,,,7.53,10.8,4.3,-0.45,1.4,5.8,7.98,-23,0.34,0,0,1,0,0.03,0,20,23.5,20.5,-1.5,-3,44,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.12,75,1,0.42,3.6,500,0,0,33,0.33,0.33,30,3.3,-1.1,-800,2.2,0.17,42,0.09,0.23,21,WR,9.14.22,0,0,0,0,1,0,10,10,13.3,0.1,0,0.5,0,0.045,0.08,0.052,10.9,8.2,0,0,0,0,0,0,0,0,0,0,dulin,ashton dulin,a,dulin5200wra,80468-104012,WR,a,Ashton Dulin,dulin,6.099999905,1,5200,IND@JAC,IND,JAC,,,,,,WR/FLEX,ryland,ryland,ashton,dulin5200wra
duvernay5900wrd,45.13,Devin Duvernay,5900,BAL,MIA,,,6.61,9.3,3.9,-2.97,1.1,1.2,9.58,1,0.84,1.3,1,1,0,0.22,-3.7,37,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.29,0.12,79,0.58,0,19.4,900,0,0,33,0.33,0,30,5.4,-1.8,-100,1.55,0.15,52,0.14,0.28,21,WR,9.14.22,0,0,0,0,3,2,17,10,8.3,0.1,0,0.25,0,0.086,0.111,0.071,10.6,6,0,0,0,0,0,0,0,0,0,0,duvernay,devin duvernay,d,duvernay5900wrd,80468-71032,WR,d,Devin Duvernay,duvernay,19.39999962,1,5900,MIA@BAL,BAL,MIA,,,,,,WR/FLEX,ryland,ryland,devin,duvernay5900wrd
dwelley4200ter,49.32,Ross Dwelley,4200,SF,SEA,,,2.06,3.1,1,-2.31,0.5,0.1,4.37,1,0.91,0,0,1,0,0.35,1.7,11,24.8,15.8,-1.2,-9,40.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.73,0.28,4.2,100,0,0,100,0,0,30,3.8,-0.3,-1800,12.21,0.34,21,0.04,0.08,23,TE,9.14.22,0,0,0,0,0,0,3,2,12.8,0.1,0,0,0,0.01,0.042,0.012,16,1.6,0,0,0,0,0,0,0,0,0,0,dwelley,ross dwelley,r,dwelley4200ter,80468-83138,TE,r,Ross Dwelley,dwelley,1.600000024,1,4200,SEA@SF,SF,SEA,,,,,,TE/FLEX,ryland,ryland,ross,dwelley4200ter
edmonds6000rbc,53.23,Chase Edmonds,6000,MIA,@BAL,,,10.56,13.6,7.5,1.39,1.8,9.3,9.17,-8,0.52,2.5,1,3,0,0.23,-1.2,39,20.3,23.8,-0.7,3.5,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48,5.1,0.2,0.577,1.47,0.71,0.29,79,0.58,0,6,200,0,0,33,0,0.33,30,9.2,0.1,0,0.66,0.24,50,0.18,0.18,22,RB,9.14.22,0.133,0.372,0.654,9,4,3,24,10,6.9,0,0,0.105,0.526,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,edmonds,chase edmonds,c,edmonds6000rbc,80468-83081,RB,c,Chase Edmonds,edmonds,8.5,1,6000,MIA@BAL,MIA,BAL,,,,,,RB/FLEX,ryland,ryland,chase,edmonds6000rbc
edwards4800wrb,58.39,Bryan Edwards,4800,ATL,@LA,,,2.87,4.3,1.4,-4.2,0.6,0.1,7.07,17,0.98,0,0,1,0,0.72,-0.4,50,18.3,28.3,0.8,10,46.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.33,0.17,0,0,0,0,-300,0,0,0,0,0,10,6.7,-0.8,-1200,1.99,0.13,47,0.15,0.15,19,WR,9.14.22,0,0,0,0,3,1,30,16,16.3,0.2,0,0.333,0,0.101,0.15,0.117,22.9,16.9,0,0,0,0,0,0,0,0,0,0,edwards,bryan edwards,b,edwards4800wrb,80468-69276,WR,b,Bryan Edwards,edwards,0,1,4800,ATL@LAR,ATL,LAR,,,,,,WR/FLEX,ryland,ryland,bryan,edwards4800wrb
elliott7100rbe,45.51,Ezekiel Elliott,7100,DAL,CIN,,,10.23,13.2,7.2,-1.69,1.4,3.2,11.92,-1,0.77,0.8,0.33,1,0,0.08,-1.7,46,17.3,24.3,-8.7,7,41.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,60,4.3,0.6,0.522,3.18,1.18,0.94,0,0,0,5.4,-100,0,0,0,0,0.33,30,12.5,-0.9,1100,0.66,0.27,50,0.18,0.36,22,RB,9.14.22,0.667,0.471,1,14,3,2,17,10,6.2,0.1,0,0.27,0.568,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,elliott,ezekiel elliott,e,elliott7100rbe,80468-38791,RB,e,Ezekiel Elliott,elliott,5.400000095,1,7100,CIN@DAL,DAL,CIN,,,,,,RB/FLEX,ryland,ryland,ezekiel,elliott7100rbe
engram4900tee,75.88,Evan Engram,4900,JAX,IND,,,6.42,8.6,4.2,0.42,1.3,1.4,6,4,0.96,2.5,1,2,0,0.78,-1.1,48,20.5,23.5,0,3,44,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.38,0.19,75,1,0.42,2.8,0,0,0,50,0,0.5,20,50,-1.3,-1100,1.01,0.1,63,0.1,0.36,19,TE,9.14.22,0,0,0,0,4,3,27,13,8.9,0.2,0,0.333,0,0.148,0.25,0.139,14.2,11.6,0,0,0,0,0,0,0,0,0,0,engram,evan engram,e,engram4900tee,80468-41872,TE,e,Evan Engram,engram,4.800000191,1,4900,IND@JAC,JAC,IND,,,,,,TE/FLEX,ryland,ryland,evan,engram4900tee
ertz5200tez,88.78,Zach Ertz,5200,ARI,@LV,,,8.24,11.2,5.3,1.54,1.6,6.6,6.7,3,0.95,7.5,1,8,0,0.83,0.2,50,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.59,0.47,0,0,0,10.4,-400,0,0,33,0.33,0,30,8.6,1.5,-800,1.25,0.17,72,0.4,0.13,22,TE,9.14.22,0,0,0,0,6,4,45,18,10.1,0.3,0,0.2,0,0.201,0.278,0.178,23.8,18.5,0,0,0,0,0,0,0,0,0,0,ertz,zach ertz,z,ertz5200tez,80468-29780,TE,z,Zach Ertz,ertz,10.39999962,1,5200,ARI@LV,ARI,LV,,,,,,TE/FLEX,ryland,ryland,zach,ertz5200tez
