,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,buzz,sr,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
atlanta3200,52.43,Atlanta,3200,ATL,@LA,,,4.86,10.1,-0.4,1.05,1.5,1.6,3.81,-5,0.35,0,0,1,0,0.4,2,0,18.3,28.3,0.8,10,46.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,4.07,0,0,0,0,0,0,0,0,0,0,0,0,6,-400,0,0,100,1,0,10,4.2,-0.6,-2800,0,0,84,0.47,0.15,19,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20,0.5083,0.543,0.0117,0.0456,7.07,12.06,5.2,2.79,0.2176,atlanta,atlanta,a,atlanta3200,80468-12525,D,a,Atlanta Falcons,falcons,6,1,3200,ATL@LAR,ATL,LAR,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3200
atwell4700wrt,40.26,Tutu Atwell,4700,LA,ATL,,,2.01,3,1,-4.83,0.4,0.1,6.84,7,0.93,0,0,0,0,0.13,-0.3,4,28.3,18.3,-2.2,-10,46.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,-1300,0,0,0,0,0,23,WR,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atwell,tutu atwell,t,atwell4700wrt,80468-92976,WR,t,Tutu Atwell,atwell,0,1,4700,ATL@LAR,LAR,ATL,,,,,,WR/FLEX,ryland,ryland,tutu,atwell4700wrt
baltimore4500,52.9,Baltimore,4500,BAL,MIA,,,6.28,13.4,-0.8,-1.71,1.4,1.8,7.99,4,0.88,0,0,2,0,0.59,0.5,0,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,6.02,0,0,0,0,0,0,0,0,0,79,0.58,0,8.3,-300,0,0,100,0.33,0,30,6.2,-1.2,-1500,0,0,85,0.28,0.09,21,D,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.4,0.4938,0.4314,0.0098,0.0445,8.05,8.13,4.5,3.17,0.1923,baltimore,baltimore,b,baltimore4500,80468-12555,D,b,Baltimore Ravens,ravens,11,1,4500,MIA@BAL,BAL,MIA,,,,,,DEF,Ravens,Ravens,baltimore,baltimore4500
barkley8800rbs,53.87,Saquon Barkley,8800,NYG,CAR,,,17.16,22.1,12.3,1,2,21.4,16.16,0,0.83,5.8,1,7,0,0.02,0.5,38,22.3,21.3,0.5,-1,43.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,3.7,0.2,0.439,0.44,0.25,0.19,80,0.59,0,30.4,2000,0,0,33,0.33,0,30,11.3,0.2,2800,0.66,0.3,35,0.15,0.35,20,RB,9.14.22,0.5,0.472,0.704,12,4,3,22,12,6.6,0.2,0,0.333,0.667,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,barkley,saquon barkley,s,barkley8800rbs,80468-64401,RB,s,Saquon Barkley,barkley,30.39999962,1,8800,CAR@NYG,NYG,CAR,,,,,,RB/FLEX,ryland,ryland,saquon,barkley8800rbs
bateman6400wrr,59.15,Rashod Bateman,6400,BAL,MIA,,,9.28,12.9,5.6,-1.44,1.5,5.7,10.72,0,0.82,3.8,1,1,0,0.72,-3.7,50,23.8,20.3,-1.2,-3.5,44,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.12,0.06,79,0.58,0,12.9,300,0,0,33,0.33,0,30,7.8,-0.6,400,1.39,0.16,50,0.2,0.1,20,WR,9.14.22,0,0,0,0,5,3,42,17,11.2,0.1,0,0.143,0,0.155,0.077,0.187,29.2,18.9,0,0,0,0,0,0,0,0,0,0,bateman,rashod bateman,r,bateman6400wrr,80468-85845,WR,r,Rashod Bateman,bateman,12.89999962,1,6400,MIA@BAL,BAL,MIA,,,,,,WR/FLEX,ryland,ryland,rashod,bateman6400wrr
bellinger4300ted,42.05,Daniel Bellinger,4300,NYG,CAR,,,2.94,4.1,1.8,-1.66,0.7,0.1,4.6,5,0.98,0,1,0,0,0.13,-2.2,0,22.3,21.3,0.5,-1,43.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.59,0,3.6,200,0,0,33,0,0.33,30,2.7,0,-1700,0,0,25,0,0.5,40,TE,9.14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bellinger,daniel bellinger,d,bellinger4300ted,80468-90307,TE,d,Daniel Bellinger,bellinger,,,4300,CAR@NYG,NYG,CAR,,,,,,TE/FLEX,ryland,ryland,daniel,bellinger4300ted
benjamin4900rbe,50.46,Eno Benjamin,4900,ARI,@LV,,,4.8,6.4,3.2,-1.63,1,0.1,6.43,21,0.99,0,0,1,0,0.3,-2.6,12,23,28.5,-1.3,5.5,51.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3.5,0.1,0.441,0.24,0.06,0,0,0,0,4.4,0,0,0,33,0.33,0.66,30,3.7,-0.5,-1100,0.8,0.31,19,0.14,0.38,21,RB,9.14.22,0.077,0.099,0.206,3,0,0,4,3,70,0,0,0,0.333,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,benjamin,eno benjamin,e,benjamin4900rbe,80468-85762,RB,e,Eno Benjamin,benjamin,7.599999905,1,4900,ARI@LV,ARI,LV,,,,,,RB/FLEX,ryland,ryland,eno,benjamin4900rbe
berrios4900wrb,51.93,Braxton Berrios,4900,NYJ,@CLE,,,3.93,5.6,2.3,-3.37,0.8,0.3,7.3,14,0.98,0,0,0,0,0.66,-2.4,23,16.5,23,-1.8,6.5,39.5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.41,0.18,80,0.61,0,8.4,200,0,0,100,0.5,0,20,6.8,-0.1,-1100,1.57,0.3,75,0.35,0.05,20,WR,9.14.22,0,0,0,0,3,2,25,11,9.3,0.1,0,0.25,0,0.11,0.125,0.105,9.6,6.3,0,0,0,0,0,0,0,0,0,0,berrios,braxton berrios,b,berrios4900wrb,80468-52495,WR,b,Braxton Berrios,berrios,6.199999809,1,4900,NYJ@CLE,NYJ,CLE,,,,,,WR/FLEX,ryland,ryland,braxton,berrios4900wrb
bourne5000wrk,57.33,Kendrick Bourne,5000,NE,@PIT,,,2.78,4,1.5,-4.75,0.6,0.1,7.53,13,0.97,0,0,0,0,0.71,-2,33,21.8,18.8,-0.2,-3,40.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.24,0.24,77,0.63,0,3.6,-100,0,0,33,0,0.33,30,90,0.7,-1000,1.52,0.27,78,0.3,0.13,23,WR,9.14.22,0,0,0,0,4,3,48,27,14.5,0.3,0,0.333,0,0.138,0.217,0.205,27.2,15.4,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne5000wrk,80468-80289,WR,k,Kendrick Bourne,bourne,4.599999905,1,5000,NE@PIT,NE,PIT,,,,,,WR/FLEX,ryland,ryland,kendrick,bourne5000wrk
boyd6600wrt,56.57,Tyler Boyd,6600,CIN,@DAL,,,7.42,10.6,4.2,-3.76,1.1,1.9,11.18,-2,0.75,1.3,1,1,0,0.66,-2.8,50,24.3,17.3,0.3,-7,41.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.24,0.12,0,0,0,11.3,900,0,0,33,0.33,0,30,9.5,0,600,1.35,0.19,62,0.37,0.2,24,WR,9.14.22,0,0,0,0,5,4,53,24,12.4,0.3,0,0.429,0,0.184,0.152,0.18,29.4,17.3,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd6600wrt,80468-40669,WR,t,Tyler Boyd,boyd,11.30000019,1,6600,CIN@DAL,CIN,DAL,,,,,,WR/FLEX,ryland,ryland,tyler,boyd6600wrt
