,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
arizona3000,74.87,Arizona,3000,ARI,LA,,,6.36,12.6,0.1,3.2,2.1,5.2,3.16,-12,0.53,0,0,1,0,0.79,4.1,0,22.5,26,-2.3,3.5,48.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,6.85,0,0,0,0,0,0,0,0,0,0,0,0,5.5,-500,0,0,75,0.5,0.25,40,6.7,-0.4,-3000,0,0,81,0.45,0.13,22,D,9/21/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2.3,0.5147,0.4747,0.0131,0.0421,7.15,11.64,6.07,4.09,0.184,arizona,arizona,a,arizona3000,80801-12546,D,a,Arizona Cardinals,cardinals,3.5,2,3000,LAR@ARI,ARI,LAR,,,,,,DEF,Cardinals,Cardinals,arizona,arizona3000
atlanta3700,49.52,Atlanta,3700,ATL,@SEA,,,5.58,12.4,-1.3,0.17,1.5,4.9,5.41,-13,0.04,0,0,2,0,0.51,-2.5,0,20.5,21.5,0.5,1,42,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,3.96,0,0,0,0,0,0,0,0,0,74,0.51,0,12.7,100,0,0,100,1,0,30,5.5,0.2,-2300,0,0,85,0.55,0.15,20,D,9/21/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.9,0.5069,0.5418,0.0145,0.0432,7.02,11.93,5.21,2.77,0.2067,atlanta,atlanta,a,atlanta3700,80801-12525,D,a,Atlanta Falcons,falcons,11,2,3700,ATL@SEA,ATL,SEA,,,,,,DEF,Falcons,Falcons,atlanta,atlanta3700
baltimore5000,31.19,Baltimore,5000,BAL,@NE,,,5.98,13.4,-1.5,-3.61,1.2,1,9.59,14,0.98,0,0,2,0,0.01,1.4,0,23.3,20.8,1.8,-2.5,44,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,6.55,0,0,0,0,0,0,0,0,0,69,0.62,0.09,7.8,200,0,0,100,0.5,0,40,6.4,-1.1,-1000,0,0,86,0.31,0.09,22,D,9/21/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.9,0.485,0.4277,0.0115,0.0424,7.88,8.47,4.77,3.36,0.189,baltimore,baltimore,b,baltimore5000,80801-12555,D,b,Baltimore Ravens,ravens,9,2,5000,BAL@NE,BAL,NE,,,,,,DEF,Ravens,Ravens,baltimore,baltimore5000
bateman6800wrr,59.31,Rashod Bateman,6800,BAL,@NE,,,9.03,12.9,5.2,-2.6,1.3,3.7,11.63,6,0.9,0.75,1.7,1,0,0.68,-0.7,48,23.3,20.8,1.8,-2.5,44,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.12,0.06,69,0.62,0.09,17.3,700,2.89,0.48,80,0.8,0,50,10,0.8,800,1.77,0.21,59,0.31,0.09,22,WR,9/21/2022,0,0,0,0,5,3,48,23,13.1,0.2,0,0.143,0,0.161,0.158,0.208,29.2,18.9,0,0,0,0,0,0,0,0,0,0,bateman,rashod bateman,r,bateman6800wrr,80801-85845,WR,r,Rashod Bateman,bateman,15.85000038,2,6800,BAL@NE,BAL,NE,,,,,,WR/FLEX,ryland,ryland,rashod,bateman6800wrr
beasley4900wrc,53.6,Cole Beasley,4900,TB,GB,,,3.65,5.3,2,-3.65,0.7,0,7.3,0,0,0,0,0,0,0.66,-2.3,41,21.5,20.5,-4.3,-1,42,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.2,0.07,85,0.68,0.2,0,0,0,0,0,0,0,0,7.1,-1.9,0,0.92,0.17,64,0.23,0.29,17,WR,9/21/2022,0,0,0,0,6,5,42,13,8.5,0.1,0,0,0,0.189,0.033,0.162,24.4,11.4,0,0,0,0,0,0,0,0,0,0,beasley,cole beasley,c,beasley4900wrc,,,,,,,,,,,,,,,,,,,,,
benjamin5000rbe,52.46,Eno Benjamin,5000,ARI,LA,,,4.33,5.8,2.8,-2.35,0.9,0.1,6.68,-1,0.77,0,0,1,0,0.94,-1.9,15,22.5,26,-2.3,3.5,48.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,3.8,0.1,0.326,0.24,0.06,0,0,0,0,6.3,100,0.63,0.22,75,0.5,0.25,40,4.1,-0.5,-1000,0.74,0.27,27,0.18,0.36,22,RB,9/21/2022,0.063,0.123,0.219,4,1,1,8,5,7.9,0,0,0,0.333,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,benjamin,eno benjamin,e,benjamin5000rbe,80801-85762,RB,e,Eno Benjamin,benjamin,7.099999905,2,5000,LAR@ARI,ARI,LAR,,,,,,RB/FLEX,ryland,ryland,eno,benjamin5000rbe
berrios4800wrb,52.18,Braxton Berrios,4800,NYJ,CIN,,,2.98,4.3,1.7,-4.09,0.6,0.1,7.07,1,0.84,0,0,0,0,0.66,-0.5,22,19.3,25.3,0.3,6,44.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.41,0.18,74,0.56,0.11,5.3,100,1.33,0.2,100,0.25,0,40,60,-0.5,-1200,1.55,0.27,76,0.28,0.04,21,WR,9/21/2022,0,0,0,0,3,2,21,10,8.8,0.1,0,0.25,0,0.089,0.095,0.085,6.2,5.1,0,0,0,0,0,0,0,0,0,0,berrios,braxton berrios,b,berrios4800wrb,80801-52495,WR,b,Braxton Berrios,berrios,4.199999809,2,4800,CIN@NYJ,NYJ,CIN,,,,,,WR/FLEX,ryland,ryland,braxton,berrios4800wrb
bolden4800rbb,51.71,Brandon Bolden,4800,LV,@TEN,,,4.48,5.9,3.1,-1.7,0.9,0,6.18,30,0.99,0,0,3,0,0.89,-3.9,22,23.8,21.8,1.3,-2,45.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,5,0.1,0.391,1.06,0.29,0.12,79,0.66,0.04,9.8,200,1.96,0.61,25,0.25,0,40,6.7,-0.1,-1200,1.1,0.3,63,0.22,0.18,22,RB,9/21/2022,0.045,0.115,0.36,2,3,2,26,14,9.9,0.2,0,0.125,0.125,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,bolden,brandon bolden,b,bolden4800rbb,80801-22898,RB,b,Brandon Bolden,bolden,9.800000191,1,4800,LV@TEN,LV,TEN,Q,Hamstring,,,,RB/FLEX,ryland,ryland,brandon,bolden4800rbb
bourne5100wrk,62.83,Kendrick Bourne,5100,NE,BAL,,,4.43,6.5,2.3,-3.33,0.9,0.2,7.76,11,0.97,0,0,0,0,0.6,6.7,31,20.8,23.3,-0.7,2.5,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.24,0.24,69,0.62,0.09,3.1,0,1.55,0.24,25,0,0.75,40,8.7,0.6,-900,1.54,0.28,70,0.29,0.2,24,WR,9/21/2022,0,0,0,0,4,3,48,28,15.1,0.3,0,0.333,0,0.131,0.2,0.203,28.9,14.8,0,0,0,0,0,0,0,0,0,0,bourne,kendrick bourne,k,bourne5100wrk,80801-80289,WR,k,Kendrick Bourne,bourne,3.599999905,2,5100,BAL@NE,NE,BAL,,,,,,WR/FLEX,ryland,ryland,kendrick,bourne5100wrk
boyd5900wrt,63.93,Tyler Boyd,5900,CIN,@NYJ,,,7.78,10.8,4.8,-1.8,1.3,1.8,9.58,5,0.93,0,0,0,0,0.76,1.4,52,25.3,19.3,1.3,-6,44.5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.24,0.12,74,0.56,0.11,6.4,200,1.41,0.09,80,0.4,0,50,8.8,0,-100,1.32,0.17,65,0.34,0.19,26,WR,9/21/2022,0,0,0,0,5,3,48,24,12.3,0.4,0,0.429,0,0.164,0.176,0.163,28.4,17.1,0,0,0,0,0,0,0,0,0,0,boyd,tyler boyd,t,boyd5900wrt,80801-40669,WR,t,Tyler Boyd,boyd,8,2,5900,CIN@NYJ,CIN,NYJ,,,,,,WR/FLEX,ryland,ryland,tyler,boyd5900wrt
