RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,City Name,City Name2,City Name3,RylandID
houston3900,52.27,Houston,3900,HOU,@TEN,,,6.9,14,1,1.54,1.8,0.5,6,5.36,-4,0.65,0,0,1,0,0.73,-1.5,0,23.5,26.5,0.7,3,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1.51,5.71,0,0,0,0,0,0,0,0,0,48,0.64,0.02,2,400,0,0,83,0.16,0.16,60,4.9,-1.1,-2100,0,0,79,0.33,0.2,24,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4874,0.4204,0.0093,0.0429,7.52,8.5,2.93,2.11,0.2279,houston,houston,h,houston3900,41460-12556,D,h,Houston Texans,texans,5.384615385,13,3900,HOU@TEN,HOU,TEN,,,,,,Texans,Texans,houston,houston3900
jacksonville3600,70.28,Jacksonville,3600,JAX,@OAK,,,6,14.9,1.2,1.61,1.7,0.5,5,4.39,6,0.88,0,0,1,0,0.76,3.3,0,20,27,0,7,47,28,0,0,0,0,0,0,0,0,0,0,0,0,1.83,10.34,0,0,0,0,0,0,0,0,0,55,0.55,0,2.5,-200,0,0,50,0.25,0.5,40,6.6,0.9,-2400,0,0,66,0.52,0.33,21,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5051,0.4977,0.0098,0.0484,7.72,8.25,4.5,3.21,0.2348,jacksonville,jacksonville,j,jacksonville3600,41460-12554,D,j,Jacksonville Jaguars,jaguars,6.076923077,13,3600,JAC@OAK,JAC,OAK,,,,,,Jaguars,Jaguars,jacksonville,jacksonville3600
kansas city3900,88.04,Kansas City,3900,KC,DEN,,,8.7,14.6,2.1,3.34,2.2,14.5,11,5.36,0,0.14,0,0,5,0,0.5,2.4,0,26.5,16.5,-3,-10,43,48,0,0,0,0,0,0,0,0,0,0,0,0,2.86,8.21,0,0,0,0,0,0,0,0,0,27,0.85,0.26,12.5,300,0,0,100,1,0,40,8.2,2.6,-2100,0,0,84,0.5,0.15,26,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4905,0.5399,0.0159,0.0421,7.04,11.36,5.69,3.17,0.195,city,kansas city,k,kansas city3900,41460-12536,D,k,Kansas City Chiefs,chiefs,8.769230769,13,3900,DEN@KC,KC,DEN,,,,,,City,City,kansas city,kansas city3900
la chargers3800,55.68,LA Chargers,3800,LAC,MIN,,,6.1,13.9,0.9,1.07,1.6,0.5,1,5.03,-6,0.61,0,0,1,0,0.61,-1.1,0,22,23,0.5,1,45,30,0,0,0,0,0,0,0,0,0,0,0,0,2.2,6.83,0,0,0,0,0,0,0,0,0,62,0.25,0,3.5,700,0,0,100,0,0,40,6.9,0.5,-2200,0,0,84,0.42,0.15,26,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.489,0.4775,0.0118,0.0351,7.09,7.5,3.69,2.44,0.181,chargers,la chargers,l,la chargers3800,41460-12548,D,l,Los Angeles Chargers,chargers,5.923076923,13,3800,MIN@LAC,LAC,MIN,,,,,,Angeles,LA,la chargers,la chargers3800
la rams3600,53.62,LA Rams,3600,LA,@DAL,,,6.6,14.5,1.4,2.21,1.8,0.5,-4,4.39,2,0.81,0,0,2,0,0.82,-2.3,0,24.8,23.8,2.3,-1,48.5,74,0,0,0,0,0,0,0,0,0,0,0,0,2.3,8.87,0,0,0,0,0,0,0,0,0,0,0,0,8.9,-1000,0,0,71,0.57,0.28,70,8.2,1.1,-2400,0,0,85,0.46,0.14,28,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4699,0.4336,0.0132,0.0393,6.87,8.5,5.75,3.8,0.2279,rams,la rams,l,la rams3600,41460-12538,D,l,Los Angeles Rams,rams,10,13,3600,LAR@DAL,LAR,DAL,,,,,,Angeles,LA,la rams,la rams3600
miami3700,71.47,Miami,3700,MIA,@NYG,,,6.7,14.4,1.3,1.99,1.8,0.5,6,4.71,-9,0.78,0,0,1,0,0.76,2.8,0,21.8,25.3,0.3,3.5,47,57,0,0,0,0,0,0,0,0,0,0,0,0,2.19,5.18,0,0,0,0,0,0,0,0,0,43,0.54,0.09,1.8,100,0,0,75,0,0.25,40,50,0,-2300,0,0,82,0.23,0.17,17,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5299,0.5149,0.0109,0.0556,8.04,11,4.8,30,0.2216,miami,miami,m,miami3700,41460-12539,D,m,Miami Dolphins,dolphins,2.692307692,13,3700,MIA@NYG,MIA,NYG,,,,,,Dolphins,Dolphins,miami,miami3700
minnesota4800,65.15,Minnesota,4800,MIN,@LAC,,,7.1,14.7,1,-1.15,1.5,0.5,27,8.25,4,0.86,0,0,1,0,0.34,1.2,0,23,22,-1,-1,45,70,0,0,0,0,0,0,0,0,0,0,0,0,2.25,8.65,0,0,0,0,0,0,0,0,0,62,0.25,0,8.3,100,0,0,100,0.75,0,40,7.5,10,-1200,0,0,90,0.54,0.09,22,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.4913,0.5213,0.0134,0.0328,6.58,8.31,4.43,30,0.1654,minnesota,minnesota,m,minnesota4800,41460-12540,D,m,Minnesota Vikings,vikings,7.846153846,13,4800,MIN@LAC,MIN,LAC,,,,,,Vikings,Vikings,minnesota,minnesota4800
new england5000,87.31,New England,5000,NE,@CIN,,,9,14.8,2,0.11,1.8,6.5,20,8.89,-3,0.42,0,0,4,0,0.8,3.4,0,26.3,15.8,1,-10.5,42,82,0,0,0,0,0,0,0,0,0,0,0,0,4.65,8.74,0,0,0,0,0,0,0,0,0,38,0.54,0.03,6.3,0,0,0,83,0.66,0.16,60,12.4,4.4,-1000,0,0,96,0.68,0.04,25,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.4108,0.4294,0.0282,0.0246,5.82,6.31,40,3.29,0.1463,england,new england,n,new england5000,41460-12541,D,n,New England Patriots,patriots,15.76923077,13,5000,NE@CIN,NE,CIN,,,,,,England,England,new england,new england5000
ny giants3900,64.13,NY Giants,3900,NYG,MIA,,,7.2,13.7,1.7,1.84,1.8,10.5,8,5.36,-2,0.12,0,0,2,0,0.73,-0.6,0,25.3,21.8,0.3,-3.5,47,43,0,0,0,0,0,0,0,0,0,0,0,0,2,6.38,0,0,0,0,0,0,0,0,0,43,0.54,0.09,4,-100,0,0,75,0.5,0.25,40,60,0.7,-2100,0,0,86,0.4,0.13,22,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0.5209,0.4298,0.0109,0.0491,8.09,10.13,4.87,3.57,0.216,giants,ny giants,n,ny giants3900,41460-12543,D,n,New York Giants,giants,6.153846154,13,3900,MIA@NYG,NYG,MIA,,,,,,York,NY,ny giants,ny giants3900
oakland4400,79.06,Oakland,4400,OAK,JAX,,,7.7,14.8,1.7,0.74,1.8,0.5,3,6.96,0,0.87,0,0,5,0,0.73,1.9,0,27,20,1.5,-7,47,72,0,0,0,0,0,0,0,0,0,0,0,0,2.47,5.5,0,0,0,0,0,0,0,0,0,55,0.55,0,3.3,-600,0,0,50,0.25,0.5,40,5.9,10,-1600,0,0,77,0.36,0.22,22,D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5047,0.5035,0.0136,0.0563,8.24,10.13,5.93,3.92,0.2346,oakland,oakland,o,oakland4400,41460-12537,D,o,Oakland Raiders,raiders,4.615384615,13,4400,JAC@OAK,OAK,JAC,,,,,,Raiders,Raiders,oakland,oakland4400
