RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master
prescott7700qbd,74.53,Dak Prescott,7700,DAL,CAR,,,21.58,32.2,11.0,1.41,2.8,9.5,27.02,20.17,-4.0,0.44,1.0,2.4,1.0,0.0,0.79,-6.0,69.0,28.3,24.3,1.0,-4.0,52.5,67.0,28.0,38.0,309.0,74.0,8.1,7.44,2.0,38.0,0.0,0.0,11.6,43.7,16.3,5.3,2.1,5.5,3.0,6.0,7.0,2.2,0.0,0.17600000000000002,1.65,0.94,0.41,0.0,0.0,0.0,19.0,100,0.44,0.26,66.0,0.33,0.33,30.0,21.8,0.4,1700.0,0.5,0.32,22.0,0.11,0.05,18.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prescott,dak prescott,d,prescott7700qbd
stafford7800qbm,74.00,Matthew Stafford,7800,LA,ARI,,,21.44,33.7,9.2,1.07,2.7,7.2,20.3,20.37,2.0,0.89,1.0,4.8,1.0,0.0,0.84,-3.2,58.0,28.5,25.0,-1.3,-3.5,53.5,65.0,20.0,30.0,249.0,65.0,8.2,7.8,1.8,42.0,0.0,0.0,18.1,62.6,22.2,6.0,1.7,6.3,1.0,5.0,5.0,3.1,0.0,0.444,5.19,1.56,0.94,0.0,0.0,0.0,24.0,400,0.68,0.41,100.0,1.0,0.0,30.0,17.4,-0.8,1800.0,0.51,0.3,68.0,0.47,0.15,19.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stafford,matthew stafford,m,stafford7800qbm
cousins7500qbk,73.65,Kirk Cousins,7500,MIN,CLE,,,20.02,32.6,7.5,0.24,2.7,3.0,11.12,19.78,4.0,0.94,0.88,2.8,1.0,0.0,0.74,-2.2,70.0,25.3,26.3,-0.5,1.0,51.5,37.0,24.0,34.0,285.0,70.0,8.2,8.26,2.4,38.0,0.0,0.0,18.1,56.2,20.5,7.1,1.2,6.3,1.0,5.0,9.0,4.8,0.1,0.5670000000000001,5.81,3.25,1.5,0.0,0.0,0.0,24.1,300,0.57,0.33,100.0,1.0,0.0,30.0,19.6,30.0,1500.0,0.5,0.28,85.0,0.76,0.09,21.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins7500qbk
jones7000qbd,72.40,Daniel Jones,7000,NYG,@NO,,,16.58,26.3,6.9,-2.22,2.4,0.5,27.78,18.8,-1.0,0.68,1.0,0.4,2.0,0.0,0.69,-6.9,63.0,19.0,25.0,2.0,6.0,44.0,41.0,20.0,31.0,216.0,63.0,6.9,5.69,0.8,36.0,0.0,0.0,16.2,58.3,23.5,2.6,1.3,9.1,5.0,20.0,35.0,6.5,0.2,0.474,4.38,1.5,0.31,0.0,0.0,0.0,22.5,300,0.5,0.34,100.0,0.66,0.0,30.0,15.3,-1.3,1000.0,0.38,0.24,68.0,0.42,0.1,19.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jones,daniel jones,d,jones7000qbd
heinicke7400qbt,72.07,Taylor Heinicke,7400,WAS,@ATL,,,19.38,29.8,9.0,-0.2,2.6,3.3,27.9,19.58,-1.0,0.68,1.0,4.0,1.0,0.0,0.51,4.1,47.0,24.3,23.3,0.3,-1.0,47.5,58.0,17.0,26.0,201.0,68.0,7.8,7.09,1.5,48.0,0.0,0.0,14.4,62.5,20.2,5.8,3.1,3.0,4.0,7.0,16.0,3.7,0.3,0.5,3.0,1.6,1.2,0.0,0.0,0.0,18.2,900,0.53,0.34,100.0,0.66,0.0,30.0,13.0,2.5,1400.0,0.41,0.28,62.0,0.37,0.25,80.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heinicke,taylor heinicke,t,heinicke7400qbt
ryan6700qbm,71.45,Matt Ryan,6700,ATL,WAS,,,17.76,28.4,7.1,-0.45,2.7,2.9,29.02,18.21,-4.0,0.44,1.0,2.0,1.0,0.0,0.63,6.6,68.0,23.3,24.3,-1.7,1.0,47.5,42.0,25.0,38.0,270.0,66.0,7.0,6.02,1.4,31.0,0.0,0.0,19.3,58.5,18.2,3.7,2.1,6.6,1.0,4.0,5.0,3.1,0.1,0.35700000000000004,6.69,3.06,1.63,0.0,0.0,0.0,14.1,-600,0.33,0.21,66.0,0.33,0.33,30.0,16.6,-1.8,700.0,0.39,0.24,70.0,0.35,0.15,20.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ryan,matt ryan,m,ryan6700qbm
tannehill7500qbr,71.19,Ryan Tannehill,7500,TEN,@NYJ,,,17.76,29.3,6.2,-2.02,2.4,0.5,18.82,19.78,7.0,0.98,1.0,0.8,1.0,0.0,0.69,-6.4,65.0,25.0,19.5,-1.8,-5.5,44.5,75.0,19.0,29.0,235.0,64.0,7.9,7.48,1.9,43.0,0.0,0.0,14.2,56.4,25.7,6.6,2.1,6.1,2.0,13.0,20.0,7.7,0.5,0.721,5.59,2.65,1.29,77.0,0.49,0.08,17.7,-200,0.43,0.24,100.0,0.33,0.0,30.0,18.6,0.7,1500.0,0.54,0.29,80.0,0.45,0.1,20.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tannehill,ryan tannehill,r,tannehill7500qbr
mayfield7300qbb,70.92,Baker Mayfield,7300,CLE,@MIN,,,18.0,28.7,7.3,-1.39,2.5,1.6,9.3,19.39,-2.0,0.59,1.0,1.2,1.0,0.0,0.74,1.9,65.0,26.3,25.3,-0.5,-1.0,51.5,63.0,19.0,30.0,236.0,64.0,7.9,7.19,1.4,33.0,0.0,0.0,16.8,47.8,29.3,4.7,1.7,6.0,3.0,7.0,12.0,3.3,0.1,0.44299999999999995,5.63,3.06,1.56,0.0,0.0,0.0,16.4,200,0.48,0.25,100.0,0.66,0.0,30.0,16.2,-1.0,1300.0,0.45,0.25,66.0,0.42,0.23,21.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mayfield,baker mayfield,b,mayfield7300qbb
brissett6500qbj,69.34,Jacoby Brissett,6500,MIA,IND,,,16.62,26.7,6.5,-1.2,2.6,1.5,14.76,17.82,-4.0,0.44,1.0,0.8,1.0,0.0,0.57,2.7,15.0,22.0,19.5,-0.5,-2.5,41.5,54.0,11.0,18.0,76.0,60.0,4.1,2.94,0.0,9.0,0.0,0.0,16.1,58.1,21.5,0.0,1.1,7.2,2.0,3.0,5.0,2.4,0.3,0.536,0.69,0.31,0.31,85.0,0.64,0.02,9.1,200,0.18,0.18,66.0,0.33,0.33,30.0,4.8,0.1,500.0,0.22,0.32,30.0,0.1,0.35,20.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brissett,jacoby brissett,j,brissett6500qbj
garoppolo7000qbj,66.36,Jimmy Garoppolo,7000,SF,SEA,,,17.1,28.9,5.3,-1.7,2.4,1.4,9.6,18.8,2.0,0.89,1.0,2.4,1.0,0.0,0.57,-0.4,57.0,27.3,24.8,-0.2,-2.5,52.0,41.0,17.0,26.0,209.0,67.0,7.9,6.37,1.0,39.0,0.0,0.0,21.0,53.2,22.6,3.8,3.5,6.1,3.0,3.0,6.0,1.8,0.1,0.375,1.38,0.69,0.38,86.0,0.21,0.0,16.7,100,0.44,0.27,100.0,1.0,0.0,30.0,9.7,-1.8,1000.0,0.31,0.17,30.0,0.2,0.2,20.0,QB,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,garoppolo,jimmy garoppolo,j,garoppolo7000qbj
