RylandID_master,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,act_pts,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
houston4400,0,Houston,4400,HOU,@LAC,,,6.8,14.6,0.9,-0.16,1.5,0.5,8,6.96,0,0.85,0,0,1,0,0.43,2.5,0,23,26,0.5,3,49,57,0,0,0,0,0,0,0,0,0,0,0,0,2.3,6.58,0,0,0,0,0,0,0,0,0,84,0.44,0,4,600,0,0,80,0.2,0.2,50,7.4,0.4,-1600,0,0,88,0.42,0.11,26,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5016,0.4061,0.0146,0.0392,7.54,6.75,3.27,1.8,0.25,houston,houston,h,houston4400,38547-12556:Houston Texans,38547-12556,D,h,Houston Texans,texans,6,2,4400,HOU@LAC,HOU,LAC,,,,Texans,Texans,houston,houston4400
indianapolis3600,0,Indianapolis,3600,IND,ATL,,,6.9,14.5,1,2.51,1.9,3,2,4.39,0,0.54,0,0,2,0,0.82,1,0,24.5,23.5,-0.3,-1,48,42,0,0,0,0,0,0,0,0,0,0,0,0,2.64,6.23,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,100,0.5,0,40,7.4,1.8,-2400,0,0,86,0.56,0.13,23,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5396,0.4665,0.0149,0.038,7.52,8.31,50,2.82,0.188,indianapolis,indianapolis,i,indianapolis3600,38547-12535:Indianapolis Colts,38547-12535,D,i,Indianapolis Colts,colts,6,2,3600,ATL@IND,IND,ATL,,,,Colts,Colts,indianapolis,indianapolis3600
kansas city3500,0,Kansas City,3500,KC,BAL,,,6.6,15.4,1.3,2.53,1.9,3,2,4.07,0,0.83,0,0,2,0,0.8,0.6,0,28.3,23.8,-2,-4.5,52,64,0,0,0,0,0,0,0,0,0,0,0,0,2.36,8.61,0,0,0,0,0,0,0,0,0,73,0.85,0.57,6.8,-400,0,0,75,0.5,0.25,40,7.9,2.6,-2500,0,0,79,0.58,0.2,29,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.4932,0.5731,0.0139,0.0472,7.44,11.2,6.43,3.5,0.2202,city,kansas city,k,kansas city3500,38547-12536:Kansas City Chiefs,38547-12536,D,k,Kansas City Chiefs,chiefs,8,2,3500,BAL@KC,KC,BAL,,,,City,City,kansas city,kansas city3500
la chargers3800,0,LA Chargers,3800,LAC,HOU,,,6.7,14,1.7,1.67,1.8,3,4,5.03,0,0.41,0,0,2,0,0.69,1.9,0,26,23,0.5,-3,49,43,0,0,0,0,0,0,0,0,0,0,0,0,2.02,5.87,0,0,0,0,0,0,0,0,0,84,0.44,0,3.8,-200,0,0,50,0.25,0.5,40,6.9,0.7,-2200,0,0,80,0.5,0.19,26,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4899,0.5061,0.0116,0.0368,7.01,9.87,5.93,3.5,0.1622,chargers,la chargers,l,la chargers3800,38547-12548:Los Angeles Chargers,38547-12548,D,l,Los Angeles Chargers,chargers,5,2,3800,HOU@LAC,LAC,HOU,,,,Angeles,LA,la chargers,la chargers3800
miami2000,0,Miami,2000,MIA,@DAL,,,2.1,13.5,0.8,2.85,1.1,0.5,2,-0.75,0,0.45,0,0,2,0,0.5,-2.9,0,12.3,34.3,-1.2,22,46.5,33,0,0,0,0,0,0,0,0,0,0,0,0,3.31,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-1000,0,0,50,0,0.5,20,6.4,1.4,-4000,0,0,73,0.47,0.26,19,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.5362,0.4961,0.016,0.0609,8.76,11.63,6.53,3.5,0.2258,miami,miami,m,miami2000,38547-12539:Miami Dolphins,38547-12539,D,m,Miami Dolphins,dolphins,0,2,2000,MIA@DAL,MIA,DAL,,,,Dolphins,Dolphins,miami,miami2000
minnesota4200,0,Minnesota,4200,MIN,OAK,,,8.3,13.7,1.7,1.98,2,6.5,7,6.32,0,0.22,0,0,5,0,0.81,1.5,0,25.8,17.3,0,-8.5,43,61,0,0,0,0,0,0,0,0,0,0,0,0,1.77,8.46,0,0,0,0,0,0,0,0,0,0,0,0,8.3,-100,0,0,66,0.33,0.33,30,6.7,0.6,-1800,0,0,82,0.43,0.17,23,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.4764,0.5102,0.0096,0.0337,6.83,8.56,4.07,2.67,0.1825,minnesota,minnesota,m,minnesota4200,38547-12540:Minnesota Vikings,38547-12540,D,m,Minnesota Vikings,vikings,11,2,4200,OAK@MIN,MIN,OAK,,,,Vikings,Vikings,minnesota,minnesota4200
new england5000,0,New England,5000,NE,NYJ,,,11.5,15.5,1.3,2.61,2.3,18.5,14,8.89,0,0.14,0,0,5,0,0.73,4.6,0,31.8,11.3,-1.2,-20.5,43,70,0,0,0,0,0,0,0,0,0,0,0,0,2.61,4.41,0,0,0,0,0,0,0,0,0,83,0.41,0,17.7,1200,0,0,100,0.66,0,30,9.6,3.1,-1000,0,0,88,0.55,0.11,27,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.4559,0.4926,0.0169,0.0348,6.59,7.8,3.71,2.36,0.188,england,new england,n,new england5000,38547-12541:New England Patriots,38547-12541,D,n,New England Patriots,patriots,23.5,2,5000,NYJ@NE,NE,NYJ,,,,England,England,new england,new england5000
new orleans3800,0,New Orleans,3800,NO,@SEA,,,6.4,13.7,0.5,1.37,1.7,0.5,14,5.03,0,0.52,0,0,1,0,0.43,-0.5,0,19.5,24.5,0,5,44,34,0,0,0,0,0,0,0,0,0,0,0,0,1.71,7.13,0,0,0,0,0,0,0,0,0,64,0.77,0.41,7.4,-300,0,0,80,0.8,0.2,50,7.4,2.2,-2200,0,0,84,0.64,0.16,25,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5085,0.4692,0.0107,0.0454,7.78,9.63,5.8,4.13,0.2403,orleans,new orleans,n,new orleans3800,38547-12542:New Orleans Saints,38547-12542,D,n,New Orleans Saints,saints,6,2,3800,NO@SEA,NO,SEA,,,,Orleans,Orleans,new orleans,new orleans3800
ny giants3700,0,NY Giants,3700,NYG,@TB,,,7.3,13.9,1,2.59,2,0.5,5,4.71,0,0.61,0,0,2,0,0.82,5.4,0,21.5,26.5,0.7,5,48,59,0,0,0,0,0,0,0,0,0,0,0,0,2.66,5.14,0,0,0,0,0,0,0,0,0,87,0.49,0,1.3,300,0,0,66,0,0.33,30,5.6,0.4,-2300,0,0,81,0.31,0.18,22,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0.5071,0.4681,0.0148,0.051,8.06,10.87,5.43,3.67,0.227,giants,ny giants,n,ny giants3700,38547-12543:New York Giants,38547-12543,D,n,New York Giants,giants,-1,2,3700,NYG@TB,NYG,TB,,,,York,NY,ny giants,ny giants3700
ny jets3000,0,NY Jets,3000,NYJ,@NE,,,4.7,12.8,0.8,2.24,1.6,0.5,16,2.46,0,0.34,0,0,2,0,0.81,-0.2,0,11.3,31.8,-1.7,20.5,43,30,0,0,0,0,0,0,0,0,0,0,0,0,1.48,5.72,0,0,0,0,0,0,0,0,0,83,0.41,0,9.2,-1200,0,0,80,0.6,0.2,50,70,0.7,-3000,0,0,70,0.6,0.3,20,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.4889,0.4545,0.0085,0.0495,7.84,10.13,4.6,2.5,0.1908,jets,ny jets,n,ny jets3000,38547-12544:New York Jets,38547-12544,D,n,New York Jets,jets,11.5,2,3000,NYJ@NE,NYJ,NE,,,,York,NY,ny jets,ny jets3000
