RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_duds,fantasymonth_upside,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
carter5800cj,84.68,Jeff Carter,5800,C,0,PIT,OTT-MMurray,11.14,14.1,8.2,0.62,1.9,23.2,2,2,7,0,0.3,2,0,2,3.9,2.8,-205,6.5,73,-255,11.7,2.3,46,22,23,97,11.1,38,38,15,13,0.36,0.27,0.62,17.47,2.13,2.86,3.1,0.92,0.12,0.57,3.42,11.41,11.59,8.9,0.04,0.07,2.04,0.42,0.46,0.9,0,0,0.31,0.2,0.51,0.02,2.67,0.23,0.38,0.62,17.27,2.15,2.54,2.85,0.89,0.09,0.69,3.23,10.69,12.46,0,0.08,1.19,0.38,8.8,2.8,2.4,0.4,2.6,0.4,17.52,1.14,0,0,47.25,44.68,48.24,43.06,43.54,2.82,0.26,2.97,0.21,45.08,48.54,44.62,48.85,3.31,0.33,2.54,0.12,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,carter,jeff carter,j,carter5800cj
o'reilly5600cr,82.77,Ryan O'Reilly,5600,C,0,STL,NJD-JGillies,14.13,17.8,10.5,4.02,2.5,8,1,1,5,0,-0.9,94,0,11,3.8,2.4,-260,6,71,-280,12.8,1.3,48,9,29,92,12.8,50,50,25,8,0.33,0.51,0.84,20.15,2.5,2.29,2.51,0.91,0.15,0.49,2.78,12.33,12.04,9.14,0.09,0.11,2.68,0.45,0.5,0.91,0.02,0.01,0.22,0.38,0.18,0.03,2.27,0.5,0.38,0.88,18.85,2.8,2,2.25,0.89,0.25,0.25,2.25,8.25,10.88,0.25,0.13,2.89,0.5,9,1.5,1.5,0,2.5,1,18.82,4.31,0.5,0,41.36,40.28,44.52,44.91,45.89,2.83,0.31,2.62,0.22,33.13,44.18,47.63,49.45,3.38,0.22,2,0.14,48.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,o'reilly,ryan o'reilly,r,o'reilly5600cr
matthews10400ca,79.49,Auston Matthews,10400,C,0,TOR,CGY-JMarkstrom,23.55,29.4,17.7,3.59,2.3,20.8,1,1,19,0,-6.4,20,0,3,3.3,2.9,-140,6,61,-126,20.5,4.2,50,15,19,92,25.8,70,10,10,10,0.71,0.54,1.25,21.33,3.52,4.43,5.24,0.84,0.16,0.89,5.31,17.02,13.38,13.16,0.21,0.16,3.24,0.98,1.14,0.86,0,0,0.51,0.38,0.21,0.01,3.48,0.9,0.8,1.7,21.39,4.77,4.5,5.6,0.8,0.2,0.7,5.2,17.7,12.1,0.3,0.2,3.25,1.1,19.6,5.6,5,0.6,6.4,1.6,20.6,3.19,0.4,0.4,43.83,46.89,40.42,43.31,47.93,2.77,0.24,3,0.19,47.7,38.3,40.2,59.6,2.8,0.29,2.5,0.12,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,matthews,auston matthews,a,matthews10400ca
crosby8800cs,78.96,Sidney Crosby,8800,C,0,PIT,OTT-MMurray,21.03,26.3,15.8,4.35,2.4,19.2,1,1,12,0,-4.5,1,0,2,3.9,2.8,-205,6.5,73,-255,16.2,1.1,44,11,22,99,19.5,61,23,15,13,0.4,0.73,1.13,20.08,3.38,2.96,3.38,0.88,0.13,0.46,3.42,15.84,14.11,12.04,0.08,0.33,2.96,0.66,0.75,0.87,0.01,0,0.31,0.4,0.47,0.07,2.98,0.62,0.69,1.31,20.44,3.85,3.23,4.38,0.74,0.19,0.62,3.85,15.54,15,0.31,0.46,3.97,0.85,17.4,4,3.2,0.8,4.6,1.2,21.59,3.91,0.4,0.8,47.25,44.68,48.24,43.06,43.54,2.82,0.26,2.97,0.21,45.08,48.54,44.62,48.85,3.31,0.33,2.54,0.12,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,crosby,sidney crosby,s,crosby8800cs
thompson5700ct,77.97,Tage Thompson,5700,C,0,BUF,CLB-EMerzlikins,13.78,17.3,10.2,3.46,2.4,20.8,1,1,18,0,2.1,25,0,9,3.2,3.4,104,6.5,34,-110,9.2,3,40,26,32,91,12.1,45,36,9,11,0.29,0.29,0.59,16.03,2.21,2.95,3.59,0.82,0.1,0.24,3.19,11.51,12.35,8.77,0.08,0.09,2.01,0.51,0.64,0.81,0,0,0.21,0.2,0.37,0.01,3.25,0.29,0.71,1,18.55,3.23,3.57,4.86,0.74,0.08,0.29,3.86,11,12.14,0.29,0.29,3.44,1.29,11.5,4.5,4,0.5,5.5,2,17.79,2.48,0,0,46.51,40.62,48.88,46.75,43.84,2.46,0.2,2.7,0.21,36.45,49.09,47.64,43,3.45,0.18,3.45,0.13,44.2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,thompson,tage thompson,t,thompson5700ct
kadri10100cn,77.13,Nazem Kadri,10100,C,0,COL,TB-AVasilevskiy,19.92,24.9,14.9,0.57,2,17.6,2,1,12,0,-2.5,1,0,9,3.1,3,-114,6,36,-130,13.2,1.7,42,11,36,98,17.9,41,33,0,12,0.3,0.67,0.98,17.61,3.34,3.18,3.76,0.85,0.1,0.28,3.46,14.56,11.1,10.36,0.08,0.2,3.15,0.77,1,0.77,0,0,0.22,0.47,0.94,0.03,2.78,0.54,0.69,1.23,20.97,3.52,4.08,5.38,0.76,0.13,0.08,4.15,15.54,11.69,0.08,0.23,3.81,1.08,15.5,3.25,3,0.25,4.25,1.5,22.25,4.24,0,0.5,43.24,49.3,39.58,39.7,42.29,3.49,0.28,3.05,0.2,47.25,38.67,43.58,42.11,3.08,0.3,2.89,0.15,45.67,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,kadri,nazem kadri,n,kadri10100cn
tavares8400cj,76.36,John Tavares,8400,C,0,TOR,CGY-JMarkstrom,15.07,19,11.2,-0.79,1.8,17.6,2,1,17,0,-2.4,1,0,3,3.3,2.9,-140,6,61,-126,13.8,0.4,46,8,31,92,14.4,50,50,10,10,0.37,0.57,0.94,18.18,3.1,3.11,3.76,0.83,0.12,0.55,3.67,14.21,13.19,10.67,0.09,0.14,2.78,0.77,0.92,0.84,0,0,0.28,0.44,0.28,0.01,2.82,0.3,0.5,0.8,18.4,2.61,3.7,5.1,0.73,0.08,0.4,4.1,14.2,12.3,0.1,0.3,2.95,1.5,14.6,4.4,4,0.4,5,1.4,17.9,2.67,0.2,0.4,43.83,46.89,40.42,43.31,47.93,2.77,0.24,3,0.19,47.7,38.3,40.2,59.6,2.8,0.29,2.5,0.12,62,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CGY,tavares,john tavares,j,tavares8400cj
rodrigues6000ce,76.06,Evan Rodrigues,6000,C,0,PIT,OTT-MMurray,6.66,8.4,4.9,-4.27,1.1,0,3,1,2,0,-1.7,1,0,2,3.9,2.8,-205,6.5,73,-255,9.6,2.1,36,23,33,98,5.7,15,53,0,13,0.27,0.33,0.59,15.82,2.24,2.61,3.09,0.84,0.1,0.35,2.96,13.23,10.49,9.92,0.1,0.01,1.69,0.5,0.6,0.83,0,0,0.16,0.32,0.08,0.01,2.13,0,0.23,0.23,16.57,0.83,2.15,2.46,0.88,0,0.23,2.38,12.31,13,0,0,1.67,0.38,10.4,2.2,2,0.2,2,0.2,15.59,1.3,0,0,47.25,44.68,48.24,43.06,43.54,2.82,0.26,2.97,0.21,45.08,48.54,44.62,48.85,3.31,0.33,2.54,0.12,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,rodrigues,evan rodrigues,e,rodrigues6000ce
schenn5600cb,74.74,Brayden Schenn,5600,C,0,STL,NJD-JGillies,13.5,16.9,10.1,3.39,2.4,30.4,1,1,4,0,-0.9,3,0,11,3.8,2.4,-260,6,71,-280,8.7,-0.1,36,13,42,91,17,50,25,50,8,0.28,0.36,0.64,18.48,2.08,1.68,1.89,0.89,0.17,0.52,2.2,10.99,14.55,7.99,0.15,0.07,2.36,0.49,0.57,0.86,0,0,0.13,0.29,0.73,0.01,2.39,0.83,0.67,1.5,16.84,5.35,2.33,2.67,0.88,0.36,0.33,2.67,8.83,14.67,0.33,0.17,2.79,0.67,11.5,2.5,2.5,0,3,0.5,17.4,3.32,0,0.5,41.36,40.28,44.52,44.91,45.89,2.83,0.31,2.62,0.22,33.13,44.18,47.63,49.45,3.38,0.22,2,0.14,48.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NJD,schenn,brayden schenn,b,schenn5600cb
point8000cb,74.51,Brayden Point,8000,C,0,TB,COL-DKuemper,15.94,20,11.9,0.9,2,28,1,1,15,0,3,1,1,9,3,3.1,-105,6,64,108,13.1,-0.3,44,11,36,100,14.2,55,22,0,9,0.49,0.39,0.88,19.08,2.77,2.42,2.93,0.83,0.2,0.28,2.71,13.56,11.95,10.5,0.16,0.16,3.44,0.61,0.69,0.88,0,0,0.33,0.24,0.36,0.03,3.07,0.33,0.44,0.78,19.97,2.34,3.78,5.22,0.72,0.09,0.33,4.11,14.78,11.11,0.11,0.11,3.65,1,18.67,4,3.67,0.33,5,0.33,22.31,3.23,0,0,42.86,42.29,39.7,39.58,49.3,3.01,0.27,3.01,0.23,42.11,43.58,38.67,47.25,3.11,0.25,3.08,0.16,46.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COL,point,brayden point,b,point8000cb
