RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
mcdavid10100cc,92.61,Connor McDavid,10100,C,0,EDM,CHI-A.Stalock,22.8,28.5,17.1,3.45,2.3,53,1,1,18,0,0.8,43,2,1,3.9,2.7,-215,6.5,58,-172,21.2,1.8,57,9,20,99,22,28,28,28,7,0.54,1.03,1.57,22.31,4.22,3.87,4.93,0.78,0.14,0.32,4.18,19.92,15.4,14.96,0.12,0.39,3.73,0.93,1.16,0.8,0,0.02,0.42,0.62,0.58,0.08,3.48,0.71,0.86,1.57,22.99,4.1,3.57,4.43,0.81,0.2,0.29,3.86,19.43,17.71,0.43,0.29,3.52,1.43,19.43,3.86,3.57,0.29,4.43,1.43,22.99,3.52,0.43,0.29,48.43,48.54,48.38,44.28,40.74,2.92,0.26,2.78,0.25,48.71,46.83,43.29,35,3.17,0.37,4.5,0.19,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,mcdavid,connor mcdavid,c,mcdavid10100cc
bergeron8400cp,89.10,Patrice Bergeron,8400,C,0,BOS,DET-V.Husso,17.88,22.4,13.4,2.02,2.1,13.3,1,1,18,0,3.3,13,1,2,4.1,2.6,-250,6.5,80,-220,16.5,2.6,47,14,25,92,18.4,57,14,28,7,0.39,0.53,0.92,18.28,3.02,4.13,5.28,0.78,0.09,0.67,4.81,15.77,8.6,12.59,0.12,0.19,3.2,0.98,1.41,0.69,0,0.04,0.27,0.3,0.46,0.02,3.53,0.57,0.43,1,19.19,3.13,3.71,5.57,0.67,0.15,1.29,5,15.14,9,0.14,0.14,4.26,1.57,15.14,5,3.71,1.29,5.57,2.43,19.19,4.26,0.14,0.14,47.99,47.02,47.68,39.61,40.29,3.02,0.22,2.68,0.25,45,50.33,39,39,3.71,0.19,3,0.06,39,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,bergeron,patrice bergeron,p,bergeron8400cp
matthews9000ca,88.22,Auston Matthews,9000,C,0,TOR,SJ-K.Kahkonen,22.24,27.8,16.7,5.15,2.5,25.3,1,1,26,0,-1.8,90,0,3,4,2.7,-227,6.5,86,-210,23.4,4.3,58,15,17,90,16.1,42,0,42,7,0.77,0.67,1.45,20.84,4.17,4.71,6.61,0.71,0.16,0.86,5.57,18.77,12.63,14.15,0.2,0.2,3.44,1.05,1.56,0.67,0,0,0.57,0.47,0.22,0.05,3.66,0.14,0.71,0.86,21.83,2.36,4.71,6.71,0.7,0.03,0.57,5.29,19,11.86,0,0.43,5.08,0.86,19,5.29,4.71,0.57,6.71,2,21.83,5.08,0,0.43,48.87,49.02,50.24,42.88,42.68,2.98,0.27,2.77,0.14,47,48.71,41.57,43.29,4.17,0.24,2.71,0.05,43.29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,matthews,auston matthews,a,matthews9000ca
draisaitl10200cl,88.08,Leon Draisaitl,10200,C,0,EDM,CHI-A.Stalock,21.07,26.4,15.8,1.52,2.1,33.8,2,1,12,0,-0.3,2,2,1,3.9,2.7,-215,6.5,58,-172,20.1,1.1,46,9,22,99,22.7,57,0,14,7,0.62,0.84,1.46,22.18,3.95,3.36,4.62,0.73,0.19,0.33,3.68,16.01,15.71,12.02,0.29,0.23,3.83,1.19,1.69,0.7,0.02,0.01,0.32,0.59,0.53,0.01,3.07,0.43,1.29,1.71,22.45,4.57,3.43,4.43,0.77,0.12,0.71,4.14,17.29,16.29,0.29,0.43,3.59,0.71,17.29,4.14,3.43,0.71,4.43,1.14,22.45,3.59,0.29,0.43,48.43,48.54,48.38,44.28,40.74,2.92,0.26,2.78,0.25,48.71,46.83,43.29,35,3.17,0.37,4.5,0.19,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,draisaitl,leon draisaitl,l,draisaitl10200cl
beniers6100cm,87.13,Matty Beniers,6100,C,0,SEA,VAN-T.Demko,12.55,15.7,9.4,1.41,2.1,15.2,2,2,6,0,1.1,4,0,2,3.5,3.2,-130,6.5,49,-128,12.4,2.6,68,18,25,16,12.2,50,12,37,8,0.32,0.53,0.84,17.43,2.89,1.95,2.93,0.66,0.16,0.47,2.42,10.64,12,8.36,0.16,0.16,3.5,1.07,1.2,0.89,0,0,0.16,0.37,0,0,2.2,0.38,0.38,0.75,18.12,2.48,2.25,3.29,0.68,0.17,0.63,2.88,10.29,11.14,0.13,0.13,3.51,0.86,10.29,2.88,2.25,0.63,3.29,1.14,18.12,3.51,0.13,0.13,44.93,43.01,46.32,41.77,45.66,2.84,0.17,2.88,0.27,42.71,46.14,37.43,42.71,4.14,0.31,3,0.5,42.71,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAN,beniers,matty beniers,m,beniers6100cm
thompson5500ct,86.72,Tage Thompson,5500,C,0,BUF,MTL-S.Montembeault,16.42,20.6,12.3,6.51,3,12.8,1,1,8,0,1.2,92,0,2,3.8,2.8,-182,6.5,76,-160,14.1,3.2,54,21,25,82,8.8,33,0,33,6,0.47,0.38,0.86,17.94,2.88,3.15,4.39,0.72,0.15,0.31,3.46,12.83,12.87,9.78,0.12,0.1,2.63,0.74,1.01,0.73,0.03,0,0.33,0.28,0.55,0.03,2.75,0.17,0.33,0.5,17.77,1.69,2.33,3.83,0.61,0.07,0.17,2.5,11.67,14.17,0,0.33,3.24,1,11.67,2.5,2.33,0.17,3.83,1.17,17.77,3.24,0,0.33,42.73,41.45,46.82,44.98,41.54,2.75,0.2,3.31,0.23,39.5,43.29,46,43.57,3.67,0.14,3,0.14,43.57,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MTL,thompson,tage thompson,t,thompson5500ct
stuetzle6100ct,85.50,Tim Stuetzle,6100,C,0,OTT,MIN-M.Fleury,12.4,15.6,9.2,1.26,2,1.6,1,1,7,0,0.9,30,0,3,3.2,3.5,108,6.5,43,-110,12.1,3,51,24,24,81,13.3,66,16,33,6,0.29,0.49,0.78,18.39,2.55,2.24,3.04,0.74,0.13,0.68,2.92,12.84,12.84,9.74,0.09,0.24,3.25,0.63,0.83,0.75,0.01,0,0.19,0.25,0.47,0.03,2.47,0.17,0.83,1,18.53,3.24,1.83,2.67,0.69,0.09,1,2.83,15.5,11.5,0,0.17,2.86,0.5,15.5,2.83,1.83,1,2.67,0.5,18.53,2.86,0,0.17,44.48,43.34,42.32,46.52,43.55,2.95,0.19,3.27,0.24,46.33,43,40.67,40.17,3.2,0.31,3.83,0.22,40.17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,stuetzle,tim stuetzle,t,stuetzle6100ct
barkov8000ca,83.76,Aleksander Barkov,8000,C,0,FLA,PHI-C.Hart,18.1,22.7,13.5,3.06,2.3,20.8,1,1,8,0,1.1,11,0,2,4,2.7,-220,6.5,66,-205,16.7,0.4,45,6,30,92,10,28,0,57,7,0.5,0.69,1.19,20.61,3.46,3.28,4.26,0.77,0.15,0.64,3.92,15.49,10.97,11.88,0.15,0.22,3.68,0.69,1.04,0.67,0.05,0.01,0.29,0.46,0.26,0.03,2.84,0,0.57,0.57,22.45,1.52,2.86,4.29,0.67,0,0.43,3.29,12.29,8.86,0,0.29,5.64,0.57,12.29,3.29,2.86,0.43,4.29,1,22.45,5.64,0,0.29,48.95,52.02,49.6,39.92,42.47,3.26,0.21,2.81,0.25,42.43,52.33,31.71,36.67,4.71,0.06,3,0.22,36.67,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,barkov,aleksander barkov,a,barkov8000ca
granlund4900cm,82.73,Mikael Granlund,4900,C,0,NAS,STL-T.Greiss,10.5,13.3,7.7,1.82,2.1,20,2,1,5,0,-0.9,17,0,5,3.5,2.7,-175,6,67,-137,10.4,1.8,51,20,32,84,9.8,60,20,20,5,0.11,0.69,0.8,20.51,2.34,1.5,2.06,0.73,0.07,0.64,2.14,12.79,14.13,9.83,0.04,0.31,3.3,0.28,0.44,0.64,0,0,0.07,0.38,0.39,0,1.78,0,0.86,0.86,20.57,2.51,1.43,1.2,1.19,0,0.86,2.29,11.6,14.2,0,0.29,5.18,0,11.6,2,1,1,1.2,0.2,20.95,5.18,0,0.4,47.93,42.7,46.73,44.33,40.44,3.24,0.23,2.65,0.17,44.8,53,41.2,40.6,4.4,0.09,1.5,0,40.6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,granlund,mikael granlund,m,granlund4900cm
tavares8200cj,82.32,John Tavares,8200,C,0,TOR,SJ-K.Kahkonen,14.6,18.4,10.8,-0.85,1.8,14.9,2,1,17,0,1.3,4,0,3,4,2.7,-227,6.5,86,-210,15.3,0.3,52,11,27,90,18.1,57,14,0,7,0.37,0.64,1.01,18.06,3.36,2.95,4.25,0.7,0.12,0.56,3.52,14.31,13.26,10.8,0.16,0.22,3.26,0.94,1.28,0.73,0,0,0.21,0.43,0.34,0.01,3.05,0.43,0.71,1.14,17.85,3.83,3.86,5,0.77,0.11,0.43,4.29,14.29,12.43,0.43,0.29,4.66,1.71,14.29,4.29,3.86,0.43,5,2,17.85,4.66,0.43,0.29,48.87,49.02,50.24,42.88,42.68,2.98,0.27,2.77,0.14,47,48.71,41.57,43.29,4.17,0.24,2.71,0.05,43.29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,tavares,john tavares,j,tavares8200cj
