RylandID_master,rating,name,salary,pos,min,team_team,team_opp,proj_proj,proj_ceiling,proj_floor,proj_proj+/-,proj_pts/sal,proj_actpts,lines_full,lines_pp,trends_pro,trends_my,trends_opp+/-,trends_bargain,time_b2b,time_rest,vegas_pts,vegas_opppts,vegas_ml,vegas_o/u,vegas_ml%,vegas_openml,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,fantasymonth_ppg,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,stats-year_g,stats-year_a,stats-year_pts,stats-year_toi,stats-year_pts/60,stats-year_s,stats-year_satt,stats-year_effs%,stats-year_s%,stats-year_blk,stats-year_s+blk,stats-year_corsifor,stats-year_cagst,stats-year_fnkfor,stats-year_ppg,stats-year_ppa,stats-year_pptoi,stats-year_pps,stats-year_ppsa,stats-year_ppeffs%,stats-year_shg,stats-year_sha,stats-year_esg,stats-year_esa,stats-year_pim,stats-year_eng,stats-year_spred,stats-month_g,stats-month_a,stats-month_pts,stats-month_toi,stats-month_pts/60,stats-month_s,stats-month_satt,stats-month_effs%,stats-month_s%,stats-month_blk,stats-month_s+blk,stats-month_corsifor,stats-month_crsagst,stats-month_ppg,stats-month_ppa,stats-month_pptoi,stats-month_pps,stats-15_corsifor,stats-15_s+blk,stats-15_s,stats-15_blk,stats-15_satt,stats-15_ppsatt,stats-15_toi,stats-15_pptoi,stats-15_ppg,stats-15_ppa,teamstats-year_sattpred,teamstats-year_sa,teamstats-year_oppsaag,teamstats-year_saag,teamstats-year_oppsa,teamstats-year_pps,teamstats-year_pp%,teamstats-year_opppks,teamstats-year_opppk%,teamstats-month_sa,teamstats-month_oppsaa,teamstats-month_saag,teamstats-month_oppsa,teamstats-month_pps,teamstats-month_pp%,teamstats-month_opppks,teamstats-month_opppk%,teamstats-15_oppsa,slate_id,stats-year_svpred,stats-year_sv,stats-year_wins,stats-year_loss,stats-year_min,stats-year_so,stats-month_sv,stats-month_ga,stats-month_wins,stats-15_wins,teamstats-year_oppsattpred,teamstats-year_oppg,teamstats-year_opps,teamstats-year_pks,teamstats-year_pk%,teamstats-year_opppps,teamstats-year_opppp%,teamstats-month_oppg,teamstats-month_opps,teamstats-month_pks,teamstats-month_pk%,teamstats-month_opppps,teamstats-month_opppp%,teamstats-15_opps,opp,Last Name_master,City Name_master,First Name_master,RylandID_master
horvat7800cb,79.50,Bo Horvat,7800,C,0,VAN,SJ-KKahkonen,12.81,16.2,9.4,-1.82,1.6,12.8,2,1,9,0,1.4,6,0,2,3.1,2.6,-152,5.5,85,-175,12.5,1.3,45,11,32,90,17.9,64,21,28,14,0.4,0.3,0.7,19.8,2.12,2.7,3.42,0.79,0.15,0.66,3.36,13.91,13.64,10.47,0.15,0.08,3.15,0.71,0.95,0.74,0.02,0,0.23,0.22,0.61,0.03,2.68,0.87,0.2,1.07,18.36,3.5,3.13,4.29,0.73,0.28,0.8,3.93,12.2,11.33,0.27,0.13,2.63,0.87,10.67,3.5,3.17,0.33,4.6,1.33,16.87,2.14,0.33,0.17,48.76,44.51,49.87,46.67,41.66,2.94,0.22,2.76,0.16,47.14,49.69,45.57,41.23,2.33,0.34,2.64,0.19,47.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,horvat,bo horvat,b,horvat7800cb
backlund4600cm,79.03,Mikael Backlund,4600,C,0,CGY,SEA-PGrubauer,11.56,14.6,8.5,3.5,2.5,8,2,2,7,0,-1,95,0,2,3.7,2.4,-230,6,86,-196,9.3,1.6,45,20,34,87,10.2,40,13,33,15,0.15,0.35,0.49,17.39,1.69,2.58,3.34,0.77,0.06,0.34,2.92,14.01,10.43,10.75,0,0.06,1.47,0.3,0.39,0.76,0,0,0.15,0.29,0.38,0.02,2.72,0.27,0.27,0.53,16.6,1.92,2.73,3.53,0.77,0.1,0.33,3.07,15.47,11,0,0,1,0.27,15.5,3.25,3,0.25,4,0.63,16.94,1.53,0,0,49.95,50.96,42.13,40.24,42.65,2.84,0.22,2.74,0.25,56.86,44.27,41.79,46.73,2.6,0.23,3.25,0.21,47.67,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,backlund,mikael backlund,m,backlund4600cm
zegras5600ct,77.77,Trevor Zegras,5600,C,0,ANA,PHI-MJones,11.69,14.7,8.7,1.58,2.1,29.3,1,2,7,0,1.8,93,1,3,3.3,3.4,-104,6.5,40,100,10.9,1.4,38,21,34,88,10.1,46,7,38,13,0.28,0.54,0.82,17.83,2.76,2.46,3.34,0.74,0.12,0.28,2.74,13.82,12.6,10.4,0.08,0.12,2.74,0.45,0.58,0.76,0,0,0.2,0.42,0.68,0,2.74,0.17,0.5,0.67,20.08,2,2.83,3.75,0.76,0.06,0.25,3.08,15.83,15.92,0,0,2.63,0.42,14.83,3.33,3.17,0.17,4.33,0.33,20.23,2.89,0,0,49.54,43.27,48.14,45.63,44.22,2.72,0.2,2.81,0.26,46.15,54.79,52,41,2.38,0.06,2.33,0.26,41.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,zegras,trevor zegras,t,zegras5600ct
roy4500cn,77.69,Nicolas Roy,4500,C,0,VGK,ARI-KVejmelka,7.43,9.4,5.4,-0.42,1.7,1.6,1,2,6,0,0.7,25,0,3,4.2,2,-470,6,87,-385,7.7,1,38,19,36,100,9.1,42,28,35,14,0.21,0.28,0.49,15.48,1.9,1.72,2.16,0.8,0.12,0.47,2.19,13.68,11.53,10.26,0.01,0.03,1.25,0.21,0.27,0.75,0,0.01,0.2,0.25,0.58,0.01,2.37,0.21,0.36,0.57,16.19,2.11,1.71,3.21,0.53,0.12,0.5,2.21,13.07,13.5,0,0,1.64,0.14,11.2,2.4,1.6,0.8,3,0.4,15.79,1.42,0,0,51.47,49.6,47.93,45.06,39.16,2.64,0.19,2.93,0.27,49.86,57.64,46.57,37.21,2.79,0.18,2.47,0.3,41.71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,roy,nicolas roy,n,roy4500cn
hayes5100ck,77.53,Kevin Hayes,5100,C,0,PHI,ANA-AStolarz,9.89,12.5,7.3,0.8,1.9,6.4,3,1,5,0,0.6,91,0,2,3.4,3.3,-115,6.5,60,-120,8.4,0.9,28,14,28,88,14.7,73,40,6,15,0.17,0.43,0.6,16.85,2.14,2.26,2.77,0.82,0.07,0.36,2.62,10.81,13.81,7.89,0.04,0.06,2.38,0.4,0.49,0.81,0,0.02,0.13,0.36,0.49,0,2.29,0.33,0.73,1.07,19.38,3.31,2.73,3.47,0.79,0.12,0.27,3,11.47,15.4,0.07,0,2.91,0.53,13.57,3.29,3.14,0.14,4.14,0.43,19.64,2.98,0,0,47.23,44.22,45.63,48.14,43.27,2.77,0.15,2.86,0.19,41,52,54.79,46.15,2.93,0.09,2.54,0.33,45.83,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ANA,hayes,kevin hayes,k,hayes5100ck
suter4400cp,77.44,Pius Suter,4400,C,0,DET,CLB-EMerzlikins,8.95,11.3,6.6,1.3,2,16,2,2,4,0,1.5,32,0,3,3.4,3.2,-124,6.5,68,114,8.6,0.9,39,22,33,86,8.6,50,28,35,14,0.2,0.28,0.47,16.77,1.68,2.13,2.69,0.79,0.09,0.51,2.63,11.11,12.89,8.2,0,0.05,1.35,0.2,0.32,0.61,0.01,0,0.18,0.23,0.3,0.01,2.29,0.14,0.43,0.57,16.23,2.11,1.86,2.29,0.81,0.08,0.29,2.14,11.79,14.43,0,0,0.32,0,10.57,1.86,1.71,0.14,2.29,0,16.84,0.46,0,0,44.48,40.01,49.17,47.73,44.3,2.75,0.17,2.84,0.21,43,46.14,47.5,42.29,2.93,0.17,3.27,0.27,47.14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLB,suter,pius suter,p,suter4400cp
strome5800cr,76.45,Ryan Strome,5800,C,0,NYR,OTT-AForsberg,10.64,13.4,7.9,0.12,1.8,18.4,2,1,3,0,-0.1,3,0,2,3.8,2.4,-247,6,82,-265,10.2,-0.2,39,9,31,87,9.3,33,6,33,15,0.23,0.53,0.76,18.07,2.52,2.12,2.76,0.77,0.11,0.27,2.39,12.54,13.51,9.22,0.06,0.14,2.75,0.37,0.52,0.71,0,0,0.17,0.39,1.08,0.02,1.93,0.36,0.18,0.55,17.44,1.89,2.45,3.3,0.74,0.15,0.18,2.64,12.18,12.27,0.18,0.09,2.54,0.45,10.25,1.5,1.25,0.25,2,0.5,14.59,1.41,0.25,0,44.85,39.56,46.81,45.96,43.3,2.61,0.26,3.04,0.19,43.86,42.92,38.5,49.31,2.33,0.31,2.36,0.18,44.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTT,strome,ryan strome,r,strome5800cr
eichel7500cj,74.32,Jack Eichel,7500,C,0,VGK,ARI-KVejmelka,16.15,20.3,12,2.14,2.2,20,1,1,21,0,0.7,97,0,3,4.2,2,-470,6,87,-385,16.4,1.2,17,5,2,89,17.3,64,14,7,14,0.42,0.33,0.75,19.1,2.36,4.04,5,0.81,0.1,1.21,5.25,15.58,14.21,11.5,0.13,0.17,3.02,0.96,1.33,0.72,0,0,0.29,0.17,0.33,0,3.68,0.5,0.29,0.79,19.29,2.46,4.07,5,0.81,0.12,1.21,5.29,15.29,14.43,0.14,0.21,2.99,0.79,15.8,6,4.8,1.2,5.4,0.8,21.31,2.95,0,0,51.47,49.6,47.93,45.06,39.16,2.64,0.19,2.93,0.27,49.86,57.64,46.57,37.21,2.79,0.18,2.47,0.3,41.71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,eichel,jack eichel,j,eichel7500cj
karlsson4900cw,73.81,William Karlsson,4900,C,0,VGK,ARI-KVejmelka,9.42,11.8,7,0.74,1.9,12.8,2,2,8,0,-0.3,25,0,3,4.2,2,-470,6,87,-385,8.4,0.3,34,12,40,100,8.1,35,14,42,14,0.2,0.38,0.57,18.35,1.86,1.91,2.45,0.78,0.1,0.59,2.5,15.04,11.57,11.17,0.02,0.05,2.19,0.18,0.31,0.59,0.02,0.01,0.16,0.31,0.17,0.02,2.46,0.21,0.14,0.36,19.15,1.13,2.07,3.21,0.64,0.1,0.57,2.64,16.93,11.43,0,0,2.13,0.36,16.4,3,2.6,0.4,4,0.4,18.71,1.92,0,0,51.47,49.6,47.93,45.06,39.16,2.64,0.19,2.93,0.27,49.86,57.64,46.57,37.21,2.79,0.18,2.47,0.3,41.71,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ARI,karlsson,william karlsson,w,karlsson4900cw
pettersson6700ce,73.66,Elias Pettersson,6700,C,0,VAN,SJ-KKahkonen,11.37,14.3,8.4,-1,1.7,9.6,1,1,8,0,-0.2,15,0,2,3.1,2.6,-152,5.5,85,-175,12.2,0.9,32,16,30,90,17.6,42,28,14,14,0.35,0.46,0.81,18.37,2.64,2.26,3.37,0.67,0.15,0.54,2.81,13.19,12.39,9.79,0.13,0.22,3.23,0.63,1.04,0.6,0.03,0,0.19,0.24,0.17,0.01,2.75,0.62,0.69,1.31,19.57,4.02,3,4.15,0.72,0.21,0.31,3.31,14.08,11.92,0.23,0.38,2.81,0.69,14,3.17,3,0.17,4.17,0.83,18.95,2.32,0.33,0.5,48.76,44.51,49.87,46.67,41.66,2.94,0.22,2.76,0.16,47.14,49.69,45.57,41.23,2.33,0.34,2.64,0.19,47.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SJ,pettersson,elias pettersson,e,pettersson6700ce
