entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3036657640,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-12417,85900-64100,85900-66611,85900-8875,85900-103523,85900-82112,85900-70279,85900-82006,85900-149734,,85900-8441:Max Pacioretty,85900-8441,W,Max,Max Pacioretty,Pacioretty,19.63333384,3,9100,CAR@CBJ,CAR,CBJ,,,,,,W/UTIL
3036657641,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-64100,85900-13612,85900-21689,85900-41394,85900-70199,85900-43139,85900-84346,85900-15339,,85900-42478:Bo Horvat,85900-42478,C,Bo,Bo Horvat,Horvat,17.90749969,40,9100,VAN@TB,VAN,TB,,,,,,C/UTIL
3036657642,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-62445,85900-66737,85900-8556,85900-62195,85900-9036,85900-73946,85900-82796,85900-103202,,85900-54809:Linus Ullmark,85900-54809,G,Linus,Linus Ullmark,Ullmark,24.62222177,27,9000,SEA@BOS,BOS,SEA,,,,,,G
3036657643,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15287,85900-41391,85900-12728,85900-146131,85900-70199,85900-8528,85900-41592,85900-43028,85900-12163,,85900-120415:Jeremy Swayman,85900-120415,G,Jeremy,Jeremy Swayman,Swayman,13.24444411,18,9000,SEA@BOS,BOS,SEA,,,,,,G
3036657644,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-15360,85900-146131,85900-85470,85900-162085,85900-82755,85900-82006,85900-84409,85900-66693,,85900-70635:David Rittich,85900-70635,G,David,David Rittich,Rittich,12.98461562,13,8900,WPG@BUF,WPG,BUF,,,,,,G
3036657645,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-12417,85900-148101,85900-11150,85900-66737,85900-103523,85900-61859,85900-70511,85900-73889,85900-149734,,85900-58909:Connor Hellebuyck,85900-58909,G,Connor,Connor Hellebuyck,Hellebuyck,21.64999962,32,8900,WPG@BUF,WPG,BUF,,,,,,G
3036657647,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-62445,85900-70279,85900-43139,85900-66620,85900-23228,85900-41394,85900-66737,85900-70513,85900-149734,,85900-84395:Kevin Lankinen,85900-84395,G,Kevin,Kevin Lankinen,Lankinen,13.96923124,13,8800,NSH@MON,NSH,MON,,,,,,G
3036657648,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-43176,85900-12728,85900-55375,85900-12262,85900-41394,85900-58332,85900-82006,85900-54065,,85900-8655:Steven Stamkos,85900-8655,C,Steven,Steven Stamkos,Stamkos,17.67179518,39,8800,VAN@TB,TB,VAN,,,,,,C/UTIL
3036657650,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-161910,85900-41391,85900-142018,85900-70483,85900-54457,85900-80398,85900-62445,85900-85470,85900-15339,,85900-66411:Juuse Saros,85900-66411,G,Juuse,Juuse Saros,Saros,20.15483832,31,8800,NSH@MON,NSH,MON,,,,,,G
3036657651,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-12592,85900-62445,85900-146131,85900-43214,85900-70199,85900-73909,85900-8356,85900-85470,85900-15339,,85900-85132:Rasmus Dahlin,85900-85132,D,Rasmus,Rasmus Dahlin,Dahlin,19.01842137,38,8800,WPG@BUF,BUF,WPG,,,,,,D/UTIL
3036657654,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-62157,85900-73946,85900-146131,85900-70513,85900-14178,85900-14456,85900-73894,85900-85470,85900-11301,,85900-59276:William Nylander,85900-59276,W,William,William Nylander,Nylander,17.29523868,42,8800,TOR@DET,TOR,DET,,,,,,W/UTIL
3036657655,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41391,85900-41592,85900-15239,85900-55375,85900-39261,85900-73909,85900-66686,85900-66737,85900-12163,,85900-14565:Mika Zibanejad,85900-14565,C,Mika,Mika Zibanejad,Zibanejad,16.9142863,42,8700,DAL@NYR,NYR,DAL,,,,,,C/UTIL
3036657656,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-148101,85900-41391,85900-43214,85900-66617,85900-14217,85900-37881,85900-70928,85900-97108,85900-149734,,85900-97093:Logan Thompson,85900-97093,G,Logan,Logan Thompson,Thompson,19.01333415,30,8700,FLA@VGK,VGK,FLA,,,,,,G
3036657657,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-148186,85900-21523,85900-8556,85900-103523,85900-14456,85900-8254,85900-97022,85900-11301,,85900-66612:Adin Hill,85900-66612,G,Adin,Adin Hill,Hill,12.97777812,18,8700,FLA@VGK,VGK,FLA,,,,,,G
3036657658,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-73946,85900-81983,85900-146131,85900-70483,85900-70117,85900-70199,85900-74086,85900-82045,85900-9278,,85900-8553:Brian Elliott,85900-8553,G,Brian,Brian Elliott,Elliott,15.44615408,13,8600,VAN@TB,TB,VAN,,,,,,G
3036657659,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-41391,85900-82006,85900-42772,85900-73889,85900-14456,85900-97214,85900-97108,85900-8478,85900-149734,,85900-54565:Andrei Vasilevskiy,85900-54565,G,Andrei,Andrei Vasilevskiy,Vasilevskiy,18.84138015,29,8600,VAN@TB,TB,VAN,,,,,,G
3036657660,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-113269,85900-58926,85900-161390,85900-66686,85900-39261,85900-54521,85900-8655,85900-73894,85900-70509,,85900-12262:Roman Josi,85900-12262,D,Roman,Roman Josi,Josi,18.2,40,8600,NSH@MON,NSH,MON,,,,,,D/UTIL
3036657661,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-58332,85900-74047,85900-169861,85900-59276,85900-66759,85900-8669,85900-70905,85900-84346,85900-54065,,85900-103220:Erik Kallgren,85900-103220,G,Erik,Erik Kallgren,Kallgren,8.676923312,13,8500,TOR@DET,TOR,DET,,,,,,G
3036657662,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-41391,85900-142018,85900-70483,85900-70199,85900-97024,85900-73889,85900-97022,85900-70509,,85900-42869:Matt Murray,85900-42869,G,Matt,Matt Murray,Murray,20.80000036,17,8500,TOR@DET,TOR,DET,,,,,,G
3036657663,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15360,85900-59261,85900-12624,85900-39253,85900-66635,85900-70199,85900-70279,85900-70483,85900-70509,,85900-12690:Scott Wedgewood,85900-12690,G,Scott,Scott Wedgewood,Wedgewood,14.14999962,16,8400,DAL@NYR,DAL,NYR,,,,,,G
3036657664,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-15287,85900-15346,85900-12624,85900-70483,85900-101277,85900-103523,85900-70279,85900-8495,85900-58909,,85900-70168:Alex Tuch,85900-70168,W,Alex,Alex Tuch,Tuch,16.90512789,39,8400,WPG@BUF,BUF,WPG,,,,,,W/UTIL
3036657665,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-73946,85900-82198,85900-146131,85900-43028,85900-62195,85900-66759,85900-9189,85900-70483,85900-54565,,85900-103202:Jake Oettinger,85900-103202,G,Jake,Jake Oettinger,Oettinger,18.98181892,33,8400,DAL@NYR,DAL,NYR,,,,,,G
3036657666,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-142017,85900-41592,85900-153812,85900-39253,85900-39243,85900-70199,85900-8254,85900-73940,85900-15339,,85900-70901:Pierre-Luc Dubois,85900-70901,C,Pierre-Luc,Pierre-Luc Dubois,Dubois,16.85122011,41,8400,WPG@BUF,WPG,BUF,,,,,,C/UTIL
3036657668,85900-262188968,$500 Thu NHL Five Hole (150 Entries Max),85900-151978,85900-41391,85900-66622,85900-70483,85900-101277,85900-8466,85900-73885,85900-82192,85900-11301,,85900-82094:Alexandar Georgiev,85900-82094,G,Alexandar,Alexandar Georgiev,Georgiev,18.58064516,31,8300,COL@CHI,COL,CHI,,,,,,G
