entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3035315733,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-58332,85798-70279,85798-146131,85798-43028,85798-70199,85798-8669,85798-43178,85798-85470,85798-54565,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3035315734,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-15360,85798-40036,85798-104140,85798-149375,85798-103523,85798-70199,85798-70279,85798-73946,85798-84324,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3035315735,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-70279,85798-80991,85798-15280,85798-15315,85798-73909,85798-8669,85798-66690,85798-70483,85798-84324,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3035315736,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-62445,85798-70279,85798-145545,85798-43214,85798-82174,85798-8669,85798-70928,85798-70483,85798-58988,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3035315737,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-62445,85798-82087,85798-15269,85798-54477,85798-103523,85798-169056,85798-70483,85798-73889,85798-97232,,,,,,,,,,,,,,,,,,,
3035315738,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-58878,85798-70279,85798-104448,85798-58891,85798-103523,85798-43152,85798-66737,85798-70483,85798-103103,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3035315739,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-169054,85798-40036,85798-104448,85798-66675,85798-103523,85798-61246,85798-62445,85798-70279,85798-58909,,85798-70924:Tage Thompson,85798-70924,C,Tage,Tage Thompson,Thompson,22.78947368,38,10400,SEA@BUF,BUF,SEA,,,,,,C/UTIL
3035315740,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-148101,85798-62445,85798-15315,85798-66737,85798-12244,85798-66515,85798-73889,85798-80369,85798-149734,,85798-41391:Nathan MacKinnon,85798-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.48148148,27,10300,FLA@COL,COL,FLA,,,,,,C/UTIL
3035315742,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-148101,85798-70279,85798-12624,85798-66622,85798-101277,85798-103523,85798-73889,85798-73894,85798-97232,,85798-82170:Jason Robertson,85798-82170,W,Jason,Jason Robertson,Robertson,20.96341463,41,10100,DAL@NYI,DAL,NYI,,,,,,W/UTIL
3035315743,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-70279,85798-97108,85798-12624,85798-58686,85798-169056,85798-8426,85798-66611,85798-66737,85798-149734,,85798-66737:Mikko Rantanen,85798-66737,W,Mikko,Mikko Rantanen,Rantanen,20.16578915,38,10000,FLA@COL,COL,FLA,,,,,,W/UTIL
3035315744,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-159932,85798-62445,85798-70483,85798-73889,85798-103523,85798-74016,85798-82087,85798-80369,85798-58988,,85798-111493:Jack Hughes,85798-111493,C,Jack,Jack Hughes,Hughes,20.26750031,40,9900,NJ@CAR,NJ,CAR,,,,,,C/UTIL
3035315745,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-148101,85798-41391,85798-169861,85798-66611,85798-8426,85798-97024,85798-70905,85798-73889,85798-149734,,85798-43214:Nikita Kucherov,85798-43214,W,Nikita,Nikita Kucherov,Kucherov,19.62894801,38,9800,CBJ@TB,TB,CBJ,,,,,,W/UTIL
3035315746,85798-262157717,$600 Tue NHL Five Hole (150 Entries Max),85798-169054,85798-62445,85798-12253,85798-39234,85798-103523,85798-74127,85798-70483,85798-70900,85798-12697,,85798-135875:Kirill Kaprizov,85798-135875,W,Kirill,Kirill Kaprizov,Kaprizov,19.51794903,39,9700,MIN@NYR,MIN,NYR,,,,,,W/UTIL
