entry_id,contest_id,contest_name,C,C,W,W,D,D,UTIL,UTIL,G,,Instructions,,,,,,,,,,,,,,,,,
3039052762,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-41391,85980-81983,85980-43135,85980-58880,85980-113276,85980-70199,85980-82049,85980-83057,85980-70509,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3039052764,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-148101,85980-58332,85980-107994,85980-12220,85980-103523,85980-37881,85980-81983,85980-59276,85980-82094,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3039052765,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-66553,85980-70279,85980-142018,85980-43135,85980-8426,85980-85132,85980-73946,85980-8262,85980-70509,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3039052769,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-66685,85980-8274,85980-146131,85980-39238,85980-61246,85980-8406,85980-66737,85980-74155,85980-97232,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3039052772,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-15360,85980-58332,85980-12439,85980-142018,85980-103523,85980-42862,85980-70279,85980-81974,85980-70509,,,,,,,,,,,,,,,,,,,
3039052774,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-70279,85980-82004,85980-42773,85980-66737,85980-23228,85980-70199,85980-82006,85980-80369,85980-70509,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3039052779,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-15360,85980-21897,85980-146131,85980-39238,85980-39261,85980-62195,85980-70279,85980-80369,85980-42643,,85980-64102:Connor McDavid,85980-64102,C,Connor,Connor McDavid,McDavid,26.06590965,44,10600,EDM@VGK,EDM,VGK,,,,,,C/UTIL
3039052781,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-152882,85980-15360,85980-103203,85980-171491,85980-103523,85980-70199,85980-42772,85980-55375,85980-82094,,85980-59218:David Pastrnak,85980-59218,W,David,David Pastrnak,Pastrnak,23.43414604,41,10500,TOR@BOS,BOS,TOR,,,,,,W/UTIL
3039052785,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-148101,85980-62445,85980-39238,85980-43028,85980-66759,85980-70199,85980-66685,85980-8640,85980-12163,,85980-41391:Nathan MacKinnon,85980-41391,C,Nathan,Nathan MacKinnon,MacKinnon,22.55862111,29,10400,OTT@COL,COL,OTT,,,,,,C/UTIL
3039052788,85980-262280964,$300 Sat NHL Five Hole (150 Entries Max),85980-15360,85980-70279,85980-104448,85980-145545,85980-103261,85980-103523,85980-171491,85980-59276,85980-42643,,85980-43214:Nikita Kucherov,85980-43214,W,Nikita,Nikita Kucherov,Kucherov,20.59750061,40,10300,TB@STL,TB,STL,,,,,,W/UTIL
