,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,act_pts,lev_rank,buzz,sr,leverage,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,City Name,City Name2,City Name3,RylandID
agholor4700wrn,87.5,Nelson Agholor,4700,LV,BUF,,,7.21,10.2,4.2,2.57,1.5,0.5,4.64,12.4,-12,0,0,0.56,3,0,0.48,2.3,51,25,28,1.7,3,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.07,0.07,0,0,0,5.1,-200,3.07,0.21,100,0.33,0,30,30,-0.7,-200,0.64,0.06,41,0.11,0.41,17,WR,420,0,0,0,0,4,2,26,18,10.8,0.1,5.2,0,0,0.135,0.063,0.112,0,0,0,0,0,0,0,0,0,0,agholor,nelson agholor,n,agholor4700wrn,50456-29683:Nelson Agholor,50456-29683,WR,n,Nelson Agholor,agholor,5.133333206,3,4700,BUF@LV,LV,BUF,,,,ryland,ryland,nelson,agholor4700wrn
akins4900tej,85.5,Jordan Akins,4900,HOU,MIN,,,6.15,8.5,3.8,1.45,1.3,0.5,4.7,6.1,2,0.4,1,0.94,5,0,0.29,6,43,28,24.5,0.5,-3.5,52.5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,7.9,600,1.98,0.18,100,0.66,0,30,3.4,-0.9,600,0.98,0.08,68,0.21,0.31,19,TE,420,0,0,0,0,3,2,26,14,10.6,0.1,8.5,0.25,0,0.109,0.04,0.103,0,0,0,0,0,0,0,0,0,0,akins,jordan akins,j,akins4900tej,50456-57338:Jordan Akins,50456-57338,TE,j,Jordan Akins,akins,7.900000254,3,4900,MIN@HOU,HOU,MIN,,,,ryland,ryland,jordan,akins4900tej
alie-cox5300tem,67.15,Mo Alie-Cox,5300,IND,@CHI,,,4.85,6.9,2.8,-0.79,0.9,3,5.64,7.8,-12,2.9,0.78,0.4,2,0,0.61,3,26,23.5,20,0,-3.5,43.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.13,0.07,52,0.61,0.1,9.7,1300,2.64,0.26,100,0.66,0,30,2.4,10,1300,1.98,0.09,50,0.12,0.5,16,TE,420,0,0,0,0,1,1,16,10,16.4,0.1,50,0.333,0,0.04,0.067,0.077,0,0,0,0,0,0,0,0,0,0,alie-cox,mo alie-cox,m,alie-cox5300tem,50456-24533:Mo Alie-Cox,50456-24533,TE,m,Mo Alie-Cox,alie-cox,9.700000127,3,5300,IND@CHI,IND,CHI,,,,ryland,ryland,mo,alie-cox5300tem
allen6900wrk,87.25,Keenan Allen,6900,LAC,@TB,,,11.76,16.1,7.5,2.1,1.7,6.5,9.66,10.2,0,4.4,0.94,0.84,5,0,0.94,0.1,62,17.5,25,-1.5,7.5,42.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0.47,0.07,76,0.86,0.52,14.2,-100,1.15,0.19,66,0.66,0.33,30,11,0.4,-100,1.17,0.18,57,0.36,0.42,19,WR,420,0,0,0,0,9,6,67,22,10.8,0.3,7.6,0.158,0,0.258,0.211,0.239,0,0,0,0,0,0,0,0,0,0,allen,keenan allen,k,allen6900wrk,50456-29253:Keenan Allen,50456-29253,WR,k,Keenan Allen,allen,14.16666667,3,6900,LAC@TB,LAC,TB,,,,ryland,ryland,keenan,allen6900wrk
allen8600qbj,99,Josh Allen,8600,BUF,@LV,,,24.24,35.8,12.7,5.9,2.8,10.5,18.34,25.42,-2,5.2,1,0.6,3,0,0.69,-1.2,62,28,25,1.7,-3,53,66,18,29,215,61,7.3,7.1,1.8,35,16.2,64.9,14.6,6.2,1,7.9,6,13,30,4.6,0.5,0.53,6.67,3.2,1.67,0,0,0,31.6,700,0.66,0.45,100,1,0,30,21.7,4.4,700,0.56,0.35,94,0.72,0.05,18,QB,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen8600qbj,50456-62239:Josh Allen,50456-62239,QB,j,Josh Allen,allen,31.63999939,3,8600,BUF@LV,BUF,LV,,,,ryland,ryland,josh,allen8600qbj
amendola5100wrd,78.15,Danny Amendola,5100,DET,NO,,,7.03,9.9,4.2,1.47,1.4,0.5,5.56,6.7,-13,0,0,0.55,1,0,0.51,-0.8,43,24.3,27.3,-1.5,3,51.5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.07,0,0,0,5.3,0,0.89,0.15,33,0.33,0.66,30,6.5,-0.2,0,0.89,0.15,68,0.25,0.31,16,WR,420,0,0,0,0,6,3,43,18,11.1,0,6.7,0,0,0.184,0,0.17,0,0,0,0,0,0,0,0,0,0,amendola,danny amendola,d,amendola5100wrd,50456-8117:Danny Amendola,50456-8117,WR,d,Danny Amendola,amendola,5.333333333,3,5100,NO@DET,DET,NO,,,,ryland,ryland,danny,amendola5100wrd
anderson6200wrr,92.9,Robby Anderson,6200,CAR,ARI,,,11.06,15.6,6.6,3,1.8,3,8.06,13.9,5,2,1,0.92,4,0,0.59,-0.4,56,24.8,27.8,1.3,3,52.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.06,67,0.47,0,14.6,600,1.83,0.3,100,0.66,0,30,9.8,1.9,600,1.52,0.17,66,0.33,0.33,18,WR,420,0,0,0,0,6,3,58,29,15.2,0.4,7.9,0.25,0,0.204,0.3,0.246,0,0,0,0,0,0,0,0,0,0,anderson,robby anderson,r,anderson6200wrr,50456-26251:Robby Anderson,50456-26251,WR,r,Robby Anderson,anderson,14.59999975,3,6200,ARI@CAR,CAR,ARI,,,,ryland,ryland,robby,anderson6200wrr
andrews7400tem,68.05,Mark Andrews,7400,BAL,@WAS,,,9.54,13,6,-1,1.3,6.5,10.54,19.2,2,5.7,1,0.94,9,0,0.61,2.4,31,29.8,15.3,-0.2,-14.5,45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.4,0.2,66,0.47,0.01,9.1,0,1.61,0.22,33,0.33,0.66,30,9.5,0.6,0,1.61,0.31,66,0.33,0.33,18,TE,420,0,0,0,0,5,3,49,28,13.9,0.6,9.3,0.444,0,0.242,0.29,0.26,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews7400tem,50456-52436:Mark Andrews,50456-52436,TE,m,Mark Andrews,andrews,9.133333206,3,7400,BAL@WAS,BAL,WAS,,,,ryland,ryland,mark,andrews7400tem
arizona3800,45.51,Arizona,3800,ARI,@CAR,,,6.6,13.4,-0.2,1.57,1.7,3,5.03,1,2,0,0,0.83,2,0,0.99,1.4,0,27.8,24.8,0.3,-3,52.5,78,0,0,0,0,0,0,0,0,0,0,0,0,1.25,7.12,0,0,0,0,0,0,0,0,0,67,0.47,0,5.7,500,0,0,100,0.66,0,30,4.7,-0.5,500,0,0,80,0.53,0.2,15,DEF,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.5231,0.4501,0.0074,0.043,7.78,11.27,5.47,2.92,0.1953,arizona,arizona,a,arizona3800,50456-12546:Arizona Cardinals,50456-12546,D,a,Arizona Cardinals,cardinals,6.333333333,3,3800,ARI@CAR,ARI,CAR,,,,Cardinals,Cardinals,arizona,arizona3800
arnold4300ted,85.15,Dan Arnold,4300,ARI,@CAR,,,4.81,7,2.6,1.51,1.1,0.5,3.3,5.9,-4,0,0,0.66,2,0,0.29,-2.4,29,27.8,24.8,0.3,-3,52.5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.06,0,67,0.47,0,2.9,-100,1.07,0.06,100,0,0,40,2.9,0.7,-100,1.04,0.1,50,0.12,0.37,16,TE,420,0,0,0,0,2,1,23,15,14.2,0.3,6.7,0.333,0,0.081,0.154,0.085,0,0,0,0,0,0,0,0,0,0,arnold,dan arnold,d,arnold4300ted,50456-80546:Dan Arnold,50456-80546,TE,d,Dan Arnold,arnold,2.76666673,3,4300,ARI@CAR,ARI,CAR,,,,ryland,ryland,dan,arnold4300ted
